time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,30.6,15.4,0.0,58,40787.38,Kyankwanzi,1.2,31.8
2023-01-02,31.4,15.8,0.0,47,40651.12,Kyankwanzi,1.2,31.8
2023-01-03,30.7,16.9,0.1,54,36025.11,Kyankwanzi,1.2,31.8
2023-01-04,31.8,16.3,0.0,54,38611.34,Kyankwanzi,1.2,31.8
2023-01-05,32.5,18.4,0.0,43,40798.32,Kyankwanzi,1.2,31.8
2023-01-06,32.9,14.9,0.0,40,40801.48,Kyankwanzi,1.2,31.8
2023-01-07,32.7,17.4,0.0,38,38476.64,Kyankwanzi,1.2,31.8
2023-01-08,33.5,17.2,0.0,39,40808.27,Kyankwanzi,1.2,31.8
2023-01-09,32.3,17.3,0.0,45,40632.59,Kyankwanzi,1.2,31.8
2023-01-10,29.1,18.6,0.2,53,33321.71,Kyankwanzi,1.2,31.8
2023-01-11,30.7,17.3,0.0,55,40064.43,Kyankwanzi,1.2,31.8
2023-01-12,31.6,17.4,0.0,51,33213.27,Kyankwanzi,1.2,31.8
2023-01-13,31.9,16.2,0.0,50,40827.52,Kyankwanzi,1.2,31.8
2023-01-14,31.8,16.1,0.0,53,31117.67,Kyankwanzi,1.2,31.8
2023-01-15,32.7,16.0,0.0,54,40835.98,Kyankwanzi,1.2,31.8
2023-01-16,31.8,16.6,0.0,48,31079.71,Kyankwanzi,1.2,31.8
2023-01-17,32.6,17.4,0.0,37,40844.78,Kyankwanzi,1.2,31.8
2023-01-18,33.6,17.0,0.0,42,40300.96,Kyankwanzi,1.2,31.8
2023-01-19,33.9,16.0,0.0,49,40854.36,Kyankwanzi,1.2,31.8
2023-01-20,34.0,17.0,0.0,46,27415.86,Kyankwanzi,1.2,31.8
2023-01-21,34.4,17.4,0.0,36,39267.69,Kyankwanzi,1.2,31.8
2023-01-22,32.2,18.8,0.0,48,37218.09,Kyankwanzi,1.2,31.8
2023-01-23,32.3,17.5,0.0,54,37670.34,Kyankwanzi,1.2,31.8
2023-01-24,30.7,18.1,5.0,58,36132.79,Kyankwanzi,1.2,31.8
2023-01-25,33.5,15.9,0.0,49,40608.96,Kyankwanzi,1.2,31.8
2023-01-26,32.7,17.6,0.0,52,40765.98,Kyankwanzi,1.2,31.8
2023-01-27,34.1,17.8,0.0,47,39899.45,Kyankwanzi,1.2,31.8
2023-01-28,34.5,16.5,0.0,41,40904.43,Kyankwanzi,1.2,31.8
2023-01-29,34.4,16.6,0.0,42,32700.13,Kyankwanzi,1.2,31.8
2023-01-30,34.3,17.3,0.1,46,36292.88,Kyankwanzi,1.2,31.8
2023-01-31,33.8,17.6,0.0,44,40922.48,Kyankwanzi,1.2,31.8
2023-02-01,33.4,17.3,0.0,43,40928.55,Kyankwanzi,1.2,31.8
2023-02-02,34.3,17.8,0.0,46,40934.65,Kyankwanzi,1.2,31.8
2023-02-03,33.3,18.0,0.0,49,40937.02,Kyankwanzi,1.2,31.8
2023-02-04,34.0,17.2,0.0,40,40946.82,Kyankwanzi,1.2,31.8
2023-02-05,34.0,17.5,0.0,35,36101.46,Kyankwanzi,1.2,31.8
2023-02-06,34.4,17.2,0.0,40,38076.9,Kyankwanzi,1.2,31.8
2023-02-07,33.0,17.7,0.2,45,38075.85,Kyankwanzi,1.2,31.8
2023-02-08,33.6,19.2,0.0,49,38067.22,Kyankwanzi,1.2,31.8
2023-02-09,32.7,18.4,0.0,54,40965.52,Kyankwanzi,1.2,31.8
2023-02-10,33.9,17.2,0.0,53,40968.0,Kyankwanzi,1.2,31.8
2023-02-11,35.1,18.1,0.0,46,40850.53,Kyankwanzi,1.2,31.8
2023-02-12,35.3,17.1,0.0,42,40995.59,Kyankwanzi,1.2,31.8
2023-02-13,35.4,17.4,0.0,35,41001.82,Kyankwanzi,1.2,31.8
2023-02-14,35.1,16.3,0.0,45,34283.8,Kyankwanzi,1.2,31.8
2023-02-15,34.4,20.1,0.0,38,33979.33,Kyankwanzi,1.2,31.8
2023-02-16,34.8,20.8,0.0,32,32927.55,Kyankwanzi,1.2,31.8
2023-02-17,34.9,21.3,0.0,27,31828.44,Kyankwanzi,1.2,31.8
2023-02-18,34.6,20.3,0.0,28,40966.78,Kyankwanzi,1.2,31.8
2023-02-19,35.4,18.4,0.0,29,40964.27,Kyankwanzi,1.2,31.8
2023-02-20,35.9,18.2,0.0,29,40143.76,Kyankwanzi,1.2,31.8
2023-02-21,35.6,20.4,0.0,40,22556.58,Kyankwanzi,1.2,31.8
2023-02-22,34.9,21.4,0.0,46,30996.93,Kyankwanzi,1.2,31.8
2023-02-23,35.3,21.1,0.0,41,39429.46,Kyankwanzi,1.2,31.8
2023-02-24,34.6,20.3,0.4,51,37462.2,Kyankwanzi,1.2,31.8
2023-02-25,33.8,20.0,0.0,50,35975.7,Kyankwanzi,1.2,31.8
2023-02-26,33.6,18.7,0.1,51,34401.87,Kyankwanzi,1.2,31.8
2023-02-27,32.4,20.0,0.4,66,20198.56,Kyankwanzi,1.2,31.8
2023-02-28,31.1,17.9,0.2,69,37404.29,Kyankwanzi,1.2,31.8
2023-03-01,30.4,17.9,0.2,76,36473.45,Kyankwanzi,1.2,31.8
2023-03-02,29.5,18.4,1.3,71,36080.92,Kyankwanzi,1.2,31.8
2023-03-03,30.1,17.7,0.2,67,39028.62,Kyankwanzi,1.2,31.8
2023-03-04,32.0,18.0,0.0,60,41113.41,Kyankwanzi,1.2,31.8
2023-03-05,34.0,19.0,0.0,58,40756.95,Kyankwanzi,1.2,31.8
2023-03-06,36.5,18.1,0.0,51,40025.75,Kyankwanzi,1.2,31.8
2023-03-07,37.4,17.9,0.0,47,35689.28,Kyankwanzi,1.2,31.8
2023-03-08,35.8,18.6,0.0,43,40462.39,Kyankwanzi,1.2,31.8
2023-03-09,33.9,20.4,9.8,58,34540.04,Kyankwanzi,1.2,31.8
2023-03-10,32.1,19.8,0.4,61,26622.2,Kyankwanzi,1.2,31.8
2023-03-11,31.7,19.2,0.0,66,32500.33,Kyankwanzi,1.2,31.8
2023-03-12,27.6,18.7,19.0,79,21876.09,Kyankwanzi,1.2,31.8
2023-03-13,29.5,19.0,0.7,73,34865.31,Kyankwanzi,1.2,31.8
2023-03-14,25.8,18.7,17.9,85,22857.11,Kyankwanzi,1.2,31.8
2023-03-15,27.6,17.5,4.1,82,17633.22,Kyankwanzi,1.2,31.8
2023-03-16,28.4,18.8,3.0,73,31468.65,Kyankwanzi,1.2,31.8
2023-03-17,29.7,16.6,2.0,71,38340.56,Kyankwanzi,1.2,31.8
2023-03-18,28.5,18.0,6.8,73,34808.83,Kyankwanzi,1.2,31.8
2023-03-19,29.9,17.1,0.1,73,35429.18,Kyankwanzi,1.2,31.8
2023-03-20,27.8,17.5,18.9,85,25008.84,Kyankwanzi,1.2,31.8
2023-03-21,28.2,17.0,0.4,72,31061.47,Kyankwanzi,1.2,31.8
2023-03-22,30.3,17.1,0.0,63,39925.02,Kyankwanzi,1.2,31.8
2023-03-23,26.0,18.7,14.4,82,11033.28,Kyankwanzi,1.2,31.8
2023-03-24,28.3,17.9,0.8,71,24756.01,Kyankwanzi,1.2,31.8
2023-03-25,30.4,17.5,5.5,73,31352.63,Kyankwanzi,1.2,31.8
2023-03-26,28.4,18.5,34.9,86,21190.8,Kyankwanzi,1.2,31.8
2023-03-27,28.2,17.7,0.7,75,38602.21,Kyankwanzi,1.2,31.8
2023-03-28,27.1,17.8,3.4,77,25902.23,Kyankwanzi,1.2,31.8
2023-03-29,27.8,17.1,0.2,75,36210.72,Kyankwanzi,1.2,31.8
2023-03-30,29.7,17.3,1.0,76,37747.94,Kyankwanzi,1.2,31.8
2023-03-31,28.6,18.1,22.5,84,31598.4,Kyankwanzi,1.2,31.8
2023-04-01,26.3,16.8,1.8,81,34201.3,Kyankwanzi,1.2,31.8
2023-04-02,28.6,16.6,0.3,77,39779.64,Kyankwanzi,1.2,31.8
2023-04-03,28.7,17.9,4.6,85,22652.23,Kyankwanzi,1.2,31.8
2023-04-04,28.4,17.1,3.2,81,33693.98,Kyankwanzi,1.2,31.8
2023-04-05,29.2,18.3,8.7,73,32635.04,Kyankwanzi,1.2,31.8
2023-04-06,29.3,17.6,4.3,74,38751.45,Kyankwanzi,1.2,31.8
2023-04-07,30.4,16.7,0.2,70,41248.78,Kyankwanzi,1.2,31.8
2023-04-08,30.6,17.4,0.1,66,41251.2,Kyankwanzi,1.2,31.8
2023-04-09,28.9,18.5,0.9,75,41253.38,Kyankwanzi,1.2,31.8
2023-04-10,30.5,17.0,0.5,70,40941.64,Kyankwanzi,1.2,31.8
2023-04-11,31.5,16.7,0.0,65,40816.41,Kyankwanzi,1.2,31.8
2023-04-12,31.0,19.1,0.1,67,39072.86,Kyankwanzi,1.2,31.8
2023-04-13,30.1,18.1,1.0,73,37839.54,Kyankwanzi,1.2,31.8
2023-04-14,29.2,18.1,9.6,82,26474.9,Kyankwanzi,1.2,31.8
2023-04-15,29.2,17.5,9.5,84,33177.01,Kyankwanzi,1.2,31.8
2023-04-16,30.1,17.9,0.5,73,41266.84,Kyankwanzi,1.2,31.8
2023-04-17,27.9,19.0,19.7,82,29275.73,Kyankwanzi,1.2,31.8
2023-04-18,28.4,17.8,1.8,79,33692.91,Kyankwanzi,1.2,31.8
2023-04-19,30.1,18.7,1.0,73,41271.59,Kyankwanzi,1.2,31.8
2023-04-20,30.3,19.7,0.9,72,34208.2,Kyankwanzi,1.2,31.8
2023-04-21,29.3,18.4,0.7,75,37226.91,Kyankwanzi,1.2,31.8
2023-04-22,29.4,18.8,2.2,75,31376.47,Kyankwanzi,1.2,31.8
2023-04-23,25.2,18.9,18.7,85,3600.0,Kyankwanzi,1.2,31.8
2023-04-24,29.3,17.8,2.7,85,17048.13,Kyankwanzi,1.2,31.8
2023-04-25,25.9,18.2,19.0,91,10800.0,Kyankwanzi,1.2,31.8
2023-04-26,27.5,17.8,0.8,79,33206.11,Kyankwanzi,1.2,31.8
2023-04-27,26.6,17.4,1.6,83,23219.03,Kyankwanzi,1.2,31.8
2023-04-28,28.2,17.6,20.9,80,39225.79,Kyankwanzi,1.2,31.8
2023-04-29,26.7,17.5,12.3,82,29135.96,Kyankwanzi,1.2,31.8
2023-04-30,22.7,18.2,15.8,91,9390.17,Kyankwanzi,1.2,31.8
2023-05-01,24.2,18.2,5.1,86,17746.86,Kyankwanzi,1.2,31.8
2023-05-02,27.5,15.7,0.3,80,34491.88,Kyankwanzi,1.2,31.8
2023-05-03,26.6,17.0,11.8,86,28379.87,Kyankwanzi,1.2,31.8
2023-05-04,25.9,18.4,1.3,87,27466.14,Kyankwanzi,1.2,31.8
2023-05-05,27.8,16.7,1.5,85,36591.89,Kyankwanzi,1.2,31.8
2023-05-06,28.4,16.9,0.0,80,37409.37,Kyankwanzi,1.2,31.8
2023-05-07,29.1,17.9,0.2,77,40400.9,Kyankwanzi,1.2,31.8
2023-05-08,29.5,17.3,3.9,76,41112.25,Kyankwanzi,1.2,31.8
2023-05-09,27.9,18.7,13.1,85,24996.88,Kyankwanzi,1.2,31.8
2023-05-10,28.2,18.4,1.2,81,25117.35,Kyankwanzi,1.2,31.8
2023-05-11,28.0,17.3,0.1,80,35051.36,Kyankwanzi,1.2,31.8
2023-05-12,30.8,17.7,0.0,71,41288.09,Kyankwanzi,1.2,31.8
2023-05-13,30.7,18.3,0.5,71,39953.25,Kyankwanzi,1.2,31.8
2023-05-14,31.0,17.5,0.0,70,41015.61,Kyankwanzi,1.2,31.8
2023-05-15,32.4,18.5,0.0,66,41288.22,Kyankwanzi,1.2,31.8
2023-05-16,32.6,18.3,0.3,68,40546.8,Kyankwanzi,1.2,31.8
2023-05-17,31.2,20.0,1.1,68,36629.61,Kyankwanzi,1.2,31.8
2023-05-18,30.5,18.8,2.8,83,31529.31,Kyankwanzi,1.2,31.8
2023-05-19,30.4,19.4,1.1,72,41288.16,Kyankwanzi,1.2,31.8
2023-05-20,32.0,17.6,1.4,70,37429.6,Kyankwanzi,1.2,31.8
2023-05-21,32.1,18.1,0.3,68,35814.82,Kyankwanzi,1.2,31.8
2023-05-22,32.9,18.5,0.1,61,41287.93,Kyankwanzi,1.2,31.8
2023-05-23,30.6,19.0,0.4,66,41132.73,Kyankwanzi,1.2,31.8
2023-05-24,32.1,18.1,0.4,73,32975.04,Kyankwanzi,1.2,31.8
2023-05-25,32.3,18.4,6.8,74,32064.95,Kyankwanzi,1.2,31.8
2023-05-26,31.5,18.6,2.2,74,41003.25,Kyankwanzi,1.2,31.8
2023-05-27,31.6,18.0,1.8,74,36899.61,Kyankwanzi,1.2,31.8
2023-05-28,31.4,18.8,2.4,68,35888.18,Kyankwanzi,1.2,31.8
2023-05-29,30.8,18.3,1.0,66,33429.02,Kyankwanzi,1.2,31.8
2023-05-30,29.6,18.9,2.4,73,35042.64,Kyankwanzi,1.2,31.8
2023-05-31,28.8,17.6,1.9,72,36725.83,Kyankwanzi,1.2,31.8
2023-06-01,31.5,16.9,1.0,74,40971.93,Kyankwanzi,1.2,31.8
2023-06-02,31.1,16.7,0.2,68,39489.51,Kyankwanzi,1.2,31.8
2023-06-03,30.6,18.0,3.9,74,32332.66,Kyankwanzi,1.2,31.8
2023-06-04,28.5,18.6,3.7,76,32028.38,Kyankwanzi,1.2,31.8
2023-06-05,29.3,16.6,1.2,71,40699.05,Kyankwanzi,1.2,31.8
2023-06-06,29.3,18.1,0.8,63,41283.66,Kyankwanzi,1.2,31.8
2023-06-07,30.6,16.9,0.5,67,36542.83,Kyankwanzi,1.2,31.8
2023-06-08,31.1,16.8,0.0,61,36383.46,Kyankwanzi,1.2,31.8
2023-06-09,31.6,17.5,0.3,61,38068.62,Kyankwanzi,1.2,31.8
2023-06-10,30.9,18.3,0.1,69,33980.2,Kyankwanzi,1.2,31.8
2023-06-11,30.9,17.3,0.3,67,38691.02,Kyankwanzi,1.2,31.8
2023-06-12,31.2,18.1,0.1,64,39755.97,Kyankwanzi,1.2,31.8
2023-06-13,31.9,18.1,20.9,74,25831.32,Kyankwanzi,1.2,31.8
2023-06-14,26.1,19.4,8.7,83,21637.11,Kyankwanzi,1.2,31.8
2023-06-15,28.7,18.1,0.2,73,40094.03,Kyankwanzi,1.2,31.8
2023-06-16,29.4,17.4,0.7,76,37836.33,Kyankwanzi,1.2,31.8
2023-06-17,30.0,17.5,4.0,82,32818.72,Kyankwanzi,1.2,31.8
2023-06-18,29.6,18.2,5.6,82,32527.56,Kyankwanzi,1.2,31.8
2023-06-19,29.2,18.2,7.9,82,31098.41,Kyankwanzi,1.2,31.8
2023-06-20,28.9,18.1,4.4,81,32649.49,Kyankwanzi,1.2,31.8
2023-06-21,28.0,17.8,12.1,86,36521.14,Kyankwanzi,1.2,31.8
2023-06-22,24.6,18.0,2.5,86,12998.43,Kyankwanzi,1.2,31.8
2023-06-23,23.6,17.4,4.9,90,14362.54,Kyankwanzi,1.2,31.8
2023-06-24,23.4,17.3,3.0,90,26766.07,Kyankwanzi,1.2,31.8
2023-06-25,27.1,16.0,0.0,81,26240.15,Kyankwanzi,1.2,31.8
2023-06-26,27.4,16.2,9.3,82,36558.04,Kyankwanzi,1.2,31.8
2023-06-27,27.5,16.7,0.7,80,40719.79,Kyankwanzi,1.2,31.8
2023-06-28,28.6,18.3,0.1,76,38396.78,Kyankwanzi,1.2,31.8
