time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,26.4,16.7,1.4,70,40931.48,Kyegegwa,0.5,31.0417
2019-01-02,28.0,15.6,0.4,65,40933.34,Kyegegwa,0.5,31.0417
2019-01-03,29.0,16.9,0.1,61,40935.33,Kyegegwa,0.5,31.0417
2019-01-04,28.3,17.7,2.5,61,40795.55,Kyegegwa,0.5,31.0417
2019-01-05,27.3,17.2,0.4,72,40882.72,Kyegegwa,0.5,31.0417
2019-01-06,29.0,18.1,0.4,59,36581.09,Kyegegwa,0.5,31.0417
2019-01-07,29.1,16.9,0.1,56,40944.54,Kyegegwa,0.5,31.0417
2019-01-08,29.1,16.5,0.6,58,39747.91,Kyegegwa,0.5,31.0417
2019-01-09,30.1,16.5,0.0,51,38336.86,Kyegegwa,0.5,31.0417
2019-01-10,30.5,16.7,0.0,48,39893.69,Kyegegwa,0.5,31.0417
2019-01-11,31.1,17.6,0.0,46,35404.05,Kyegegwa,0.5,31.0417
2019-01-12,32.0,17.4,0.0,42,40958.3,Kyegegwa,0.5,31.0417
2019-01-13,31.5,16.0,0.0,51,38782.26,Kyegegwa,0.5,31.0417
2019-01-14,31.8,16.0,0.0,41,37650.26,Kyegegwa,0.5,31.0417
2019-01-15,28.6,17.4,0.5,55,37177.05,Kyegegwa,0.5,31.0417
2019-01-16,26.4,17.6,6.3,75,26284.17,Kyegegwa,0.5,31.0417
2019-01-17,27.8,17.3,1.1,73,34766.61,Kyegegwa,0.5,31.0417
2019-01-18,26.8,17.1,0.5,72,39644.63,Kyegegwa,0.5,31.0417
2019-01-19,27.5,16.8,0.0,64,38955.29,Kyegegwa,0.5,31.0417
2019-01-20,27.1,16.0,0.2,64,40147.57,Kyegegwa,0.5,31.0417
2019-01-21,27.8,18.6,0.0,61,37542.27,Kyegegwa,0.5,31.0417
2019-01-22,29.7,15.7,0.0,62,40638.94,Kyegegwa,0.5,31.0417
2019-01-23,29.3,16.6,0.0,65,39839.7,Kyegegwa,0.5,31.0417
2019-01-24,27.0,16.8,0.3,78,33272.95,Kyegegwa,0.5,31.0417
2019-01-25,28.5,17.0,0.6,76,39545.03,Kyegegwa,0.5,31.0417
2019-01-26,28.6,17.6,0.3,68,40135.46,Kyegegwa,0.5,31.0417
2019-01-27,30.2,16.0,0.0,57,39912.16,Kyegegwa,0.5,31.0417
2019-01-28,31.0,16.2,0.0,51,40865.12,Kyegegwa,0.5,31.0417
2019-01-29,31.3,17.1,0.1,54,40639.75,Kyegegwa,0.5,31.0417
2019-01-30,31.2,16.5,0.0,54,39194.95,Kyegegwa,0.5,31.0417
2019-01-31,32.2,17.0,0.0,44,40890.36,Kyegegwa,0.5,31.0417
2019-02-01,31.8,16.5,0.0,47,40897.65,Kyegegwa,0.5,31.0417
2019-02-02,31.0,17.5,0.0,44,27205.58,Kyegegwa,0.5,31.0417
2019-02-03,32.7,17.6,0.0,42,39183.73,Kyegegwa,0.5,31.0417
2019-02-04,33.1,17.5,0.0,45,36207.96,Kyegegwa,0.5,31.0417
2019-02-05,33.3,19.3,0.0,46,39384.81,Kyegegwa,0.5,31.0417
2019-02-06,30.9,19.0,0.0,58,39126.95,Kyegegwa,0.5,31.0417
2019-02-07,29.4,19.3,1.0,60,40124.43,Kyegegwa,0.5,31.0417
2019-02-08,32.1,17.5,0.0,56,40128.32,Kyegegwa,0.5,31.0417
2019-02-09,33.7,19.7,0.0,48,34645.88,Kyegegwa,0.5,31.0417
2019-02-10,33.4,19.1,0.0,47,40247.98,Kyegegwa,0.5,31.0417
2019-02-11,33.9,19.1,0.0,47,37880.38,Kyegegwa,0.5,31.0417
2019-02-12,30.4,17.5,2.1,64,35947.1,Kyegegwa,0.5,31.0417
2019-02-13,33.4,17.4,0.0,48,40707.53,Kyegegwa,0.5,31.0417
2019-02-14,31.8,19.6,0.0,33,40018.26,Kyegegwa,0.5,31.0417
2019-02-15,30.0,19.3,0.5,49,39786.57,Kyegegwa,0.5,31.0417
2019-02-16,31.4,18.3,0.4,49,37268.71,Kyegegwa,0.5,31.0417
2019-02-17,30.6,19.1,0.1,54,38956.55,Kyegegwa,0.5,31.0417
2019-02-18,31.0,18.8,0.0,52,40465.86,Kyegegwa,0.5,31.0417
2019-02-19,33.2,17.2,0.0,40,39520.86,Kyegegwa,0.5,31.0417
2019-02-20,30.0,18.9,1.2,48,33685.18,Kyegegwa,0.5,31.0417
2019-02-21,26.4,19.9,2.3,66,23442.13,Kyegegwa,0.5,31.0417
2019-02-22,27.1,16.8,5.1,79,35570.96,Kyegegwa,0.5,31.0417
2019-02-23,24.3,15.9,1.3,78,17519.1,Kyegegwa,0.5,31.0417
2019-02-24,25.4,17.1,3.1,70,35659.63,Kyegegwa,0.5,31.0417
2019-02-25,29.0,15.8,0.0,65,39958.92,Kyegegwa,0.5,31.0417
2019-02-26,30.8,16.1,0.0,58,41118.42,Kyegegwa,0.5,31.0417
2019-02-27,31.4,16.5,0.0,49,40995.02,Kyegegwa,0.5,31.0417
2019-02-28,29.1,18.1,0.2,57,40166.68,Kyegegwa,0.5,31.0417
2019-03-01,30.7,16.9,0.0,62,40509.83,Kyegegwa,0.5,31.0417
2019-03-02,29.6,17.8,0.1,71,32602.38,Kyegegwa,0.5,31.0417
2019-03-03,29.3,16.3,0.0,60,40844.64,Kyegegwa,0.5,31.0417
2019-03-04,29.1,17.7,0.1,65,39622.5,Kyegegwa,0.5,31.0417
2019-03-05,27.5,17.0,0.8,75,39277.34,Kyegegwa,0.5,31.0417
2019-03-06,27.1,17.4,0.2,71,39380.63,Kyegegwa,0.5,31.0417
2019-03-07,27.8,17.1,2.2,72,39603.77,Kyegegwa,0.5,31.0417
2019-03-08,29.2,17.4,0.0,56,40548.84,Kyegegwa,0.5,31.0417
2019-03-09,30.9,16.9,0.0,47,41166.39,Kyegegwa,0.5,31.0417
2019-03-10,28.9,18.2,2.0,62,36781.05,Kyegegwa,0.5,31.0417
2019-03-11,31.3,17.1,0.0,56,40507.63,Kyegegwa,0.5,31.0417
2019-03-12,31.6,16.5,0.1,46,41174.16,Kyegegwa,0.5,31.0417
2019-03-13,30.2,19.0,0.0,50,40967.72,Kyegegwa,0.5,31.0417
2019-03-14,29.4,17.4,0.1,52,39972.95,Kyegegwa,0.5,31.0417
2019-03-15,30.2,18.4,0.2,51,41181.28,Kyegegwa,0.5,31.0417
2019-03-16,32.7,18.2,0.3,47,40959.18,Kyegegwa,0.5,31.0417
2019-03-17,32.6,17.9,0.1,41,41185.65,Kyegegwa,0.5,31.0417
2019-03-18,32.6,18.2,0.0,51,40855.3,Kyegegwa,0.5,31.0417
2019-03-19,32.3,17.9,0.0,52,41189.72,Kyegegwa,0.5,31.0417
2019-03-20,31.5,17.8,0.0,49,41191.49,Kyegegwa,0.5,31.0417
2019-03-21,33.2,17.6,0.0,45,39692.86,Kyegegwa,0.5,31.0417
2019-03-22,30.9,18.9,0.1,48,41194.46,Kyegegwa,0.5,31.0417
2019-03-23,32.8,19.1,0.0,45,41195.85,Kyegegwa,0.5,31.0417
