time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,28.3,18.1,0.0,70,38320.36,Kyenjojo,0.6111,30.635
2017-01-02,28.6,16.2,0.0,65,37963.35,Kyenjojo,0.6111,30.635
2017-01-03,28.6,17.7,0.2,57,40922.75,Kyenjojo,0.6111,30.635
2017-01-04,29.7,16.2,0.0,48,40924.7,Kyenjojo,0.6111,30.635
2017-01-05,30.4,16.6,0.0,42,40926.75,Kyenjojo,0.6111,30.635
2017-01-06,30.7,16.3,0.0,39,40928.89,Kyenjojo,0.6111,30.635
2017-01-07,30.4,15.8,0.0,32,40931.12,Kyenjojo,0.6111,30.635
2017-01-08,30.2,16.1,0.0,32,40933.43,Kyenjojo,0.6111,30.635
2017-01-09,30.4,15.4,0.0,39,40936.01,Kyenjojo,0.6111,30.635
2017-01-10,30.4,15.6,0.0,34,40938.95,Kyenjojo,0.6111,30.635
2017-01-11,30.1,17.2,0.0,38,32873.62,Kyenjojo,0.6111,30.635
2017-01-12,30.1,18.6,0.0,27,40945.23,Kyenjojo,0.6111,30.635
2017-01-13,29.8,16.9,0.0,27,40948.55,Kyenjojo,0.6111,30.635
2017-01-14,29.8,18.1,0.0,34,40951.99,Kyenjojo,0.6111,30.635
2017-01-15,31.1,15.6,0.0,47,40955.52,Kyenjojo,0.6111,30.635
2017-01-16,32.0,15.9,0.0,44,40959.16,Kyenjojo,0.6111,30.635
2017-01-17,30.9,16.3,0.0,38,40962.88,Kyenjojo,0.6111,30.635
2017-01-18,31.1,16.7,0.0,34,36487.33,Kyenjojo,0.6111,30.635
2017-01-19,30.6,17.1,0.0,35,37437.48,Kyenjojo,0.6111,30.635
2017-01-20,30.7,16.7,0.0,40,40974.43,Kyenjojo,0.6111,30.635
2017-01-21,30.1,16.9,0.0,47,40978.4,Kyenjojo,0.6111,30.635
2017-01-22,31.2,17.4,0.0,55,40871.47,Kyenjojo,0.6111,30.635
2017-01-23,29.2,16.7,0.0,57,40096.53,Kyenjojo,0.6111,30.635
2017-01-24,30.0,16.9,0.0,45,40990.52,Kyenjojo,0.6111,30.635
2017-01-25,29.0,16.4,0.0,47,40994.6,Kyenjojo,0.6111,30.635
