time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,32.6,19.3,0.0,32,36494.17,Lamwo,3.5317,32.8039
2025-01-02,33.1,18.8,0.0,31,33266.52,Lamwo,3.5317,32.8039
2025-01-03,34.9,20.8,0.0,30,39807.94,Lamwo,3.5317,32.8039
2025-01-04,33.4,20.9,0.0,30,39222.1,Lamwo,3.5317,32.8039
2025-01-05,33.8,21.2,0.0,31,38969.38,Lamwo,3.5317,32.8039
2025-01-06,34.6,19.6,0.0,27,36196.39,Lamwo,3.5317,32.8039
2025-01-07,34.5,21.0,0.0,26,39382.53,Lamwo,3.5317,32.8039
2025-01-08,34.7,19.7,0.0,27,38445.87,Lamwo,3.5317,32.8039
2025-01-09,34.5,20.8,0.0,27,39811.36,Lamwo,3.5317,32.8039
2025-01-10,33.3,20.2,0.0,31,39557.57,Lamwo,3.5317,32.8039
2025-01-11,32.5,20.4,0.1,48,39254.26,Lamwo,3.5317,32.8039
2025-01-12,31.5,20.8,0.5,45,40378.07,Lamwo,3.5317,32.8039
2025-01-13,32.2,20.3,0.1,45,40106.14,Lamwo,3.5317,32.8039
2025-01-14,34.2,19.1,0.0,40,40394.98,Lamwo,3.5317,32.8039
2025-01-15,33.8,21.3,0.0,28,40403.87,Lamwo,3.5317,32.8039
2025-01-16,33.4,20.2,0.0,28,39819.3,Lamwo,3.5317,32.8039
2025-01-17,34.2,21.1,0.0,26,39311.11,Lamwo,3.5317,32.8039
2025-01-18,34.6,23.0,0.0,24,38957.95,Lamwo,3.5317,32.8039
2025-01-19,35.0,20.5,0.0,26,32949.4,Lamwo,3.5317,32.8039
2025-01-20,33.7,20.6,0.0,29,38512.09,Lamwo,3.5317,32.8039
2025-01-21,34.4,19.3,0.0,33,39374.8,Lamwo,3.5317,32.8039
2025-01-22,33.6,20.3,0.0,32,40472.46,Lamwo,3.5317,32.8039
2025-01-23,33.1,19.6,0.0,41,40236.55,Lamwo,3.5317,32.8039
2025-01-24,33.0,20.5,0.0,32,40493.63,Lamwo,3.5317,32.8039
2025-01-25,33.4,21.7,0.0,29,37767.05,Lamwo,3.5317,32.8039
2025-01-26,34.3,19.8,0.0,27,39721.46,Lamwo,3.5317,32.8039
2025-01-27,34.6,19.0,0.0,23,39822.05,Lamwo,3.5317,32.8039
2025-01-28,35.4,20.3,0.0,21,40537.6,Lamwo,3.5317,32.8039
2025-01-29,34.4,19.9,0.0,24,40549.17,Lamwo,3.5317,32.8039
2025-01-30,34.8,19.5,0.0,23,34183.85,Lamwo,3.5317,32.8039
2025-01-31,31.5,21.6,0.0,25,23722.9,Lamwo,3.5317,32.8039
2025-02-01,32.1,19.6,0.0,33,40585.2,Lamwo,3.5317,32.8039
2025-02-02,34.2,20.1,0.0,33,40597.59,Lamwo,3.5317,32.8039
2025-02-03,35.4,20.3,0.0,32,40314.26,Lamwo,3.5317,32.8039
2025-02-04,35.3,20.8,0.0,26,38287.75,Lamwo,3.5317,32.8039
2025-02-05,35.8,20.9,0.0,25,40635.59,Lamwo,3.5317,32.8039
2025-02-06,36.6,21.3,0.0,21,40648.49,Lamwo,3.5317,32.8039
2025-02-07,34.8,21.2,0.0,27,36146.39,Lamwo,3.5317,32.8039
2025-02-08,34.3,20.9,0.0,31,40674.5,Lamwo,3.5317,32.8039
2025-02-09,35.6,21.1,0.0,35,40687.59,Lamwo,3.5317,32.8039
2025-02-10,35.6,22.7,0.0,32,37179.2,Lamwo,3.5317,32.8039
2025-02-11,36.2,24.4,0.0,29,39542.66,Lamwo,3.5317,32.8039
2025-02-12,37.0,24.3,0.0,30,37654.55,Lamwo,3.5317,32.8039
2025-02-13,36.7,23.2,0.0,30,40045.32,Lamwo,3.5317,32.8039
2025-02-14,36.2,22.6,0.0,25,36657.21,Lamwo,3.5317,32.8039
2025-02-15,34.8,20.6,0.0,34,40269.02,Lamwo,3.5317,32.8039
2025-02-16,35.3,22.7,0.0,32,39571.89,Lamwo,3.5317,32.8039
2025-02-17,35.8,24.1,0.0,27,40792.2,Lamwo,3.5317,32.8039
2025-02-18,35.8,21.8,0.0,26,40805.25,Lamwo,3.5317,32.8039
2025-02-19,35.6,21.1,0.0,21,40818.39,Lamwo,3.5317,32.8039
2025-02-20,36.2,21.2,0.0,21,38431.44,Lamwo,3.5317,32.8039
2025-02-21,36.6,21.4,0.0,19,40183.43,Lamwo,3.5317,32.8039
2025-02-22,37.2,22.9,0.0,21,40858.21,Lamwo,3.5317,32.8039
2025-02-23,36.5,21.6,0.0,24,38431.61,Lamwo,3.5317,32.8039
2025-02-24,36.8,22.9,0.0,21,36985.89,Lamwo,3.5317,32.8039
2025-02-25,36.4,22.9,0.0,22,40069.54,Lamwo,3.5317,32.8039
2025-02-26,36.4,23.5,0.0,22,40911.68,Lamwo,3.5317,32.8039
2025-02-27,36.2,22.6,0.0,20,40925.02,Lamwo,3.5317,32.8039
2025-02-28,36.0,22.9,0.0,21,40895.83,Lamwo,3.5317,32.8039
2025-03-01,35.8,22.9,0.0,25,39292.12,Lamwo,3.5317,32.8039
2025-03-02,35.6,25.4,0.0,27,40964.81,Lamwo,3.5317,32.8039
2025-03-03,37.1,23.7,0.0,28,40977.96,Lamwo,3.5317,32.8039
2025-03-04,37.1,22.0,0.0,27,40991.02,Lamwo,3.5317,32.8039
2025-03-05,38.4,22.6,0.0,24,38664.66,Lamwo,3.5317,32.8039
2025-03-06,37.1,22.9,0.0,23,37141.79,Lamwo,3.5317,32.8039
2025-03-07,35.7,22.7,0.0,29,41029.65,Lamwo,3.5317,32.8039
2025-03-08,33.5,23.2,0.2,43,37841.61,Lamwo,3.5317,32.8039
2025-03-09,30.8,21.4,0.7,49,37221.92,Lamwo,3.5317,32.8039
2025-03-10,31.4,20.6,0.0,57,24306.72,Lamwo,3.5317,32.8039
2025-03-11,32.9,20.9,0.7,52,27818.95,Lamwo,3.5317,32.8039
2025-03-12,30.0,22.3,8.8,56,30186.62,Lamwo,3.5317,32.8039
2025-03-13,30.9,20.0,7.4,64,30913.74,Lamwo,3.5317,32.8039
2025-03-14,32.5,20.9,0.0,49,41116.14,Lamwo,3.5317,32.8039
2025-03-15,34.3,20.9,0.0,39,41128.39,Lamwo,3.5317,32.8039
2025-03-16,33.0,19.5,0.0,48,40805.6,Lamwo,3.5317,32.8039
2025-03-17,31.7,20.8,0.9,60,38102.21,Lamwo,3.5317,32.8039
2025-03-18,33.2,19.5,0.1,52,41164.78,Lamwo,3.5317,32.8039
2025-03-19,30.1,19.6,6.2,65,40371.54,Lamwo,3.5317,32.8039
2025-03-20,29.4,19.6,1.4,72,35866.72,Lamwo,3.5317,32.8039
2025-03-21,29.7,19.0,4.6,72,37066.12,Lamwo,3.5317,32.8039
2025-03-22,32.5,20.4,0.0,54,41212.22,Lamwo,3.5317,32.8039
2025-03-23,29.1,22.4,10.9,56,39722.4,Lamwo,3.5317,32.8039
2025-03-24,30.8,19.4,2.6,67,39376.64,Lamwo,3.5317,32.8039
2025-03-25,31.2,19.8,1.0,61,38211.65,Lamwo,3.5317,32.8039
2025-03-26,31.8,21.1,0.6,54,41027.59,Lamwo,3.5317,32.8039
2025-03-27,32.3,20.7,7.3,58,37571.7,Lamwo,3.5317,32.8039
2025-03-28,28.6,19.7,20.3,80,32372.8,Lamwo,3.5317,32.8039
2025-03-29,29.4,19.3,1.1,76,40718.88,Lamwo,3.5317,32.8039
2025-03-30,30.6,20.1,1.5,66,40649.85,Lamwo,3.5317,32.8039
2025-03-31,29.4,20.1,7.6,71,37742.06,Lamwo,3.5317,32.8039
