time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,33.5,17.5,0.0,38,39816.0,Lira,2.2481,32.8998
2023-01-02,31.0,20.2,0.0,44,39106.36,Lira,2.2481,32.8998
2023-01-03,30.9,20.3,0.1,46,39537.36,Lira,2.2481,32.8998
2023-01-04,32.6,19.3,0.0,38,29377.93,Lira,2.2481,32.8998
2023-01-05,33.2,20.2,0.0,28,40599.46,Lira,2.2481,32.8998
2023-01-06,33.7,19.7,0.0,27,39931.2,Lira,2.2481,32.8998
2023-01-07,33.4,18.2,0.0,27,37902.44,Lira,2.2481,32.8998
2023-01-08,33.9,19.9,0.0,32,39641.01,Lira,2.2481,32.8998
2023-01-09,32.3,19.7,0.0,42,39382.5,Lira,2.2481,32.8998
2023-01-10,29.2,19.3,0.5,61,40085.97,Lira,2.2481,32.8998
2023-01-11,30.0,18.3,0.1,60,39972.89,Lira,2.2481,32.8998
2023-01-12,30.9,19.2,0.2,46,40292.74,Lira,2.2481,32.8998
2023-01-13,31.1,18.2,0.0,48,38792.21,Lira,2.2481,32.8998
2023-01-14,31.7,17.9,0.0,51,40645.51,Lira,2.2481,32.8998
2023-01-15,34.5,19.8,0.0,41,37336.71,Lira,2.2481,32.8998
2023-01-16,30.9,20.4,0.0,45,36747.69,Lira,2.2481,32.8998
2023-01-17,33.8,19.3,0.0,33,38429.35,Lira,2.2481,32.8998
2023-01-18,33.1,19.0,0.0,30,40670.31,Lira,2.2481,32.8998
2023-01-19,33.8,17.6,0.0,47,40677.16,Lira,2.2481,32.8998
2023-01-20,32.7,18.2,0.0,45,35549.63,Lira,2.2481,32.8998
2023-01-21,34.0,19.4,0.0,28,35149.23,Lira,2.2481,32.8998
2023-01-22,33.0,20.9,0.0,30,38360.36,Lira,2.2481,32.8998
2023-01-23,32.1,18.8,0.0,54,38973.52,Lira,2.2481,32.8998
2023-01-24,31.3,19.6,0.0,54,40714.54,Lira,2.2481,32.8998
2023-01-25,33.1,19.3,0.0,42,40722.54,Lira,2.2481,32.8998
2023-01-26,32.5,18.6,0.0,44,32289.08,Lira,2.2481,32.8998
2023-01-27,34.0,19.5,0.1,41,37413.2,Lira,2.2481,32.8998
2023-01-28,34.4,18.5,0.0,29,40747.26,Lira,2.2481,32.8998
2023-01-29,35.1,20.4,0.0,27,37391.54,Lira,2.2481,32.8998
2023-01-30,34.5,18.4,0.0,35,38669.7,Lira,2.2481,32.8998
2023-01-31,34.0,19.7,0.0,42,40772.84,Lira,2.2481,32.8998
2023-02-01,32.3,20.2,0.2,39,40446.96,Lira,2.2481,32.8998
2023-02-02,32.9,19.0,0.0,40,40790.18,Lira,2.2481,32.8998
2023-02-03,30.7,19.1,0.1,42,40798.9,Lira,2.2481,32.8998
2023-02-04,33.2,19.9,0.0,33,40807.64,Lira,2.2481,32.8998
2023-02-05,33.9,19.7,0.0,33,33258.54,Lira,2.2481,32.8998
2023-02-06,33.2,19.0,0.0,42,39533.05,Lira,2.2481,32.8998
2023-02-07,32.3,19.6,0.0,48,40833.84,Lira,2.2481,32.8998
2023-02-08,31.3,19.7,0.0,57,40842.61,Lira,2.2481,32.8998
