time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,27.9,15.9,0.0,71,40888.39,Luuka,0.7652,33.3024
2023-01-02,27.5,16.8,0.1,66,40617.35,Luuka,0.7652,33.3024
2023-01-03,28.4,16.6,0.2,70,39659.46,Luuka,0.7652,33.3024
2023-01-04,27.9,17.3,0.1,66,39395.22,Luuka,0.7652,33.3024
2023-01-05,29.5,16.3,0.0,60,40897.41,Luuka,0.7652,33.3024
2023-01-06,29.1,15.3,0.0,63,40900.0,Luuka,0.7652,33.3024
2023-01-07,30.3,16.9,0.0,54,40902.7,Luuka,0.7652,33.3024
2023-01-08,28.6,17.5,0.0,68,40905.53,Luuka,0.7652,33.3024
2023-01-09,28.5,17.6,0.3,72,40713.28,Luuka,0.7652,33.3024
2023-01-10,26.3,18.6,5.8,79,34481.47,Luuka,0.7652,33.3024
2023-01-11,27.6,16.7,0.5,75,40914.61,Luuka,0.7652,33.3024
2023-01-12,27.2,17.1,1.0,77,40133.29,Luuka,0.7652,33.3024
2023-01-13,26.9,17.5,3.9,74,40921.11,Luuka,0.7652,33.3024
2023-01-14,27.9,17.2,1.1,74,40924.46,Luuka,0.7652,33.3024
2023-01-15,28.7,16.2,0.1,75,40927.89,Luuka,0.7652,33.3024
2023-01-16,28.2,17.6,1.6,72,40931.38,Luuka,0.7652,33.3024
2023-01-17,29.0,17.1,0.0,64,40934.93,Luuka,0.7652,33.3024
2023-01-18,29.6,16.3,0.0,68,40938.64,Luuka,0.7652,33.3024
2023-01-19,30.3,16.8,0.0,71,40942.62,Luuka,0.7652,33.3024
2023-01-20,29.6,17.4,0.0,68,39200.05,Luuka,0.7652,33.3024
2023-01-21,32.2,16.1,0.0,61,40950.94,Luuka,0.7652,33.3024
2023-01-22,27.8,18.1,1.2,73,40364.48,Luuka,0.7652,33.3024
2023-01-23,29.7,17.2,2.3,74,39832.1,Luuka,0.7652,33.3024
2023-01-24,28.4,17.8,3.4,75,40964.15,Luuka,0.7652,33.3024
2023-01-25,29.8,16.3,0.0,68,40968.71,Luuka,0.7652,33.3024
2023-01-26,29.5,16.5,0.1,69,40834.55,Luuka,0.7652,33.3024
2023-01-27,31.3,17.8,0.0,65,40945.07,Luuka,0.7652,33.3024
2023-01-28,31.2,16.8,0.0,61,40982.71,Luuka,0.7652,33.3024
2023-01-29,31.7,16.0,0.0,58,40987.45,Luuka,0.7652,33.3024
2023-01-30,30.6,18.1,0.4,56,40992.22,Luuka,0.7652,33.3024
