time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,26.3,17.7,3.9,79,24960.74,Luwero,0.8333,32.5
2022-01-02,29.2,16.9,0.2,72,40576.31,Luwero,0.8333,32.5
2022-01-03,30.7,17.2,0.1,69,37848.11,Luwero,0.8333,32.5
2022-01-04,30.8,17.9,0.0,57,36989.2,Luwero,0.8333,32.5
2022-01-05,31.4,16.0,0.0,49,40882.99,Luwero,0.8333,32.5
2022-01-06,32.0,15.4,0.0,57,40885.72,Luwero,0.8333,32.5
2022-01-07,31.5,17.4,0.1,60,40472.38,Luwero,0.8333,32.5
2022-01-08,33.4,17.3,0.0,58,33396.92,Luwero,0.8333,32.5
2022-01-09,33.3,16.9,0.0,57,40684.7,Luwero,0.8333,32.5
2022-01-10,33.2,17.0,0.0,54,40661.29,Luwero,0.8333,32.5
2022-01-11,33.0,17.2,0.0,58,37542.88,Luwero,0.8333,32.5
2022-01-12,33.0,16.6,0.0,52,40905.03,Luwero,0.8333,32.5
2022-01-13,34.1,18.1,0.0,39,39560.91,Luwero,0.8333,32.5
2022-01-14,31.4,18.2,0.0,53,39544.96,Luwero,0.8333,32.5
2022-01-15,31.3,18.1,2.1,66,29392.89,Luwero,0.8333,32.5
2022-01-16,30.2,18.3,14.2,72,33889.04,Luwero,0.8333,32.5
2022-01-17,21.1,17.3,11.1,94,1237.77,Luwero,0.8333,32.5
2022-01-18,26.3,15.6,1.1,82,22084.57,Luwero,0.8333,32.5
2022-01-19,27.4,16.5,0.2,76,26458.25,Luwero,0.8333,32.5
2022-01-20,29.0,15.1,0.2,68,40936.15,Luwero,0.8333,32.5
2022-01-21,29.7,16.2,0.0,53,40867.24,Luwero,0.8333,32.5
2022-01-22,31.3,15.8,0.0,53,27029.26,Luwero,0.8333,32.5
2022-01-23,30.7,15.6,0.0,66,31324.89,Luwero,0.8333,32.5
2022-01-24,31.2,17.8,0.0,60,35719.24,Luwero,0.8333,32.5
2022-01-25,31.9,16.0,0.0,50,40706.8,Luwero,0.8333,32.5
2022-01-26,32.3,16.4,0.0,54,40962.54,Luwero,0.8333,32.5
2022-01-27,31.9,16.8,0.0,46,40924.4,Luwero,0.8333,32.5
2022-01-28,30.9,17.0,0.0,42,36193.78,Luwero,0.8333,32.5
2022-01-29,32.0,16.6,0.0,47,40977.07,Luwero,0.8333,32.5
2022-01-30,31.2,17.2,0.1,62,29214.44,Luwero,0.8333,32.5
2022-01-31,27.2,19.6,0.2,65,4119.75,Luwero,0.8333,32.5
2022-02-01,29.5,18.7,0.2,61,26449.31,Luwero,0.8333,32.5
2022-02-02,29.4,20.2,0.3,67,27536.7,Luwero,0.8333,32.5
2022-02-03,31.4,17.7,0.0,63,36212.26,Luwero,0.8333,32.5
2022-02-04,32.2,19.1,0.6,56,38240.82,Luwero,0.8333,32.5
2022-02-05,28.9,18.5,4.6,79,21839.42,Luwero,0.8333,32.5
2022-02-06,30.9,17.2,0.0,66,38742.95,Luwero,0.8333,32.5
2022-02-07,29.7,16.1,0.0,49,26687.52,Luwero,0.8333,32.5
2022-02-08,31.0,16.6,0.0,61,36890.18,Luwero,0.8333,32.5
2022-02-09,29.8,19.1,0.0,61,31973.9,Luwero,0.8333,32.5
2022-02-10,31.6,18.9,2.1,68,31458.21,Luwero,0.8333,32.5
2022-02-11,30.9,19.5,1.9,70,33437.2,Luwero,0.8333,32.5
2022-02-12,32.1,18.2,0.2,67,36286.18,Luwero,0.8333,32.5
2022-02-13,32.1,18.9,0.1,65,39002.11,Luwero,0.8333,32.5
2022-02-14,33.0,17.6,0.0,66,41056.78,Luwero,0.8333,32.5
2022-02-15,29.8,18.2,1.0,73,36381.5,Luwero,0.8333,32.5
2022-02-16,33.1,16.9,0.0,62,41066.38,Luwero,0.8333,32.5
2022-02-17,31.2,19.1,0.5,69,38769.27,Luwero,0.8333,32.5
2022-02-18,31.9,17.3,0.3,75,31725.62,Luwero,0.8333,32.5
2022-02-19,31.9,18.7,0.1,75,30265.25,Luwero,0.8333,32.5
2022-02-20,31.0,19.7,2.4,67,35158.82,Luwero,0.8333,32.5
2022-02-21,31.0,17.5,0.0,64,26805.2,Luwero,0.8333,32.5
2022-02-22,32.6,17.6,0.0,64,40838.19,Luwero,0.8333,32.5
2022-02-23,32.2,16.6,0.0,60,37499.52,Luwero,0.8333,32.5
2022-02-24,29.1,19.5,8.2,79,29452.36,Luwero,0.8333,32.5
2022-02-25,30.1,18.0,5.0,84,23843.37,Luwero,0.8333,32.5
2022-02-26,30.7,17.2,0.1,76,35298.57,Luwero,0.8333,32.5
2022-02-27,30.9,18.3,0.1,69,41117.55,Luwero,0.8333,32.5
2022-02-28,31.0,19.0,0.6,71,41121.9,Luwero,0.8333,32.5
2022-03-01,30.5,17.3,0.5,68,40144.11,Luwero,0.8333,32.5
2022-03-02,30.1,17.1,0.3,68,41130.38,Luwero,0.8333,32.5
2022-03-03,30.3,18.0,0.8,65,41134.52,Luwero,0.8333,32.5
2022-03-04,32.6,17.2,0.0,63,41138.44,Luwero,0.8333,32.5
2022-03-05,34.2,16.9,0.0,59,37542.14,Luwero,0.8333,32.5
2022-03-06,33.1,17.6,0.8,66,41145.8,Luwero,0.8333,32.5
2022-03-07,31.8,18.2,0.3,69,41149.44,Luwero,0.8333,32.5
2022-03-08,29.0,18.7,1.2,72,41153.02,Luwero,0.8333,32.5
2022-03-09,31.5,17.8,0.2,76,40115.84,Luwero,0.8333,32.5
2022-03-10,31.6,18.2,0.4,72,40424.89,Luwero,0.8333,32.5
2022-03-11,33.3,18.2,0.2,69,40806.07,Luwero,0.8333,32.5
2022-03-12,33.8,16.8,0.1,64,41166.83,Luwero,0.8333,32.5
2022-03-13,32.8,18.6,0.0,59,41170.13,Luwero,0.8333,32.5
2022-03-14,30.8,19.0,2.3,73,38791.71,Luwero,0.8333,32.5
2022-03-15,31.5,17.6,0.0,65,41176.54,Luwero,0.8333,32.5
2022-03-16,32.6,19.2,0.0,60,39908.16,Luwero,0.8333,32.5
2022-03-17,31.6,20.3,0.0,47,22007.06,Luwero,0.8333,32.5
2022-03-18,30.9,19.7,1.3,68,40300.02,Luwero,0.8333,32.5
2022-03-19,30.2,19.1,0.2,68,41188.48,Luwero,0.8333,32.5
2022-03-20,31.0,18.1,8.1,68,37110.37,Luwero,0.8333,32.5
2022-03-21,30.7,17.8,0.4,68,38666.44,Luwero,0.8333,32.5
2022-03-22,29.1,18.7,4.1,82,29104.13,Luwero,0.8333,32.5
2022-03-23,29.3,17.3,1.3,76,41199.19,Luwero,0.8333,32.5
2022-03-24,30.8,18.5,0.9,70,41201.52,Luwero,0.8333,32.5
2022-03-25,28.3,18.0,1.0,76,37369.05,Luwero,0.8333,32.5
2022-03-26,30.7,16.3,0.3,74,41205.61,Luwero,0.8333,32.5
2022-03-27,28.8,19.1,3.9,75,29759.64,Luwero,0.8333,32.5
2022-03-28,31.3,17.7,8.0,76,35742.99,Luwero,0.8333,32.5
2022-03-29,29.7,17.9,5.1,81,30959.45,Luwero,0.8333,32.5
2022-03-30,27.8,18.3,7.1,83,17145.57,Luwero,0.8333,32.5
2022-03-31,29.3,17.3,0.6,74,41214.69,Luwero,0.8333,32.5
2022-04-01,30.5,18.8,0.6,69,41216.3,Luwero,0.8333,32.5
2022-04-02,31.2,19.2,0.2,65,41217.84,Luwero,0.8333,32.5
2022-04-03,32.2,18.3,3.2,67,37619.32,Luwero,0.8333,32.5
2022-04-04,31.2,18.0,0.2,63,41220.71,Luwero,0.8333,32.5
2022-04-05,30.6,17.9,0.1,66,41222.04,Luwero,0.8333,32.5
2022-04-06,29.7,19.4,0.4,69,41223.3,Luwero,0.8333,32.5
