time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,31.0,19.9,0.0,53,39186.19,Lwengo,-0.4167,31.4167
2025-01-02,29.7,18.6,0.2,66,41120.52,Lwengo,-0.4167,31.4167
2025-01-03,29.9,17.4,0.0,65,37536.24,Lwengo,-0.4167,31.4167
2025-01-04,30.1,17.7,0.2,62,36783.01,Lwengo,-0.4167,31.4167
2025-01-05,31.2,18.3,0.0,59,41123.13,Lwengo,-0.4167,31.4167
2025-01-06,30.8,16.7,0.3,57,41124.07,Lwengo,-0.4167,31.4167
2025-01-07,29.0,18.6,0.3,61,34145.13,Lwengo,-0.4167,31.4167
2025-01-08,29.6,17.1,0.1,56,41126.66,Lwengo,-0.4167,31.4167
2025-01-09,31.8,17.9,0.0,61,41128.16,Lwengo,-0.4167,31.4167
2025-01-10,29.5,17.6,0.6,73,37954.67,Lwengo,-0.4167,31.4167
2025-01-11,27.6,17.1,10.5,77,38942.29,Lwengo,-0.4167,31.4167
2025-01-12,28.9,17.9,0.1,71,26393.63,Lwengo,-0.4167,31.4167
2025-01-13,28.2,17.3,0.1,63,39126.78,Lwengo,-0.4167,31.4167
2025-01-14,31.1,19.8,0.0,52,40576.51,Lwengo,-0.4167,31.4167
2025-01-15,28.8,17.2,0.0,57,41138.21,Lwengo,-0.4167,31.4167
2025-01-16,28.3,16.0,0.4,66,41140.0,Lwengo,-0.4167,31.4167
2025-01-17,29.9,17.5,0.0,58,37541.8,Lwengo,-0.4167,31.4167
2025-01-18,29.3,16.5,0.2,61,40010.07,Lwengo,-0.4167,31.4167
2025-01-19,28.8,18.6,0.2,63,41039.75,Lwengo,-0.4167,31.4167
2025-01-20,28.7,19.2,0.0,64,38218.46,Lwengo,-0.4167,31.4167
2025-01-21,30.0,16.6,0.1,63,39442.35,Lwengo,-0.4167,31.4167
2025-01-22,28.9,17.6,0.3,70,40193.17,Lwengo,-0.4167,31.4167
2025-01-23,28.1,16.8,5.0,73,36493.69,Lwengo,-0.4167,31.4167
