time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,28.6,16.2,0.3,80,36767.41,Lyantonde,-0.4033,31.1575
2024-01-02,26.9,17.8,0.8,85,26397.3,Lyantonde,-0.4033,31.1575
2024-01-03,27.0,18.1,0.0,72,18476.21,Lyantonde,-0.4033,31.1575
2024-01-04,28.5,16.7,0.1,66,32355.66,Lyantonde,-0.4033,31.1575
2024-01-05,28.3,16.1,0.0,65,25945.48,Lyantonde,-0.4033,31.1575
2024-01-06,29.8,17.6,0.0,67,40443.66,Lyantonde,-0.4033,31.1575
2024-01-07,30.2,15.9,0.0,58,37972.48,Lyantonde,-0.4033,31.1575
2024-01-08,29.5,17.1,0.0,58,36971.89,Lyantonde,-0.4033,31.1575
2024-01-09,29.1,17.7,0.3,65,21352.88,Lyantonde,-0.4033,31.1575
2024-01-10,28.6,19.4,0.3,72,37172.74,Lyantonde,-0.4033,31.1575
2024-01-11,28.9,18.8,0.1,65,38746.7,Lyantonde,-0.4033,31.1575
2024-01-12,28.7,18.7,8.2,75,40329.68,Lyantonde,-0.4033,31.1575
2024-01-13,27.9,18.3,10.2,75,32420.84,Lyantonde,-0.4033,31.1575
2024-01-14,27.3,18.8,4.1,82,35214.47,Lyantonde,-0.4033,31.1575
2024-01-15,28.9,16.5,0.0,69,39092.68,Lyantonde,-0.4033,31.1575
2024-01-16,28.3,17.6,2.6,66,30702.18,Lyantonde,-0.4033,31.1575
2024-01-17,29.2,16.8,0.0,63,20537.65,Lyantonde,-0.4033,31.1575
2024-01-18,28.6,17.1,0.2,69,35066.91,Lyantonde,-0.4033,31.1575
2024-01-19,29.3,16.4,0.1,68,40314.79,Lyantonde,-0.4033,31.1575
2024-01-20,30.5,16.2,0.2,61,39875.48,Lyantonde,-0.4033,31.1575
2024-01-21,30.3,18.5,0.0,51,31747.88,Lyantonde,-0.4033,31.1575
2024-01-22,29.6,17.3,0.0,54,33167.68,Lyantonde,-0.4033,31.1575
2024-01-23,26.5,19.6,0.8,60,18017.65,Lyantonde,-0.4033,31.1575
2024-01-24,28.7,19.3,0.9,63,38172.16,Lyantonde,-0.4033,31.1575
2024-01-25,30.3,16.9,0.6,74,41155.03,Lyantonde,-0.4033,31.1575
2024-01-26,28.5,17.7,1.7,81,30477.26,Lyantonde,-0.4033,31.1575
2024-01-27,29.8,16.8,0.3,71,39128.64,Lyantonde,-0.4033,31.1575
2024-01-28,31.2,16.2,0.0,62,39162.76,Lyantonde,-0.4033,31.1575
2024-01-29,30.8,17.4,0.0,61,39963.38,Lyantonde,-0.4033,31.1575
2024-01-30,29.6,18.3,0.0,67,36000.0,Lyantonde,-0.4033,31.1575
2024-01-31,29.6,17.3,0.2,67,39864.74,Lyantonde,-0.4033,31.1575
2024-02-01,31.1,19.4,0.0,58,39103.71,Lyantonde,-0.4033,31.1575
2024-02-02,29.6,17.6,0.8,68,32216.76,Lyantonde,-0.4033,31.1575
2024-02-03,29.9,17.8,0.3,71,37970.35,Lyantonde,-0.4033,31.1575
2024-02-04,29.1,17.9,1.9,69,35177.36,Lyantonde,-0.4033,31.1575
2024-02-05,29.0,18.0,5.2,68,40373.14,Lyantonde,-0.4033,31.1575
2024-02-06,30.4,15.9,0.0,62,40849.41,Lyantonde,-0.4033,31.1575
2024-02-07,30.9,17.2,0.1,63,40851.28,Lyantonde,-0.4033,31.1575
2024-02-08,28.9,18.2,2.0,71,28800.64,Lyantonde,-0.4033,31.1575
2024-02-09,32.1,17.3,0.0,62,39321.61,Lyantonde,-0.4033,31.1575
2024-02-10,27.6,18.0,4.8,72,17429.86,Lyantonde,-0.4033,31.1575
2024-02-11,29.1,15.9,0.6,70,37415.23,Lyantonde,-0.4033,31.1575
2024-02-12,30.0,16.7,1.5,70,39140.28,Lyantonde,-0.4033,31.1575
2024-02-13,29.7,17.7,0.9,69,40614.12,Lyantonde,-0.4033,31.1575
2024-02-14,30.0,19.7,1.9,70,37549.33,Lyantonde,-0.4033,31.1575
2024-02-15,24.5,19.8,1.9,79,1261.68,Lyantonde,-0.4033,31.1575
2024-02-16,29.1,17.1,2.2,72,35554.96,Lyantonde,-0.4033,31.1575
2024-02-17,29.6,16.1,0.1,70,39660.55,Lyantonde,-0.4033,31.1575
2024-02-18,30.4,17.7,0.0,65,37155.05,Lyantonde,-0.4033,31.1575
2024-02-19,31.1,17.7,0.2,65,39648.62,Lyantonde,-0.4033,31.1575
2024-02-20,31.3,17.5,0.0,70,39408.01,Lyantonde,-0.4033,31.1575
2024-02-21,30.1,18.1,1.0,74,40698.16,Lyantonde,-0.4033,31.1575
2024-02-22,29.5,17.4,0.1,67,26060.33,Lyantonde,-0.4033,31.1575
2024-02-23,29.9,18.5,1.4,70,24722.43,Lyantonde,-0.4033,31.1575
2024-02-24,31.4,18.5,0.1,62,39256.17,Lyantonde,-0.4033,31.1575
2024-02-25,30.7,20.3,0.0,57,37771.33,Lyantonde,-0.4033,31.1575
2024-02-26,31.7,18.7,2.1,67,31411.62,Lyantonde,-0.4033,31.1575
2024-02-27,23.8,18.1,14.0,87,10026.12,Lyantonde,-0.4033,31.1575
2024-02-28,28.9,15.9,3.6,81,35476.04,Lyantonde,-0.4033,31.1575
2024-02-29,31.0,16.8,0.0,70,40745.03,Lyantonde,-0.4033,31.1575
2024-03-01,30.8,17.8,0.3,70,40853.07,Lyantonde,-0.4033,31.1575
2024-03-02,31.8,16.3,0.1,68,41201.87,Lyantonde,-0.4033,31.1575
2024-03-03,31.1,18.1,1.9,70,39577.02,Lyantonde,-0.4033,31.1575
2024-03-04,31.8,17.1,0.2,69,40695.2,Lyantonde,-0.4033,31.1575
2024-03-05,30.0,19.0,2.1,79,32912.37,Lyantonde,-0.4033,31.1575
2024-03-06,29.1,18.0,1.1,76,29860.43,Lyantonde,-0.4033,31.1575
2024-03-07,30.7,16.4,0.1,69,41201.84,Lyantonde,-0.4033,31.1575
2024-03-08,30.0,17.1,1.2,70,38955.02,Lyantonde,-0.4033,31.1575
2024-03-09,30.3,18.6,0.7,63,33164.85,Lyantonde,-0.4033,31.1575
2024-03-10,30.6,17.7,1.0,71,41201.0,Lyantonde,-0.4033,31.1575
2024-03-11,29.4,17.5,0.9,69,41200.58,Lyantonde,-0.4033,31.1575
2024-03-12,30.5,17.0,0.0,61,38617.93,Lyantonde,-0.4033,31.1575
2024-03-13,31.4,16.2,0.1,65,41199.39,Lyantonde,-0.4033,31.1575
2024-03-14,31.9,16.8,0.3,65,41198.43,Lyantonde,-0.4033,31.1575
2024-03-15,30.3,19.4,1.2,63,39413.66,Lyantonde,-0.4033,31.1575
2024-03-16,30.5,18.7,0.8,62,41196.3,Lyantonde,-0.4033,31.1575
2024-03-17,32.1,17.0,0.0,59,41195.13,Lyantonde,-0.4033,31.1575
2024-03-18,32.5,16.7,0.0,60,41193.88,Lyantonde,-0.4033,31.1575
2024-03-19,32.0,19.1,0.0,60,41192.57,Lyantonde,-0.4033,31.1575
2024-03-20,32.6,19.0,0.1,62,41191.18,Lyantonde,-0.4033,31.1575
2024-03-21,32.1,18.1,0.0,63,41189.73,Lyantonde,-0.4033,31.1575
2024-03-22,31.7,18.5,0.0,60,39774.01,Lyantonde,-0.4033,31.1575
2024-03-23,30.2,19.2,1.0,64,36663.07,Lyantonde,-0.4033,31.1575
2024-03-24,25.1,18.7,15.8,77,24120.95,Lyantonde,-0.4033,31.1575
2024-03-25,29.4,17.9,2.9,74,41183.23,Lyantonde,-0.4033,31.1575
2024-03-26,29.9,17.7,0.5,74,39193.18,Lyantonde,-0.4033,31.1575
2024-03-27,27.8,18.6,1.4,73,36294.59,Lyantonde,-0.4033,31.1575
2024-03-28,29.0,18.3,0.6,70,35498.67,Lyantonde,-0.4033,31.1575
2024-03-29,30.6,18.3,3.4,74,39368.79,Lyantonde,-0.4033,31.1575
2024-03-30,29.8,18.9,0.0,71,38548.04,Lyantonde,-0.4033,31.1575
2024-03-31,27.0,17.9,1.6,75,14527.65,Lyantonde,-0.4033,31.1575
2024-04-01,30.0,17.9,0.4,70,40575.03,Lyantonde,-0.4033,31.1575
2024-04-02,28.5,18.3,25.5,83,26780.73,Lyantonde,-0.4033,31.1575
2024-04-03,24.4,17.9,15.3,84,16119.77,Lyantonde,-0.4033,31.1575
2024-04-04,28.6,16.4,2.8,77,39111.86,Lyantonde,-0.4033,31.1575
2024-04-05,27.2,18.0,2.5,80,34948.1,Lyantonde,-0.4033,31.1575
2024-04-06,27.1,18.1,1.2,76,35505.25,Lyantonde,-0.4033,31.1575
2024-04-07,24.2,18.5,4.4,83,14027.66,Lyantonde,-0.4033,31.1575
2024-04-08,23.7,16.7,5.7,84,9410.3,Lyantonde,-0.4033,31.1575
2024-04-09,27.3,16.7,0.5,74,39044.56,Lyantonde,-0.4033,31.1575
2024-04-10,27.9,17.4,0.2,77,35288.13,Lyantonde,-0.4033,31.1575
2024-04-11,29.1,17.0,1.1,72,35107.6,Lyantonde,-0.4033,31.1575
2024-04-12,29.6,17.2,0.0,73,38327.96,Lyantonde,-0.4033,31.1575
2024-04-13,28.5,18.3,0.8,73,32737.56,Lyantonde,-0.4033,31.1575
2024-04-14,25.9,18.0,8.6,82,15315.15,Lyantonde,-0.4033,31.1575
2024-04-15,26.7,17.5,6.3,78,36196.73,Lyantonde,-0.4033,31.1575
