time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,29.7,20.0,1.8,64,40648.93,Manafwa,0.9333,34.2833
2017-01-02,28.7,19.3,0.9,69,38974.73,Manafwa,0.9333,34.2833
2017-01-03,30.8,17.8,0.0,60,40609.04,Manafwa,0.9333,34.2833
2017-01-04,31.5,18.8,0.0,58,40853.83,Manafwa,0.9333,34.2833
2017-01-05,31.4,16.5,0.0,53,40569.62,Manafwa,0.9333,34.2833
2017-01-06,31.4,16.9,0.0,44,40858.8,Manafwa,0.9333,34.2833
2017-01-07,31.6,17.7,0.0,45,39738.77,Manafwa,0.9333,34.2833
2017-01-08,31.4,17.7,0.0,47,39033.09,Manafwa,0.9333,34.2833
2017-01-09,31.9,17.8,0.0,48,40867.27,Manafwa,0.9333,34.2833
2017-01-10,32.0,17.2,0.0,55,40870.71,Manafwa,0.9333,34.2833
2017-01-11,31.2,18.0,0.0,53,40874.31,Manafwa,0.9333,34.2833
2017-01-12,32.5,18.0,0.0,48,40878.08,Manafwa,0.9333,34.2833
2017-01-13,32.3,16.2,0.0,46,40881.98,Manafwa,0.9333,34.2833
2017-01-14,31.7,16.6,0.0,49,40645.36,Manafwa,0.9333,34.2833
2017-01-15,32.6,17.8,0.0,50,40890.2,Manafwa,0.9333,34.2833
2017-01-16,32.7,17.9,0.1,50,40894.48,Manafwa,0.9333,34.2833
2017-01-17,32.5,17.4,0.0,44,40898.87,Manafwa,0.9333,34.2833
2017-01-18,33.5,17.2,0.0,34,40903.36,Manafwa,0.9333,34.2833
2017-01-19,33.5,17.6,0.0,38,37536.76,Manafwa,0.9333,34.2833
2017-01-20,32.6,19.1,0.0,43,40912.58,Manafwa,0.9333,34.2833
2017-01-21,33.4,19.4,0.0,50,40917.3,Manafwa,0.9333,34.2833
2017-01-22,32.9,18.4,0.0,55,39790.71,Manafwa,0.9333,34.2833
2017-01-23,32.6,18.2,0.0,57,40926.9,Manafwa,0.9333,34.2833
2017-01-24,33.7,18.5,0.0,47,40931.76,Manafwa,0.9333,34.2833
2017-01-25,32.8,18.2,0.0,47,40936.66,Manafwa,0.9333,34.2833
2017-01-26,31.2,18.8,1.0,56,40941.57,Manafwa,0.9333,34.2833
2017-01-27,30.3,17.5,1.1,56,40946.51,Manafwa,0.9333,34.2833
2017-01-28,31.7,18.3,0.9,54,40951.44,Manafwa,0.9333,34.2833
2017-01-29,29.1,18.8,14.0,69,37428.66,Manafwa,0.9333,34.2833
2017-01-30,29.2,18.3,6.7,66,40961.52,Manafwa,0.9333,34.2833
2017-01-31,28.9,19.0,6.2,68,40690.11,Manafwa,0.9333,34.2833
2017-02-01,29.1,17.5,3.6,65,40971.98,Manafwa,0.9333,34.2833
2017-02-02,29.7,17.8,0.4,61,40977.31,Manafwa,0.9333,34.2833
2017-02-03,28.9,19.0,2.0,64,40982.7,Manafwa,0.9333,34.2833
2017-02-04,28.9,18.6,1.2,66,40988.13,Manafwa,0.9333,34.2833
2017-02-05,30.7,17.9,2.9,63,40993.59,Manafwa,0.9333,34.2833
2017-02-06,31.1,18.2,0.0,60,40999.09,Manafwa,0.9333,34.2833
2017-02-07,31.8,18.0,0.8,57,41004.59,Manafwa,0.9333,34.2833
2017-02-08,32.6,18.8,0.0,54,41010.11,Manafwa,0.9333,34.2833
2017-02-09,33.3,18.9,0.0,52,41015.62,Manafwa,0.9333,34.2833
2017-02-10,32.9,20.0,0.0,55,41021.12,Manafwa,0.9333,34.2833
2017-02-11,33.0,17.7,0.0,53,40280.7,Manafwa,0.9333,34.2833
2017-02-12,33.7,19.4,0.0,53,39775.54,Manafwa,0.9333,34.2833
2017-02-13,33.9,19.0,0.0,52,41037.5,Manafwa,0.9333,34.2833
2017-02-14,29.8,20.6,1.7,60,40908.66,Manafwa,0.9333,34.2833
2017-02-15,31.7,19.6,0.0,51,41048.23,Manafwa,0.9333,34.2833
2017-02-16,31.9,20.3,1.1,55,41053.52,Manafwa,0.9333,34.2833
2017-02-17,27.4,17.8,22.2,72,33488.05,Manafwa,0.9333,34.2833
2017-02-18,27.0,18.4,2.2,73,41063.83,Manafwa,0.9333,34.2833
2017-02-19,27.5,19.9,11.8,67,40511.78,Manafwa,0.9333,34.2833
2017-02-20,29.4,17.2,7.9,67,41073.78,Manafwa,0.9333,34.2833
2017-02-21,28.4,17.4,1.6,71,41078.75,Manafwa,0.9333,34.2833
2017-02-22,27.1,18.3,16.1,73,29382.92,Manafwa,0.9333,34.2833
2017-02-23,29.2,16.7,0.5,65,41088.66,Manafwa,0.9333,34.2833
2017-02-24,27.7,19.8,9.2,70,40846.71,Manafwa,0.9333,34.2833
2017-02-25,27.3,18.1,14.2,77,41098.48,Manafwa,0.9333,34.2833
2017-02-26,28.4,18.2,1.1,70,41103.34,Manafwa,0.9333,34.2833
2017-02-27,26.4,17.8,7.5,77,40627.94,Manafwa,0.9333,34.2833
2017-02-28,28.3,18.4,1.9,67,41112.92,Manafwa,0.9333,34.2833
2017-03-01,28.7,18.4,2.7,68,41117.63,Manafwa,0.9333,34.2833
2017-03-02,29.3,18.9,2.5,71,41122.29,Manafwa,0.9333,34.2833
2017-03-03,28.4,19.2,15.2,71,41126.88,Manafwa,0.9333,34.2833
2017-03-04,27.9,18.9,2.6,73,41131.42,Manafwa,0.9333,34.2833
2017-03-05,29.6,18.0,1.2,67,41135.87,Manafwa,0.9333,34.2833
