time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,30.5,18.7,0.0,51,38971.69,Maracha,3.2878,30.9403
2019-01-02,31.1,19.7,0.0,43,39222.47,Maracha,3.2878,30.9403
2019-01-03,31.2,21.1,0.0,43,39093.2,Maracha,3.2878,30.9403
2019-01-04,29.6,21.8,1.0,53,36965.35,Maracha,3.2878,30.9403
2019-01-05,30.0,19.9,0.1,50,38963.18,Maracha,3.2878,30.9403
2019-01-06,32.4,20.8,0.0,40,34093.59,Maracha,3.2878,30.9403
2019-01-07,31.6,20.2,0.0,47,38482.2,Maracha,3.2878,30.9403
2019-01-08,30.8,19.0,0.0,51,39480.59,Maracha,3.2878,30.9403
2019-01-09,31.6,17.2,0.0,38,37871.4,Maracha,3.2878,30.9403
2019-01-10,32.0,18.0,0.0,34,38166.3,Maracha,3.2878,30.9403
2019-01-11,32.2,19.4,0.0,34,37135.91,Maracha,3.2878,30.9403
2019-01-12,32.7,21.1,0.0,28,39978.32,Maracha,3.2878,30.9403
2019-01-13,31.9,16.1,0.0,29,40000.77,Maracha,3.2878,30.9403
2019-01-14,32.8,18.9,0.0,29,38243.79,Maracha,3.2878,30.9403
2019-01-15,30.6,20.2,0.1,53,35338.25,Maracha,3.2878,30.9403
2019-01-16,31.0,19.3,0.5,62,34127.49,Maracha,3.2878,30.9403
2019-01-17,28.8,18.6,0.2,67,37932.21,Maracha,3.2878,30.9403
2019-01-18,29.7,19.5,0.0,51,32388.27,Maracha,3.2878,30.9403
2019-01-19,32.4,17.7,0.0,42,39665.21,Maracha,3.2878,30.9403
2019-01-20,31.1,19.7,0.0,43,39231.5,Maracha,3.2878,30.9403
2019-01-21,32.1,19.5,0.0,43,36476.18,Maracha,3.2878,30.9403
2019-01-22,32.7,17.7,0.0,35,39835.23,Maracha,3.2878,30.9403
2019-01-23,33.1,18.3,0.0,27,39371.04,Maracha,3.2878,30.9403
2019-01-24,31.7,19.3,0.0,40,39283.18,Maracha,3.2878,30.9403
2019-01-25,32.2,19.4,0.0,43,38772.09,Maracha,3.2878,30.9403
2019-01-26,31.6,19.6,0.0,46,38905.76,Maracha,3.2878,30.9403
2019-01-27,32.7,20.2,0.0,42,37660.86,Maracha,3.2878,30.9403
2019-01-28,33.2,19.8,0.0,41,39713.79,Maracha,3.2878,30.9403
2019-01-29,32.3,21.0,0.0,46,39728.96,Maracha,3.2878,30.9403
2019-01-30,32.8,19.6,0.0,47,38505.36,Maracha,3.2878,30.9403
2019-01-31,33.4,19.0,0.0,31,39866.84,Maracha,3.2878,30.9403
2019-02-01,33.9,22.1,0.0,25,35937.1,Maracha,3.2878,30.9403
2019-02-02,34.0,21.4,0.0,27,39783.15,Maracha,3.2878,30.9403
2019-02-03,33.6,19.3,0.0,28,39903.98,Maracha,3.2878,30.9403
2019-02-04,34.2,19.8,0.0,27,36571.36,Maracha,3.2878,30.9403
2019-02-05,34.7,20.4,0.0,35,39163.73,Maracha,3.2878,30.9403
2019-02-06,31.6,20.7,0.0,56,38956.14,Maracha,3.2878,30.9403
2019-02-07,30.7,20.7,0.1,55,39518.29,Maracha,3.2878,30.9403
2019-02-08,32.4,21.0,0.0,48,39299.39,Maracha,3.2878,30.9403
2019-02-09,32.3,21.7,0.0,45,37739.44,Maracha,3.2878,30.9403
2019-02-10,34.0,21.8,0.0,33,38832.47,Maracha,3.2878,30.9403
2019-02-11,34.0,22.3,0.0,32,39753.31,Maracha,3.2878,30.9403
2019-02-12,31.3,21.6,0.0,42,37184.34,Maracha,3.2878,30.9403
2019-02-13,33.2,20.8,0.0,30,36166.41,Maracha,3.2878,30.9403
2019-02-14,32.3,22.3,0.0,29,39708.27,Maracha,3.2878,30.9403
2019-02-15,31.5,20.3,0.1,43,36835.25,Maracha,3.2878,30.9403
2019-02-16,32.9,20.4,0.0,44,39559.4,Maracha,3.2878,30.9403
2019-02-17,31.1,20.9,0.1,46,39438.44,Maracha,3.2878,30.9403
2019-02-18,32.0,21.4,0.0,36,39880.09,Maracha,3.2878,30.9403
2019-02-19,33.3,21.7,0.0,25,38814.41,Maracha,3.2878,30.9403
2019-02-20,33.3,22.3,0.0,23,38788.66,Maracha,3.2878,30.9403
2019-02-21,32.1,21.0,0.6,46,39319.66,Maracha,3.2878,30.9403
2019-02-22,31.4,19.4,1.3,68,39172.79,Maracha,3.2878,30.9403
2019-02-23,30.4,19.2,0.6,66,38326.86,Maracha,3.2878,30.9403
2019-02-24,29.6,19.7,0.9,68,38448.08,Maracha,3.2878,30.9403
2019-02-25,29.4,18.7,0.0,68,39693.55,Maracha,3.2878,30.9403
2019-02-26,31.8,19.9,0.0,48,40317.18,Maracha,3.2878,30.9403
2019-02-27,33.1,19.8,0.0,37,40314.52,Maracha,3.2878,30.9403
2019-02-28,31.0,20.6,0.0,49,38894.29,Maracha,3.2878,30.9403
2019-03-01,29.4,19.1,5.8,66,40307.46,Maracha,3.2878,30.9403
2019-03-02,31.0,19.1,0.3,59,39774.06,Maracha,3.2878,30.9403
2019-03-03,33.3,18.9,0.0,48,40528.82,Maracha,3.2878,30.9403
2019-03-04,32.3,20.3,0.0,43,33364.02,Maracha,3.2878,30.9403
2019-03-05,31.4,20.0,1.1,60,34322.11,Maracha,3.2878,30.9403
2019-03-06,30.7,19.7,0.6,60,40242.7,Maracha,3.2878,30.9403
2019-03-07,29.9,19.7,1.6,59,39964.64,Maracha,3.2878,30.9403
2019-03-08,32.5,20.2,0.0,43,40615.36,Maracha,3.2878,30.9403
2019-03-09,31.0,21.0,0.0,35,39268.55,Maracha,3.2878,30.9403
2019-03-10,31.5,21.7,0.0,41,40958.57,Maracha,3.2878,30.9403
2019-03-11,31.9,20.6,0.0,43,40591.84,Maracha,3.2878,30.9403
2019-03-12,32.7,20.4,0.0,36,40271.65,Maracha,3.2878,30.9403
2019-03-13,32.2,21.2,0.4,51,40453.16,Maracha,3.2878,30.9403
2019-03-14,31.0,19.8,0.0,50,40960.18,Maracha,3.2878,30.9403
2019-03-15,32.6,20.2,0.1,39,36501.1,Maracha,3.2878,30.9403
2019-03-16,31.6,23.9,0.0,38,41139.77,Maracha,3.2878,30.9403
2019-03-17,32.6,21.7,0.0,41,41151.02,Maracha,3.2878,30.9403
2019-03-18,32.9,21.6,0.0,40,40775.1,Maracha,3.2878,30.9403
2019-03-19,34.1,21.8,0.0,39,41173.16,Maracha,3.2878,30.9403
2019-03-20,34.2,22.0,0.0,33,39796.21,Maracha,3.2878,30.9403
2019-03-21,33.6,22.3,0.0,35,41194.41,Maracha,3.2878,30.9403
2019-03-22,33.5,22.4,0.0,35,40066.27,Maracha,3.2878,30.9403
2019-03-23,36.2,22.1,0.0,29,41215.34,Maracha,3.2878,30.9403
2019-03-24,34.8,22.6,0.0,29,38458.22,Maracha,3.2878,30.9403
2019-03-25,33.5,21.5,0.0,47,41236.09,Maracha,3.2878,30.9403
2019-03-26,32.8,19.8,0.1,57,41246.39,Maracha,3.2878,30.9403
2019-03-27,28.8,20.1,6.6,68,34024.98,Maracha,3.2878,30.9403
2019-03-28,29.4,19.4,2.0,75,25643.15,Maracha,3.2878,30.9403
2019-03-29,30.2,19.1,0.0,64,41276.84,Maracha,3.2878,30.9403
2019-03-30,32.0,20.7,0.0,49,41286.83,Maracha,3.2878,30.9403
2019-03-31,32.1,20.5,0.0,56,41296.73,Maracha,3.2878,30.9403
2019-04-01,29.5,20.2,0.3,60,41306.54,Maracha,3.2878,30.9403
2019-04-02,29.8,20.3,1.2,63,41316.24,Maracha,3.2878,30.9403
2019-04-03,32.2,20.3,0.0,55,41325.84,Maracha,3.2878,30.9403
2019-04-04,31.8,20.4,0.0,50,41335.32,Maracha,3.2878,30.9403
2019-04-05,31.5,21.0,0.0,56,41344.69,Maracha,3.2878,30.9403
2019-04-06,32.4,21.9,0.0,52,41353.93,Maracha,3.2878,30.9403
2019-04-07,34.5,21.6,0.0,40,39960.41,Maracha,3.2878,30.9403
2019-04-08,32.5,20.6,0.2,56,41372.04,Maracha,3.2878,30.9403
2019-04-09,29.8,20.6,5.3,70,34630.14,Maracha,3.2878,30.9403
2019-04-10,27.8,20.2,4.4,72,33505.41,Maracha,3.2878,30.9403
2019-04-11,27.4,19.8,1.9,72,40834.39,Maracha,3.2878,30.9403
2019-04-12,28.0,19.5,2.7,72,40077.21,Maracha,3.2878,30.9403
2019-04-13,28.5,18.8,12.2,79,33154.23,Maracha,3.2878,30.9403
2019-04-14,30.3,18.4,0.3,72,41422.55,Maracha,3.2878,30.9403
2019-04-15,29.4,19.8,2.4,70,41430.67,Maracha,3.2878,30.9403
2019-04-16,29.2,19.2,3.7,71,41438.71,Maracha,3.2878,30.9403
2019-04-17,28.9,19.0,0.1,72,41446.64,Maracha,3.2878,30.9403
2019-04-18,30.7,20.2,0.0,60,41454.48,Maracha,3.2878,30.9403
2019-04-19,30.2,20.4,0.0,56,41462.22,Maracha,3.2878,30.9403
2019-04-20,31.3,20.3,0.1,57,41469.85,Maracha,3.2878,30.9403
2019-04-21,30.4,20.3,0.1,62,40130.55,Maracha,3.2878,30.9403
2019-04-22,28.0,20.4,15.7,82,28258.85,Maracha,3.2878,30.9403
2019-04-23,28.9,19.7,0.2,73,33734.03,Maracha,3.2878,30.9403
2019-04-24,29.7,19.9,0.1,70,37837.38,Maracha,3.2878,30.9403
2019-04-25,29.5,20.9,4.7,72,39103.78,Maracha,3.2878,30.9403
2019-04-26,26.1,19.8,6.8,82,30866.79,Maracha,3.2878,30.9403
2019-04-27,28.1,19.5,1.2,79,27850.42,Maracha,3.2878,30.9403
2019-04-28,27.5,19.4,0.0,71,29988.91,Maracha,3.2878,30.9403
2019-04-29,30.4,19.7,0.1,63,41276.75,Maracha,3.2878,30.9403
2019-04-30,29.2,19.9,3.6,76,39887.99,Maracha,3.2878,30.9403
2019-05-01,28.3,18.8,1.8,76,40027.47,Maracha,3.2878,30.9403
