time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,25.2,18.5,2.8,80,32355.16,Masaka,-0.3333,31.7167
2022-01-02,26.0,15.9,2.3,79,41104.96,Masaka,-0.3333,31.7167
2022-01-03,25.8,17.6,0.3,82,30308.32,Masaka,-0.3333,31.7167
2022-01-04,27.8,17.1,0.0,74,39721.45,Masaka,-0.3333,31.7167
2022-01-05,28.3,16.3,0.0,65,41108.56,Masaka,-0.3333,31.7167
2022-01-06,29.0,15.6,0.0,61,41109.98,Masaka,-0.3333,31.7167
2022-01-07,29.1,18.2,0.0,62,32195.75,Masaka,-0.3333,31.7167
2022-01-08,29.6,19.0,0.0,66,38539.43,Masaka,-0.3333,31.7167
2022-01-09,30.6,16.2,0.0,66,41114.62,Masaka,-0.3333,31.7167
2022-01-10,29.8,17.7,0.1,66,40144.02,Masaka,-0.3333,31.7167
2022-01-11,28.9,17.6,0.1,68,37223.95,Masaka,-0.3333,31.7167
2022-01-12,29.1,17.4,0.2,62,35761.46,Masaka,-0.3333,31.7167
2022-01-13,29.6,16.7,0.3,50,34965.29,Masaka,-0.3333,31.7167
2022-01-14,30.6,17.6,1.2,55,39665.04,Masaka,-0.3333,31.7167
2022-01-15,28.8,18.5,6.0,69,34799.17,Masaka,-0.3333,31.7167
2022-01-16,29.3,18.0,0.4,69,32601.63,Masaka,-0.3333,31.7167
2022-01-17,23.2,18.0,7.0,85,3745.18,Masaka,-0.3333,31.7167
2022-01-18,26.3,16.6,0.0,73,36676.27,Masaka,-0.3333,31.7167
2022-01-19,27.8,16.4,3.8,76,36468.52,Masaka,-0.3333,31.7167
2022-01-20,27.3,16.5,0.3,69,41134.17,Masaka,-0.3333,31.7167
2022-01-21,29.4,17.1,0.0,59,38586.61,Masaka,-0.3333,31.7167
2022-01-22,29.1,16.8,0.1,62,27181.68,Masaka,-0.3333,31.7167
2022-01-23,28.5,18.2,0.3,66,28558.53,Masaka,-0.3333,31.7167
2022-01-24,28.5,16.9,0.7,71,35997.08,Masaka,-0.3333,31.7167
2022-01-25,32.5,18.0,0.0,59,37804.73,Masaka,-0.3333,31.7167
2022-01-26,30.5,17.2,0.0,66,41145.76,Masaka,-0.3333,31.7167
2022-01-27,32.3,16.9,0.0,59,36721.1,Masaka,-0.3333,31.7167
2022-01-28,29.5,21.3,0.3,59,37016.08,Masaka,-0.3333,31.7167
2022-01-29,31.5,17.7,0.0,52,41152.02,Masaka,-0.3333,31.7167
2022-01-30,28.3,18.7,1.4,67,28051.53,Masaka,-0.3333,31.7167
2022-01-31,25.6,18.9,2.4,76,7107.25,Masaka,-0.3333,31.7167
2022-02-01,27.8,17.6,0.1,68,26514.84,Masaka,-0.3333,31.7167
2022-02-02,26.1,17.4,1.9,73,25695.16,Masaka,-0.3333,31.7167
2022-02-03,27.6,18.1,0.2,73,32739.88,Masaka,-0.3333,31.7167
2022-02-04,27.7,18.9,0.2,72,32410.56,Masaka,-0.3333,31.7167
2022-02-05,27.2,18.8,0.8,71,14708.29,Masaka,-0.3333,31.7167
2022-02-06,29.5,16.1,1.0,70,40005.17,Masaka,-0.3333,31.7167
2022-02-07,27.7,18.9,1.3,66,26497.35,Masaka,-0.3333,31.7167
2022-02-08,28.5,17.4,0.5,67,39021.48,Masaka,-0.3333,31.7167
2022-02-09,27.7,19.1,0.6,65,20039.85,Masaka,-0.3333,31.7167
2022-02-10,28.4,20.0,2.4,61,31819.73,Masaka,-0.3333,31.7167
2022-02-11,26.5,19.2,6.5,75,35429.19,Masaka,-0.3333,31.7167
