time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,29.6,18.1,0.4,68,27407.34,Masindi,1.6833,31.7167
2022-01-02,30.0,17.5,0.1,67,40312.87,Masindi,1.6833,31.7167
2022-01-03,32.2,20.2,0.0,51,39255.66,Masindi,1.6833,31.7167
2022-01-04,30.1,19.6,0.0,37,40709.59,Masindi,1.6833,31.7167
2022-01-05,30.6,17.4,0.0,46,40713.08,Masindi,1.6833,31.7167
2022-01-06,32.0,17.8,0.0,41,31447.0,Masindi,1.6833,31.7167
2022-01-07,32.6,20.3,0.0,42,40409.55,Masindi,1.6833,31.7167
2022-01-08,34.1,20.0,0.0,40,40557.21,Masindi,1.6833,31.7167
2022-01-09,34.5,18.0,0.0,44,40729.23,Masindi,1.6833,31.7167
2022-01-10,33.6,18.6,0.0,39,40211.2,Masindi,1.6833,31.7167
2022-01-11,33.5,19.8,0.0,40,40738.46,Masindi,1.6833,31.7167
2022-01-12,33.9,18.3,0.0,38,40743.32,Masindi,1.6833,31.7167
2022-01-13,33.3,20.1,0.0,35,40744.97,Masindi,1.6833,31.7167
2022-01-14,30.3,18.9,5.0,60,39854.95,Masindi,1.6833,31.7167
2022-01-15,29.9,19.1,0.8,67,36414.5,Masindi,1.6833,31.7167
2022-01-16,31.0,18.0,6.3,74,34429.06,Masindi,1.6833,31.7167
2022-01-17,22.8,18.6,12.5,85,1381.2,Masindi,1.6833,31.7167
2022-01-18,24.3,17.3,0.3,81,19312.53,Masindi,1.6833,31.7167
2022-01-19,27.9,16.7,0.4,76,23950.27,Masindi,1.6833,31.7167
2022-01-20,28.2,18.3,0.0,61,39053.64,Masindi,1.6833,31.7167
2022-01-21,28.8,16.7,0.0,50,40667.9,Masindi,1.6833,31.7167
2022-01-22,29.4,17.5,0.0,47,35904.6,Masindi,1.6833,31.7167
2022-01-23,31.3,17.3,0.0,51,37278.18,Masindi,1.6833,31.7167
2022-01-24,30.3,17.4,0.0,60,39980.18,Masindi,1.6833,31.7167
2022-01-25,32.7,18.7,0.0,48,40719.58,Masindi,1.6833,31.7167
2022-01-26,33.3,18.3,0.0,41,38762.75,Masindi,1.6833,31.7167
2022-01-27,31.9,18.7,0.0,37,29872.72,Masindi,1.6833,31.7167
2022-01-28,32.6,18.7,0.0,42,40838.18,Masindi,1.6833,31.7167
2022-01-29,30.4,18.8,0.0,35,40523.82,Masindi,1.6833,31.7167
2022-01-30,31.9,18.4,0.0,40,34220.04,Masindi,1.6833,31.7167
2022-01-31,28.7,22.4,0.0,38,18000.0,Masindi,1.6833,31.7167
2022-02-01,27.8,19.8,0.0,52,20024.28,Masindi,1.6833,31.7167
2022-02-02,30.3,18.6,0.0,47,39927.78,Masindi,1.6833,31.7167
2022-02-03,30.6,18.9,0.0,45,33185.29,Masindi,1.6833,31.7167
2022-02-04,31.8,20.1,0.0,43,38169.4,Masindi,1.6833,31.7167
2022-02-05,28.3,20.5,0.3,51,36234.17,Masindi,1.6833,31.7167
2022-02-06,29.9,17.2,0.0,48,39763.55,Masindi,1.6833,31.7167
2022-02-07,30.3,18.7,0.0,39,27843.24,Masindi,1.6833,31.7167
2022-02-08,31.2,16.9,0.0,51,33491.56,Masindi,1.6833,31.7167
2022-02-09,31.9,21.6,0.0,37,28460.32,Masindi,1.6833,31.7167
2022-02-10,32.3,20.7,0.1,42,33686.66,Masindi,1.6833,31.7167
2022-02-11,31.7,19.4,0.0,53,37364.77,Masindi,1.6833,31.7167
2022-02-12,32.3,19.7,0.0,48,39436.62,Masindi,1.6833,31.7167
2022-02-13,32.6,18.6,0.0,55,40497.27,Masindi,1.6833,31.7167
2022-02-14,32.7,19.4,0.0,44,40962.57,Masindi,1.6833,31.7167
2022-02-15,31.5,19.0,0.0,53,40403.3,Masindi,1.6833,31.7167
2022-02-16,33.8,17.4,0.0,47,40977.28,Masindi,1.6833,31.7167
2022-02-17,32.1,18.5,0.3,53,40969.16,Masindi,1.6833,31.7167
2022-02-18,32.1,19.1,0.0,47,28778.64,Masindi,1.6833,31.7167
2022-02-19,31.7,20.3,1.6,55,36942.95,Masindi,1.6833,31.7167
2022-02-20,31.1,20.2,0.0,47,35452.29,Masindi,1.6833,31.7167
2022-02-21,29.6,17.9,0.0,43,38300.16,Masindi,1.6833,31.7167
2022-02-22,32.3,17.9,0.0,37,40957.43,Masindi,1.6833,31.7167
2022-02-23,33.1,18.9,0.0,34,40834.06,Masindi,1.6833,31.7167
2022-02-24,31.8,19.9,0.0,42,35979.16,Masindi,1.6833,31.7167
2022-02-25,30.7,19.5,1.9,67,32414.7,Masindi,1.6833,31.7167
2022-02-26,30.7,19.0,2.3,65,40337.41,Masindi,1.6833,31.7167
2022-02-27,33.0,18.9,0.0,56,41057.95,Masindi,1.6833,31.7167
2022-02-28,32.3,20.4,0.3,57,40564.94,Masindi,1.6833,31.7167
2022-03-01,32.2,19.2,0.0,55,40679.16,Masindi,1.6833,31.7167
2022-03-02,32.4,20.6,0.2,49,40746.98,Masindi,1.6833,31.7167
2022-03-03,31.8,18.9,0.0,54,41085.83,Masindi,1.6833,31.7167
2022-03-04,32.4,19.4,0.0,49,41092.47,Masindi,1.6833,31.7167
2022-03-05,35.5,19.9,0.0,37,41098.9,Masindi,1.6833,31.7167
2022-03-06,35.3,19.2,0.0,35,40516.23,Masindi,1.6833,31.7167
2022-03-07,33.8,19.6,0.0,46,39394.5,Masindi,1.6833,31.7167
2022-03-08,33.6,19.8,1.1,49,39592.89,Masindi,1.6833,31.7167
