time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,26.9,15.6,0.0,76,40946.02,Mayuge,0.45,33.4833
2023-01-02,27.0,17.4,0.2,65,40685.02,Mayuge,0.45,33.4833
2023-01-03,26.2,17.4,0.0,72,35623.88,Mayuge,0.45,33.4833
2023-01-04,26.4,16.6,0.4,68,40760.52,Mayuge,0.45,33.4833
2023-01-05,26.5,16.2,0.0,67,40858.54,Mayuge,0.45,33.4833
2023-01-06,28.2,15.6,0.0,66,40956.19,Mayuge,0.45,33.4833
2023-01-07,28.3,15.5,0.0,68,40958.55,Mayuge,0.45,33.4833
2023-01-08,25.8,17.8,1.6,78,40961.0,Mayuge,0.45,33.4833
2023-01-09,26.3,17.3,0.5,78,40963.55,Mayuge,0.45,33.4833
2023-01-10,24.3,19.3,9.7,85,36757.72,Mayuge,0.45,33.4833
2023-01-11,24.9,17.1,0.3,84,40804.77,Mayuge,0.45,33.4833
2023-01-12,24.7,17.7,0.7,84,39837.47,Mayuge,0.45,33.4833
2023-01-13,24.0,18.5,1.5,82,40974.49,Mayuge,0.45,33.4833
2023-01-14,25.2,17.5,0.3,81,40977.38,Mayuge,0.45,33.4833
2023-01-15,26.0,17.4,0.7,82,40980.32,Mayuge,0.45,33.4833
2023-01-16,25.0,17.9,5.6,81,40983.31,Mayuge,0.45,33.4833
2023-01-17,26.9,16.9,0.0,72,40986.34,Mayuge,0.45,33.4833
2023-01-18,26.5,18.8,0.1,75,40989.54,Mayuge,0.45,33.4833
2023-01-19,27.0,17.4,0.2,77,40992.97,Mayuge,0.45,33.4833
2023-01-20,26.7,17.3,0.0,79,40996.51,Mayuge,0.45,33.4833
2023-01-21,27.7,17.2,0.0,70,41000.14,Mayuge,0.45,33.4833
2023-01-22,24.7,17.9,4.4,81,40557.89,Mayuge,0.45,33.4833
2023-01-23,26.8,17.5,0.5,78,40390.51,Mayuge,0.45,33.4833
2023-01-24,25.5,18.8,0.6,80,40779.04,Mayuge,0.45,33.4833
2023-01-25,27.8,16.5,0.2,78,39125.0,Mayuge,0.45,33.4833
2023-01-26,27.3,16.1,0.1,78,41019.34,Mayuge,0.45,33.4833
2023-01-27,28.2,18.2,0.1,72,41023.33,Mayuge,0.45,33.4833
2023-01-28,28.4,16.8,0.0,66,41027.35,Mayuge,0.45,33.4833
2023-01-29,28.7,17.0,0.0,64,41031.39,Mayuge,0.45,33.4833
2023-01-30,27.0,17.3,0.1,79,41035.44,Mayuge,0.45,33.4833
2023-01-31,28.1,16.4,0.3,75,41039.49,Mayuge,0.45,33.4833
2023-02-01,26.3,17.5,5.8,80,38500.6,Mayuge,0.45,33.4833
2023-02-02,28.0,16.7,1.5,77,41047.59,Mayuge,0.45,33.4833
2023-02-03,26.1,18.0,1.0,80,41051.62,Mayuge,0.45,33.4833
2023-02-04,27.3,18.7,0.1,76,41055.62,Mayuge,0.45,33.4833
2023-02-05,27.5,18.4,0.8,77,41059.6,Mayuge,0.45,33.4833
2023-02-06,27.4,18.7,0.1,77,41063.54,Mayuge,0.45,33.4833
2023-02-07,26.5,18.7,1.3,79,41067.41,Mayuge,0.45,33.4833
2023-02-08,26.1,18.8,4.3,80,41048.25,Mayuge,0.45,33.4833
2023-02-09,25.7,18.8,1.7,79,41075.17,Mayuge,0.45,33.4833
2023-02-10,27.1,18.8,1.3,76,41079.09,Mayuge,0.45,33.4833
2023-02-11,28.5,19.8,0.0,72,41083.01,Mayuge,0.45,33.4833
2023-02-12,29.8,17.8,0.0,71,41086.93,Mayuge,0.45,33.4833
2023-02-13,29.9,18.0,0.0,59,41090.86,Mayuge,0.45,33.4833
2023-02-14,29.2,14.8,0.0,61,41094.76,Mayuge,0.45,33.4833
2023-02-15,29.0,18.3,0.1,66,41098.65,Mayuge,0.45,33.4833
2023-02-16,29.2,18.6,0.0,61,40389.5,Mayuge,0.45,33.4833
2023-02-17,27.3,18.8,1.0,72,38410.27,Mayuge,0.45,33.4833
2023-02-18,29.2,20.0,0.0,63,41110.14,Mayuge,0.45,33.4833
2023-02-19,30.5,19.3,0.0,66,39071.92,Mayuge,0.45,33.4833
2023-02-20,31.3,19.4,0.0,59,41117.59,Mayuge,0.45,33.4833
2023-02-21,30.7,19.6,0.0,63,41121.25,Mayuge,0.45,33.4833
2023-02-22,28.3,21.2,3.9,69,40397.15,Mayuge,0.45,33.4833
2023-02-23,25.8,19.8,2.4,79,41128.37,Mayuge,0.45,33.4833
2023-02-24,27.7,20.7,1.9,72,41131.84,Mayuge,0.45,33.4833
2023-02-25,27.5,19.3,4.6,77,34759.61,Mayuge,0.45,33.4833
2023-02-26,26.6,19.0,4.3,78,35900.08,Mayuge,0.45,33.4833
2023-02-27,27.7,19.5,8.9,80,34887.44,Mayuge,0.45,33.4833
2023-02-28,26.0,18.3,4.9,82,34985.97,Mayuge,0.45,33.4833
2023-03-01,25.1,18.9,5.3,84,38050.61,Mayuge,0.45,33.4833
2023-03-02,24.5,19.1,5.0,84,39703.16,Mayuge,0.45,33.4833
2023-03-03,24.5,17.9,9.9,85,30701.72,Mayuge,0.45,33.4833
2023-03-04,26.0,19.0,11.5,82,38456.57,Mayuge,0.45,33.4833
2023-03-05,27.3,19.4,0.0,80,41158.78,Mayuge,0.45,33.4833
2023-03-06,29.9,18.4,0.0,71,41161.46,Mayuge,0.45,33.4833
2023-03-07,29.4,18.2,0.7,70,41164.09,Mayuge,0.45,33.4833
2023-03-08,30.5,17.6,0.0,64,41166.65,Mayuge,0.45,33.4833
