time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,28.9,16.6,0.0,65,40308.27,Mbale,1.0806,34.175
2023-01-02,28.4,16.3,0.1,63,40286.39,Mbale,1.0806,34.175
2023-01-03,26.4,17.5,7.7,72,39210.88,Mbale,1.0806,34.175
2023-01-04,27.8,16.4,0.2,65,39252.86,Mbale,1.0806,34.175
2023-01-05,28.5,17.5,0.0,62,39665.13,Mbale,1.0806,34.175
2023-01-06,30.0,16.0,0.0,58,40532.88,Mbale,1.0806,34.175
2023-01-07,30.1,16.6,0.0,52,32063.22,Mbale,1.0806,34.175
2023-01-08,29.7,17.7,0.2,62,40835.05,Mbale,1.0806,34.175
2023-01-09,28.4,18.4,0.1,68,40359.78,Mbale,1.0806,34.175
2023-01-10,28.1,19.0,1.1,69,40801.56,Mbale,1.0806,34.175
2023-01-11,28.5,17.5,0.3,67,40087.2,Mbale,1.0806,34.175
2023-01-12,28.3,17.9,0.4,69,40850.43,Mbale,1.0806,34.175
2023-01-13,28.6,18.4,0.9,67,40854.29,Mbale,1.0806,34.175
2023-01-14,28.5,17.9,0.0,63,40858.23,Mbale,1.0806,34.175
2023-01-15,29.7,17.2,0.1,62,40862.26,Mbale,1.0806,34.175
2023-01-16,27.9,17.1,0.2,68,40866.38,Mbale,1.0806,34.175
2023-01-17,30.9,17.4,0.0,54,36463.75,Mbale,1.0806,34.175
2023-01-18,31.6,18.2,0.0,53,40874.94,Mbale,1.0806,34.175
2023-01-19,31.9,18.0,0.0,54,40879.59,Mbale,1.0806,34.175
2023-01-20,31.5,18.9,0.0,53,40884.41,Mbale,1.0806,34.175
2023-01-21,33.8,17.4,0.0,47,31659.82,Mbale,1.0806,34.175
2023-01-22,28.9,18.3,1.4,57,40894.43,Mbale,1.0806,34.175
2023-01-23,30.4,16.8,0.0,63,39506.8,Mbale,1.0806,34.175
2023-01-24,31.3,18.5,5.5,60,39600.9,Mbale,1.0806,34.175
2023-01-25,31.9,17.7,0.3,53,39602.03,Mbale,1.0806,34.175
2023-01-26,32.1,17.9,0.0,52,38473.9,Mbale,1.0806,34.175
2023-01-27,33.5,18.7,0.0,47,40921.24,Mbale,1.0806,34.175
2023-01-28,32.5,17.9,0.0,47,40816.21,Mbale,1.0806,34.175
2023-01-29,33.0,17.2,0.0,44,38675.59,Mbale,1.0806,34.175
2023-01-30,32.6,17.7,0.0,50,40938.11,Mbale,1.0806,34.175
2023-01-31,32.3,17.8,0.3,50,40667.48,Mbale,1.0806,34.175
2023-02-01,30.9,20.0,0.5,57,40949.5,Mbale,1.0806,34.175
2023-02-02,33.2,20.0,0.2,48,40955.21,Mbale,1.0806,34.175
2023-02-03,31.6,18.8,0.2,56,36050.14,Mbale,1.0806,34.175
2023-02-04,31.1,19.3,0.1,53,40966.63,Mbale,1.0806,34.175
2023-02-05,32.5,19.0,0.2,49,40972.32,Mbale,1.0806,34.175
2023-02-06,33.9,19.0,0.0,47,40382.99,Mbale,1.0806,34.175
2023-02-07,32.5,20.2,0.0,54,40983.61,Mbale,1.0806,34.175
2023-02-08,33.2,19.4,0.0,55,40989.24,Mbale,1.0806,34.175
2023-02-09,31.8,20.6,0.4,56,40994.93,Mbale,1.0806,34.175
2023-02-10,34.2,19.8,0.0,52,41000.66,Mbale,1.0806,34.175
2023-02-11,35.3,20.2,0.0,46,39742.05,Mbale,1.0806,34.175
2023-02-12,35.7,20.4,0.0,44,41012.23,Mbale,1.0806,34.175
2023-02-13,34.3,18.2,0.0,44,41018.04,Mbale,1.0806,34.175
2023-02-14,34.8,18.3,0.0,37,39132.06,Mbale,1.0806,34.175
2023-02-15,33.5,19.7,0.0,37,37607.17,Mbale,1.0806,34.175
2023-02-16,33.4,20.8,0.0,44,37943.46,Mbale,1.0806,34.175
2023-02-17,32.7,19.5,0.0,50,41028.61,Mbale,1.0806,34.175
2023-02-18,34.9,19.2,0.0,46,39964.2,Mbale,1.0806,34.175
2023-02-19,34.0,19.2,0.0,44,35087.45,Mbale,1.0806,34.175
2023-02-20,34.0,19.4,0.0,49,36378.11,Mbale,1.0806,34.175
2023-02-21,35.1,19.7,0.0,42,39162.91,Mbale,1.0806,34.175
2023-02-22,34.3,20.9,0.0,45,33305.68,Mbale,1.0806,34.175
2023-02-23,35.3,20.0,0.0,50,41075.27,Mbale,1.0806,34.175
2023-02-24,33.6,20.8,0.0,53,41080.74,Mbale,1.0806,34.175
2023-02-25,33.5,21.2,0.0,49,40330.1,Mbale,1.0806,34.175
2023-02-26,34.3,20.6,0.3,53,41091.47,Mbale,1.0806,34.175
2023-02-27,34.4,20.9,2.6,61,39477.34,Mbale,1.0806,34.175
2023-02-28,31.7,18.8,0.4,67,41101.57,Mbale,1.0806,34.175
2023-03-01,29.8,18.6,1.1,73,37800.43,Mbale,1.0806,34.175
2023-03-02,28.8,19.8,0.9,73,39145.94,Mbale,1.0806,34.175
2023-03-03,28.8,18.4,1.8,77,36422.43,Mbale,1.0806,34.175
2023-03-04,29.0,19.3,0.4,72,41121.2,Mbale,1.0806,34.175
2023-03-05,32.0,19.0,0.1,68,41126.01,Mbale,1.0806,34.175
2023-03-06,34.2,18.2,0.0,60,38873.43,Mbale,1.0806,34.175
2023-03-07,35.1,17.8,0.0,47,41135.51,Mbale,1.0806,34.175
2023-03-08,35.0,20.4,0.0,43,37382.62,Mbale,1.0806,34.175
2023-03-09,34.0,20.5,0.0,49,41144.79,Mbale,1.0806,34.175
2023-03-10,31.1,19.2,11.3,63,32809.12,Mbale,1.0806,34.175
2023-03-11,30.4,20.6,0.4,64,39674.8,Mbale,1.0806,34.175
2023-03-12,24.3,18.7,20.8,86,14400.0,Mbale,1.0806,34.175
2023-03-13,30.0,17.6,2.3,72,41031.32,Mbale,1.0806,34.175
2023-03-14,24.3,18.8,22.9,85,14619.44,Mbale,1.0806,34.175
2023-03-15,25.6,17.3,10.2,84,38533.63,Mbale,1.0806,34.175
2023-03-16,26.5,18.2,10.7,81,32530.75,Mbale,1.0806,34.175
2023-03-17,28.7,17.9,10.3,75,38703.33,Mbale,1.0806,34.175
2023-03-18,24.6,18.1,12.0,82,15884.57,Mbale,1.0806,34.175
2023-03-19,26.8,17.9,8.0,77,40041.0,Mbale,1.0806,34.175
2023-03-20,25.2,17.8,41.4,86,38271.41,Mbale,1.0806,34.175
2023-03-21,26.8,16.6,2.0,81,21600.0,Mbale,1.0806,34.175
2023-03-22,27.8,19.0,1.6,74,37164.92,Mbale,1.0806,34.175
2023-03-23,25.5,18.6,8.7,82,26424.3,Mbale,1.0806,34.175
2023-03-24,27.2,17.5,4.5,82,33209.73,Mbale,1.0806,34.175
