time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,30.7,19.4,0.0,42,25039.17,Mbarara,-0.6057,30.6485
2025-01-02,30.5,17.2,0.4,54,41163.25,Mbarara,-0.6057,30.6485
2025-01-03,31.0,16.4,0.0,54,41001.05,Mbarara,-0.6057,30.6485
2025-01-04,31.8,16.2,0.0,49,38859.66,Mbarara,-0.6057,30.6485
2025-01-05,32.5,16.1,0.0,52,36366.43,Mbarara,-0.6057,30.6485
2025-01-06,31.8,15.4,0.0,52,34826.46,Mbarara,-0.6057,30.6485
2025-01-07,31.8,17.0,0.3,52,41166.8,Mbarara,-0.6057,30.6485
2025-01-08,30.6,17.1,0.4,53,41167.97,Mbarara,-0.6057,30.6485
2025-01-09,31.6,17.7,0.1,48,41169.19,Mbarara,-0.6057,30.6485
2025-01-10,31.2,16.7,0.0,55,41170.45,Mbarara,-0.6057,30.6485
2025-01-11,28.3,16.1,2.9,73,28661.16,Mbarara,-0.6057,30.6485
2025-01-12,30.1,15.6,0.0,64,25743.28,Mbarara,-0.6057,30.6485
2025-01-13,29.2,15.3,0.7,54,41174.42,Mbarara,-0.6057,30.6485
2025-01-14,32.1,16.8,0.0,51,39530.07,Mbarara,-0.6057,30.6485
2025-01-15,32.1,15.3,0.0,51,40727.79,Mbarara,-0.6057,30.6485
2025-01-16,27.6,14.5,1.3,62,41178.57,Mbarara,-0.6057,30.6485
2025-01-17,30.6,17.9,0.0,48,41179.97,Mbarara,-0.6057,30.6485
2025-01-18,31.7,14.6,0.0,52,39026.38,Mbarara,-0.6057,30.6485
2025-01-19,31.0,18.1,0.0,46,38971.29,Mbarara,-0.6057,30.6485
2025-01-20,30.2,17.0,0.1,52,38074.96,Mbarara,-0.6057,30.6485
2025-01-21,31.0,16.1,0.9,61,41185.52,Mbarara,-0.6057,30.6485
2025-01-22,29.4,16.1,11.5,69,38434.08,Mbarara,-0.6057,30.6485
2025-01-23,27.7,15.0,0.2,72,40036.43,Mbarara,-0.6057,30.6485
2025-01-24,29.0,16.1,0.2,64,40647.55,Mbarara,-0.6057,30.6485
2025-01-25,28.5,16.4,0.3,64,39352.37,Mbarara,-0.6057,30.6485
2025-01-26,28.5,15.9,0.0,60,40665.27,Mbarara,-0.6057,30.6485
2025-01-27,29.2,15.7,0.1,63,41031.57,Mbarara,-0.6057,30.6485
2025-01-28,29.0,15.3,0.0,54,29606.83,Mbarara,-0.6057,30.6485
2025-01-29,28.6,16.0,0.2,58,37004.44,Mbarara,-0.6057,30.6485
2025-01-30,30.2,15.4,0.0,58,38114.34,Mbarara,-0.6057,30.6485
2025-01-31,30.2,15.7,0.0,62,40600.32,Mbarara,-0.6057,30.6485
2025-02-01,27.6,16.0,0.5,59,33693.47,Mbarara,-0.6057,30.6485
2025-02-02,29.0,18.4,1.0,59,32885.68,Mbarara,-0.6057,30.6485
2025-02-03,31.7,18.3,0.7,55,39262.53,Mbarara,-0.6057,30.6485
2025-02-04,30.5,17.9,0.4,56,37180.47,Mbarara,-0.6057,30.6485
2025-02-05,30.6,17.6,2.1,58,36551.6,Mbarara,-0.6057,30.6485
2025-02-06,31.0,16.9,0.0,53,39464.71,Mbarara,-0.6057,30.6485
2025-02-07,30.4,16.9,0.1,53,38543.03,Mbarara,-0.6057,30.6485
2025-02-08,27.1,17.2,13.1,67,32714.53,Mbarara,-0.6057,30.6485
2025-02-09,31.4,15.9,0.0,62,41191.07,Mbarara,-0.6057,30.6485
2025-02-10,32.7,16.0,0.6,61,41076.0,Mbarara,-0.6057,30.6485
2025-02-11,32.4,18.9,0.8,59,35805.56,Mbarara,-0.6057,30.6485
2025-02-12,32.0,17.5,0.7,60,35601.66,Mbarara,-0.6057,30.6485
2025-02-13,31.3,17.7,0.1,56,39289.68,Mbarara,-0.6057,30.6485
2025-02-14,31.6,18.7,1.0,64,30285.75,Mbarara,-0.6057,30.6485
2025-02-15,31.3,16.7,0.1,60,41065.96,Mbarara,-0.6057,30.6485
2025-02-16,31.4,16.7,0.3,59,36547.97,Mbarara,-0.6057,30.6485
2025-02-17,31.5,16.9,0.7,59,39800.2,Mbarara,-0.6057,30.6485
2025-02-18,32.1,15.6,0.4,59,40824.2,Mbarara,-0.6057,30.6485
2025-02-19,33.1,14.5,0.0,51,41215.34,Mbarara,-0.6057,30.6485
2025-02-20,34.3,17.1,0.0,45,36269.16,Mbarara,-0.6057,30.6485
2025-02-21,33.4,17.4,0.0,47,39492.75,Mbarara,-0.6057,30.6485
2025-02-22,32.0,17.2,0.0,44,41141.17,Mbarara,-0.6057,30.6485
2025-02-23,32.6,17.1,0.0,46,40902.74,Mbarara,-0.6057,30.6485
2025-02-24,33.0,16.4,0.0,45,38273.25,Mbarara,-0.6057,30.6485
2025-02-25,32.8,17.6,0.0,44,41115.46,Mbarara,-0.6057,30.6485
2025-02-26,33.2,16.7,0.0,36,41215.71,Mbarara,-0.6057,30.6485
2025-02-27,34.1,16.8,0.0,44,41215.5,Mbarara,-0.6057,30.6485
2025-02-28,34.7,16.8,0.0,38,41215.24,Mbarara,-0.6057,30.6485
2025-03-01,34.9,15.9,0.0,39,41214.91,Mbarara,-0.6057,30.6485
2025-03-02,33.3,19.8,0.0,44,41214.5,Mbarara,-0.6057,30.6485
2025-03-03,32.5,18.7,0.0,44,41169.82,Mbarara,-0.6057,30.6485
2025-03-04,33.6,18.3,0.2,50,36652.16,Mbarara,-0.6057,30.6485
2025-03-05,33.5,19.0,0.0,48,35036.93,Mbarara,-0.6057,30.6485
2025-03-06,33.1,20.3,0.0,38,39598.27,Mbarara,-0.6057,30.6485
2025-03-07,33.1,20.7,0.1,38,36407.22,Mbarara,-0.6057,30.6485
2025-03-08,31.1,19.6,2.0,56,40041.56,Mbarara,-0.6057,30.6485
2025-03-09,31.0,19.0,0.6,53,36545.07,Mbarara,-0.6057,30.6485
2025-03-10,29.7,17.7,2.1,66,26060.74,Mbarara,-0.6057,30.6485
2025-03-11,33.0,17.5,0.7,61,27689.4,Mbarara,-0.6057,30.6485
2025-03-12,30.2,18.2,3.2,64,34414.7,Mbarara,-0.6057,30.6485
2025-03-13,29.9,17.8,0.7,61,41203.75,Mbarara,-0.6057,30.6485
2025-03-14,32.3,16.2,0.5,55,41202.2,Mbarara,-0.6057,30.6485
2025-03-15,30.9,18.3,0.4,59,36023.13,Mbarara,-0.6057,30.6485
2025-03-16,27.9,17.1,0.0,60,29184.2,Mbarara,-0.6057,30.6485
2025-03-17,31.5,16.2,3.6,60,41197.08,Mbarara,-0.6057,30.6485
2025-03-18,31.8,17.6,1.7,60,40990.44,Mbarara,-0.6057,30.6485
2025-03-19,27.4,18.0,10.7,71,31751.92,Mbarara,-0.6057,30.6485
2025-03-20,24.4,17.0,1.3,76,16924.78,Mbarara,-0.6057,30.6485
2025-03-21,28.3,15.6,0.2,70,40319.77,Mbarara,-0.6057,30.6485
2025-03-22,30.0,15.2,5.8,72,38352.65,Mbarara,-0.6057,30.6485
2025-03-23,25.6,16.2,2.0,79,32071.48,Mbarara,-0.6057,30.6485
2025-03-24,26.9,15.6,0.9,73,40487.14,Mbarara,-0.6057,30.6485
2025-03-25,28.4,16.1,0.7,68,41180.46,Mbarara,-0.6057,30.6485
2025-03-26,28.9,15.2,0.9,71,41178.12,Mbarara,-0.6057,30.6485
2025-03-27,27.0,17.3,2.2,76,39733.54,Mbarara,-0.6057,30.6485
2025-03-28,27.2,16.3,8.7,77,32891.14,Mbarara,-0.6057,30.6485
2025-03-29,27.3,17.2,1.0,80,35103.08,Mbarara,-0.6057,30.6485
2025-03-30,28.9,15.9,3.6,79,38483.08,Mbarara,-0.6057,30.6485
2025-03-31,27.5,15.5,3.0,78,41164.36,Mbarara,-0.6057,30.6485
