time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,24.9,18.7,0.1,61,35056.95,Mitooma,-0.6094,30.0036
2025-01-02,27.1,16.7,0.1,62,38870.58,Mitooma,-0.6094,30.0036
2025-01-03,25.9,15.1,0.1,67,37162.17,Mitooma,-0.6094,30.0036
2025-01-04,25.4,17.2,0.0,66,41164.54,Mitooma,-0.6094,30.0036
2025-01-05,26.9,16.4,0.1,68,41165.22,Mitooma,-0.6094,30.0036
2025-01-06,26.9,16.2,0.1,63,41165.91,Mitooma,-0.6094,30.0036
2025-01-07,25.3,18.2,0.9,64,41166.8,Mitooma,-0.6094,30.0036
2025-01-08,24.1,16.9,0.1,70,41167.98,Mitooma,-0.6094,30.0036
2025-01-09,25.6,17.5,1.0,69,41169.19,Mitooma,-0.6094,30.0036
2025-01-10,25.7,17.4,1.4,68,41170.45,Mitooma,-0.6094,30.0036
2025-01-11,24.3,15.6,1.9,77,40561.66,Mitooma,-0.6094,30.0036
2025-01-12,24.9,17.6,0.0,69,28527.8,Mitooma,-0.6094,30.0036
2025-01-13,25.2,17.5,0.8,66,41174.42,Mitooma,-0.6094,30.0036
2025-01-14,26.1,17.6,0.3,68,40764.0,Mitooma,-0.6094,30.0036
2025-01-15,27.5,17.5,0.2,58,39978.99,Mitooma,-0.6094,30.0036
2025-01-16,25.0,13.9,0.2,67,40559.21,Mitooma,-0.6094,30.0036
2025-01-17,26.3,16.1,0.1,63,40221.4,Mitooma,-0.6094,30.0036
2025-01-18,26.2,15.5,0.0,63,36313.47,Mitooma,-0.6094,30.0036
2025-01-19,25.6,18.8,0.0,59,36915.69,Mitooma,-0.6094,30.0036
2025-01-20,24.3,17.0,0.1,72,34738.51,Mitooma,-0.6094,30.0036
2025-01-21,25.3,16.2,2.6,79,39277.38,Mitooma,-0.6094,30.0036
2025-01-22,23.8,16.7,3.8,78,33110.9,Mitooma,-0.6094,30.0036
2025-01-23,24.5,14.6,0.1,79,40778.15,Mitooma,-0.6094,30.0036
2025-01-24,25.2,17.4,0.2,70,40675.37,Mitooma,-0.6094,30.0036
2025-01-25,24.3,16.1,0.0,73,40799.76,Mitooma,-0.6094,30.0036
2025-01-26,24.7,16.6,0.9,76,40696.27,Mitooma,-0.6094,30.0036
2025-01-27,24.9,18.3,0.4,64,40480.3,Mitooma,-0.6094,30.0036
2025-01-28,24.9,17.5,0.0,59,40489.52,Mitooma,-0.6094,30.0036
2025-01-29,24.6,16.4,0.0,66,34972.87,Mitooma,-0.6094,30.0036
2025-01-30,25.3,17.3,0.2,65,39399.8,Mitooma,-0.6094,30.0036
2025-01-31,25.3,15.5,0.7,72,40734.67,Mitooma,-0.6094,30.0036
2025-02-01,23.7,16.9,0.0,65,35630.51,Mitooma,-0.6094,30.0036
2025-02-02,25.1,16.5,0.8,65,38311.0,Mitooma,-0.6094,30.0036
2025-02-03,25.8,16.5,1.7,70,33869.3,Mitooma,-0.6094,30.0036
2025-02-04,27.0,16.5,0.0,66,40313.45,Mitooma,-0.6094,30.0036
2025-02-05,26.6,17.0,0.9,69,40097.93,Mitooma,-0.6094,30.0036
2025-02-06,25.5,16.6,1.5,73,37108.21,Mitooma,-0.6094,30.0036
2025-02-07,26.5,16.1,0.7,70,33560.19,Mitooma,-0.6094,30.0036
2025-02-08,24.2,17.3,9.0,78,22415.99,Mitooma,-0.6094,30.0036
2025-02-09,27.1,14.7,0.2,72,40434.76,Mitooma,-0.6094,30.0036
2025-02-10,26.8,15.6,0.7,71,40544.04,Mitooma,-0.6094,30.0036
2025-02-11,27.3,18.7,0.5,70,39218.8,Mitooma,-0.6094,30.0036
2025-02-12,27.4,17.1,2.9,69,39671.82,Mitooma,-0.6094,30.0036
2025-02-13,27.4,17.6,1.3,68,40105.74,Mitooma,-0.6094,30.0036
2025-02-14,23.7,17.4,20.3,83,18885.88,Mitooma,-0.6094,30.0036
2025-02-15,26.6,17.0,0.2,77,36743.86,Mitooma,-0.6094,30.0036
2025-02-16,25.8,18.1,1.5,74,40206.07,Mitooma,-0.6094,30.0036
2025-02-17,26.1,17.4,2.6,69,38211.97,Mitooma,-0.6094,30.0036
2025-02-18,26.9,18.4,0.0,67,40632.26,Mitooma,-0.6094,30.0036
2025-02-19,27.7,17.2,0.0,65,40844.73,Mitooma,-0.6094,30.0036
2025-02-20,26.0,16.5,0.1,67,40947.73,Mitooma,-0.6094,30.0036
2025-02-21,27.9,17.9,0.1,62,40940.93,Mitooma,-0.6094,30.0036
2025-02-22,27.0,17.2,1.7,59,40494.72,Mitooma,-0.6094,30.0036
2025-02-23,28.7,18.3,0.1,59,40925.52,Mitooma,-0.6094,30.0036
2025-02-24,27.8,16.0,0.1,56,40696.62,Mitooma,-0.6094,30.0036
2025-02-25,28.2,17.2,0.0,56,39369.64,Mitooma,-0.6094,30.0036
2025-02-26,28.2,16.9,0.0,55,41119.7,Mitooma,-0.6094,30.0036
2025-02-27,27.1,16.9,0.1,66,41110.25,Mitooma,-0.6094,30.0036
2025-02-28,28.9,17.6,0.1,55,41100.41,Mitooma,-0.6094,30.0036
2025-03-01,30.1,19.6,0.0,50,40549.75,Mitooma,-0.6094,30.0036
2025-03-02,29.2,18.4,0.5,63,40855.79,Mitooma,-0.6094,30.0036
2025-03-03,28.4,15.9,0.8,63,40732.01,Mitooma,-0.6094,30.0036
2025-03-04,29.4,17.9,0.8,64,36643.15,Mitooma,-0.6094,30.0036
2025-03-05,30.5,17.7,0.7,59,39294.31,Mitooma,-0.6094,30.0036
2025-03-06,29.6,18.7,0.8,51,34342.78,Mitooma,-0.6094,30.0036
2025-03-07,29.4,17.8,9.9,59,34981.35,Mitooma,-0.6094,30.0036
2025-03-08,25.9,18.6,3.1,71,40099.12,Mitooma,-0.6094,30.0036
2025-03-09,27.2,17.8,10.9,69,36666.08,Mitooma,-0.6094,30.0036
2025-03-10,27.1,17.5,0.2,64,40164.46,Mitooma,-0.6094,30.0036
2025-03-11,27.8,18.3,0.6,67,34792.17,Mitooma,-0.6094,30.0036
2025-03-12,26.2,19.1,6.9,67,32217.82,Mitooma,-0.6094,30.0036
2025-03-13,26.8,16.8,0.2,64,39782.53,Mitooma,-0.6094,30.0036
2025-03-14,27.7,16.3,5.2,65,41202.2,Mitooma,-0.6094,30.0036
2025-03-15,26.7,16.5,17.3,79,34001.14,Mitooma,-0.6094,30.0036
2025-03-16,24.7,17.3,4.5,75,35653.51,Mitooma,-0.6094,30.0036
