time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,22.3,17.7,2.0,89,5174.56,Mityana,0.417,32.0423
2021-01-02,24.5,16.8,0.2,84,25153.54,Mityana,0.417,32.0423
2021-01-03,23.9,16.9,0.4,84,33340.62,Mityana,0.417,32.0423
2021-01-04,25.5,16.6,1.2,81,40966.95,Mityana,0.417,32.0423
2021-01-05,27.9,16.9,0.1,75,40576.5,Mityana,0.417,32.0423
2021-01-06,25.5,16.7,3.0,82,40970.61,Mityana,0.417,32.0423
2021-01-07,29.0,15.8,0.0,72,40486.7,Mityana,0.417,32.0423
2021-01-08,29.8,16.5,0.0,65,40372.17,Mityana,0.417,32.0423
2021-01-09,25.9,17.8,0.4,71,20907.34,Mityana,0.417,32.0423
2021-01-10,25.4,17.0,1.8,82,30946.99,Mityana,0.417,32.0423
2021-01-11,27.2,17.5,0.1,83,27870.84,Mityana,0.417,32.0423
2021-01-12,25.7,18.7,0.6,70,16531.99,Mityana,0.417,32.0423
2021-01-13,27.8,17.6,1.1,78,40605.91,Mityana,0.417,32.0423
2021-01-14,27.5,17.7,4.3,82,32578.15,Mityana,0.417,32.0423
2021-01-15,27.4,18.8,0.2,78,35193.6,Mityana,0.417,32.0423
2021-01-16,23.8,17.9,2.7,85,24617.32,Mityana,0.417,32.0423
2021-01-17,27.5,16.9,2.5,81,40806.21,Mityana,0.417,32.0423
2021-01-18,29.1,18.4,1.0,77,39229.01,Mityana,0.417,32.0423
2021-01-19,26.5,18.4,0.1,79,34374.64,Mityana,0.417,32.0423
2021-01-20,24.9,16.7,2.9,81,41011.66,Mityana,0.417,32.0423
2021-01-21,27.8,16.4,0.0,78,39077.87,Mityana,0.417,32.0423
2021-01-22,28.7,17.3,0.0,69,40115.27,Mityana,0.417,32.0423
2021-01-23,28.0,18.3,0.1,72,40890.62,Mityana,0.417,32.0423
2021-01-24,26.5,18.4,0.1,76,26140.88,Mityana,0.417,32.0423
2021-01-25,26.7,17.9,0.9,74,32542.48,Mityana,0.417,32.0423
2021-01-26,26.2,16.4,1.6,79,40871.36,Mityana,0.417,32.0423
2021-01-27,27.3,15.6,0.7,72,41036.43,Mityana,0.417,32.0423
2021-01-28,28.6,16.4,0.1,72,41040.02,Mityana,0.417,32.0423
2021-01-29,29.3,17.3,0.0,68,40948.94,Mityana,0.417,32.0423
2021-01-30,26.1,19.0,2.7,80,34322.49,Mityana,0.417,32.0423
2021-01-31,27.5,17.4,1.5,76,39972.9,Mityana,0.417,32.0423
2021-02-01,29.0,16.0,0.0,67,40351.27,Mityana,0.417,32.0423
2021-02-02,28.6,15.7,0.1,73,40111.31,Mityana,0.417,32.0423
2021-02-03,29.2,16.0,0.2,71,41062.86,Mityana,0.417,32.0423
2021-02-04,27.6,17.7,7.1,78,39254.81,Mityana,0.417,32.0423
2021-02-05,27.5,19.4,0.8,73,39269.22,Mityana,0.417,32.0423
2021-02-06,30.3,19.6,0.0,58,40989.04,Mityana,0.417,32.0423
2021-02-07,30.9,18.2,0.0,49,40746.71,Mityana,0.417,32.0423
2021-02-08,31.1,17.5,0.0,43,41082.41,Mityana,0.417,32.0423
2021-02-09,32.0,17.8,0.0,50,40383.75,Mityana,0.417,32.0423
2021-02-10,27.7,19.3,8.2,75,39286.07,Mityana,0.417,32.0423
2021-02-11,26.4,19.7,6.6,77,24809.56,Mityana,0.417,32.0423
2021-02-12,28.2,18.7,0.9,80,32715.07,Mityana,0.417,32.0423
2021-02-13,25.0,18.8,1.8,83,33875.33,Mityana,0.417,32.0423
2021-02-14,25.8,19.0,1.1,83,25437.03,Mityana,0.417,32.0423
2021-02-15,28.0,17.4,3.4,82,41108.72,Mityana,0.417,32.0423
2021-02-16,25.4,18.3,4.6,87,21496.03,Mityana,0.417,32.0423
2021-02-17,27.2,17.7,1.7,81,38702.04,Mityana,0.417,32.0423
2021-02-18,25.7,18.8,3.1,85,28109.2,Mityana,0.417,32.0423
2021-02-19,26.9,16.6,0.0,70,39755.16,Mityana,0.417,32.0423
2021-02-20,29.1,17.2,0.0,57,40361.01,Mityana,0.417,32.0423
2021-02-21,30.0,16.4,0.0,54,41058.91,Mityana,0.417,32.0423
2021-02-22,26.0,17.9,1.4,76,29743.28,Mityana,0.417,32.0423
2021-02-23,28.2,18.0,0.0,71,28140.14,Mityana,0.417,32.0423
2021-02-24,29.4,18.3,0.1,62,38419.91,Mityana,0.417,32.0423
2021-02-25,27.5,17.3,1.0,73,36517.68,Mityana,0.417,32.0423
2021-02-26,28.9,17.1,0.0,68,41144.45,Mityana,0.417,32.0423
2021-02-27,30.9,17.1,0.0,64,39805.1,Mityana,0.417,32.0423
2021-02-28,31.7,17.1,0.0,67,41150.39,Mityana,0.417,32.0423
2021-03-01,29.3,18.7,0.6,68,40776.24,Mityana,0.417,32.0423
2021-03-02,28.8,19.1,0.5,72,41156.09,Mityana,0.417,32.0423
2021-03-03,26.9,20.1,2.6,71,30851.76,Mityana,0.417,32.0423
2021-03-04,26.1,18.8,4.3,77,34926.81,Mityana,0.417,32.0423
2021-03-05,28.6,18.9,2.0,72,37059.71,Mityana,0.417,32.0423
2021-03-06,26.5,18.7,5.2,77,40342.05,Mityana,0.417,32.0423
2021-03-07,27.6,18.4,3.1,78,40960.63,Mityana,0.417,32.0423
2021-03-08,26.9,18.4,7.6,81,39996.59,Mityana,0.417,32.0423
2021-03-09,25.0,18.1,5.2,83,38779.93,Mityana,0.417,32.0423
2021-03-10,26.8,17.4,2.9,78,39143.85,Mityana,0.417,32.0423
2021-03-11,29.5,16.8,0.1,72,41177.5,Mityana,0.417,32.0423
2021-03-12,29.9,17.0,0.3,71,41179.32,Mityana,0.417,32.0423
2021-03-13,29.9,18.7,0.0,66,41181.09,Mityana,0.417,32.0423
2021-03-14,29.4,18.1,0.2,63,40098.79,Mityana,0.417,32.0423
2021-03-15,29.6,18.4,0.1,64,39661.88,Mityana,0.417,32.0423
2021-03-16,26.8,18.6,1.2,72,40323.24,Mityana,0.417,32.0423
2021-03-17,26.3,18.5,5.7,79,38481.47,Mityana,0.417,32.0423
2021-03-18,26.9,18.2,1.2,78,39507.14,Mityana,0.417,32.0423
2021-03-19,28.1,17.6,2.6,77,37746.06,Mityana,0.417,32.0423
2021-03-20,25.8,18.4,2.8,81,39055.19,Mityana,0.417,32.0423
2021-03-21,26.1,19.4,3.0,75,36923.18,Mityana,0.417,32.0423
2021-03-22,26.7,18.5,4.7,82,25222.76,Mityana,0.417,32.0423
2021-03-23,26.2,18.5,5.7,82,33098.95,Mityana,0.417,32.0423
2021-03-24,27.6,17.5,0.3,77,41196.06,Mityana,0.417,32.0423
2021-03-25,29.9,16.0,0.0,72,41197.0,Mityana,0.417,32.0423
2021-03-26,29.2,16.5,0.2,72,39480.28,Mityana,0.417,32.0423
2021-03-27,25.0,17.2,0.3,71,8091.16,Mityana,0.417,32.0423
2021-03-28,27.2,17.0,0.5,67,41199.39,Mityana,0.417,32.0423
2021-03-29,28.0,18.2,1.0,79,26644.73,Mityana,0.417,32.0423
2021-03-30,23.2,16.9,2.5,84,10417.24,Mityana,0.417,32.0423
2021-03-31,24.4,16.4,2.2,83,36901.98,Mityana,0.417,32.0423
2021-04-01,24.7,17.1,5.1,84,35376.79,Mityana,0.417,32.0423
2021-04-02,25.8,17.7,1.7,84,37029.96,Mityana,0.417,32.0423
2021-04-03,25.1,17.9,5.4,86,37801.57,Mityana,0.417,32.0423
2021-04-04,25.4,17.1,3.0,87,37884.34,Mityana,0.417,32.0423
2021-04-05,24.9,16.4,8.4,87,38037.76,Mityana,0.417,32.0423
2021-04-06,24.6,17.7,1.6,85,29632.45,Mityana,0.417,32.0423
2021-04-07,25.0,17.1,3.9,85,36097.04,Mityana,0.417,32.0423
2021-04-08,24.2,18.2,9.8,89,25103.78,Mityana,0.417,32.0423
2021-04-09,23.8,17.5,0.2,86,40233.75,Mityana,0.417,32.0423
2021-04-10,25.6,16.7,1.5,83,41198.67,Mityana,0.417,32.0423
2021-04-11,23.1,18.0,3.8,85,38839.23,Mityana,0.417,32.0423
2021-04-12,25.2,17.5,3.2,83,39185.9,Mityana,0.417,32.0423
2021-04-13,21.4,17.6,28.0,89,6248.13,Mityana,0.417,32.0423
2021-04-14,24.8,15.5,2.4,84,40925.3,Mityana,0.417,32.0423
2021-04-15,25.1,16.9,0.6,83,41007.24,Mityana,0.417,32.0423
2021-04-16,24.4,16.8,1.3,88,41194.78,Mityana,0.417,32.0423
2021-04-17,24.8,17.4,0.9,86,40932.84,Mityana,0.417,32.0423
2021-04-18,23.7,17.2,1.4,88,40451.05,Mityana,0.417,32.0423
2021-04-19,23.5,17.2,14.4,91,23205.63,Mityana,0.417,32.0423
2021-04-20,22.1,17.9,8.0,90,17162.32,Mityana,0.417,32.0423
2021-04-21,23.3,17.5,6.2,88,27236.18,Mityana,0.417,32.0423
2021-04-22,23.4,17.5,3.0,88,26803.9,Mityana,0.417,32.0423
2021-04-23,24.0,16.5,4.4,88,19877.51,Mityana,0.417,32.0423
2021-04-24,23.6,18.0,5.2,89,22392.09,Mityana,0.417,32.0423
2021-04-25,22.6,17.3,15.3,94,5917.58,Mityana,0.417,32.0423
2021-04-26,24.9,14.5,0.0,81,39992.72,Mityana,0.417,32.0423
2021-04-27,25.5,16.4,0.6,80,41180.86,Mityana,0.417,32.0423
2021-04-28,24.8,16.4,6.2,89,40788.62,Mityana,0.417,32.0423
2021-04-29,24.5,17.4,3.3,88,35007.62,Mityana,0.417,32.0423
2021-04-30,23.8,17.9,0.5,87,38317.83,Mityana,0.417,32.0423
2021-05-01,25.1,17.2,3.3,88,41174.38,Mityana,0.417,32.0423
2021-05-02,25.2,16.8,0.5,85,41172.69,Mityana,0.417,32.0423
2021-05-03,22.9,17.5,7.9,92,18882.66,Mityana,0.417,32.0423
2021-05-04,23.3,16.6,2.9,89,33517.42,Mityana,0.417,32.0423
2021-05-05,23.6,16.9,2.9,91,30078.51,Mityana,0.417,32.0423
2021-05-06,23.0,17.2,6.3,93,22786.17,Mityana,0.417,32.0423
2021-05-07,22.8,17.0,1.6,86,21046.01,Mityana,0.417,32.0423
