time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,29.1,16.9,0.0,48,39829.23,Moroto,2.5387,34.6666
2019-01-02,29.1,17.5,0.0,44,39806.54,Moroto,2.5387,34.6666
2019-01-03,29.7,20.0,0.0,42,39587.13,Moroto,2.5387,34.6666
2019-01-04,26.9,19.4,1.2,56,35592.11,Moroto,2.5387,34.6666
2019-01-05,28.9,20.6,0.0,42,39636.98,Moroto,2.5387,34.6666
2019-01-06,29.1,19.3,0.0,38,39123.83,Moroto,2.5387,34.6666
2019-01-07,28.4,20.9,0.0,29,39683.13,Moroto,2.5387,34.6666
2019-01-08,30.2,20.6,0.0,30,38631.54,Moroto,2.5387,34.6666
2019-01-09,30.0,19.0,0.0,33,40277.22,Moroto,2.5387,34.6666
2019-01-10,29.4,19.3,0.0,35,36759.65,Moroto,2.5387,34.6666
2019-01-11,29.8,18.7,0.0,35,40459.66,Moroto,2.5387,34.6666
2019-01-12,29.4,17.9,0.0,33,40445.92,Moroto,2.5387,34.6666
2019-01-13,29.4,18.0,0.0,29,40541.5,Moroto,2.5387,34.6666
2019-01-14,30.5,18.2,0.0,34,40309.21,Moroto,2.5387,34.6666
2019-01-15,29.8,19.0,0.0,36,40073.89,Moroto,2.5387,34.6666
2019-01-16,28.5,18.3,1.5,47,40059.07,Moroto,2.5387,34.6666
2019-01-17,30.5,18.1,0.1,52,40599.34,Moroto,2.5387,34.6666
2019-01-18,29.7,19.1,0.1,41,40370.7,Moroto,2.5387,34.6666
2019-01-19,28.8,19.8,0.1,40,40132.65,Moroto,2.5387,34.6666
2019-01-20,30.6,18.7,0.0,34,40235.67,Moroto,2.5387,34.6666
2019-01-21,30.4,20.6,0.0,39,39420.59,Moroto,2.5387,34.6666
2019-01-22,31.6,19.3,0.0,33,40637.59,Moroto,2.5387,34.6666
2019-01-23,30.3,19.6,0.0,35,39973.98,Moroto,2.5387,34.6666
2019-01-24,30.8,19.2,0.0,35,40654.59,Moroto,2.5387,34.6666
2019-01-25,31.1,17.6,0.0,34,40663.37,Moroto,2.5387,34.6666
2019-01-26,31.8,18.9,0.0,31,40672.3,Moroto,2.5387,34.6666
2019-01-27,31.6,20.3,0.0,36,40681.4,Moroto,2.5387,34.6666
2019-01-28,30.9,20.4,0.0,36,40690.62,Moroto,2.5387,34.6666
2019-01-29,30.3,21.7,0.0,33,40699.96,Moroto,2.5387,34.6666
2019-01-30,30.5,18.8,0.0,32,40709.41,Moroto,2.5387,34.6666
2019-01-31,30.4,17.8,0.0,33,40718.94,Moroto,2.5387,34.6666
2019-02-01,31.5,20.2,0.0,34,40728.55,Moroto,2.5387,34.6666
2019-02-02,31.7,19.5,0.0,24,40738.21,Moroto,2.5387,34.6666
