time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,32.0,22.1,0.0,30,39963.23,Moyo,3.66,31.73
2025-01-02,32.9,20.9,0.0,31,39620.39,Moyo,3.66,31.73
2025-01-03,33.5,19.7,0.0,33,39439.75,Moyo,3.66,31.73
2025-01-04,33.8,20.3,0.0,32,37919.13,Moyo,3.66,31.73
2025-01-05,34.5,21.3,0.0,30,35525.95,Moyo,3.66,31.73
2025-01-06,34.3,21.0,0.0,29,39248.17,Moyo,3.66,31.73
2025-01-07,34.1,22.1,0.0,27,40217.11,Moyo,3.66,31.73
2025-01-08,32.3,22.3,0.0,24,40076.89,Moyo,3.66,31.73
2025-01-09,34.1,21.9,0.0,22,40327.18,Moyo,3.66,31.73
2025-01-10,34.1,22.7,0.0,23,40334.7,Moyo,3.66,31.73
2025-01-11,32.7,20.8,0.1,37,39889.81,Moyo,3.66,31.73
2025-01-12,32.8,21.6,0.0,29,39064.0,Moyo,3.66,31.73
2025-01-13,31.9,21.8,0.0,29,39078.5,Moyo,3.66,31.73
2025-01-14,34.0,22.6,0.0,26,38539.11,Moyo,3.66,31.73
2025-01-15,34.9,21.8,0.0,27,39111.02,Moyo,3.66,31.73
2025-01-16,34.9,22.6,0.0,24,39878.46,Moyo,3.66,31.73
2025-01-17,35.3,21.0,0.0,23,36109.3,Moyo,3.66,31.73
2025-01-18,35.6,21.2,0.0,25,39031.39,Moyo,3.66,31.73
2025-01-19,34.3,22.0,0.0,26,30562.3,Moyo,3.66,31.73
2025-01-20,34.2,20.9,0.0,29,39297.6,Moyo,3.66,31.73
2025-01-21,34.1,19.9,0.0,41,40096.21,Moyo,3.66,31.73
2025-01-22,33.6,21.4,0.0,35,40114.12,Moyo,3.66,31.73
2025-01-23,33.2,19.9,0.0,48,35550.71,Moyo,3.66,31.73
2025-01-24,33.7,21.6,0.0,27,40148.02,Moyo,3.66,31.73
2025-01-25,33.7,20.9,0.0,28,39932.51,Moyo,3.66,31.73
2025-01-26,33.4,20.1,0.0,26,39832.95,Moyo,3.66,31.73
2025-01-27,33.2,22.1,0.0,17,40308.61,Moyo,3.66,31.73
2025-01-28,33.5,21.6,0.0,17,40322.3,Moyo,3.66,31.73
2025-01-29,33.2,19.4,0.0,18,40335.47,Moyo,3.66,31.73
2025-01-30,32.9,22.1,0.0,16,40233.76,Moyo,3.66,31.73
2025-01-31,32.5,22.6,0.0,17,38073.04,Moyo,3.66,31.73
2025-02-01,33.0,21.7,0.0,23,40029.73,Moyo,3.66,31.73
2025-02-02,34.0,21.3,0.0,27,33993.11,Moyo,3.66,31.73
2025-02-03,35.6,21.5,0.0,27,34542.86,Moyo,3.66,31.73
2025-02-04,36.1,23.6,0.0,24,38563.77,Moyo,3.66,31.73
2025-02-05,35.7,22.3,0.0,26,37525.13,Moyo,3.66,31.73
2025-02-06,35.7,21.8,0.0,25,36946.83,Moyo,3.66,31.73
2025-02-07,34.9,24.1,0.0,22,36947.26,Moyo,3.66,31.73
2025-02-08,34.5,21.5,0.0,27,40212.58,Moyo,3.66,31.73
2025-02-09,35.7,20.2,0.0,42,40220.22,Moyo,3.66,31.73
2025-02-10,35.6,24.4,0.0,30,39428.52,Moyo,3.66,31.73
2025-02-11,36.6,23.7,0.0,28,39434.21,Moyo,3.66,31.73
2025-02-12,36.7,25.3,0.0,27,34146.64,Moyo,3.66,31.73
2025-02-13,36.2,24.2,0.0,31,39558.05,Moyo,3.66,31.73
2025-02-14,36.9,22.2,0.0,29,37767.45,Moyo,3.66,31.73
2025-02-15,34.9,20.6,0.0,44,40139.47,Moyo,3.66,31.73
2025-02-16,34.7,22.4,0.0,40,40258.03,Moyo,3.66,31.73
2025-02-17,37.2,24.4,0.0,29,40260.9,Moyo,3.66,31.73
2025-02-18,36.8,22.2,0.0,26,40494.25,Moyo,3.66,31.73
2025-02-19,36.2,21.4,0.0,29,40380.25,Moyo,3.66,31.73
2025-02-20,36.1,23.5,0.0,25,38139.47,Moyo,3.66,31.73
2025-02-21,37.1,22.9,0.0,20,39095.02,Moyo,3.66,31.73
2025-02-22,38.3,24.2,0.0,21,38832.81,Moyo,3.66,31.73
2025-02-23,37.5,23.1,0.0,22,40849.3,Moyo,3.66,31.73
2025-02-24,38.1,21.3,0.0,21,32953.27,Moyo,3.66,31.73
2025-02-25,38.0,22.6,0.0,21,40887.32,Moyo,3.66,31.73
2025-02-26,37.7,24.1,0.0,20,36159.42,Moyo,3.66,31.73
2025-02-27,36.6,21.6,0.0,29,40914.96,Moyo,3.66,31.73
