time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,26.0,16.1,0.4,78,40989.62,Mpigi,0.225,32.3136
2020-01-02,26.1,16.0,0.5,76,40991.13,Mpigi,0.225,32.3136
2020-01-03,26.7,17.0,0.4,75,40992.74,Mpigi,0.225,32.3136
2020-01-04,25.9,17.7,0.2,82,40192.51,Mpigi,0.225,32.3136
2020-01-05,26.6,17.5,2.7,77,40370.04,Mpigi,0.225,32.3136
2020-01-06,25.7,17.6,2.9,81,31492.83,Mpigi,0.225,32.3136
2020-01-07,26.4,17.0,0.1,80,38619.08,Mpigi,0.225,32.3136
2020-01-08,24.9,18.3,5.0,84,33515.38,Mpigi,0.225,32.3136
2020-01-09,25.7,17.5,1.9,81,38545.5,Mpigi,0.225,32.3136
2020-01-10,25.6,16.9,0.9,83,39804.97,Mpigi,0.225,32.3136
2020-01-11,27.7,17.5,1.2,73,40508.46,Mpigi,0.225,32.3136
2020-01-12,26.4,17.9,0.5,78,40393.25,Mpigi,0.225,32.3136
2020-01-13,23.8,17.0,10.5,88,38781.63,Mpigi,0.225,32.3136
2020-01-14,27.8,15.4,0.0,76,41015.44,Mpigi,0.225,32.3136
2020-01-15,27.9,17.1,0.0,77,41018.2,Mpigi,0.225,32.3136
2020-01-16,26.0,16.7,2.2,82,41021.07,Mpigi,0.225,32.3136
2020-01-17,26.1,18.7,1.4,84,40616.95,Mpigi,0.225,32.3136
2020-01-18,27.7,18.0,2.2,79,40567.8,Mpigi,0.225,32.3136
2020-01-19,28.6,16.6,0.0,70,40123.29,Mpigi,0.225,32.3136
2020-01-20,28.6,15.5,0.0,62,40368.46,Mpigi,0.225,32.3136
2020-01-21,29.0,16.5,0.0,50,41036.61,Mpigi,0.225,32.3136
2020-01-22,29.0,16.8,0.0,50,41039.9,Mpigi,0.225,32.3136
2020-01-23,28.9,16.4,0.0,48,40182.15,Mpigi,0.225,32.3136
2020-01-24,28.7,17.2,0.0,52,40578.26,Mpigi,0.225,32.3136
2020-01-25,28.7,17.0,0.4,72,36460.37,Mpigi,0.225,32.3136
2020-01-26,24.5,19.0,5.8,82,20257.12,Mpigi,0.225,32.3136
2020-01-27,25.3,17.9,10.0,84,30554.67,Mpigi,0.225,32.3136
2020-01-28,23.0,17.6,11.8,90,15207.24,Mpigi,0.225,32.3136
2020-01-29,21.7,17.6,9.6,88,5798.67,Mpigi,0.225,32.3136
2020-01-30,24.9,17.5,9.9,87,25584.96,Mpigi,0.225,32.3136
2020-01-31,21.5,16.6,8.5,92,15600.13,Mpigi,0.225,32.3136
2020-02-01,23.9,16.4,1.3,89,23961.16,Mpigi,0.225,32.3136
2020-02-02,25.1,15.9,0.0,80,40549.91,Mpigi,0.225,32.3136
2020-02-03,24.5,17.0,3.4,83,40931.95,Mpigi,0.225,32.3136
2020-02-04,24.2,17.0,12.9,88,37837.72,Mpigi,0.225,32.3136
2020-02-05,23.7,17.1,9.5,91,36129.41,Mpigi,0.225,32.3136
2020-02-06,24.0,17.4,3.8,87,36968.04,Mpigi,0.225,32.3136
2020-02-07,25.6,17.3,1.1,80,41093.98,Mpigi,0.225,32.3136
2020-02-08,26.8,16.6,0.1,77,41097.41,Mpigi,0.225,32.3136
2020-02-09,27.8,16.1,0.0,76,41072.89,Mpigi,0.225,32.3136
2020-02-10,27.9,15.7,0.0,71,41104.25,Mpigi,0.225,32.3136
2020-02-11,28.3,15.4,0.0,67,41107.65,Mpigi,0.225,32.3136
2020-02-12,28.4,16.5,0.0,69,41111.04,Mpigi,0.225,32.3136
2020-02-13,28.3,18.2,0.0,59,38879.81,Mpigi,0.225,32.3136
2020-02-14,26.5,19.1,1.6,77,31650.42,Mpigi,0.225,32.3136
2020-02-15,25.3,17.7,6.7,84,38754.29,Mpigi,0.225,32.3136
2020-02-16,25.4,18.3,6.1,82,41124.27,Mpigi,0.225,32.3136
2020-02-17,27.2,19.5,0.3,78,31742.29,Mpigi,0.225,32.3136
2020-02-18,26.1,19.1,2.6,83,35185.97,Mpigi,0.225,32.3136
2020-02-19,26.6,18.5,4.2,82,40430.44,Mpigi,0.225,32.3136
2020-02-20,26.7,17.7,14.3,79,39304.83,Mpigi,0.225,32.3136
2020-02-21,25.6,18.9,2.5,80,41139.71,Mpigi,0.225,32.3136
2020-02-22,27.2,19.9,1.2,80,40912.58,Mpigi,0.225,32.3136
2020-02-23,27.4,20.1,0.3,78,33671.49,Mpigi,0.225,32.3136
