time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,24.8,17.5,0.6,85,40960.27,Mukono,0.3533,32.7553
2019-01-02,26.1,16.2,1.2,84,40962.02,Mukono,0.3533,32.7553
2019-01-03,27.2,16.7,0.9,80,40963.88,Mukono,0.3533,32.7553
2019-01-04,25.8,18.1,8.0,84,40631.43,Mukono,0.3533,32.7553
2019-01-05,27.5,17.9,0.7,78,40967.95,Mukono,0.3533,32.7553
2019-01-06,26.6,18.2,0.2,77,40970.15,Mukono,0.3533,32.7553
2019-01-07,27.3,17.8,0.0,72,40878.53,Mukono,0.3533,32.7553
2019-01-08,25.6,16.1,0.4,78,40974.84,Mukono,0.3533,32.7553
2019-01-09,25.7,18.7,0.3,82,39113.41,Mukono,0.3533,32.7553
2019-01-10,25.2,17.1,1.8,82,37023.96,Mukono,0.3533,32.7553
2019-01-11,27.7,16.5,0.0,74,39052.76,Mukono,0.3533,32.7553
2019-01-12,28.4,16.1,0.0,67,40985.19,Mukono,0.3533,32.7553
2019-01-13,29.0,15.6,0.0,67,40987.95,Mukono,0.3533,32.7553
2019-01-14,27.2,16.0,0.4,73,38884.75,Mukono,0.3533,32.7553
2019-01-15,24.9,17.6,4.9,82,38840.87,Mukono,0.3533,32.7553
2019-01-16,23.9,18.1,3.9,86,31204.73,Mukono,0.3533,32.7553
2019-01-17,25.8,18.0,0.0,82,39721.24,Mukono,0.3533,32.7553
2019-01-18,24.9,18.2,5.9,85,35167.41,Mukono,0.3533,32.7553
2019-01-19,25.6,17.8,2.3,86,39226.07,Mukono,0.3533,32.7553
2019-01-20,24.8,17.7,3.5,88,40303.11,Mukono,0.3533,32.7553
2019-01-21,25.2,18.0,2.1,83,34498.17,Mukono,0.3533,32.7553
2019-01-22,26.7,17.5,0.3,85,40091.19,Mukono,0.3533,32.7553
2019-01-23,25.2,18.8,5.0,87,38794.65,Mukono,0.3533,32.7553
2019-01-24,26.5,18.0,9.5,85,38575.96,Mukono,0.3533,32.7553
2019-01-25,25.2,18.1,0.9,86,38591.83,Mukono,0.3533,32.7553
2019-01-26,26.1,18.2,0.7,83,41030.69,Mukono,0.3533,32.7553
2019-01-27,27.5,17.1,1.2,83,41034.5,Mukono,0.3533,32.7553
2019-01-28,27.4,17.4,0.4,80,41038.34,Mukono,0.3533,32.7553
2019-01-29,28.0,16.6,0.7,79,41042.21,Mukono,0.3533,32.7553
2019-01-30,27.2,15.8,0.5,79,41046.1,Mukono,0.3533,32.7553
2019-01-31,27.9,15.1,0.8,80,39923.43,Mukono,0.3533,32.7553
2019-02-01,29.0,15.8,1.3,77,41053.87,Mukono,0.3533,32.7553
2019-02-02,30.5,15.8,0.0,72,40579.82,Mukono,0.3533,32.7553
2019-02-03,28.7,14.7,0.5,77,41061.62,Mukono,0.3533,32.7553
2019-02-04,29.1,16.2,0.0,78,41065.46,Mukono,0.3533,32.7553
2019-02-05,27.9,18.0,0.1,80,41069.28,Mukono,0.3533,32.7553
2019-02-06,28.0,18.0,0.7,82,40727.27,Mukono,0.3533,32.7553
2019-02-07,26.5,17.3,6.7,85,39152.23,Mukono,0.3533,32.7553
2019-02-08,28.0,17.8,0.4,82,36048.81,Mukono,0.3533,32.7553
2019-02-09,29.3,18.6,0.1,79,41084.13,Mukono,0.3533,32.7553
2019-02-10,30.1,18.4,0.0,75,40988.32,Mukono,0.3533,32.7553
2019-02-11,27.0,18.0,2.6,83,36747.27,Mukono,0.3533,32.7553
2019-02-12,28.0,19.4,0.2,77,38326.38,Mukono,0.3533,32.7553
2019-02-13,30.2,16.6,0.0,71,41098.83,Mukono,0.3533,32.7553
2019-02-14,28.6,17.4,2.5,68,41102.49,Mukono,0.3533,32.7553
2019-02-15,28.9,17.4,0.0,62,41106.15,Mukono,0.3533,32.7553
2019-02-16,29.7,17.8,0.2,69,41109.78,Mukono,0.3533,32.7553
2019-02-17,27.2,19.4,2.5,79,39708.52,Mukono,0.3533,32.7553
2019-02-18,30.3,19.0,0.7,77,40083.11,Mukono,0.3533,32.7553
2019-02-19,28.8,17.7,0.0,73,40457.59,Mukono,0.3533,32.7553
2019-02-20,27.7,19.8,1.3,77,39817.6,Mukono,0.3533,32.7553
2019-02-21,27.2,19.8,3.3,79,38532.78,Mukono,0.3533,32.7553
2019-02-22,28.1,17.7,0.9,73,40946.72,Mukono,0.3533,32.7553
2019-02-23,26.3,17.4,11.1,83,30144.46,Mukono,0.3533,32.7553
2019-02-24,24.7,17.5,21.6,86,23022.05,Mukono,0.3533,32.7553
2019-02-25,26.6,18.1,2.4,78,41140.52,Mukono,0.3533,32.7553
2019-02-26,30.4,16.9,0.1,73,41143.64,Mukono,0.3533,32.7553
2019-02-27,30.2,18.8,0.2,71,41146.7,Mukono,0.3533,32.7553
2019-02-28,30.5,16.2,0.0,72,40132.08,Mukono,0.3533,32.7553
2019-03-01,29.8,17.3,0.0,66,41020.05,Mukono,0.3533,32.7553
2019-03-02,27.4,18.6,4.8,79,35627.12,Mukono,0.3533,32.7553
2019-03-03,28.4,18.0,1.2,76,41157.41,Mukono,0.3533,32.7553
2019-03-04,26.1,19.3,3.4,82,33402.97,Mukono,0.3533,32.7553
2019-03-05,26.6,17.3,1.0,83,41162.42,Mukono,0.3533,32.7553
2019-03-06,27.6,17.8,1.9,76,38611.02,Mukono,0.3533,32.7553
2019-03-07,27.2,18.6,6.3,81,40692.73,Mukono,0.3533,32.7553
2019-03-08,27.2,17.0,5.8,76,40289.46,Mukono,0.3533,32.7553
2019-03-09,27.0,17.6,3.3,74,41171.79,Mukono,0.3533,32.7553
2019-03-10,27.8,19.6,2.7,79,40912.54,Mukono,0.3533,32.7553
2019-03-11,28.6,18.2,1.0,77,41029.78,Mukono,0.3533,32.7553
2019-03-12,27.4,17.6,3.3,81,41178.14,Mukono,0.3533,32.7553
2019-03-13,27.1,19.2,4.6,78,41180.12,Mukono,0.3533,32.7553
2019-03-14,28.9,19.2,0.0,71,41182.03,Mukono,0.3533,32.7553
2019-03-15,29.1,18.8,0.2,72,41183.86,Mukono,0.3533,32.7553
2019-03-16,29.2,17.3,0.7,75,41185.62,Mukono,0.3533,32.7553
