time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,26.5,17.2,3.6,73,37106.45,Nakapiripirit,1.85,34.7167
2021-01-02,28.0,15.1,0.1,63,40373.85,Nakapiripirit,1.85,34.7167
2021-01-03,29.8,16.0,0.0,51,39844.84,Nakapiripirit,1.85,34.7167
2021-01-04,29.7,16.5,0.0,45,40129.85,Nakapiripirit,1.85,34.7167
2021-01-05,30.1,17.1,0.0,40,40004.97,Nakapiripirit,1.85,34.7167
2021-01-06,30.3,17.3,0.0,39,40615.36,Nakapiripirit,1.85,34.7167
2021-01-07,30.4,16.7,0.0,38,40388.17,Nakapiripirit,1.85,34.7167
2021-01-08,30.2,18.3,0.0,36,36324.03,Nakapiripirit,1.85,34.7167
2021-01-09,28.8,18.8,0.0,42,39491.39,Nakapiripirit,1.85,34.7167
2021-01-10,26.0,17.7,1.4,67,39577.37,Nakapiripirit,1.85,34.7167
2021-01-11,28.2,17.2,0.0,61,37449.62,Nakapiripirit,1.85,34.7167
2021-01-12,28.3,18.9,0.0,45,36265.92,Nakapiripirit,1.85,34.7167
2021-01-13,29.2,17.3,0.0,39,33157.02,Nakapiripirit,1.85,34.7167
2021-01-14,30.1,18.3,0.0,37,37612.52,Nakapiripirit,1.85,34.7167
2021-01-15,29.2,18.8,0.0,56,39244.55,Nakapiripirit,1.85,34.7167
2021-01-16,28.0,17.1,0.4,64,39450.58,Nakapiripirit,1.85,34.7167
2021-01-17,28.6,17.3,0.0,56,40732.26,Nakapiripirit,1.85,34.7167
2021-01-18,27.9,17.7,0.0,47,39411.8,Nakapiripirit,1.85,34.7167
2021-01-19,30.4,18.0,0.0,44,39925.47,Nakapiripirit,1.85,34.7167
2021-01-20,31.1,16.6,0.0,48,40190.96,Nakapiripirit,1.85,34.7167
2021-01-21,30.2,16.4,0.0,47,39826.69,Nakapiripirit,1.85,34.7167
2021-01-22,29.4,19.1,0.1,42,40165.48,Nakapiripirit,1.85,34.7167
2021-01-23,28.5,18.3,0.3,51,40271.79,Nakapiripirit,1.85,34.7167
2021-01-24,28.7,16.4,0.0,50,40778.59,Nakapiripirit,1.85,34.7167
2021-01-25,29.8,17.7,0.0,40,40785.54,Nakapiripirit,1.85,34.7167
2021-01-26,30.5,16.5,0.0,38,40792.53,Nakapiripirit,1.85,34.7167
2021-01-27,30.5,16.0,0.0,41,40799.57,Nakapiripirit,1.85,34.7167
2021-01-28,30.8,17.9,0.0,34,40806.7,Nakapiripirit,1.85,34.7167
2021-01-29,30.7,17.5,0.0,40,40814.01,Nakapiripirit,1.85,34.7167
2021-01-30,31.2,17.6,0.0,38,40821.47,Nakapiripirit,1.85,34.7167
2021-01-31,30.9,18.0,0.0,34,40829.05,Nakapiripirit,1.85,34.7167
2021-02-01,30.9,18.0,0.0,26,40836.77,Nakapiripirit,1.85,34.7167
2021-02-02,31.9,16.9,0.0,31,39006.31,Nakapiripirit,1.85,34.7167
2021-02-03,31.6,18.6,0.0,34,40852.47,Nakapiripirit,1.85,34.7167
2021-02-04,32.2,18.2,0.0,31,39338.38,Nakapiripirit,1.85,34.7167
2021-02-05,31.2,19.1,0.0,39,37776.39,Nakapiripirit,1.85,34.7167
2021-02-06,29.1,18.9,0.5,51,40876.58,Nakapiripirit,1.85,34.7167
2021-02-07,30.0,18.8,0.1,46,36793.18,Nakapiripirit,1.85,34.7167
2021-02-08,27.7,19.4,1.5,45,39821.34,Nakapiripirit,1.85,34.7167
2021-02-09,29.8,18.5,0.0,50,38711.62,Nakapiripirit,1.85,34.7167
2021-02-10,30.1,18.8,0.0,43,40313.43,Nakapiripirit,1.85,34.7167
2021-02-11,26.0,20.7,7.3,59,33955.02,Nakapiripirit,1.85,34.7167
2021-02-12,29.8,18.1,0.1,49,40925.55,Nakapiripirit,1.85,34.7167
2021-02-13,29.7,19.3,0.0,46,40444.23,Nakapiripirit,1.85,34.7167
2021-02-14,30.5,19.4,0.0,43,37923.64,Nakapiripirit,1.85,34.7167
2021-02-15,31.9,19.6,0.0,40,40085.0,Nakapiripirit,1.85,34.7167
2021-02-16,31.8,19.0,0.1,49,40947.48,Nakapiripirit,1.85,34.7167
2021-02-17,32.1,17.5,0.2,54,38162.7,Nakapiripirit,1.85,34.7167
2021-02-18,31.0,19.7,0.0,52,38155.82,Nakapiripirit,1.85,34.7167
2021-02-19,27.3,17.8,1.3,58,39254.79,Nakapiripirit,1.85,34.7167
2021-02-20,28.6,17.9,0.0,43,40850.93,Nakapiripirit,1.85,34.7167
2021-02-21,29.3,18.0,0.0,40,35451.05,Nakapiripirit,1.85,34.7167
2021-02-22,27.8,20.2,0.0,49,25408.2,Nakapiripirit,1.85,34.7167
2021-02-23,29.1,17.6,1.0,53,36433.55,Nakapiripirit,1.85,34.7167
2021-02-24,28.9,17.7,1.0,47,40645.82,Nakapiripirit,1.85,34.7167
2021-02-25,31.5,17.3,0.0,37,41028.62,Nakapiripirit,1.85,34.7167
2021-02-26,32.3,18.0,0.3,37,41036.46,Nakapiripirit,1.85,34.7167
2021-02-27,32.2,18.4,0.1,33,40922.63,Nakapiripirit,1.85,34.7167
2021-02-28,32.7,19.4,0.0,32,39601.3,Nakapiripirit,1.85,34.7167
2021-03-01,32.1,20.3,0.0,33,38833.21,Nakapiripirit,1.85,34.7167
2021-03-02,32.7,19.1,0.0,33,39164.64,Nakapiripirit,1.85,34.7167
2021-03-03,32.9,20.5,0.0,31,37375.02,Nakapiripirit,1.85,34.7167
2021-03-04,31.5,19.8,1.3,37,39438.78,Nakapiripirit,1.85,34.7167
2021-03-05,31.3,19.9,0.0,44,40644.82,Nakapiripirit,1.85,34.7167
2021-03-06,31.8,19.6,0.0,37,40896.7,Nakapiripirit,1.85,34.7167
2021-03-07,31.4,18.1,0.0,50,40674.64,Nakapiripirit,1.85,34.7167
2021-03-08,30.3,19.5,0.0,49,40807.57,Nakapiripirit,1.85,34.7167
2021-03-09,31.0,17.7,0.2,52,40352.08,Nakapiripirit,1.85,34.7167
2021-03-10,31.3,17.4,0.0,46,41125.63,Nakapiripirit,1.85,34.7167
2021-03-11,31.7,16.6,0.0,34,41132.36,Nakapiripirit,1.85,34.7167
2021-03-12,33.0,17.5,0.0,32,41139.05,Nakapiripirit,1.85,34.7167
2021-03-13,33.0,17.9,0.0,29,41145.72,Nakapiripirit,1.85,34.7167
2021-03-14,33.0,19.2,0.0,32,41134.16,Nakapiripirit,1.85,34.7167
2021-03-15,32.5,19.8,0.0,36,40228.47,Nakapiripirit,1.85,34.7167
