time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,33.2,19.0,0.0,41,40488.29,Nakaseke,0.9531,32.0833
2025-01-02,32.8,16.7,0.0,52,40849.09,Nakaseke,0.9531,32.0833
2025-01-03,32.9,17.1,0.3,61,38808.04,Nakaseke,0.9531,32.0833
2025-01-04,32.9,17.3,0.0,57,40619.52,Nakaseke,0.9531,32.0833
2025-01-05,34.0,18.0,0.0,48,40855.76,Nakaseke,0.9531,32.0833
2025-01-06,33.9,17.7,0.0,48,39733.43,Nakaseke,0.9531,32.0833
2025-01-07,33.3,18.5,0.0,57,40225.78,Nakaseke,0.9531,32.0833
2025-01-08,33.4,18.9,0.0,48,40864.17,Nakaseke,0.9531,32.0833
2025-01-09,34.8,18.9,0.0,35,39806.72,Nakaseke,0.9531,32.0833
2025-01-10,32.9,18.0,0.6,59,37215.09,Nakaseke,0.9531,32.0833
2025-01-11,30.0,20.6,4.0,64,37141.07,Nakaseke,0.9531,32.0833
2025-01-12,31.1,18.9,0.1,59,40778.74,Nakaseke,0.9531,32.0833
2025-01-13,32.6,19.2,0.2,58,40009.39,Nakaseke,0.9531,32.0833
2025-01-14,33.8,20.1,0.0,37,40814.47,Nakaseke,0.9531,32.0833
2025-01-15,34.3,17.3,0.0,42,40858.32,Nakaseke,0.9531,32.0833
2025-01-16,35.2,17.6,0.0,46,38049.07,Nakaseke,0.9531,32.0833
2025-01-17,35.1,19.1,0.0,45,40824.67,Nakaseke,0.9531,32.0833
2025-01-18,33.8,17.6,0.0,52,37358.82,Nakaseke,0.9531,32.0833
2025-01-19,34.6,18.2,0.0,50,36060.88,Nakaseke,0.9531,32.0833
2025-01-20,34.3,18.5,0.0,53,40912.89,Nakaseke,0.9531,32.0833
2025-01-21,33.9,19.6,0.0,51,40796.31,Nakaseke,0.9531,32.0833
2025-01-22,32.5,19.5,0.0,61,30750.99,Nakaseke,0.9531,32.0833
2025-01-23,33.6,19.3,0.2,61,38622.48,Nakaseke,0.9531,32.0833
2025-01-24,33.1,18.5,0.1,56,40931.77,Nakaseke,0.9531,32.0833
2025-01-25,31.7,18.8,0.0,50,35756.1,Nakaseke,0.9531,32.0833
2025-01-26,32.3,17.7,0.0,53,39813.21,Nakaseke,0.9531,32.0833
2025-01-27,34.2,17.7,0.0,51,40946.27,Nakaseke,0.9531,32.0833
2025-01-28,34.4,16.5,0.3,47,38472.68,Nakaseke,0.9531,32.0833
2025-01-29,33.8,19.7,0.0,47,24923.9,Nakaseke,0.9531,32.0833
2025-01-30,35.2,19.7,0.0,51,38183.29,Nakaseke,0.9531,32.0833
2025-01-31,32.7,18.1,0.0,52,38177.38,Nakaseke,0.9531,32.0833
2025-02-01,35.5,20.4,0.0,43,37372.26,Nakaseke,0.9531,32.0833
2025-02-02,32.1,20.8,0.2,65,28701.33,Nakaseke,0.9531,32.0833
2025-02-03,34.6,20.7,0.0,50,40983.11,Nakaseke,0.9531,32.0833
2025-02-04,33.4,18.4,0.1,60,40988.59,Nakaseke,0.9531,32.0833
2025-02-05,35.9,18.4,0.0,63,40994.09,Nakaseke,0.9531,32.0833
2025-02-06,34.7,18.4,0.0,52,40931.28,Nakaseke,0.9531,32.0833
2025-02-07,33.6,18.8,0.0,61,39532.84,Nakaseke,0.9531,32.0833
2025-02-08,32.7,19.2,1.4,65,37239.68,Nakaseke,0.9531,32.0833
2025-02-09,32.0,18.3,0.3,65,41016.13,Nakaseke,0.9531,32.0833
2025-02-10,35.2,18.7,0.8,62,40820.1,Nakaseke,0.9531,32.0833
2025-02-11,36.2,19.2,0.0,52,41027.07,Nakaseke,0.9531,32.0833
2025-02-12,32.6,19.2,0.1,60,39971.29,Nakaseke,0.9531,32.0833
2025-02-13,34.2,19.8,0.1,56,39606.78,Nakaseke,0.9531,32.0833
2025-02-14,34.8,20.9,0.0,42,41043.19,Nakaseke,0.9531,32.0833
2025-02-15,34.7,20.4,0.0,46,39240.12,Nakaseke,0.9531,32.0833
2025-02-16,34.8,19.6,0.0,52,41053.61,Nakaseke,0.9531,32.0833
2025-02-17,35.7,19.5,0.0,53,41058.66,Nakaseke,0.9531,32.0833
2025-02-18,36.0,18.4,0.0,49,41063.72,Nakaseke,0.9531,32.0833
2025-02-19,36.1,17.6,0.0,46,41068.78,Nakaseke,0.9531,32.0833
2025-02-20,36.2,18.0,0.0,41,41073.84,Nakaseke,0.9531,32.0833
2025-02-21,35.7,18.5,0.0,44,41078.89,Nakaseke,0.9531,32.0833
2025-02-22,36.9,17.7,0.0,42,41083.92,Nakaseke,0.9531,32.0833
2025-02-23,37.1,19.2,0.0,41,41088.93,Nakaseke,0.9531,32.0833
2025-02-24,36.1,18.5,0.0,53,41093.9,Nakaseke,0.9531,32.0833
2025-02-25,37.5,20.3,0.0,37,39509.05,Nakaseke,0.9531,32.0833
2025-02-26,37.8,19.9,0.0,25,41103.73,Nakaseke,0.9531,32.0833
2025-02-27,36.5,18.8,0.0,30,41108.57,Nakaseke,0.9531,32.0833
2025-02-28,37.3,18.1,0.0,45,40704.86,Nakaseke,0.9531,32.0833
