time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,30.4,16.1,0.0,58,40772.93,Nakasongola,1.3167,32.45
2023-01-02,30.2,16.2,0.0,50,40775.45,Nakasongola,1.3167,32.45
2023-01-03,30.8,19.1,0.5,57,40729.55,Nakasongola,1.3167,32.45
2023-01-04,30.9,17.0,0.0,51,38746.59,Nakasongola,1.3167,32.45
2023-01-05,31.8,19.1,0.0,39,40784.15,Nakasongola,1.3167,32.45
2023-01-06,31.9,15.6,0.0,41,40787.39,Nakasongola,1.3167,32.45
2023-01-07,32.2,16.8,0.0,32,40790.8,Nakasongola,1.3167,32.45
2023-01-08,31.9,19.4,0.0,35,40794.36,Nakasongola,1.3167,32.45
2023-01-09,31.4,18.7,0.1,47,40798.05,Nakasongola,1.3167,32.45
2023-01-10,29.2,19.6,1.6,59,35068.62,Nakasongola,1.3167,32.45
2023-01-11,31.2,17.3,0.1,56,40805.86,Nakasongola,1.3167,32.45
2023-01-12,31.5,18.4,0.1,48,40809.94,Nakasongola,1.3167,32.45
2023-01-13,30.8,17.3,0.0,44,40814.13,Nakasongola,1.3167,32.45
2023-01-14,31.8,16.7,0.0,53,40818.43,Nakasongola,1.3167,32.45
2023-01-15,31.7,16.4,0.0,53,40822.83,Nakasongola,1.3167,32.45
2023-01-16,32.1,17.7,0.0,53,39691.97,Nakasongola,1.3167,32.45
2023-01-17,31.5,18.1,0.0,37,40831.88,Nakasongola,1.3167,32.45
2023-01-18,31.9,17.8,0.0,42,40836.66,Nakasongola,1.3167,32.45
2023-01-19,33.2,16.8,0.0,48,40841.72,Nakasongola,1.3167,32.45
2023-01-20,32.1,18.0,0.0,52,40020.89,Nakasongola,1.3167,32.45
2023-01-21,33.5,19.5,0.0,34,40852.35,Nakasongola,1.3167,32.45
2023-01-22,31.8,19.1,0.0,42,40857.88,Nakasongola,1.3167,32.45
2023-01-23,31.4,17.2,0.0,56,40201.98,Nakasongola,1.3167,32.45
2023-01-24,31.4,18.5,0.1,58,40725.02,Nakasongola,1.3167,32.45
2023-01-25,31.9,17.0,0.0,52,40737.23,Nakasongola,1.3167,32.45
2023-01-26,32.1,18.4,0.0,44,40881.11,Nakasongola,1.3167,32.45
2023-01-27,32.7,18.3,0.0,44,40886.03,Nakasongola,1.3167,32.45
