time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,16.9,12.9,27.6,88,38442.04,Namisindwa,0.9124,34.3904
2021-01-02,17.4,12.4,8.2,87,40063.24,Namisindwa,0.9124,34.3904
2021-01-03,18.0,12.4,5.6,87,40447.27,Namisindwa,0.9124,34.3904
2021-01-04,18.7,11.4,2.3,75,40426.28,Namisindwa,0.9124,34.3904
2021-01-05,19.1,11.0,0.5,73,40870.09,Namisindwa,0.9124,34.3904
2021-01-06,18.9,11.4,0.0,71,40872.52,Namisindwa,0.9124,34.3904
2021-01-07,19.8,10.7,0.0,69,40875.06,Namisindwa,0.9124,34.3904
2021-01-08,20.3,11.9,0.1,67,40346.45,Namisindwa,0.9124,34.3904
2021-01-09,17.6,12.5,6.8,77,30423.68,Namisindwa,0.9124,34.3904
2021-01-10,18.2,11.5,6.7,84,33780.12,Namisindwa,0.9124,34.3904
2021-01-11,18.2,11.6,5.9,79,39946.37,Namisindwa,0.9124,34.3904
2021-01-12,16.5,13.0,0.7,81,33981.46,Namisindwa,0.9124,34.3904
2021-01-13,18.9,11.4,0.6,71,39556.68,Namisindwa,0.9124,34.3904
2021-01-14,18.0,12.6,1.5,78,40701.18,Namisindwa,0.9124,34.3904
2021-01-15,18.6,12.2,6.6,82,39668.51,Namisindwa,0.9124,34.3904
2021-01-16,17.1,12.7,10.2,82,39608.22,Namisindwa,0.9124,34.3904
2021-01-17,17.6,11.3,1.2,76,40911.92,Namisindwa,0.9124,34.3904
2021-01-18,18.0,11.8,0.4,72,40641.04,Namisindwa,0.9124,34.3904
2021-01-19,17.7,12.0,3.7,78,40866.39,Namisindwa,0.9124,34.3904
2021-01-20,18.9,12.5,3.4,75,40925.15,Namisindwa,0.9124,34.3904
2021-01-21,18.9,12.2,3.8,72,40929.69,Namisindwa,0.9124,34.3904
2021-01-22,18.2,10.9,7.2,77,39857.95,Namisindwa,0.9124,34.3904
2021-01-23,18.2,10.9,10.5,76,40208.24,Namisindwa,0.9124,34.3904
2021-01-24,18.3,11.9,1.4,73,40943.58,Namisindwa,0.9124,34.3904
2021-01-25,19.0,11.0,9.8,76,40948.26,Namisindwa,0.9124,34.3904
2021-01-26,19.6,10.5,1.2,66,40952.96,Namisindwa,0.9124,34.3904
2021-01-27,19.8,10.2,0.9,63,40957.67,Namisindwa,0.9124,34.3904
2021-01-28,20.3,10.8,0.6,64,40962.44,Namisindwa,0.9124,34.3904
2021-01-29,20.5,11.4,1.4,67,40967.34,Namisindwa,0.9124,34.3904
2021-01-30,20.1,11.1,1.0,67,40972.32,Namisindwa,0.9124,34.3904
