time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,28.3,17.7,1.2,77,40690.58,Namutumba,0.85,33.6833
2019-01-02,29.2,17.8,0.7,77,40671.49,Namutumba,0.85,33.6833
2019-01-03,28.9,18.0,3.2,76,40311.88,Namutumba,0.85,33.6833
2019-01-04,29.2,19.5,0.0,71,32735.02,Namutumba,0.85,33.6833
2019-01-05,29.4,18.6,0.0,71,40036.23,Namutumba,0.85,33.6833
2019-01-06,28.7,17.6,0.3,71,39547.06,Namutumba,0.85,33.6833
2019-01-07,29.5,17.9,2.0,70,40874.68,Namutumba,0.85,33.6833
2019-01-08,27.4,17.4,0.1,74,36639.48,Namutumba,0.85,33.6833
2019-01-09,30.2,19.1,0.0,68,40880.87,Namutumba,0.85,33.6833
2019-01-10,30.7,19.0,0.0,67,38958.71,Namutumba,0.85,33.6833
2019-01-11,30.5,18.5,0.0,67,40008.48,Namutumba,0.85,33.6833
2019-01-12,31.4,17.8,0.0,52,40890.96,Namutumba,0.85,33.6833
2019-01-13,31.7,17.3,0.0,48,40894.52,Namutumba,0.85,33.6833
2019-01-14,30.8,18.0,0.0,64,40802.46,Namutumba,0.85,33.6833
2019-01-15,30.3,18.9,3.4,74,40901.88,Namutumba,0.85,33.6833
2019-01-16,25.7,18.9,17.4,85,34788.31,Namutumba,0.85,33.6833
2019-01-17,28.7,17.6,0.2,78,40909.51,Namutumba,0.85,33.6833
2019-01-18,27.9,17.9,5.3,82,40524.3,Namutumba,0.85,33.6833
2019-01-19,28.2,18.4,0.2,78,40851.64,Namutumba,0.85,33.6833
2019-01-20,29.6,18.5,0.2,78,40921.8,Namutumba,0.85,33.6833
2019-01-21,25.8,19.0,11.5,82,39351.13,Namutumba,0.85,33.6833
2019-01-22,30.3,17.1,0.0,71,40813.83,Namutumba,0.85,33.6833
2019-01-23,30.6,19.2,0.1,73,39406.77,Namutumba,0.85,33.6833
2019-01-24,31.5,19.7,0.9,72,40940.31,Namutumba,0.85,33.6833
2019-01-25,31.2,18.9,0.0,72,40945.18,Namutumba,0.85,33.6833
2019-01-26,30.6,19.3,0.0,74,40950.11,Namutumba,0.85,33.6833
2019-01-27,32.2,18.1,0.0,69,40955.12,Namutumba,0.85,33.6833
2019-01-28,33.5,18.1,0.0,63,40960.18,Namutumba,0.85,33.6833
2019-01-29,32.4,19.4,0.0,62,40965.28,Namutumba,0.85,33.6833
2019-01-30,31.8,18.4,0.0,66,40970.42,Namutumba,0.85,33.6833
2019-01-31,32.7,16.9,0.0,64,40975.58,Namutumba,0.85,33.6833
2019-02-01,32.8,18.6,0.0,59,40980.76,Namutumba,0.85,33.6833
2019-02-02,33.1,18.9,0.0,56,40985.94,Namutumba,0.85,33.6833
2019-02-03,34.0,18.1,0.0,57,40991.12,Namutumba,0.85,33.6833
2019-02-04,35.2,19.7,0.0,59,40996.3,Namutumba,0.85,33.6833
2019-02-05,33.2,21.0,0.0,60,40048.42,Namutumba,0.85,33.6833
2019-02-06,32.4,18.6,0.0,69,41006.58,Namutumba,0.85,33.6833
2019-02-07,29.4,19.9,1.5,73,41011.69,Namutumba,0.85,33.6833
2019-02-08,32.0,19.9,0.2,68,41016.73,Namutumba,0.85,33.6833
2019-02-09,32.9,20.9,0.0,62,41021.76,Namutumba,0.85,33.6833
2019-02-10,34.4,20.3,0.0,62,41026.83,Namutumba,0.85,33.6833
2019-02-11,32.8,19.7,0.0,58,41031.93,Namutumba,0.85,33.6833
2019-02-12,33.2,19.6,0.0,60,38992.27,Namutumba,0.85,33.6833
2019-02-13,33.8,19.3,0.0,58,41042.21,Namutumba,0.85,33.6833
2019-02-14,32.7,19.6,0.0,51,41047.36,Namutumba,0.85,33.6833
2019-02-15,31.4,19.9,0.0,48,41052.51,Namutumba,0.85,33.6833
2019-02-16,30.6,18.1,3.6,55,41057.65,Namutumba,0.85,33.6833
2019-02-17,30.2,20.1,0.7,66,41062.78,Namutumba,0.85,33.6833
2019-02-18,30.9,19.5,0.3,71,41067.88,Namutumba,0.85,33.6833
2019-02-19,30.6,19.8,0.1,67,39556.22,Namutumba,0.85,33.6833
2019-02-20,30.8,20.0,1.3,71,41077.98,Namutumba,0.85,33.6833
2019-02-21,29.6,19.9,3.4,71,41082.96,Namutumba,0.85,33.6833
2019-02-22,29.4,19.9,0.6,66,41087.9,Namutumba,0.85,33.6833
2019-02-23,29.0,18.3,18.1,79,34895.78,Namutumba,0.85,33.6833
2019-02-24,25.9,18.3,15.3,84,36729.44,Namutumba,0.85,33.6833
2019-02-25,28.3,17.4,2.0,77,41102.36,Namutumba,0.85,33.6833
2019-02-26,30.9,17.1,0.0,71,41107.05,Namutumba,0.85,33.6833
2019-02-27,33.2,19.3,0.0,61,41111.67,Namutumba,0.85,33.6833
2019-02-28,32.4,18.6,0.0,57,41116.09,Namutumba,0.85,33.6833
2019-03-01,32.0,18.4,0.0,62,41120.32,Namutumba,0.85,33.6833
2019-03-02,28.0,18.7,9.3,77,38151.99,Namutumba,0.85,33.6833
2019-03-03,30.9,18.6,0.7,75,40302.25,Namutumba,0.85,33.6833
2019-03-04,28.3,18.6,9.4,82,37895.6,Namutumba,0.85,33.6833
2019-03-05,30.1,18.3,2.4,76,41136.94,Namutumba,0.85,33.6833
2019-03-06,30.5,18.7,1.6,73,41140.99,Namutumba,0.85,33.6833
2019-03-07,27.5,18.2,3.9,78,41108.46,Namutumba,0.85,33.6833
2019-03-08,30.0,18.3,1.8,69,41148.95,Namutumba,0.85,33.6833
2019-03-09,31.4,18.7,0.0,64,41152.84,Namutumba,0.85,33.6833
2019-03-10,32.6,19.1,0.0,62,41156.67,Namutumba,0.85,33.6833
2019-03-11,30.1,19.4,0.4,71,41160.43,Namutumba,0.85,33.6833
2019-03-12,33.0,19.4,0.4,65,41164.13,Namutumba,0.85,33.6833
2019-03-13,29.9,20.0,1.4,69,41167.74,Namutumba,0.85,33.6833
2019-03-14,31.9,19.7,0.0,65,41084.44,Namutumba,0.85,33.6833
2019-03-15,33.0,19.7,0.0,61,41174.77,Namutumba,0.85,33.6833
2019-03-16,35.1,19.8,0.0,60,41178.16,Namutumba,0.85,33.6833
2019-03-17,32.9,20.3,0.1,64,41181.47,Namutumba,0.85,33.6833
2019-03-18,32.7,19.9,0.0,63,41184.71,Namutumba,0.85,33.6833
2019-03-19,33.7,20.0,0.0,57,41187.86,Namutumba,0.85,33.6833
2019-03-20,33.7,20.4,0.0,58,41190.78,Namutumba,0.85,33.6833
2019-03-21,33.9,19.8,0.0,60,41068.45,Namutumba,0.85,33.6833
2019-03-22,34.3,20.9,0.0,59,41196.05,Namutumba,0.85,33.6833
2019-03-23,34.3,20.4,0.0,59,41198.6,Namutumba,0.85,33.6833
2019-03-24,35.8,19.4,0.0,58,40406.62,Namutumba,0.85,33.6833
2019-03-25,31.9,20.3,0.1,64,41203.51,Namutumba,0.85,33.6833
2019-03-26,33.0,20.1,1.3,69,39117.5,Namutumba,0.85,33.6833
2019-03-27,29.8,20.1,14.1,77,35555.77,Namutumba,0.85,33.6833
2019-03-28,29.3,19.2,4.9,79,38409.69,Namutumba,0.85,33.6833
2019-03-29,31.6,19.0,0.0,69,41212.52,Namutumba,0.85,33.6833
2019-03-30,27.9,19.0,7.7,79,40173.79,Namutumba,0.85,33.6833
