time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,32.3,18.8,0.0,51,39237.47,Napak,2.5233,34.2442
2018-01-02,32.1,18.0,0.0,41,29051.82,Napak,2.5233,34.2442
2018-01-03,33.0,18.0,0.0,32,38668.88,Napak,2.5233,34.2442
2018-01-04,32.6,18.7,0.0,28,30079.59,Napak,2.5233,34.2442
2018-01-05,31.8,18.0,0.0,43,38761.35,Napak,2.5233,34.2442
2018-01-06,32.9,18.9,0.0,25,28932.02,Napak,2.5233,34.2442
2018-01-07,32.8,17.1,0.0,25,39389.21,Napak,2.5233,34.2442
2018-01-08,33.1,19.1,0.0,25,39380.27,Napak,2.5233,34.2442
2018-01-09,33.8,17.3,0.0,24,39776.87,Napak,2.5233,34.2442
2018-01-10,33.4,18.7,0.0,27,39527.3,Napak,2.5233,34.2442
2018-01-11,31.6,17.7,0.0,31,38832.59,Napak,2.5233,34.2442
2018-01-12,31.8,19.7,0.0,33,40499.49,Napak,2.5233,34.2442
2018-01-13,31.9,18.1,0.0,35,39922.58,Napak,2.5233,34.2442
2018-01-14,33.8,16.3,0.0,35,40593.84,Napak,2.5233,34.2442
2018-01-15,33.9,17.4,0.0,36,39545.01,Napak,2.5233,34.2442
2018-01-16,34.0,17.2,0.0,29,40607.68,Napak,2.5233,34.2442
2018-01-17,33.5,17.3,0.0,27,40614.86,Napak,2.5233,34.2442
2018-01-18,34.2,16.8,0.0,27,40622.19,Napak,2.5233,34.2442
2018-01-19,32.4,18.3,0.0,37,39646.7,Napak,2.5233,34.2442
2018-01-20,31.3,19.9,0.4,34,40516.55,Napak,2.5233,34.2442
2018-01-21,33.3,17.6,0.0,35,40644.95,Napak,2.5233,34.2442
2018-01-22,33.0,17.0,0.0,32,40652.75,Napak,2.5233,34.2442
2018-01-23,33.2,16.4,0.0,33,40139.29,Napak,2.5233,34.2442
2018-01-24,33.2,17.3,0.0,36,39160.94,Napak,2.5233,34.2442
2018-01-25,32.6,18.2,0.0,48,40677.06,Napak,2.5233,34.2442
2018-01-26,31.9,18.1,0.1,51,40685.62,Napak,2.5233,34.2442
2018-01-27,32.9,17.9,0.7,38,40694.38,Napak,2.5233,34.2442
2018-01-28,35.1,18.0,0.0,35,40703.32,Napak,2.5233,34.2442
2018-01-29,35.1,18.4,0.0,31,40712.42,Napak,2.5233,34.2442
2018-01-30,33.6,18.2,0.0,32,39710.34,Napak,2.5233,34.2442
2018-01-31,33.5,20.4,0.0,31,40731.04,Napak,2.5233,34.2442
2018-02-01,33.9,18.7,0.0,33,40740.53,Napak,2.5233,34.2442
2018-02-02,33.4,18.3,0.0,34,40750.11,Napak,2.5233,34.2442
2018-02-03,34.4,17.4,0.0,32,40759.78,Napak,2.5233,34.2442
2018-02-04,34.1,19.0,0.0,32,38721.89,Napak,2.5233,34.2442
2018-02-05,34.1,19.7,0.0,36,40779.3,Napak,2.5233,34.2442
2018-02-06,33.9,19.1,0.0,35,40789.14,Napak,2.5233,34.2442
2018-02-07,34.1,19.1,0.0,30,40551.55,Napak,2.5233,34.2442
2018-02-08,34.4,17.3,0.0,24,40808.88,Napak,2.5233,34.2442
2018-02-09,35.1,16.2,0.0,24,40818.77,Napak,2.5233,34.2442
2018-02-10,34.2,16.9,0.0,28,40828.64,Napak,2.5233,34.2442
2018-02-11,33.9,19.5,0.0,33,40838.49,Napak,2.5233,34.2442
2018-02-12,34.0,19.5,0.0,38,40189.07,Napak,2.5233,34.2442
2018-02-13,34.5,20.0,0.0,37,40858.05,Napak,2.5233,34.2442
2018-02-14,34.1,19.6,0.0,37,40867.77,Napak,2.5233,34.2442
2018-02-15,33.5,19.9,0.0,35,40877.58,Napak,2.5233,34.2442
2018-02-16,34.7,17.7,0.0,35,40887.46,Napak,2.5233,34.2442
2018-02-17,34.4,20.2,0.0,36,40897.41,Napak,2.5233,34.2442
2018-02-18,33.5,19.7,0.2,39,40907.39,Napak,2.5233,34.2442
2018-02-19,32.3,20.2,1.1,47,39738.02,Napak,2.5233,34.2442
2018-02-20,33.3,22.6,0.1,42,39995.8,Napak,2.5233,34.2442
2018-02-21,34.4,20.1,0.0,42,39264.31,Napak,2.5233,34.2442
2018-02-22,34.6,19.3,0.3,45,40947.58,Napak,2.5233,34.2442
2018-02-23,34.6,20.2,1.4,38,40957.62,Napak,2.5233,34.2442
2018-02-24,34.9,19.4,0.2,41,40967.64,Napak,2.5233,34.2442
2018-02-25,32.2,20.6,0.3,47,40977.63,Napak,2.5233,34.2442
2018-02-26,34.7,18.9,0.3,42,40987.58,Napak,2.5233,34.2442
2018-02-27,34.0,20.0,0.0,43,40997.48,Napak,2.5233,34.2442
2018-02-28,29.4,20.1,2.6,59,31888.27,Napak,2.5233,34.2442
2018-03-01,31.5,18.4,1.4,68,33834.66,Napak,2.5233,34.2442
2018-03-02,27.1,18.7,25.8,83,28194.6,Napak,2.5233,34.2442
2018-03-03,27.1,18.0,1.0,78,28793.05,Napak,2.5233,34.2442
2018-03-04,27.6,19.2,4.9,74,31374.22,Napak,2.5233,34.2442
2018-03-05,28.7,18.6,1.9,66,36976.75,Napak,2.5233,34.2442
2018-03-06,28.6,17.6,2.4,71,32772.11,Napak,2.5233,34.2442
2018-03-07,30.0,16.5,0.2,71,40930.1,Napak,2.5233,34.2442
2018-03-08,29.9,17.3,2.0,67,40945.93,Napak,2.5233,34.2442
2018-03-09,30.8,17.5,1.2,57,41082.34,Napak,2.5233,34.2442
2018-03-10,31.0,17.4,0.0,58,40979.16,Napak,2.5233,34.2442
2018-03-11,30.1,18.4,0.4,68,38366.89,Napak,2.5233,34.2442
2018-03-12,31.1,19.0,8.0,75,38569.51,Napak,2.5233,34.2442
2018-03-13,26.7,19.1,9.6,78,32820.45,Napak,2.5233,34.2442
2018-03-14,29.0,18.2,0.6,73,35174.98,Napak,2.5233,34.2442
2018-03-15,29.3,17.7,5.0,79,32057.0,Napak,2.5233,34.2442
2018-03-16,25.2,18.7,0.5,78,25312.93,Napak,2.5233,34.2442
2018-03-17,29.7,18.0,0.2,67,35898.76,Napak,2.5233,34.2442
2018-03-18,30.3,17.7,0.2,67,40073.85,Napak,2.5233,34.2442
2018-03-19,26.0,18.5,9.8,83,31685.11,Napak,2.5233,34.2442
2018-03-20,28.8,17.2,0.1,73,40929.78,Napak,2.5233,34.2442
2018-03-21,29.2,17.2,0.1,67,41064.6,Napak,2.5233,34.2442
2018-03-22,30.2,16.7,0.0,62,40968.13,Napak,2.5233,34.2442
2018-03-23,31.5,17.7,0.0,58,41212.85,Napak,2.5233,34.2442
2018-03-24,31.4,19.7,0.0,55,40776.8,Napak,2.5233,34.2442
2018-03-25,30.9,19.1,3.2,62,40909.86,Napak,2.5233,34.2442
2018-03-26,31.2,18.6,0.0,58,40814.9,Napak,2.5233,34.2442
2018-03-27,31.8,19.2,0.3,55,40494.49,Napak,2.5233,34.2442
2018-03-28,32.3,18.1,0.0,54,41250.9,Napak,2.5233,34.2442
2018-03-29,31.1,18.2,0.3,55,39749.14,Napak,2.5233,34.2442
2018-03-30,31.8,20.5,0.0,52,40557.09,Napak,2.5233,34.2442
2018-03-31,32.7,19.3,0.4,51,41024.39,Napak,2.5233,34.2442
2018-04-01,32.7,21.0,0.6,51,40376.82,Napak,2.5233,34.2442
2018-04-02,32.4,19.9,0.0,51,39440.02,Napak,2.5233,34.2442
2018-04-03,32.1,21.0,0.4,56,40310.04,Napak,2.5233,34.2442
2018-04-04,28.8,19.9,4.8,68,31776.38,Napak,2.5233,34.2442
2018-04-05,25.2,18.8,7.9,82,23727.41,Napak,2.5233,34.2442
2018-04-06,28.2,19.1,6.4,75,38792.53,Napak,2.5233,34.2442
2018-04-07,25.6,19.0,11.6,78,24186.93,Napak,2.5233,34.2442
2018-04-08,24.6,18.4,14.7,87,16214.58,Napak,2.5233,34.2442
2018-04-09,28.2,18.9,4.1,77,17222.79,Napak,2.5233,34.2442
2018-04-10,27.8,17.2,6.0,74,40772.43,Napak,2.5233,34.2442
2018-04-11,27.6,17.8,1.5,76,36890.17,Napak,2.5233,34.2442
2018-04-12,26.9,18.7,4.1,80,33600.33,Napak,2.5233,34.2442
2018-04-13,28.4,17.3,2.0,77,36975.29,Napak,2.5233,34.2442
2018-04-14,25.1,18.2,25.9,90,9129.43,Napak,2.5233,34.2442
2018-04-15,27.8,17.3,2.5,77,25492.87,Napak,2.5233,34.2442
2018-04-16,26.3,18.6,3.6,77,31418.5,Napak,2.5233,34.2442
2018-04-17,24.9,18.0,2.7,81,23438.79,Napak,2.5233,34.2442
2018-04-18,28.7,17.5,1.3,75,39600.0,Napak,2.5233,34.2442
2018-04-19,26.4,17.6,0.7,77,36092.93,Napak,2.5233,34.2442
2018-04-20,29.1,16.4,0.1,73,40036.4,Napak,2.5233,34.2442
2018-04-21,27.9,18.1,6.2,83,30157.01,Napak,2.5233,34.2442
2018-04-22,25.8,17.7,5.9,87,24205.0,Napak,2.5233,34.2442
2018-04-23,27.2,17.9,0.0,77,37295.46,Napak,2.5233,34.2442
2018-04-24,25.9,18.9,10.6,83,31069.65,Napak,2.5233,34.2442
2018-04-25,26.3,18.3,2.2,82,36404.34,Napak,2.5233,34.2442
2018-04-26,28.1,16.6,0.1,77,40453.15,Napak,2.5233,34.2442
2018-04-27,27.1,18.4,10.4,82,37590.99,Napak,2.5233,34.2442
2018-04-28,28.9,17.7,3.6,80,39394.07,Napak,2.5233,34.2442
2018-04-29,26.1,17.4,5.3,83,40250.48,Napak,2.5233,34.2442
2018-04-30,27.6,17.6,11.4,84,35304.11,Napak,2.5233,34.2442
2018-05-01,26.6,17.8,16.6,85,36690.69,Napak,2.5233,34.2442
2018-05-02,27.2,18.0,4.0,79,40151.23,Napak,2.5233,34.2442
2018-05-03,27.8,17.1,2.4,80,39949.72,Napak,2.5233,34.2442
2018-05-04,27.6,17.6,2.7,79,40051.73,Napak,2.5233,34.2442
2018-05-05,28.1,17.2,2.3,78,39951.55,Napak,2.5233,34.2442
2018-05-06,27.1,18.4,11.4,85,29851.23,Napak,2.5233,34.2442
2018-05-07,26.7,18.0,9.5,85,33923.68,Napak,2.5233,34.2442
2018-05-08,27.0,18.4,2.5,80,39853.02,Napak,2.5233,34.2442
2018-05-09,27.9,17.5,0.6,75,40358.68,Napak,2.5233,34.2442
2018-05-10,28.6,17.2,0.0,74,40359.55,Napak,2.5233,34.2442
2018-05-11,27.9,18.4,1.0,75,40461.57,Napak,2.5233,34.2442
2018-05-12,28.8,17.9,0.2,74,40462.6,Napak,2.5233,34.2442
2018-05-13,28.9,18.0,0.0,73,40362.41,Napak,2.5233,34.2442
2018-05-14,29.7,18.0,0.2,71,40363.46,Napak,2.5233,34.2442
2018-05-15,27.1,18.5,5.5,80,39480.36,Napak,2.5233,34.2442
2018-05-16,24.7,18.1,7.1,84,39021.43,Napak,2.5233,34.2442
2018-05-17,27.6,17.3,0.1,77,36171.24,Napak,2.5233,34.2442
2018-05-18,27.9,18.3,2.4,78,32734.78,Napak,2.5233,34.2442
2018-05-19,25.3,18.6,3.8,85,29858.94,Napak,2.5233,34.2442
2018-05-20,26.7,17.7,7.1,82,39653.12,Napak,2.5233,34.2442
2018-05-21,25.9,18.7,6.1,82,36805.65,Napak,2.5233,34.2442
2018-05-22,24.2,18.2,4.5,89,17115.31,Napak,2.5233,34.2442
2018-05-23,25.7,17.8,0.6,83,29425.24,Napak,2.5233,34.2442
2018-05-24,26.8,18.0,8.5,83,35126.28,Napak,2.5233,34.2442
2018-05-25,27.4,17.5,0.2,79,39961.45,Napak,2.5233,34.2442
2018-05-26,26.8,17.8,6.4,80,39753.3,Napak,2.5233,34.2442
2018-05-27,26.9,17.3,2.6,81,39856.98,Napak,2.5233,34.2442
2018-05-28,27.0,18.5,3.4,80,39961.3,Napak,2.5233,34.2442
2018-05-29,26.8,18.0,3.4,79,39645.54,Napak,2.5233,34.2442
2018-05-30,26.0,16.8,4.3,82,39855.26,Napak,2.5233,34.2442
2018-05-31,27.1,17.7,0.2,80,39708.55,Napak,2.5233,34.2442
2018-06-01,27.4,17.6,0.3,78,40173.05,Napak,2.5233,34.2442
2018-06-02,28.3,18.5,0.9,74,39852.82,Napak,2.5233,34.2442
2018-06-03,27.7,18.8,6.1,79,39744.53,Napak,2.5233,34.2442
2018-06-04,26.3,18.4,18.6,86,38889.18,Napak,2.5233,34.2442
2018-06-05,21.0,18.3,10.7,93,2184.57,Napak,2.5233,34.2442
2018-06-06,22.2,16.8,11.1,89,7646.34,Napak,2.5233,34.2442
2018-06-07,26.2,16.4,4.4,80,39564.39,Napak,2.5233,34.2442
2018-06-08,26.5,17.4,1.5,82,38579.74,Napak,2.5233,34.2442
2018-06-09,27.5,17.6,0.2,77,39844.82,Napak,2.5233,34.2442
2018-06-10,27.8,17.4,1.2,78,40064.54,Napak,2.5233,34.2442
2018-06-11,27.0,17.8,2.1,78,40286.0,Napak,2.5233,34.2442
2018-06-12,26.8,17.6,0.8,77,40286.33,Napak,2.5233,34.2442
2018-06-13,26.7,17.5,2.0,78,39615.59,Napak,2.5233,34.2442
2018-06-14,26.5,17.6,1.0,77,39325.61,Napak,2.5233,34.2442
2018-06-15,27.9,17.8,3.0,78,39203.02,Napak,2.5233,34.2442
2018-06-16,28.5,17.8,0.8,79,38897.38,Napak,2.5233,34.2442
2018-06-17,28.8,18.6,0.2,75,37808.91,Napak,2.5233,34.2442
2018-06-18,28.0,18.1,0.7,73,40058.58,Napak,2.5233,34.2442
2018-06-19,25.7,17.0,14.6,84,39055.21,Napak,2.5233,34.2442
2018-06-20,24.8,16.9,12.7,83,38034.48,Napak,2.5233,34.2442
2018-06-21,26.0,16.3,0.8,76,40401.47,Napak,2.5233,34.2442
2018-06-22,26.2,16.3,9.0,84,39584.77,Napak,2.5233,34.2442
2018-06-23,25.6,16.7,4.3,86,30885.92,Napak,2.5233,34.2442
2018-06-24,27.2,17.0,0.1,80,38509.36,Napak,2.5233,34.2442
2018-06-25,26.1,16.5,11.0,81,39329.4,Napak,2.5233,34.2442
2018-06-26,26.5,16.8,1.8,79,40283.04,Napak,2.5233,34.2442
2018-06-27,27.0,16.2,8.6,84,39809.94,Napak,2.5233,34.2442
2018-06-28,27.0,16.4,0.4,80,33199.86,Napak,2.5233,34.2442
2018-06-29,26.7,16.8,5.8,78,40256.88,Napak,2.5233,34.2442
2018-06-30,25.8,17.3,16.0,81,29717.87,Napak,2.5233,34.2442
