time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,31.8,20.6,0.0,36,40162.8,Nebbi,2.465,31.0886
2025-01-02,31.4,18.8,0.0,36,39966.54,Nebbi,2.465,31.0886
2025-01-03,32.1,18.5,0.0,37,40536.32,Nebbi,2.465,31.0886
2025-01-04,32.9,19.5,0.0,39,39662.11,Nebbi,2.465,31.0886
2025-01-05,33.5,20.3,0.0,35,40544.14,Nebbi,2.465,31.0886
2025-01-06,33.4,20.8,0.0,30,39857.24,Nebbi,2.465,31.0886
2025-01-07,33.5,19.2,0.0,32,40553.04,Nebbi,2.465,31.0886
2025-01-08,33.6,18.8,0.0,36,40558.23,Nebbi,2.465,31.0886
2025-01-09,34.2,18.1,0.0,31,40563.71,Nebbi,2.465,31.0886
2025-01-10,34.5,17.9,0.0,31,40569.48,Nebbi,2.465,31.0886
2025-01-11,33.1,21.6,0.0,47,39478.84,Nebbi,2.465,31.0886
2025-01-12,33.2,20.2,0.0,47,39621.82,Nebbi,2.465,31.0886
2025-01-13,33.8,21.2,0.0,38,38881.12,Nebbi,2.465,31.0886
2025-01-14,34.5,19.4,0.0,28,39036.31,Nebbi,2.465,31.0886
2025-01-15,35.5,20.3,0.0,28,38274.74,Nebbi,2.465,31.0886
2025-01-16,35.6,18.6,0.0,27,39763.9,Nebbi,2.465,31.0886
2025-01-17,34.4,18.6,0.0,29,38597.37,Nebbi,2.465,31.0886
2025-01-18,35.2,20.6,0.0,28,39099.93,Nebbi,2.465,31.0886
2025-01-19,34.4,22.0,0.0,26,39123.61,Nebbi,2.465,31.0886
2025-01-20,33.1,20.1,1.1,36,39962.96,Nebbi,2.465,31.0886
2025-01-21,32.5,19.0,0.0,45,40097.54,Nebbi,2.465,31.0886
2025-01-22,32.9,19.3,1.1,47,39767.88,Nebbi,2.465,31.0886
2025-01-23,32.7,20.0,0.2,48,40016.13,Nebbi,2.465,31.0886
2025-01-24,34.6,19.7,0.0,35,39802.86,Nebbi,2.465,31.0886
2025-01-25,33.9,19.0,0.0,37,36758.46,Nebbi,2.465,31.0886
2025-01-26,33.7,18.4,0.0,40,40011.47,Nebbi,2.465,31.0886
2025-01-27,34.4,17.7,0.0,25,40189.59,Nebbi,2.465,31.0886
2025-01-28,34.8,18.8,0.0,25,40315.65,Nebbi,2.465,31.0886
2025-01-29,33.6,16.8,0.0,32,40101.39,Nebbi,2.465,31.0886
2025-01-30,33.7,17.4,0.0,22,40225.97,Nebbi,2.465,31.0886
2025-01-31,33.4,19.2,0.0,22,40124.29,Nebbi,2.465,31.0886
2025-02-01,35.9,18.9,0.0,26,38253.57,Nebbi,2.465,31.0886
2025-02-02,34.4,22.5,0.0,30,38925.06,Nebbi,2.465,31.0886
2025-02-03,35.1,21.5,0.0,31,39817.53,Nebbi,2.465,31.0886
2025-02-04,35.6,20.9,0.0,25,40050.61,Nebbi,2.465,31.0886
2025-02-05,35.0,20.0,0.0,28,40170.72,Nebbi,2.465,31.0886
2025-02-06,34.5,20.9,0.0,33,39954.35,Nebbi,2.465,31.0886
2025-02-07,34.6,21.8,0.0,25,40185.07,Nebbi,2.465,31.0886
2025-02-08,34.6,21.3,0.0,32,40079.44,Nebbi,2.465,31.0886
2025-02-09,34.3,20.8,0.0,42,40085.11,Nebbi,2.465,31.0886
2025-02-10,34.6,22.4,0.1,39,39642.26,Nebbi,2.465,31.0886
2025-02-11,37.7,23.3,0.0,31,40206.64,Nebbi,2.465,31.0886
2025-02-12,36.4,23.3,0.0,32,39003.83,Nebbi,2.465,31.0886
2025-02-13,35.5,22.4,0.1,35,39877.13,Nebbi,2.465,31.0886
2025-02-14,34.4,22.0,0.0,37,40216.62,Nebbi,2.465,31.0886
2025-02-15,33.5,20.0,0.1,48,39993.74,Nebbi,2.465,31.0886
2025-02-16,34.5,22.2,0.1,38,39656.79,Nebbi,2.465,31.0886
2025-02-17,35.7,22.7,0.0,34,40220.99,Nebbi,2.465,31.0886
2025-02-18,35.6,21.5,0.0,31,40107.7,Nebbi,2.465,31.0886
2025-02-19,34.7,18.8,0.0,30,40673.45,Nebbi,2.465,31.0886
2025-02-20,35.8,21.0,0.0,31,40445.51,Nebbi,2.465,31.0886
2025-02-21,35.8,20.5,0.0,24,40557.64,Nebbi,2.465,31.0886
2025-02-22,36.8,22.2,0.0,23,40669.77,Nebbi,2.465,31.0886
2025-02-23,36.3,23.7,0.0,24,40445.3,Nebbi,2.465,31.0886
2025-02-24,36.0,21.2,0.0,26,40664.29,Nebbi,2.465,31.0886
2025-02-25,37.1,22.7,0.0,27,38525.98,Nebbi,2.465,31.0886
2025-02-26,35.7,20.9,0.0,22,39328.76,Nebbi,2.465,31.0886
2025-02-27,36.0,21.1,0.0,32,40884.47,Nebbi,2.465,31.0886
2025-02-28,36.3,21.9,0.0,26,40880.26,Nebbi,2.465,31.0886
2025-03-01,37.1,21.2,0.0,23,40875.66,Nebbi,2.465,31.0886
2025-03-02,36.5,24.3,0.0,26,40635.7,Nebbi,2.465,31.0886
2025-03-03,35.0,23.9,0.0,32,39803.98,Nebbi,2.465,31.0886
2025-03-04,35.2,21.8,0.0,35,40149.44,Nebbi,2.465,31.0886
2025-03-05,37.2,21.4,0.0,30,40616.1,Nebbi,2.465,31.0886
2025-03-06,37.3,21.9,0.0,26,40424.23,Nebbi,2.465,31.0886
2025-03-07,34.8,22.4,0.0,35,41076.96,Nebbi,2.465,31.0886
2025-03-08,34.6,23.0,0.6,41,39310.04,Nebbi,2.465,31.0886
2025-03-09,35.5,21.6,0.1,31,39862.03,Nebbi,2.465,31.0886
2025-03-10,35.0,21.1,0.0,37,35779.21,Nebbi,2.465,31.0886
2025-03-11,34.2,22.1,0.0,44,36001.83,Nebbi,2.465,31.0886
2025-03-12,33.2,23.0,1.5,44,40279.63,Nebbi,2.465,31.0886
2025-03-13,33.3,20.3,0.4,49,41130.31,Nebbi,2.465,31.0886
2025-03-14,36.7,22.1,0.0,42,39919.51,Nebbi,2.465,31.0886
2025-03-15,34.7,21.4,0.0,43,41147.77,Nebbi,2.465,31.0886
2025-03-16,34.3,21.0,2.1,44,39356.18,Nebbi,2.465,31.0886
2025-03-17,34.2,22.0,1.4,51,39907.64,Nebbi,2.465,31.0886
2025-03-18,34.8,22.0,0.3,50,41173.53,Nebbi,2.465,31.0886
2025-03-19,29.1,21.1,7.0,74,32400.0,Nebbi,2.465,31.0886
2025-03-20,29.7,20.0,2.6,74,31917.2,Nebbi,2.465,31.0886
2025-03-21,31.2,19.7,0.4,61,40546.0,Nebbi,2.465,31.0886
2025-03-22,33.0,21.2,0.0,55,41206.84,Nebbi,2.465,31.0886
2025-03-23,31.7,22.7,1.8,54,39365.39,Nebbi,2.465,31.0886
2025-03-24,30.5,19.4,0.7,67,37434.23,Nebbi,2.465,31.0886
2025-03-25,31.6,21.1,0.1,56,41230.85,Nebbi,2.465,31.0886
2025-03-26,30.3,19.7,11.4,64,39993.66,Nebbi,2.465,31.0886
2025-03-27,30.8,20.5,14.9,71,37438.04,Nebbi,2.465,31.0886
2025-03-28,26.3,20.4,12.9,80,19454.73,Nebbi,2.465,31.0886
2025-03-29,29.5,20.1,0.6,69,38642.27,Nebbi,2.465,31.0886
2025-03-30,30.5,20.7,7.6,62,40736.34,Nebbi,2.465,31.0886
2025-03-31,29.7,21.1,8.8,72,37967.53,Nebbi,2.465,31.0886
