time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2018-01-01,29.4,20.2,4.5,66,38242.69,Ngora,1.46,33.7772
2018-01-02,28.9,18.4,0.1,60,39386.96,Ngora,1.46,33.7772
2018-01-03,32.0,18.9,0.0,54,40137.39,Ngora,1.46,33.7772
2018-01-04,32.0,20.0,0.0,50,36654.26,Ngora,1.46,33.7772
2018-01-05,31.4,18.5,0.0,55,38957.88,Ngora,1.46,33.7772
2018-01-06,32.8,19.3,0.0,43,31409.36,Ngora,1.46,33.7772
2018-01-07,33.2,18.4,0.0,33,40741.8,Ngora,1.46,33.7772
2018-01-08,32.5,18.2,0.0,40,37204.76,Ngora,1.46,33.7772
2018-01-09,33.3,18.9,0.0,30,40770.51,Ngora,1.46,33.7772
2018-01-10,32.2,18.7,0.0,45,40182.37,Ngora,1.46,33.7772
2018-01-11,33.9,19.9,0.0,44,35399.81,Ngora,1.46,33.7772
2018-01-12,32.9,19.4,0.2,57,35199.05,Ngora,1.46,33.7772
2018-01-13,31.9,19.6,0.0,62,38849.8,Ngora,1.46,33.7772
2018-01-14,33.4,19.8,0.0,59,40793.18,Ngora,1.46,33.7772
2018-01-15,32.8,19.8,0.0,57,40007.61,Ngora,1.46,33.7772
2018-01-16,31.0,19.5,0.3,61,40803.2,Ngora,1.46,33.7772
2018-01-17,33.6,18.3,0.0,51,40808.38,Ngora,1.46,33.7772
2018-01-18,32.1,18.5,0.0,51,40813.21,Ngora,1.46,33.7772
2018-01-19,31.8,18.2,0.0,54,40676.67,Ngora,1.46,33.7772
2018-01-20,32.5,19.1,0.0,46,31451.48,Ngora,1.46,33.7772
2018-01-21,33.6,19.4,0.0,51,40829.95,Ngora,1.46,33.7772
2018-01-22,34.7,17.9,0.0,46,40835.52,Ngora,1.46,33.7772
2018-01-23,33.9,19.4,0.0,44,39875.89,Ngora,1.46,33.7772
2018-01-24,31.0,19.7,0.1,60,39988.77,Ngora,1.46,33.7772
2018-01-25,31.8,18.8,0.1,64,40852.83,Ngora,1.46,33.7772
2018-01-26,31.0,19.2,0.0,63,40858.94,Ngora,1.46,33.7772
2018-01-27,33.1,17.3,0.0,53,40865.18,Ngora,1.46,33.7772
2018-01-28,34.0,20.2,0.0,54,40871.54,Ngora,1.46,33.7772
2018-01-29,32.8,19.0,0.0,61,40877.99,Ngora,1.46,33.7772
2018-01-30,33.8,18.7,0.0,51,40056.87,Ngora,1.46,33.7772
2018-01-31,34.5,19.5,0.0,48,33037.69,Ngora,1.46,33.7772
2018-02-01,36.3,18.7,0.0,44,40554.52,Ngora,1.46,33.7772
2018-02-02,35.2,19.7,0.0,40,36789.44,Ngora,1.46,33.7772
2018-02-03,36.2,19.5,0.0,29,40911.43,Ngora,1.46,33.7772
2018-02-04,35.7,19.4,0.0,30,33514.39,Ngora,1.46,33.7772
2018-02-05,35.3,21.9,0.0,29,37215.02,Ngora,1.46,33.7772
2018-02-06,35.4,22.7,0.0,28,34347.99,Ngora,1.46,33.7772
2018-02-07,36.0,21.2,0.0,28,34925.32,Ngora,1.46,33.7772
2018-02-08,36.1,20.1,0.0,23,40945.72,Ngora,1.46,33.7772
2018-02-09,36.1,18.9,0.0,24,40952.57,Ngora,1.46,33.7772
2018-02-10,36.2,19.6,0.0,39,40959.38,Ngora,1.46,33.7772
2018-02-11,36.0,19.9,0.0,28,40966.18,Ngora,1.46,33.7772
2018-02-12,34.9,21.0,0.0,35,39245.43,Ngora,1.46,33.7772
2018-02-13,35.9,21.9,0.0,29,35647.49,Ngora,1.46,33.7772
2018-02-14,36.1,22.4,0.0,31,40986.18,Ngora,1.46,33.7772
2018-02-15,35.9,21.5,0.0,29,40992.82,Ngora,1.46,33.7772
2018-02-16,36.2,21.9,0.0,29,39645.39,Ngora,1.46,33.7772
2018-02-17,35.0,21.6,0.0,31,35305.43,Ngora,1.46,33.7772
2018-02-18,35.8,24.2,0.0,30,26547.65,Ngora,1.46,33.7772
2018-02-19,32.9,21.0,0.1,43,41019.65,Ngora,1.46,33.7772
2018-02-20,30.9,21.0,5.3,52,38133.35,Ngora,1.46,33.7772
2018-02-21,30.4,21.7,2.2,63,38152.81,Ngora,1.46,33.7772
2018-02-22,32.9,19.3,1.1,60,41039.76,Ngora,1.46,33.7772
2018-02-23,33.4,20.2,0.0,53,40468.38,Ngora,1.46,33.7772
2018-02-24,33.4,20.7,0.7,58,41053.04,Ngora,1.46,33.7772
2018-02-25,33.0,21.1,0.1,56,40529.0,Ngora,1.46,33.7772
2018-02-26,34.6,20.4,0.0,54,41066.14,Ngora,1.46,33.7772
2018-02-27,31.8,20.8,3.4,62,41072.62,Ngora,1.46,33.7772
2018-02-28,32.2,20.4,8.0,67,37138.34,Ngora,1.46,33.7772
2018-03-01,29.0,18.8,5.7,77,32557.26,Ngora,1.46,33.7772
2018-03-02,25.5,18.6,10.3,86,25710.63,Ngora,1.46,33.7772
2018-03-03,26.4,19.0,6.4,80,13001.94,Ngora,1.46,33.7772
2018-03-04,26.7,19.0,4.2,77,33374.64,Ngora,1.46,33.7772
2018-03-05,26.4,19.8,0.3,69,17915.66,Ngora,1.46,33.7772
2018-03-06,27.5,18.9,0.9,73,34730.86,Ngora,1.46,33.7772
2018-03-07,28.3,17.0,0.2,71,41121.2,Ngora,1.46,33.7772
2018-03-08,29.9,18.0,0.0,71,41126.83,Ngora,1.46,33.7772
2018-03-09,30.6,18.1,0.4,65,41132.43,Ngora,1.46,33.7772
2018-03-10,29.5,19.6,0.2,71,40906.68,Ngora,1.46,33.7772
2018-03-11,29.2,19.8,0.2,72,33281.29,Ngora,1.46,33.7772
2018-03-12,26.7,20.2,6.6,76,37374.26,Ngora,1.46,33.7772
2018-03-13,26.9,19.9,6.2,80,38553.14,Ngora,1.46,33.7772
2018-03-14,28.1,19.0,2.1,75,31346.03,Ngora,1.46,33.7772
2018-03-15,28.6,18.9,7.7,81,31746.37,Ngora,1.46,33.7772
2018-03-16,24.5,19.1,0.9,81,18798.34,Ngora,1.46,33.7772
2018-03-17,28.7,18.2,0.0,72,39007.41,Ngora,1.46,33.7772
2018-03-18,29.5,19.1,2.8,78,33771.66,Ngora,1.46,33.7772
2018-03-19,24.9,18.9,14.7,84,36294.55,Ngora,1.46,33.7772
2018-03-20,26.7,17.9,8.2,80,40597.08,Ngora,1.46,33.7772
2018-03-21,27.7,18.0,2.2,78,40853.09,Ngora,1.46,33.7772
2018-03-22,29.1,17.8,2.2,75,41107.27,Ngora,1.46,33.7772
2018-03-23,29.2,18.2,0.0,72,41204.38,Ngora,1.46,33.7772
2018-03-24,29.4,18.2,0.0,70,40317.76,Ngora,1.46,33.7772
2018-03-25,28.3,19.8,7.3,78,38075.96,Ngora,1.46,33.7772
2018-03-26,29.0,18.2,3.3,77,40122.07,Ngora,1.46,33.7772
2018-03-27,29.8,18.4,1.2,72,40607.0,Ngora,1.46,33.7772
2018-03-28,30.8,19.3,7.1,73,39235.85,Ngora,1.46,33.7772
2018-03-29,29.2,19.3,0.7,74,36451.93,Ngora,1.46,33.7772
2018-03-30,30.2,18.7,0.3,70,39633.92,Ngora,1.46,33.7772
2018-03-31,29.9,19.0,0.2,68,40910.44,Ngora,1.46,33.7772
2018-04-01,28.5,19.2,0.3,75,40586.22,Ngora,1.46,33.7772
2018-04-02,27.9,19.5,11.9,75,40605.29,Ngora,1.46,33.7772
2018-04-03,27.4,19.5,9.5,82,30881.13,Ngora,1.46,33.7772
2018-04-04,25.4,19.2,17.3,85,16012.55,Ngora,1.46,33.7772
2018-04-05,25.3,18.3,6.2,85,20714.17,Ngora,1.46,33.7772
2018-04-06,27.0,17.9,0.4,80,39143.36,Ngora,1.46,33.7772
2018-04-07,24.8,18.7,2.3,84,14758.96,Ngora,1.46,33.7772
2018-04-08,21.8,18.2,11.3,91,454.25,Ngora,1.46,33.7772
2018-04-09,27.5,18.1,0.3,81,33265.06,Ngora,1.46,33.7772
2018-04-10,27.2,18.6,6.2,80,40089.38,Ngora,1.46,33.7772
2018-04-11,27.0,19.2,11.6,84,28674.26,Ngora,1.46,33.7772
2018-04-12,26.9,19.2,0.6,80,32716.34,Ngora,1.46,33.7772
2018-04-13,26.6,19.3,4.2,80,35719.43,Ngora,1.46,33.7772
2018-04-14,22.8,17.9,22.6,90,5861.74,Ngora,1.46,33.7772
2018-04-15,25.7,16.9,0.0,78,23069.29,Ngora,1.46,33.7772
2018-04-16,24.9,18.9,0.5,77,29741.4,Ngora,1.46,33.7772
2018-04-17,24.4,17.8,0.1,78,27260.67,Ngora,1.46,33.7772
2018-04-18,27.6,17.4,2.1,79,33257.98,Ngora,1.46,33.7772
2018-04-19,27.4,18.0,3.3,79,39784.9,Ngora,1.46,33.7772
2018-04-20,27.8,18.0,0.8,82,39159.23,Ngora,1.46,33.7772
2018-04-21,27.8,18.5,1.0,80,35661.72,Ngora,1.46,33.7772
2018-04-22,25.0,18.5,24.7,88,24721.38,Ngora,1.46,33.7772
2018-04-23,27.6,18.7,4.1,77,25103.05,Ngora,1.46,33.7772
2018-04-24,25.8,18.9,9.8,86,30147.39,Ngora,1.46,33.7772
2018-04-25,26.9,19.1,0.4,76,40457.46,Ngora,1.46,33.7772
2018-04-26,27.0,18.7,1.4,83,40353.45,Ngora,1.46,33.7772
2018-04-27,24.9,18.9,8.3,84,40249.97,Ngora,1.46,33.7772
2018-04-28,27.7,18.6,0.9,81,39600.0,Ngora,1.46,33.7772
2018-04-29,26.5,19.0,1.4,81,36030.39,Ngora,1.46,33.7772
2018-04-30,26.3,18.8,4.1,83,40252.27,Ngora,1.46,33.7772
2018-05-01,26.9,18.8,4.0,84,38143.86,Ngora,1.46,33.7772
2018-05-02,27.4,19.1,0.7,77,40150.82,Ngora,1.46,33.7772
2018-05-03,28.1,18.0,0.5,78,40151.7,Ngora,1.46,33.7772
2018-05-04,27.4,18.9,2.2,82,39844.55,Ngora,1.46,33.7772
2018-05-05,27.2,18.9,9.3,83,32956.54,Ngora,1.46,33.7772
2018-05-06,25.4,19.2,7.3,85,36339.84,Ngora,1.46,33.7772
2018-05-07,25.1,18.9,10.7,88,17232.83,Ngora,1.46,33.7772
2018-05-08,26.7,18.6,1.8,84,39594.32,Ngora,1.46,33.7772
2018-05-09,27.2,18.2,0.7,76,40361.48,Ngora,1.46,33.7772
2018-05-10,27.6,19.1,0.9,81,40157.57,Ngora,1.46,33.7772
2018-05-11,27.2,18.9,1.4,82,39600.0,Ngora,1.46,33.7772
2018-05-12,26.9,18.3,1.5,82,40568.83,Ngora,1.46,33.7772
2018-05-13,27.8,19.0,0.2,78,40467.4,Ngora,1.46,33.7772
2018-05-14,27.4,19.4,0.7,75,40365.88,Ngora,1.46,33.7772
2018-05-15,25.3,19.1,8.1,83,39600.0,Ngora,1.46,33.7772
2018-05-16,24.9,18.4,3.5,79,40059.69,Ngora,1.46,33.7772
2018-05-17,27.1,18.3,0.1,78,37382.31,Ngora,1.46,33.7772
2018-05-18,27.7,19.2,2.0,78,36821.61,Ngora,1.46,33.7772
2018-05-19,23.7,18.6,24.7,86,12229.58,Ngora,1.46,33.7772
2018-05-20,27.1,18.1,0.8,82,39313.79,Ngora,1.46,33.7772
2018-05-21,26.3,18.0,7.1,84,35623.77,Ngora,1.46,33.7772
2018-05-22,23.2,18.4,4.8,86,25993.01,Ngora,1.46,33.7772
2018-05-23,25.2,16.8,0.0,81,36493.32,Ngora,1.46,33.7772
2018-05-24,25.8,18.6,2.6,81,24347.56,Ngora,1.46,33.7772
2018-05-25,26.5,17.9,0.3,83,39855.69,Ngora,1.46,33.7772
2018-05-26,27.2,18.1,4.2,82,39600.0,Ngora,1.46,33.7772
2018-05-27,26.1,17.7,1.8,81,39960.21,Ngora,1.46,33.7772
2018-05-28,26.3,18.7,16.8,82,32760.14,Ngora,1.46,33.7772
2018-05-29,26.0,19.3,5.5,82,35633.21,Ngora,1.46,33.7772
2018-05-30,25.9,18.2,0.3,81,39641.44,Ngora,1.46,33.7772
2018-05-31,26.5,18.7,2.0,78,39398.64,Ngora,1.46,33.7772
2018-06-01,27.3,18.6,0.0,77,39959.18,Ngora,1.46,33.7772
2018-06-02,26.9,18.4,0.5,81,40173.42,Ngora,1.46,33.7772
2018-06-03,26.4,18.5,0.2,79,39635.05,Ngora,1.46,33.7772
2018-06-04,24.1,19.3,9.4,87,33606.39,Ngora,1.46,33.7772
2018-06-05,21.2,18.8,10.2,90,0.0,Ngora,1.46,33.7772
2018-06-06,23.6,17.9,2.4,83,19701.29,Ngora,1.46,33.7772
2018-06-07,25.8,17.9,1.6,82,22063.3,Ngora,1.46,33.7772
2018-06-08,25.6,18.3,0.2,83,34097.72,Ngora,1.46,33.7772
2018-06-09,26.6,18.6,0.3,78,34146.52,Ngora,1.46,33.7772
2018-06-10,26.7,17.9,0.0,78,40169.84,Ngora,1.46,33.7772
2018-06-11,26.7,18.8,0.4,78,39824.73,Ngora,1.46,33.7772
2018-06-12,26.4,18.4,4.1,79,39903.3,Ngora,1.46,33.7772
2018-06-13,26.3,18.3,0.4,74,40135.72,Ngora,1.46,33.7772
2018-06-14,26.0,18.0,0.4,78,40124.0,Ngora,1.46,33.7772
2018-06-15,26.9,18.5,0.0,75,39772.88,Ngora,1.46,33.7772
