time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,31.4,21.3,0.0,59,37168.77,Ntoroko,1.0364,30.5316
2024-01-02,29.9,21.4,10.5,66,26520.9,Ntoroko,1.0364,30.5316
2024-01-03,33.4,23.5,0.0,52,34372.07,Ntoroko,1.0364,30.5316
2024-01-04,32.7,21.6,0.0,48,34158.6,Ntoroko,1.0364,30.5316
2024-01-05,33.5,21.9,0.0,46,29346.96,Ntoroko,1.0364,30.5316
2024-01-06,32.0,20.8,0.0,50,39174.04,Ntoroko,1.0364,30.5316
2024-01-07,33.5,21.2,0.0,43,40460.03,Ntoroko,1.0364,30.5316
2024-01-08,33.5,22.1,0.0,42,40358.02,Ntoroko,1.0364,30.5316
2024-01-09,34.0,24.4,0.0,42,38727.58,Ntoroko,1.0364,30.5316
2024-01-10,34.2,23.3,0.0,49,38273.0,Ntoroko,1.0364,30.5316
2024-01-11,34.6,25.0,0.0,46,36666.95,Ntoroko,1.0364,30.5316
2024-01-12,34.0,23.4,0.3,56,39808.96,Ntoroko,1.0364,30.5316
2024-01-13,33.4,22.2,0.0,58,36804.04,Ntoroko,1.0364,30.5316
2024-01-14,33.3,22.7,0.1,59,36912.35,Ntoroko,1.0364,30.5316
2024-01-15,34.1,22.1,0.0,48,39278.01,Ntoroko,1.0364,30.5316
2024-01-16,33.2,24.5,0.0,51,35456.59,Ntoroko,1.0364,30.5316
2024-01-17,34.2,22.7,0.0,42,33571.64,Ntoroko,1.0364,30.5316
2024-01-18,32.7,22.9,0.0,48,36531.34,Ntoroko,1.0364,30.5316
2024-01-19,33.1,20.2,0.0,55,39862.64,Ntoroko,1.0364,30.5316
2024-01-20,34.0,21.8,0.0,51,39997.9,Ntoroko,1.0364,30.5316
2024-01-21,34.9,24.4,0.0,40,39206.62,Ntoroko,1.0364,30.5316
2024-01-22,34.0,22.3,0.0,40,40033.12,Ntoroko,1.0364,30.5316
2024-01-23,33.7,24.9,0.0,37,38239.26,Ntoroko,1.0364,30.5316
2024-01-24,34.3,24.0,0.0,45,39057.1,Ntoroko,1.0364,30.5316
