time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,24.6,16.2,7.6,86,24970.04,Ntungamo,-0.8833,30.2667
2021-01-02,25.1,15.7,6.4,84,40217.84,Ntungamo,-0.8833,30.2667
2021-01-03,24.8,16.3,1.0,81,29840.35,Ntungamo,-0.8833,30.2667
2021-01-04,25.4,17.4,1.3,74,31859.68,Ntungamo,-0.8833,30.2667
2021-01-05,27.1,15.1,0.5,73,41221.5,Ntungamo,-0.8833,30.2667
2021-01-06,25.6,16.8,0.7,73,41221.92,Ntungamo,-0.8833,30.2667
2021-01-07,27.6,15.0,0.1,68,41222.33,Ntungamo,-0.8833,30.2667
2021-01-08,25.9,16.2,0.1,72,41222.9,Ntungamo,-0.8833,30.2667
2021-01-09,25.6,15.9,0.7,81,29263.39,Ntungamo,-0.8833,30.2667
2021-01-10,24.7,15.8,0.6,87,15277.84,Ntungamo,-0.8833,30.2667
2021-01-11,25.3,14.3,8.0,84,38634.45,Ntungamo,-0.8833,30.2667
2021-01-12,25.1,16.3,7.5,83,24360.21,Ntungamo,-0.8833,30.2667
2021-01-13,25.9,16.3,3.6,79,39621.7,Ntungamo,-0.8833,30.2667
2021-01-14,24.6,17.1,27.1,86,28057.36,Ntungamo,-0.8833,30.2667
2021-01-15,24.3,16.7,10.6,84,28134.65,Ntungamo,-0.8833,30.2667
2021-01-16,24.1,16.3,11.8,87,25428.03,Ntungamo,-0.8833,30.2667
2021-01-17,25.2,14.9,12.7,82,41023.85,Ntungamo,-0.8833,30.2667
2021-01-18,26.1,15.8,0.9,73,41158.47,Ntungamo,-0.8833,30.2667
2021-01-19,26.5,17.0,1.0,76,39610.65,Ntungamo,-0.8833,30.2667
2021-01-20,26.0,16.2,2.3,81,37725.04,Ntungamo,-0.8833,30.2667
2021-01-21,26.7,15.0,0.6,74,41075.73,Ntungamo,-0.8833,30.2667
2021-01-22,26.1,16.1,0.7,70,39904.88,Ntungamo,-0.8833,30.2667
2021-01-23,25.9,16.0,1.1,74,39363.35,Ntungamo,-0.8833,30.2667
2021-01-24,24.3,15.5,4.7,77,31290.26,Ntungamo,-0.8833,30.2667
2021-01-25,24.7,15.9,6.9,79,35652.13,Ntungamo,-0.8833,30.2667
2021-01-26,26.4,14.3,0.3,70,40079.83,Ntungamo,-0.8833,30.2667
2021-01-27,27.0,15.1,0.0,66,41132.12,Ntungamo,-0.8833,30.2667
2021-01-28,27.6,15.7,0.0,66,40677.97,Ntungamo,-0.8833,30.2667
2021-01-29,28.0,15.9,0.0,66,40307.86,Ntungamo,-0.8833,30.2667
2021-01-30,25.5,15.9,0.1,71,31375.32,Ntungamo,-0.8833,30.2667
2021-01-31,27.0,16.2,0.0,67,40470.35,Ntungamo,-0.8833,30.2667
2021-02-01,29.3,16.1,0.3,65,36506.43,Ntungamo,-0.8833,30.2667
2021-02-02,28.7,15.4,0.0,61,39367.86,Ntungamo,-0.8833,30.2667
2021-02-03,28.6,16.2,0.0,58,39379.94,Ntungamo,-0.8833,30.2667
2021-02-04,27.6,16.7,0.6,72,37842.25,Ntungamo,-0.8833,30.2667
2021-02-05,27.8,17.4,3.1,75,37313.1,Ntungamo,-0.8833,30.2667
2021-02-06,27.1,17.6,7.1,77,38304.25,Ntungamo,-0.8833,30.2667
2021-02-07,26.9,17.6,0.2,72,33915.98,Ntungamo,-0.8833,30.2667
2021-02-08,26.8,18.1,0.1,66,40227.77,Ntungamo,-0.8833,30.2667
2021-02-09,28.5,17.1,0.0,67,39825.87,Ntungamo,-0.8833,30.2667
2021-02-10,27.4,18.1,0.5,63,39512.83,Ntungamo,-0.8833,30.2667
2021-02-11,27.8,18.0,0.4,67,33157.38,Ntungamo,-0.8833,30.2667
2021-02-12,28.4,17.3,3.6,81,34937.52,Ntungamo,-0.8833,30.2667
2021-02-13,28.0,16.1,1.7,78,25110.63,Ntungamo,-0.8833,30.2667
2021-02-14,27.7,16.8,0.0,75,38248.93,Ntungamo,-0.8833,30.2667
2021-02-15,27.7,17.3,3.4,77,40598.36,Ntungamo,-0.8833,30.2667
2021-02-16,25.2,16.6,1.6,83,32496.88,Ntungamo,-0.8833,30.2667
2021-02-17,28.0,17.1,0.6,75,34136.66,Ntungamo,-0.8833,30.2667
2021-02-18,25.4,16.3,17.9,87,32233.1,Ntungamo,-0.8833,30.2667
2021-02-19,24.9,16.3,0.9,79,37983.97,Ntungamo,-0.8833,30.2667
2021-02-20,25.9,16.6,5.7,81,38698.9,Ntungamo,-0.8833,30.2667
2021-02-21,26.1,15.5,0.5,71,40795.76,Ntungamo,-0.8833,30.2667
2021-02-22,26.3,15.9,3.1,75,32293.64,Ntungamo,-0.8833,30.2667
2021-02-23,26.9,16.1,4.1,76,35785.84,Ntungamo,-0.8833,30.2667
2021-02-24,26.3,17.3,0.3,68,35255.09,Ntungamo,-0.8833,30.2667
2021-02-25,27.6,16.1,0.0,66,40184.91,Ntungamo,-0.8833,30.2667
2021-02-26,26.5,16.0,0.3,66,40399.37,Ntungamo,-0.8833,30.2667
2021-02-27,26.6,16.6,0.1,65,40387.28,Ntungamo,-0.8833,30.2667
2021-02-28,29.1,15.6,0.1,63,35960.55,Ntungamo,-0.8833,30.2667
2021-03-01,28.3,16.9,0.2,63,40589.82,Ntungamo,-0.8833,30.2667
2021-03-02,28.1,17.5,3.1,70,40576.95,Ntungamo,-0.8833,30.2667
2021-03-03,26.3,17.9,7.5,81,36695.86,Ntungamo,-0.8833,30.2667
2021-03-04,26.5,16.9,1.0,74,39284.93,Ntungamo,-0.8833,30.2667
2021-03-05,26.6,16.6,0.6,77,39613.62,Ntungamo,-0.8833,30.2667
2021-03-06,26.0,16.5,1.4,83,37713.82,Ntungamo,-0.8833,30.2667
2021-03-07,26.8,15.2,4.8,82,41088.36,Ntungamo,-0.8833,30.2667
2021-03-08,26.2,16.5,7.7,82,36135.84,Ntungamo,-0.8833,30.2667
2021-03-09,25.1,16.2,3.1,82,38558.0,Ntungamo,-0.8833,30.2667
2021-03-10,27.6,14.6,0.0,74,40347.27,Ntungamo,-0.8833,30.2667
2021-03-11,28.5,14.4,0.0,66,41215.12,Ntungamo,-0.8833,30.2667
2021-03-12,29.3,16.2,0.0,55,39121.8,Ntungamo,-0.8833,30.2667
2021-03-13,28.1,17.0,0.0,56,39942.27,Ntungamo,-0.8833,30.2667
2021-03-14,29.1,15.5,0.0,53,41205.67,Ntungamo,-0.8833,30.2667
2021-03-15,27.4,17.4,0.0,56,35389.28,Ntungamo,-0.8833,30.2667
2021-03-16,27.3,16.6,3.2,72,35105.61,Ntungamo,-0.8833,30.2667
2021-03-17,24.0,17.1,4.3,84,21890.56,Ntungamo,-0.8833,30.2667
2021-03-18,26.5,16.4,0.4,78,34895.61,Ntungamo,-0.8833,30.2667
2021-03-19,27.6,15.6,0.9,78,36127.71,Ntungamo,-0.8833,30.2667
2021-03-20,26.4,15.9,1.1,79,40648.43,Ntungamo,-0.8833,30.2667
2021-03-21,25.8,16.2,9.2,78,30370.23,Ntungamo,-0.8833,30.2667
2021-03-22,27.4,16.5,19.0,85,31077.82,Ntungamo,-0.8833,30.2667
2021-03-23,27.2,15.4,3.8,79,39141.48,Ntungamo,-0.8833,30.2667
2021-03-24,28.1,15.4,1.0,70,41178.82,Ntungamo,-0.8833,30.2667
2021-03-25,28.6,15.7,0.0,62,41175.58,Ntungamo,-0.8833,30.2667
2021-03-26,26.3,15.7,3.2,75,34305.21,Ntungamo,-0.8833,30.2667
2021-03-27,23.6,15.6,1.6,79,24145.75,Ntungamo,-0.8833,30.2667
2021-03-28,27.3,14.7,0.3,72,40879.11,Ntungamo,-0.8833,30.2667
2021-03-29,25.5,16.1,2.0,75,39392.73,Ntungamo,-0.8833,30.2667
2021-03-30,24.4,15.8,1.3,82,30098.96,Ntungamo,-0.8833,30.2667
2021-03-31,23.4,16.1,1.2,84,31610.6,Ntungamo,-0.8833,30.2667
2021-04-01,24.6,15.1,1.2,80,30977.48,Ntungamo,-0.8833,30.2667
2021-04-02,26.9,14.9,6.4,80,37072.5,Ntungamo,-0.8833,30.2667
2021-04-03,26.3,15.5,0.8,80,41142.06,Ntungamo,-0.8833,30.2667
2021-04-04,27.1,15.9,0.5,80,31325.4,Ntungamo,-0.8833,30.2667
2021-04-05,26.5,16.5,2.5,78,32953.59,Ntungamo,-0.8833,30.2667
2021-04-06,25.4,16.0,0.7,73,38553.46,Ntungamo,-0.8833,30.2667
2021-04-07,25.9,16.3,1.3,72,39674.21,Ntungamo,-0.8833,30.2667
2021-04-08,27.8,16.1,4.9,79,41120.55,Ntungamo,-0.8833,30.2667
2021-04-09,27.5,15.5,0.0,76,41116.1,Ntungamo,-0.8833,30.2667
2021-04-10,28.6,15.0,0.2,72,40915.09,Ntungamo,-0.8833,30.2667
2021-04-11,27.3,17.0,0.4,72,39888.89,Ntungamo,-0.8833,30.2667
2021-04-12,26.7,16.5,1.2,74,41102.5,Ntungamo,-0.8833,30.2667
2021-04-13,21.4,15.8,15.1,85,16646.49,Ntungamo,-0.8833,30.2667
2021-04-14,27.1,14.2,1.1,74,41093.29,Ntungamo,-0.8833,30.2667
2021-04-15,25.9,16.2,0.8,75,41088.66,Ntungamo,-0.8833,30.2667
2021-04-16,26.0,15.5,3.0,78,41084.03,Ntungamo,-0.8833,30.2667
2021-04-17,26.2,16.1,1.1,80,41079.39,Ntungamo,-0.8833,30.2667
2021-04-18,25.6,15.1,1.0,82,39731.7,Ntungamo,-0.8833,30.2667
2021-04-19,26.3,16.4,3.3,79,39998.79,Ntungamo,-0.8833,30.2667
2021-04-20,22.0,17.4,1.1,86,21136.08,Ntungamo,-0.8833,30.2667
2021-04-21,25.9,15.9,0.3,78,38879.14,Ntungamo,-0.8833,30.2667
2021-04-22,26.6,16.1,0.3,73,40243.77,Ntungamo,-0.8833,30.2667
2021-04-23,25.5,16.3,4.4,79,40971.61,Ntungamo,-0.8833,30.2667
2021-04-24,26.9,16.6,1.4,80,40430.59,Ntungamo,-0.8833,30.2667
2021-04-25,24.9,17.5,17.3,89,23820.76,Ntungamo,-0.8833,30.2667
2021-04-26,25.9,16.2,1.1,81,41034.26,Ntungamo,-0.8833,30.2667
2021-04-27,26.9,16.2,0.2,74,41029.09,Ntungamo,-0.8833,30.2667
2021-04-28,26.5,15.7,1.5,79,41023.93,Ntungamo,-0.8833,30.2667
2021-04-29,25.2,16.5,1.2,77,36914.55,Ntungamo,-0.8833,30.2667
2021-04-30,25.1,15.8,2.8,82,41013.6,Ntungamo,-0.8833,30.2667
2021-05-01,26.7,15.3,0.9,80,41008.45,Ntungamo,-0.8833,30.2667
2021-05-02,26.4,15.7,1.4,78,41003.34,Ntungamo,-0.8833,30.2667
2021-05-03,26.2,15.6,4.0,83,30364.17,Ntungamo,-0.8833,30.2667
2021-05-04,25.9,15.8,1.0,78,39730.03,Ntungamo,-0.8833,30.2667
2021-05-05,27.4,16.2,0.5,73,39691.61,Ntungamo,-0.8833,30.2667
2021-05-06,25.7,16.7,0.9,77,39266.07,Ntungamo,-0.8833,30.2667
2021-05-07,24.8,16.4,1.5,86,28025.97,Ntungamo,-0.8833,30.2667
2021-05-08,24.9,15.9,11.7,85,28685.9,Ntungamo,-0.8833,30.2667
2021-05-09,23.2,16.6,4.7,82,25933.93,Ntungamo,-0.8833,30.2667
2021-05-10,22.1,16.6,9.9,88,12997.58,Ntungamo,-0.8833,30.2667
2021-05-11,21.7,15.9,4.1,90,13504.58,Ntungamo,-0.8833,30.2667
2021-05-12,24.1,16.3,1.7,87,21884.24,Ntungamo,-0.8833,30.2667
2021-05-13,25.9,15.0,2.2,82,39843.32,Ntungamo,-0.8833,30.2667
2021-05-14,24.6,16.7,3.8,87,26174.78,Ntungamo,-0.8833,30.2667
2021-05-15,25.5,15.5,3.2,86,40015.91,Ntungamo,-0.8833,30.2667
2021-05-16,27.3,17.2,1.2,77,40261.57,Ntungamo,-0.8833,30.2667
2021-05-17,27.0,16.8,1.3,74,40259.12,Ntungamo,-0.8833,30.2667
2021-05-18,26.6,16.6,0.5,73,40628.41,Ntungamo,-0.8833,30.2667
2021-05-19,25.4,16.5,0.8,75,39507.81,Ntungamo,-0.8833,30.2667
2021-05-20,26.9,15.8,0.1,74,40373.45,Ntungamo,-0.8833,30.2667
2021-05-21,26.9,16.3,0.5,67,40912.91,Ntungamo,-0.8833,30.2667
2021-05-22,27.0,16.6,0.9,65,40908.67,Ntungamo,-0.8833,30.2667
2021-05-23,27.5,16.5,0.1,64,39986.21,Ntungamo,-0.8833,30.2667
2021-05-24,27.0,17.0,0.0,62,36718.95,Ntungamo,-0.8833,30.2667
2021-05-25,28.4,15.5,0.0,61,40896.57,Ntungamo,-0.8833,30.2667
2021-05-26,27.5,15.8,0.0,62,39753.97,Ntungamo,-0.8833,30.2667
2021-05-27,27.8,16.1,0.0,62,39460.25,Ntungamo,-0.8833,30.2667
2021-05-28,28.0,16.6,0.1,65,40834.92,Ntungamo,-0.8833,30.2667
2021-05-29,28.9,15.7,0.0,62,37282.46,Ntungamo,-0.8833,30.2667
2021-05-30,27.6,17.1,0.0,62,36518.32,Ntungamo,-0.8833,30.2667
2021-05-31,28.8,16.8,0.1,62,38827.41,Ntungamo,-0.8833,30.2667
2021-06-01,29.0,17.0,0.0,54,37558.11,Ntungamo,-0.8833,30.2667
2021-06-02,29.1,16.1,0.0,55,39276.84,Ntungamo,-0.8833,30.2667
2021-06-03,28.4,16.1,0.1,59,37016.08,Ntungamo,-0.8833,30.2667
2021-06-04,28.3,16.9,0.0,56,40865.07,Ntungamo,-0.8833,30.2667
2021-06-05,28.3,16.0,0.0,55,40775.06,Ntungamo,-0.8833,30.2667
2021-06-06,27.4,17.9,0.0,56,37326.91,Ntungamo,-0.8833,30.2667
2021-06-07,26.9,16.0,0.0,59,27623.67,Ntungamo,-0.8833,30.2667
2021-06-08,27.7,15.8,0.0,54,34109.29,Ntungamo,-0.8833,30.2667
2021-06-09,28.3,16.0,0.0,51,40853.62,Ntungamo,-0.8833,30.2667
2021-06-10,28.2,15.1,0.0,53,40851.71,Ntungamo,-0.8833,30.2667
2021-06-11,29.5,15.2,0.0,50,40849.95,Ntungamo,-0.8833,30.2667
2021-06-12,29.6,16.1,0.0,46,39059.91,Ntungamo,-0.8833,30.2667
2021-06-13,29.5,16.5,0.0,47,40846.84,Ntungamo,-0.8833,30.2667
2021-06-14,29.7,16.9,0.0,53,35165.58,Ntungamo,-0.8833,30.2667
2021-06-15,29.0,16.8,0.0,59,33794.45,Ntungamo,-0.8833,30.2667
2021-06-16,26.7,18.1,0.0,62,29478.32,Ntungamo,-0.8833,30.2667
2021-06-17,27.6,16.1,0.0,65,26843.66,Ntungamo,-0.8833,30.2667
2021-06-18,25.7,16.1,8.0,81,23748.16,Ntungamo,-0.8833,30.2667
2021-06-19,25.5,15.0,0.0,72,23667.2,Ntungamo,-0.8833,30.2667
2021-06-20,28.3,16.4,0.0,61,40628.46,Ntungamo,-0.8833,30.2667
