time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,32.0,19.0,0.0,50,40284.52,Nwoya,2.63,32.0
2020-01-02,31.1,18.7,0.0,51,39783.57,Nwoya,2.63,32.0
2020-01-03,31.3,20.2,0.0,49,39638.0,Nwoya,2.63,32.0
2020-01-04,31.2,20.6,0.0,54,39856.22,Nwoya,2.63,32.0
2020-01-05,28.1,18.7,0.5,66,39341.75,Nwoya,2.63,32.0
2020-01-06,30.0,19.1,0.0,61,39497.83,Nwoya,2.63,32.0
2020-01-07,29.9,19.5,1.6,62,39245.07,Nwoya,2.63,32.0
2020-01-08,31.1,20.0,0.2,62,39387.94,Nwoya,2.63,32.0
2020-01-09,30.5,19.2,0.0,61,39867.15,Nwoya,2.63,32.0
2020-01-10,29.2,19.2,0.2,64,40226.15,Nwoya,2.63,32.0
2020-01-11,30.7,17.6,0.0,43,40544.18,Nwoya,2.63,32.0
2020-01-12,29.5,17.5,0.0,36,40550.02,Nwoya,2.63,32.0
2020-01-13,29.3,16.0,0.0,39,40556.05,Nwoya,2.63,32.0
2020-01-14,32.1,15.6,0.0,49,40562.42,Nwoya,2.63,32.0
2020-01-15,32.0,19.3,0.0,48,40569.24,Nwoya,2.63,32.0
2020-01-16,33.4,20.7,0.0,48,39333.96,Nwoya,2.63,32.0
2020-01-17,33.7,20.4,0.0,53,38644.75,Nwoya,2.63,32.0
2020-01-18,32.8,20.0,0.0,52,40326.86,Nwoya,2.63,32.0
2020-01-19,31.9,19.3,0.0,57,38454.93,Nwoya,2.63,32.0
2020-01-20,31.5,17.8,0.0,39,40484.7,Nwoya,2.63,32.0
2020-01-21,31.9,18.9,0.0,36,40011.36,Nwoya,2.63,32.0
2020-01-22,31.9,19.1,0.0,36,40624.02,Nwoya,2.63,32.0
2020-01-23,31.4,18.6,0.0,33,40632.64,Nwoya,2.63,32.0
2020-01-24,31.9,18.4,0.0,32,39142.69,Nwoya,2.63,32.0
2020-01-25,31.3,20.7,0.0,36,37766.86,Nwoya,2.63,32.0
2020-01-26,31.4,22.1,0.1,43,33212.78,Nwoya,2.63,32.0
2020-01-27,29.3,21.7,0.8,65,25084.01,Nwoya,2.63,32.0
2020-01-28,26.7,20.1,16.1,79,17420.21,Nwoya,2.63,32.0
2020-01-29,26.5,19.9,7.6,84,19286.08,Nwoya,2.63,32.0
2020-01-30,29.6,19.5,0.0,73,36589.12,Nwoya,2.63,32.0
2020-01-31,26.7,18.5,8.5,83,26444.29,Nwoya,2.63,32.0
2020-02-01,28.4,18.7,1.5,75,36715.43,Nwoya,2.63,32.0
2020-02-02,29.5,18.7,0.3,74,39365.46,Nwoya,2.63,32.0
2020-02-03,29.1,19.5,3.8,74,39698.96,Nwoya,2.63,32.0
2020-02-04,27.4,19.6,9.4,79,37403.45,Nwoya,2.63,32.0
2020-02-05,27.1,18.9,19.5,85,35659.0,Nwoya,2.63,32.0
2020-02-06,28.1,19.0,5.0,80,31550.62,Nwoya,2.63,32.0
2020-02-07,31.8,19.8,0.0,65,38812.49,Nwoya,2.63,32.0
2020-02-08,33.2,20.2,0.0,49,40586.37,Nwoya,2.63,32.0
2020-02-09,32.8,19.5,0.0,46,40592.02,Nwoya,2.63,32.0
2020-02-10,33.3,19.6,0.0,45,40714.97,Nwoya,2.63,32.0
2020-02-11,31.7,19.2,0.0,47,40815.48,Nwoya,2.63,32.0
2020-02-12,31.5,19.2,0.0,44,40369.65,Nwoya,2.63,32.0
2020-02-13,31.3,20.2,0.0,38,40727.17,Nwoya,2.63,32.0
2020-02-14,30.4,20.4,4.6,67,26437.69,Nwoya,2.63,32.0
2020-02-15,32.3,18.8,0.0,55,39513.7,Nwoya,2.63,32.0
2020-02-16,32.1,21.1,0.0,48,40734.79,Nwoya,2.63,32.0
2020-02-17,33.5,21.0,0.0,53,40380.28,Nwoya,2.63,32.0
2020-02-18,33.6,21.0,0.0,56,40470.65,Nwoya,2.63,32.0
2020-02-19,31.8,19.4,0.1,63,40857.16,Nwoya,2.63,32.0
2020-02-20,31.8,19.8,0.2,58,40857.59,Nwoya,2.63,32.0
2020-02-21,31.2,20.4,0.1,57,40857.59,Nwoya,2.63,32.0
2020-02-22,32.5,21.0,0.7,57,38419.19,Nwoya,2.63,32.0
2020-02-23,34.2,21.6,0.0,49,40616.15,Nwoya,2.63,32.0
2020-02-24,34.5,20.5,0.0,46,38512.92,Nwoya,2.63,32.0
2020-02-25,33.4,22.7,0.0,49,35144.02,Nwoya,2.63,32.0
2020-02-26,33.8,18.6,0.0,48,37762.28,Nwoya,2.63,32.0
2020-02-27,34.1,21.6,0.1,53,33623.93,Nwoya,2.63,32.0
2020-02-28,31.1,21.8,0.0,57,36824.45,Nwoya,2.63,32.0
2020-02-29,30.9,21.3,0.2,65,39436.02,Nwoya,2.63,32.0
2020-03-01,31.4,21.5,0.4,64,40708.38,Nwoya,2.63,32.0
2020-03-02,30.1,20.7,0.3,68,36969.02,Nwoya,2.63,32.0
2020-03-03,31.2,20.8,0.0,65,36503.27,Nwoya,2.63,32.0
2020-03-04,32.3,20.8,0.0,60,34151.75,Nwoya,2.63,32.0
2020-03-05,33.2,21.4,0.0,61,39438.7,Nwoya,2.63,32.0
2020-03-06,33.8,20.9,0.0,53,41045.45,Nwoya,2.63,32.0
2020-03-07,34.6,21.5,0.0,54,40596.26,Nwoya,2.63,32.0
2020-03-08,34.0,22.3,6.6,64,30895.16,Nwoya,2.63,32.0
2020-03-09,30.0,20.7,4.8,81,25010.11,Nwoya,2.63,32.0
2020-03-10,31.3,20.8,0.3,72,39944.52,Nwoya,2.63,32.0
2020-03-11,31.3,20.8,5.3,79,36476.1,Nwoya,2.63,32.0
2020-03-12,30.7,20.8,3.4,76,38663.99,Nwoya,2.63,32.0
2020-03-13,29.8,21.1,0.1,69,41129.87,Nwoya,2.63,32.0
2020-03-14,29.6,20.4,2.6,75,39444.54,Nwoya,2.63,32.0
2020-03-15,30.5,20.8,0.3,70,40587.49,Nwoya,2.63,32.0
2020-03-16,29.8,20.6,1.3,71,38232.98,Nwoya,2.63,32.0
2020-03-17,32.2,20.6,0.4,69,39475.43,Nwoya,2.63,32.0
2020-03-18,30.2,20.9,15.0,81,21558.47,Nwoya,2.63,32.0
2020-03-19,28.9,20.0,1.4,76,40541.19,Nwoya,2.63,32.0
2020-03-20,30.3,20.5,0.2,73,39667.27,Nwoya,2.63,32.0
2020-03-21,31.9,19.6,0.5,68,41122.41,Nwoya,2.63,32.0
2020-03-22,31.6,20.2,6.1,75,39314.96,Nwoya,2.63,32.0
2020-03-23,29.7,20.2,4.7,78,41217.44,Nwoya,2.63,32.0
2020-03-24,27.4,20.2,7.4,80,31903.9,Nwoya,2.63,32.0
2020-03-25,27.7,20.3,2.1,79,36923.75,Nwoya,2.63,32.0
2020-03-26,30.1,20.4,0.0,74,37669.51,Nwoya,2.63,32.0
2020-03-27,30.1,20.6,10.4,75,38784.23,Nwoya,2.63,32.0
2020-03-28,29.6,19.9,2.4,78,36000.0,Nwoya,2.63,32.0
2020-03-29,31.6,19.5,0.0,66,39195.43,Nwoya,2.63,32.0
2020-03-30,31.6,19.7,0.0,70,41274.48,Nwoya,2.63,32.0
2020-03-31,29.2,20.7,8.2,75,41282.23,Nwoya,2.63,32.0
2020-04-01,32.7,20.1,0.0,62,41289.88,Nwoya,2.63,32.0
2020-04-02,32.4,20.2,0.0,62,41297.39,Nwoya,2.63,32.0
2020-04-03,33.0,20.8,0.0,57,41304.67,Nwoya,2.63,32.0
2020-04-04,32.4,20.4,0.1,65,41311.7,Nwoya,2.63,32.0
2020-04-05,31.5,19.3,0.0,60,41171.3,Nwoya,2.63,32.0
2020-04-06,32.8,20.5,0.0,53,41325.58,Nwoya,2.63,32.0
2020-04-07,32.2,20.6,0.0,61,41332.42,Nwoya,2.63,32.0
2020-04-08,32.2,20.8,0.0,61,41339.2,Nwoya,2.63,32.0
2020-04-09,32.0,20.2,0.0,62,40876.14,Nwoya,2.63,32.0
2020-04-10,29.8,21.0,0.2,66,41352.5,Nwoya,2.63,32.0
2020-04-11,30.8,21.3,0.1,67,40791.85,Nwoya,2.63,32.0
2020-04-12,30.4,21.0,0.8,70,40442.64,Nwoya,2.63,32.0
2020-04-13,28.3,20.2,23.5,82,26072.04,Nwoya,2.63,32.0
2020-04-14,28.5,19.9,14.6,85,31064.46,Nwoya,2.63,32.0
2020-04-15,28.8,20.0,9.9,83,39036.77,Nwoya,2.63,32.0
2020-04-16,27.3,20.5,7.1,84,26829.05,Nwoya,2.63,32.0
2020-04-17,27.3,20.2,15.8,83,30705.03,Nwoya,2.63,32.0
2020-04-18,22.6,20.2,21.7,92,7424.63,Nwoya,2.63,32.0
2020-04-19,26.1,19.1,2.1,83,33280.96,Nwoya,2.63,32.0
2020-04-20,23.4,19.1,13.5,89,8636.42,Nwoya,2.63,32.0
2020-04-21,26.0,18.7,7.3,84,33208.91,Nwoya,2.63,32.0
2020-04-22,26.5,19.0,1.2,80,23593.19,Nwoya,2.63,32.0
2020-04-23,28.2,19.3,5.9,77,37868.54,Nwoya,2.63,32.0
2020-04-24,28.1,19.2,2.6,79,32798.25,Nwoya,2.63,32.0
2020-04-25,30.4,18.8,0.0,69,40863.81,Nwoya,2.63,32.0
2020-04-26,29.4,20.2,5.6,79,35752.15,Nwoya,2.63,32.0
2020-04-27,30.0,19.2,9.5,82,40086.14,Nwoya,2.63,32.0
2020-04-28,27.6,19.4,8.0,85,38380.93,Nwoya,2.63,32.0
2020-04-29,28.8,20.0,4.5,82,38635.29,Nwoya,2.63,32.0
2020-04-30,28.4,19.9,0.5,79,28571.46,Nwoya,2.63,32.0
2020-05-01,27.8,20.3,3.7,81,37590.79,Nwoya,2.63,32.0
2020-05-02,27.2,19.6,5.7,86,37140.55,Nwoya,2.63,32.0
2020-05-03,27.2,19.1,3.9,77,40105.71,Nwoya,2.63,32.0
2020-05-04,29.2,19.8,0.0,74,41120.47,Nwoya,2.63,32.0
2020-05-05,28.1,19.4,7.2,85,37797.87,Nwoya,2.63,32.0
2020-05-06,28.4,20.1,6.9,82,40778.49,Nwoya,2.63,32.0
2020-05-07,26.3,20.0,4.9,85,39589.53,Nwoya,2.63,32.0
2020-05-08,26.5,19.7,13.7,87,39047.2,Nwoya,2.63,32.0
2020-05-09,27.4,20.3,11.0,88,25971.07,Nwoya,2.63,32.0
2020-05-10,26.5,19.5,3.8,89,30323.11,Nwoya,2.63,32.0
2020-05-11,26.2,19.2,12.2,88,38843.3,Nwoya,2.63,32.0
2020-05-12,26.4,19.4,7.5,86,40215.3,Nwoya,2.63,32.0
2020-05-13,28.9,18.8,0.5,81,41513.79,Nwoya,2.63,32.0
2020-05-14,28.2,19.5,6.9,83,39802.58,Nwoya,2.63,32.0
2020-05-15,27.7,19.6,3.0,86,41186.11,Nwoya,2.63,32.0
2020-05-16,28.1,19.9,2.0,81,40947.37,Nwoya,2.63,32.0
2020-05-17,27.8,19.2,0.0,76,41190.29,Nwoya,2.63,32.0
2020-05-18,28.5,19.6,0.4,76,41433.44,Nwoya,2.63,32.0
2020-05-19,28.0,19.2,1.0,79,41145.28,Nwoya,2.63,32.0
2020-05-20,28.5,19.3,0.3,74,41192.36,Nwoya,2.63,32.0
2020-05-21,27.8,20.2,0.4,74,39377.27,Nwoya,2.63,32.0
2020-05-22,24.8,19.2,10.6,88,7769.42,Nwoya,2.63,32.0
2020-05-23,27.4,17.6,0.2,78,40168.75,Nwoya,2.63,32.0
2020-05-24,27.4,19.4,3.0,76,41543.96,Nwoya,2.63,32.0
2020-05-25,29.0,18.0,0.0,69,41546.12,Nwoya,2.63,32.0
2020-05-26,29.0,18.9,4.0,73,41183.13,Nwoya,2.63,32.0
2020-05-27,28.5,19.4,0.8,78,40933.37,Nwoya,2.63,32.0
2020-05-28,29.5,20.1,1.4,81,40812.35,Nwoya,2.63,32.0
2020-05-29,28.9,19.6,9.9,80,40676.95,Nwoya,2.63,32.0
2020-05-30,27.3,19.6,7.4,83,26728.34,Nwoya,2.63,32.0
2020-05-31,28.9,20.7,1.8,83,37904.39,Nwoya,2.63,32.0
2020-06-01,28.5,18.9,0.1,74,41284.45,Nwoya,2.63,32.0
2020-06-02,28.5,19.8,0.4,76,41154.47,Nwoya,2.63,32.0
2020-06-03,28.6,19.9,0.1,74,39299.99,Nwoya,2.63,32.0
2020-06-04,27.3,18.7,4.5,82,40512.86,Nwoya,2.63,32.0
2020-06-05,27.7,19.0,1.4,79,30325.42,Nwoya,2.63,32.0
2020-06-06,28.0,18.8,0.3,78,32596.37,Nwoya,2.63,32.0
2020-06-07,29.5,19.1,0.3,70,41566.85,Nwoya,2.63,32.0
2020-06-08,25.4,19.0,4.0,84,39677.55,Nwoya,2.63,32.0
2020-06-09,27.1,18.8,1.9,83,38988.95,Nwoya,2.63,32.0
2020-06-10,26.6,19.6,5.0,81,27466.01,Nwoya,2.63,32.0
2020-06-11,25.7,18.9,11.4,86,40182.21,Nwoya,2.63,32.0
2020-06-12,26.2,18.1,3.0,85,40427.29,Nwoya,2.63,32.0
2020-06-13,25.2,18.5,3.6,84,40544.26,Nwoya,2.63,32.0
2020-06-14,26.6,18.5,0.1,81,32836.72,Nwoya,2.63,32.0
2020-06-15,27.0,19.9,0.9,81,29577.46,Nwoya,2.63,32.0
2020-06-16,28.8,19.1,0.2,73,38763.58,Nwoya,2.63,32.0
2020-06-17,28.9,19.2,0.3,68,40644.06,Nwoya,2.63,32.0
2020-06-18,28.1,19.3,0.9,64,38504.28,Nwoya,2.63,32.0
2020-06-19,28.2,18.8,1.3,74,41259.45,Nwoya,2.63,32.0
2020-06-20,27.4,19.5,0.4,71,38616.7,Nwoya,2.63,32.0
2020-06-21,28.7,19.5,3.0,73,41106.71,Nwoya,2.63,32.0
2020-06-22,27.9,18.5,2.8,81,36175.31,Nwoya,2.63,32.0
2020-06-23,28.2,18.4,0.2,76,40953.04,Nwoya,2.63,32.0
