time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,31.4,20.1,0.2,55,35246.09,Omoro,2.71,32.6
2022-01-02,31.6,19.7,0.2,55,38621.83,Omoro,2.71,32.6
2022-01-03,33.9,21.0,0.0,33,38597.72,Omoro,2.71,32.6
2022-01-04,32.7,20.5,0.0,28,38574.06,Omoro,2.71,32.6
2022-01-05,32.6,19.2,0.0,31,40415.22,Omoro,2.71,32.6
2022-01-06,32.3,18.8,0.0,35,39206.93,Omoro,2.71,32.6
2022-01-07,33.5,20.2,0.0,38,39061.71,Omoro,2.71,32.6
2022-01-08,35.8,21.4,0.0,30,36809.25,Omoro,2.71,32.6
2022-01-09,36.0,20.3,0.0,28,36663.05,Omoro,2.71,32.6
2022-01-10,35.8,20.6,0.0,31,35367.98,Omoro,2.71,32.6
2022-01-11,35.1,21.8,0.0,28,39670.66,Omoro,2.71,32.6
2022-01-12,35.0,22.0,0.0,30,40540.21,Omoro,2.71,32.6
2022-01-13,35.9,21.5,0.0,28,38910.89,Omoro,2.71,32.6
2022-01-14,33.3,21.6,0.5,43,39087.87,Omoro,2.71,32.6
2022-01-15,33.6,20.4,0.0,47,38339.53,Omoro,2.71,32.6
2022-01-16,32.6,21.1,4.5,58,34199.81,Omoro,2.71,32.6
2022-01-17,23.4,18.8,23.3,83,0.0,Omoro,2.71,32.6
2022-01-18,24.5,17.5,11.2,88,7458.54,Omoro,2.71,32.6
2022-01-19,29.4,17.0,0.1,73,30202.82,Omoro,2.71,32.6
2022-01-20,29.4,19.2,0.0,56,38045.55,Omoro,2.71,32.6
2022-01-21,29.6,18.1,0.0,41,38245.74,Omoro,2.71,32.6
2022-01-22,30.7,17.8,0.0,43,34592.41,Omoro,2.71,32.6
2022-01-23,32.9,19.1,0.0,45,40624.17,Omoro,2.71,32.6
2022-01-24,32.7,18.8,0.0,48,36250.36,Omoro,2.71,32.6
2022-01-25,33.0,19.5,0.0,38,38765.57,Omoro,2.71,32.6
2022-01-26,34.3,19.7,0.0,39,40650.95,Omoro,2.71,32.6
