time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,31.5,20.4,0.4,52,34989.84,Otuke,2.5167,33.5
2022-01-02,33.6,19.2,0.0,48,38817.4,Otuke,2.5167,33.5
2022-01-03,35.0,19.4,0.0,28,40077.11,Otuke,2.5167,33.5
2022-01-04,33.2,20.2,0.0,29,35218.92,Otuke,2.5167,33.5
2022-01-05,33.1,18.8,0.0,29,39593.09,Otuke,2.5167,33.5
2022-01-06,34.2,17.5,0.0,34,39345.23,Otuke,2.5167,33.5
2022-01-07,34.8,21.2,0.0,35,39886.77,Otuke,2.5167,33.5
2022-01-08,36.6,19.2,0.0,30,40094.91,Otuke,2.5167,33.5
2022-01-09,36.5,21.2,0.0,28,40562.95,Otuke,2.5167,33.5
2022-01-10,35.8,20.9,0.0,30,40568.71,Otuke,2.5167,33.5
2022-01-11,35.3,21.5,0.0,29,40390.3,Otuke,2.5167,33.5
2022-01-12,34.8,21.6,0.0,31,40580.93,Otuke,2.5167,33.5
2022-01-13,35.8,21.8,0.0,26,40587.36,Otuke,2.5167,33.5
2022-01-14,35.2,22.0,0.1,27,36330.22,Otuke,2.5167,33.5
2022-01-15,34.0,21.9,0.0,44,34357.03,Otuke,2.5167,33.5
2022-01-16,33.0,20.8,4.5,57,33020.41,Otuke,2.5167,33.5
2022-01-17,24.8,18.7,12.2,82,720.38,Otuke,2.5167,33.5
2022-01-18,23.9,17.3,5.7,79,14193.11,Otuke,2.5167,33.5
2022-01-19,29.7,17.1,0.0,67,34410.16,Otuke,2.5167,33.5
2022-01-20,31.0,17.1,0.3,57,39154.61,Otuke,2.5167,33.5
2022-01-21,31.9,17.4,0.0,43,36477.59,Otuke,2.5167,33.5
2022-01-22,32.3,18.2,0.0,41,39618.56,Otuke,2.5167,33.5
2022-01-23,33.6,18.3,0.0,36,40660.41,Otuke,2.5167,33.5
2022-01-24,34.4,17.3,0.0,45,37220.4,Otuke,2.5167,33.5
2022-01-25,34.4,19.9,0.0,29,34456.25,Otuke,2.5167,33.5
2022-01-26,35.0,19.3,0.0,27,40685.73,Otuke,2.5167,33.5
2022-01-27,35.5,18.5,0.0,26,40694.57,Otuke,2.5167,33.5
2022-01-28,34.6,17.9,0.0,28,38670.3,Otuke,2.5167,33.5
2022-01-29,35.5,18.3,0.0,28,39419.9,Otuke,2.5167,33.5
