time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,33.3,19.1,0.0,40,40169.27,Oyam,2.2781,32.4461
2019-01-02,32.8,18.5,0.0,41,39558.79,Oyam,2.2781,32.4461
2019-01-03,34.2,18.4,0.0,44,37880.07,Oyam,2.2781,32.4461
2019-01-04,31.6,23.1,0.7,48,29566.51,Oyam,2.2781,32.4461
2019-01-05,34.5,20.1,0.0,40,39119.73,Oyam,2.2781,32.4461
2019-01-06,34.2,21.3,0.0,36,33032.09,Oyam,2.2781,32.4461
2019-01-07,34.1,21.1,0.0,35,38574.22,Oyam,2.2781,32.4461
2019-01-08,32.2,20.8,0.0,49,21386.73,Oyam,2.2781,32.4461
2019-01-09,32.8,17.5,0.0,46,39751.09,Oyam,2.2781,32.4461
2019-01-10,34.9,19.4,0.0,33,35956.91,Oyam,2.2781,32.4461
2019-01-11,34.4,21.0,0.0,32,36276.25,Oyam,2.2781,32.4461
2019-01-12,34.5,19.9,0.0,26,40620.52,Oyam,2.2781,32.4461
2019-01-13,34.7,20.7,0.0,21,40626.36,Oyam,2.2781,32.4461
2019-01-14,34.2,20.1,0.0,29,28661.17,Oyam,2.2781,32.4461
2019-01-15,33.3,20.4,0.0,43,37557.01,Oyam,2.2781,32.4461
2019-01-16,31.0,20.9,1.0,63,38270.8,Oyam,2.2781,32.4461
2019-01-17,30.3,19.3,0.0,66,39844.72,Oyam,2.2781,32.4461
2019-01-18,29.8,19.5,0.2,65,38601.67,Oyam,2.2781,32.4461
2019-01-19,30.6,18.7,0.0,59,40482.62,Oyam,2.2781,32.4461
2019-01-20,31.6,19.1,0.0,56,39592.92,Oyam,2.2781,32.4461
2019-01-21,31.8,20.3,1.3,55,36567.2,Oyam,2.2781,32.4461
2019-01-22,32.3,19.4,0.0,60,40686.65,Oyam,2.2781,32.4461
2019-01-23,32.0,19.2,0.1,54,39820.85,Oyam,2.2781,32.4461
2019-01-24,32.9,19.8,0.0,56,38206.81,Oyam,2.2781,32.4461
2019-01-25,33.6,19.1,0.0,54,38649.36,Oyam,2.2781,32.4461
2019-01-26,33.6,19.5,0.0,59,40718.79,Oyam,2.2781,32.4461
2019-01-27,34.9,18.5,0.0,52,39304.66,Oyam,2.2781,32.4461
2019-01-28,35.8,19.7,0.0,35,40366.5,Oyam,2.2781,32.4461
2019-01-29,35.3,19.7,0.0,35,38221.56,Oyam,2.2781,32.4461
2019-01-30,36.0,20.2,0.0,37,40083.57,Oyam,2.2781,32.4461
2019-01-31,36.4,18.9,0.0,28,38870.29,Oyam,2.2781,32.4461
2019-02-01,36.5,20.7,0.0,24,36043.38,Oyam,2.2781,32.4461
2019-02-02,36.2,20.0,0.0,25,40779.67,Oyam,2.2781,32.4461
2019-02-03,35.8,20.1,0.0,25,35019.79,Oyam,2.2781,32.4461
2019-02-04,36.7,20.6,0.0,27,38081.57,Oyam,2.2781,32.4461
2019-02-05,37.0,22.6,0.0,28,40806.6,Oyam,2.2781,32.4461
2019-02-06,35.7,20.4,0.0,46,38834.16,Oyam,2.2781,32.4461
2019-02-07,33.5,21.2,0.0,47,40824.57,Oyam,2.2781,32.4461
2019-02-08,35.4,21.3,0.0,45,40772.9,Oyam,2.2781,32.4461
2019-02-09,35.5,21.9,0.0,41,40291.77,Oyam,2.2781,32.4461
2019-02-10,35.1,22.1,0.0,33,40851.62,Oyam,2.2781,32.4461
2019-02-11,36.4,21.7,0.0,30,40860.83,Oyam,2.2781,32.4461
2019-02-12,35.1,20.6,0.0,50,37107.69,Oyam,2.2781,32.4461
2019-02-13,36.3,20.7,0.0,28,38503.35,Oyam,2.2781,32.4461
2019-02-14,35.2,22.3,0.0,30,35494.82,Oyam,2.2781,32.4461
2019-02-15,32.5,22.0,0.0,39,37994.41,Oyam,2.2781,32.4461
2019-02-16,34.1,21.1,0.0,42,40907.75,Oyam,2.2781,32.4461
2019-02-17,33.3,22.4,0.0,40,40209.08,Oyam,2.2781,32.4461
2019-02-18,34.5,20.2,0.0,37,40926.72,Oyam,2.2781,32.4461
2019-02-19,35.7,20.3,0.0,31,39820.57,Oyam,2.2781,32.4461
2019-02-20,31.7,21.1,0.0,47,40668.75,Oyam,2.2781,32.4461
2019-02-21,32.1,20.2,0.4,61,40912.68,Oyam,2.2781,32.4461
2019-02-22,33.8,19.5,0.3,60,38254.27,Oyam,2.2781,32.4461
2019-02-23,31.4,20.5,6.4,71,36965.84,Oyam,2.2781,32.4461
2019-02-24,29.4,19.1,7.4,78,34034.09,Oyam,2.2781,32.4461
2019-02-25,31.2,18.6,7.7,71,40992.41,Oyam,2.2781,32.4461
