time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,33.9,18.4,0.0,34,36783.34,Pader,2.8667,33.1667
2023-01-02,31.8,20.7,0.0,45,39882.34,Pader,2.8667,33.1667
2023-01-03,32.2,20.6,0.0,47,39971.73,Pader,2.8667,33.1667
2023-01-04,32.8,19.3,0.0,39,39614.79,Pader,2.8667,33.1667
2023-01-05,33.3,19.3,0.0,30,40471.07,Pader,2.8667,33.1667
2023-01-06,34.1,19.0,0.0,28,40365.62,Pader,2.8667,33.1667
2023-01-07,34.1,17.5,0.0,27,36813.7,Pader,2.8667,33.1667
2023-01-08,34.5,19.2,0.0,29,39520.34,Pader,2.8667,33.1667
2023-01-09,33.6,19.2,0.0,38,39614.11,Pader,2.8667,33.1667
2023-01-10,33.2,19.8,0.0,41,39592.29,Pader,2.8667,33.1667
2023-01-11,32.5,19.5,0.0,47,39807.95,Pader,2.8667,33.1667
2023-01-12,31.3,19.3,0.2,46,40266.0,Pader,2.8667,33.1667
2023-01-13,32.8,18.4,0.0,44,40518.41,Pader,2.8667,33.1667
2023-01-14,34.0,17.8,0.0,38,40525.29,Pader,2.8667,33.1667
2023-01-15,34.7,18.0,0.0,31,36100.19,Pader,2.8667,33.1667
2023-01-16,32.0,18.9,0.0,37,37095.06,Pader,2.8667,33.1667
2023-01-17,33.0,19.3,0.0,35,38841.9,Pader,2.8667,33.1667
2023-01-18,34.7,18.0,0.0,29,40303.32,Pader,2.8667,33.1667
2023-01-19,34.7,18.0,0.0,32,40539.57,Pader,2.8667,33.1667
2023-01-20,33.3,19.3,0.0,35,34938.2,Pader,2.8667,33.1667
2023-01-21,34.5,18.5,0.0,30,37319.38,Pader,2.8667,33.1667
2023-01-22,33.4,19.4,0.0,27,39005.05,Pader,2.8667,33.1667
2023-01-23,33.8,18.7,0.0,40,38351.2,Pader,2.8667,33.1667
2023-01-24,33.5,20.2,0.0,40,40562.41,Pader,2.8667,33.1667
2023-01-25,33.8,20.3,0.0,34,40231.3,Pader,2.8667,33.1667
2023-01-26,34.3,19.5,0.0,32,38303.84,Pader,2.8667,33.1667
2023-01-27,35.3,19.8,0.0,30,40635.83,Pader,2.8667,33.1667
2023-01-28,35.2,19.4,0.0,23,40645.75,Pader,2.8667,33.1667
2023-01-29,36.4,20.5,0.0,24,39286.17,Pader,2.8667,33.1667
2023-01-30,35.1,19.8,0.0,28,35577.41,Pader,2.8667,33.1667
2023-01-31,35.1,19.5,0.0,30,40676.18,Pader,2.8667,33.1667
2023-02-01,34.4,20.0,0.0,34,38894.68,Pader,2.8667,33.1667
2023-02-02,34.6,19.5,0.0,37,40696.86,Pader,2.8667,33.1667
2023-02-03,32.3,19.4,0.0,37,40707.27,Pader,2.8667,33.1667
2023-02-04,34.2,19.8,0.0,33,40717.72,Pader,2.8667,33.1667
2023-02-05,33.3,19.7,0.0,31,40302.0,Pader,2.8667,33.1667
2023-02-06,35.2,19.2,0.0,31,34881.66,Pader,2.8667,33.1667
2023-02-07,34.3,19.9,0.0,35,40749.11,Pader,2.8667,33.1667
2023-02-08,33.8,20.1,0.0,38,40759.66,Pader,2.8667,33.1667
2023-02-09,31.7,19.2,0.1,42,40770.35,Pader,2.8667,33.1667
2023-02-10,34.7,18.2,0.0,39,39262.02,Pader,2.8667,33.1667
2023-02-11,36.6,21.0,0.0,28,40792.07,Pader,2.8667,33.1667
2023-02-12,36.5,21.7,0.0,23,40803.08,Pader,2.8667,33.1667
2023-02-13,35.5,21.3,0.0,20,40814.18,Pader,2.8667,33.1667
2023-02-14,37.4,21.4,0.0,21,40712.23,Pader,2.8667,33.1667
2023-02-15,36.3,21.0,0.0,26,37249.13,Pader,2.8667,33.1667
2023-02-16,35.1,22.7,0.0,25,37288.7,Pader,2.8667,33.1667
2023-02-17,35.2,20.3,0.0,23,39906.21,Pader,2.8667,33.1667
2023-02-18,35.9,20.5,0.0,26,40870.25,Pader,2.8667,33.1667
2023-02-19,36.3,22.3,0.0,25,40488.63,Pader,2.8667,33.1667
2023-02-20,37.1,22.3,0.0,22,40892.75,Pader,2.8667,33.1667
2023-02-21,37.6,21.5,0.0,21,39988.5,Pader,2.8667,33.1667
2023-02-22,37.6,22.5,0.0,20,36977.27,Pader,2.8667,33.1667
2023-02-23,37.6,21.8,0.0,20,34584.29,Pader,2.8667,33.1667
2023-02-24,33.9,21.5,0.0,42,40937.3,Pader,2.8667,33.1667
2023-02-25,34.6,23.1,0.0,34,35510.2,Pader,2.8667,33.1667
2023-02-26,34.8,23.4,0.0,34,38143.38,Pader,2.8667,33.1667
2023-02-27,33.8,22.8,0.6,47,27947.64,Pader,2.8667,33.1667
2023-02-28,33.3,20.8,0.2,56,30269.69,Pader,2.8667,33.1667
2023-03-01,29.7,19.3,0.5,65,24898.0,Pader,2.8667,33.1667
2023-03-02,31.5,19.4,0.6,60,35724.33,Pader,2.8667,33.1667
2023-03-03,31.4,18.9,3.7,71,29385.25,Pader,2.8667,33.1667
2023-03-04,34.7,19.5,0.1,55,38460.96,Pader,2.8667,33.1667
2023-03-05,37.1,20.5,0.0,45,41033.59,Pader,2.8667,33.1667
2023-03-06,37.0,21.6,0.0,31,41044.18,Pader,2.8667,33.1667
2023-03-07,36.6,21.8,0.0,30,34548.23,Pader,2.8667,33.1667
2023-03-08,37.3,22.0,0.0,31,34182.13,Pader,2.8667,33.1667
2023-03-09,35.8,22.5,0.0,40,40212.14,Pader,2.8667,33.1667
2023-03-10,34.2,22.3,0.0,43,39996.34,Pader,2.8667,33.1667
2023-03-11,33.6,22.0,7.4,53,29683.56,Pader,2.8667,33.1667
2023-03-12,27.0,20.1,7.0,76,28529.17,Pader,2.8667,33.1667
2023-03-13,32.1,20.1,4.3,67,28903.03,Pader,2.8667,33.1667
2023-03-14,26.8,19.7,31.7,81,13757.5,Pader,2.8667,33.1667
2023-03-15,27.5,19.4,16.7,87,12244.33,Pader,2.8667,33.1667
2023-03-16,30.0,19.5,5.9,76,33343.95,Pader,2.8667,33.1667
2023-03-17,30.8,19.3,8.8,72,31626.98,Pader,2.8667,33.1667
2023-03-18,27.2,19.0,31.9,86,19036.16,Pader,2.8667,33.1667
2023-03-19,31.3,18.4,7.1,67,41173.52,Pader,2.8667,33.1667
2023-03-20,27.6,18.6,10.0,82,31741.73,Pader,2.8667,33.1667
2023-03-21,29.7,18.1,0.0,67,34174.93,Pader,2.8667,33.1667
2023-03-22,31.0,18.3,0.2,60,35455.9,Pader,2.8667,33.1667
2023-03-23,26.5,20.3,13.4,80,11056.2,Pader,2.8667,33.1667
2023-03-24,31.6,19.5,0.2,69,36098.74,Pader,2.8667,33.1667
2023-03-25,31.9,19.4,3.4,69,40074.59,Pader,2.8667,33.1667
2023-03-26,24.9,19.4,3.4,82,15162.68,Pader,2.8667,33.1667
2023-03-27,30.8,18.8,0.0,68,38073.71,Pader,2.8667,33.1667
2023-03-28,30.5,19.6,0.0,61,40747.75,Pader,2.8667,33.1667
2023-03-29,29.9,19.3,0.4,68,41266.0,Pader,2.8667,33.1667
2023-03-30,31.4,19.8,1.6,65,40911.13,Pader,2.8667,33.1667
2023-03-31,27.9,19.3,22.6,78,33333.79,Pader,2.8667,33.1667
2023-04-01,29.8,17.3,0.1,71,41191.46,Pader,2.8667,33.1667
2023-04-02,30.6,19.7,0.8,68,40381.14,Pader,2.8667,33.1667
2023-04-03,31.3,19.0,18.4,74,36330.23,Pader,2.8667,33.1667
2023-04-04,31.1,19.5,0.0,65,40661.12,Pader,2.8667,33.1667
2023-04-05,32.1,19.5,0.3,65,39372.93,Pader,2.8667,33.1667
2023-04-06,32.5,20.1,0.0,55,41332.08,Pader,2.8667,33.1667
2023-04-07,32.0,19.7,0.0,58,40721.84,Pader,2.8667,33.1667
2023-04-08,33.2,21.0,0.0,49,41347.36,Pader,2.8667,33.1667
2023-04-09,33.4,21.1,0.0,49,41354.64,Pader,2.8667,33.1667
2023-04-10,34.4,20.5,0.0,49,41127.06,Pader,2.8667,33.1667
2023-04-11,34.5,19.9,0.0,48,40450.11,Pader,2.8667,33.1667
2023-04-12,34.2,21.1,0.0,47,40931.67,Pader,2.8667,33.1667
2023-04-13,32.5,21.0,0.0,50,40373.77,Pader,2.8667,33.1667
2023-04-14,31.8,19.9,1.1,60,38484.59,Pader,2.8667,33.1667
2023-04-15,33.4,20.3,0.0,53,41396.83,Pader,2.8667,33.1667
2023-04-16,33.0,20.2,0.0,50,41403.57,Pader,2.8667,33.1667
2023-04-17,31.3,21.1,12.0,69,36992.53,Pader,2.8667,33.1667
2023-04-18,30.3,19.2,1.9,75,32294.21,Pader,2.8667,33.1667
2023-04-19,31.6,19.2,0.1,69,37112.7,Pader,2.8667,33.1667
2023-04-20,33.3,19.7,0.9,68,36109.59,Pader,2.8667,33.1667
2023-04-21,32.1,20.1,0.0,62,39782.44,Pader,2.8667,33.1667
2023-04-22,32.0,20.9,1.4,64,38750.54,Pader,2.8667,33.1667
2023-04-23,27.1,20.1,16.8,82,17252.2,Pader,2.8667,33.1667
2023-04-24,31.2,19.4,5.5,81,28584.64,Pader,2.8667,33.1667
2023-04-25,27.7,19.5,7.5,83,25898.88,Pader,2.8667,33.1667
2023-04-26,30.2,19.4,3.5,72,35255.33,Pader,2.8667,33.1667
2023-04-27,30.2,19.3,20.2,76,39600.0,Pader,2.8667,33.1667
2023-04-28,29.7,19.7,19.7,81,36633.0,Pader,2.8667,33.1667
2023-04-29,27.0,19.0,18.1,86,21240.91,Pader,2.8667,33.1667
2023-04-30,24.4,19.2,5.9,86,22220.71,Pader,2.8667,33.1667
2023-05-01,26.3,18.8,3.2,88,23888.02,Pader,2.8667,33.1667
2023-05-02,28.0,18.9,9.8,84,30411.29,Pader,2.8667,33.1667
2023-05-03,29.8,19.1,9.1,79,30254.43,Pader,2.8667,33.1667
2023-05-04,29.1,17.6,6.7,81,36536.0,Pader,2.8667,33.1667
2023-05-05,30.3,18.8,1.0,76,37441.69,Pader,2.8667,33.1667
2023-05-06,30.4,18.3,0.1,73,39562.06,Pader,2.8667,33.1667
2023-05-07,30.7,18.9,0.0,67,40480.02,Pader,2.8667,33.1667
2023-05-08,31.6,19.1,0.8,68,33058.27,Pader,2.8667,33.1667
2023-05-09,30.9,19.2,1.9,75,39813.41,Pader,2.8667,33.1667
2023-05-10,29.6,18.5,7.9,74,41041.2,Pader,2.8667,33.1667
2023-05-11,30.9,19.0,0.1,72,36884.68,Pader,2.8667,33.1667
2023-05-12,32.3,19.3,0.0,64,41044.31,Pader,2.8667,33.1667
2023-05-13,32.4,18.8,0.0,61,40487.06,Pader,2.8667,33.1667
2023-05-14,32.7,19.4,0.0,60,40935.9,Pader,2.8667,33.1667
2023-05-15,31.2,20.2,0.0,64,40937.64,Pader,2.8667,33.1667
2023-05-16,32.1,20.3,0.1,63,37451.63,Pader,2.8667,33.1667
2023-05-17,31.9,20.1,8.3,72,39600.0,Pader,2.8667,33.1667
2023-05-18,31.3,19.8,0.1,71,38780.57,Pader,2.8667,33.1667
2023-05-19,31.4,19.4,0.0,63,40719.89,Pader,2.8667,33.1667
