time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,32.1,22.1,0.0,63,33782.13,Pakwach,2.4722,31.4944
2024-01-02,31.9,21.4,11.6,73,34423.08,Pakwach,2.4722,31.4944
2024-01-03,34.4,22.7,0.0,65,33666.7,Pakwach,2.4722,31.4944
2024-01-04,34.3,19.2,0.0,64,38978.94,Pakwach,2.4722,31.4944
2024-01-05,33.9,19.3,0.0,69,38713.0,Pakwach,2.4722,31.4944
2024-01-06,34.2,19.9,0.0,57,38070.01,Pakwach,2.4722,31.4944
2024-01-07,34.7,17.9,0.0,55,39868.29,Pakwach,2.4722,31.4944
2024-01-08,34.5,19.6,0.0,55,38969.0,Pakwach,2.4722,31.4944
2024-01-09,35.4,19.9,0.0,53,38592.58,Pakwach,2.4722,31.4944
2024-01-10,35.2,22.1,0.0,61,38463.23,Pakwach,2.4722,31.4944
2024-01-11,35.1,20.9,0.0,64,38587.99,Pakwach,2.4722,31.4944
2024-01-12,35.8,22.8,0.0,59,38241.82,Pakwach,2.4722,31.4944
2024-01-13,33.9,22.8,0.0,66,37594.83,Pakwach,2.4722,31.4944
2024-01-14,34.8,23.4,0.1,61,37720.75,Pakwach,2.4722,31.4944
2024-01-15,34.7,23.3,0.0,62,36997.23,Pakwach,2.4722,31.4944
2024-01-16,34.5,21.2,0.0,54,39543.8,Pakwach,2.4722,31.4944
2024-01-17,34.1,20.9,0.0,50,35507.59,Pakwach,2.4722,31.4944
2024-01-18,34.3,22.0,0.0,46,26896.13,Pakwach,2.4722,31.4944
2024-01-19,33.7,18.5,0.0,55,39392.27,Pakwach,2.4722,31.4944
2024-01-20,35.1,19.5,0.0,50,39748.25,Pakwach,2.4722,31.4944
2024-01-21,35.3,23.2,0.0,38,36892.55,Pakwach,2.4722,31.4944
2024-01-22,34.7,19.1,0.0,48,39491.65,Pakwach,2.4722,31.4944
2024-01-23,34.8,23.3,0.0,49,37264.82,Pakwach,2.4722,31.4944
2024-01-24,34.4,22.9,0.2,57,38504.73,Pakwach,2.4722,31.4944
2024-01-25,35.5,22.4,0.0,59,38758.17,Pakwach,2.4722,31.4944
