time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,27.1,18.3,3.2,80,36530.74,Pallisa,1.1667,33.7167
2021-01-02,26.7,17.9,2.5,78,40627.2,Pallisa,1.1667,33.7167
2021-01-03,28.4,17.7,0.2,77,40268.89,Pallisa,1.1667,33.7167
2021-01-04,30.3,17.4,0.1,71,40811.01,Pallisa,1.1667,33.7167
2021-01-05,29.7,17.5,0.1,70,40683.48,Pallisa,1.1667,33.7167
2021-01-06,30.0,17.9,0.2,71,40816.39,Pallisa,1.1667,33.7167
2021-01-07,31.6,17.0,0.0,65,40819.27,Pallisa,1.1667,33.7167
2021-01-08,30.8,17.2,0.0,65,40822.46,Pallisa,1.1667,33.7167
2021-01-09,28.1,18.2,0.3,74,39198.25,Pallisa,1.1667,33.7167
2021-01-10,27.4,17.9,4.9,83,28868.95,Pallisa,1.1667,33.7167
2021-01-11,29.2,18.1,0.7,74,39146.88,Pallisa,1.1667,33.7167
2021-01-12,29.1,18.7,1.1,75,39843.48,Pallisa,1.1667,33.7167
2021-01-13,31.3,17.5,0.1,67,39338.41,Pallisa,1.1667,33.7167
2021-01-14,29.5,18.9,0.4,75,34893.88,Pallisa,1.1667,33.7167
2021-01-15,29.3,19.6,3.3,77,35851.9,Pallisa,1.1667,33.7167
2021-01-16,25.8,18.5,19.2,86,39892.94,Pallisa,1.1667,33.7167
2021-01-17,29.6,17.9,0.2,75,40860.68,Pallisa,1.1667,33.7167
2021-01-18,29.8,17.3,0.4,73,40837.66,Pallisa,1.1667,33.7167
2021-01-19,29.2,19.1,0.2,73,40824.11,Pallisa,1.1667,33.7167
2021-01-20,30.1,18.2,0.4,75,40875.62,Pallisa,1.1667,33.7167
2021-01-21,30.0,17.9,0.2,71,40880.77,Pallisa,1.1667,33.7167
2021-01-22,29.1,18.2,0.5,72,40030.88,Pallisa,1.1667,33.7167
2021-01-23,30.1,18.1,0.0,68,39637.86,Pallisa,1.1667,33.7167
2021-01-24,30.7,18.4,0.9,70,40896.52,Pallisa,1.1667,33.7167
2021-01-25,31.0,17.8,0.3,71,40901.86,Pallisa,1.1667,33.7167
2021-01-26,30.2,18.4,0.2,69,40907.21,Pallisa,1.1667,33.7167
2021-01-27,31.8,17.7,0.0,67,40912.59,Pallisa,1.1667,33.7167
2021-01-28,32.1,16.1,0.0,65,40918.02,Pallisa,1.1667,33.7167
2021-01-29,32.9,17.4,0.0,61,39851.21,Pallisa,1.1667,33.7167
2021-01-30,31.8,19.4,0.0,63,40929.3,Pallisa,1.1667,33.7167
2021-01-31,34.2,18.5,0.0,63,40935.09,Pallisa,1.1667,33.7167
2021-02-01,34.3,17.2,0.0,53,40940.95,Pallisa,1.1667,33.7167
