time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,21.1,11.1,6.6,88,35744.46,Rubanda,-1.1833,29.8
2024-01-02,19.9,10.7,3.8,88,33468.79,Rubanda,-1.1833,29.8
2024-01-03,18.7,12.6,5.0,87,25569.44,Rubanda,-1.1833,29.8
2024-01-04,19.2,10.6,2.4,81,36265.63,Rubanda,-1.1833,29.8
2024-01-05,20.8,12.2,0.2,73,33112.81,Rubanda,-1.1833,29.8
2024-01-06,21.8,10.6,0.3,77,39020.43,Rubanda,-1.1833,29.8
2024-01-07,20.9,11.0,1.8,83,37488.33,Rubanda,-1.1833,29.8
2024-01-08,21.1,8.8,0.7,79,40861.87,Rubanda,-1.1833,29.8
2024-01-09,19.0,11.7,9.2,87,35221.36,Rubanda,-1.1833,29.8
2024-01-10,19.7,12.6,0.2,82,31197.34,Rubanda,-1.1833,29.8
2024-01-11,20.0,12.5,0.2,82,34832.02,Rubanda,-1.1833,29.8
2024-01-12,20.2,13.3,1.5,86,35544.14,Rubanda,-1.1833,29.8
2024-01-13,21.2,11.7,10.4,85,31384.99,Rubanda,-1.1833,29.8
2024-01-14,21.0,12.0,3.8,85,36489.34,Rubanda,-1.1833,29.8
2024-01-15,20.6,12.5,3.0,82,40983.93,Rubanda,-1.1833,29.8
2024-01-16,19.5,10.0,0.7,82,29930.95,Rubanda,-1.1833,29.8
2024-01-17,19.8,11.3,3.2,87,32826.96,Rubanda,-1.1833,29.8
2024-01-18,20.8,11.1,15.7,88,26845.92,Rubanda,-1.1833,29.8
2024-01-19,20.8,11.5,14.7,88,39590.95,Rubanda,-1.1833,29.8
2024-01-20,20.7,12.3,18.5,87,34742.99,Rubanda,-1.1833,29.8
2024-01-21,17.8,13.1,0.3,74,29389.17,Rubanda,-1.1833,29.8
2024-01-22,21.8,11.7,1.7,73,30942.81,Rubanda,-1.1833,29.8
2024-01-23,19.8,11.8,1.1,75,25980.14,Rubanda,-1.1833,29.8
2024-01-24,20.0,12.6,5.0,86,27953.87,Rubanda,-1.1833,29.8
2024-01-25,20.9,12.9,4.3,81,39620.73,Rubanda,-1.1833,29.8
2024-01-26,19.6,12.8,12.1,86,37810.62,Rubanda,-1.1833,29.8
2024-01-27,20.8,10.6,2.4,81,40103.79,Rubanda,-1.1833,29.8
2024-01-28,21.3,10.2,0.0,78,39552.41,Rubanda,-1.1833,29.8
2024-01-29,21.1,11.6,2.6,83,31272.05,Rubanda,-1.1833,29.8
2024-01-30,20.4,11.5,2.2,84,35875.77,Rubanda,-1.1833,29.8
2024-01-31,20.5,10.7,3.7,83,33078.66,Rubanda,-1.1833,29.8
2024-02-01,21.4,10.4,2.3,78,38036.49,Rubanda,-1.1833,29.8
2024-02-02,21.6,11.1,0.3,74,37171.97,Rubanda,-1.1833,29.8
2024-02-03,21.3,11.2,2.3,85,33449.26,Rubanda,-1.1833,29.8
2024-02-04,20.7,10.1,6.0,85,37794.12,Rubanda,-1.1833,29.8
2024-02-05,20.6,10.4,1.2,84,32320.06,Rubanda,-1.1833,29.8
2024-02-06,22.3,9.7,1.0,80,39850.38,Rubanda,-1.1833,29.8
2024-02-07,21.4,10.6,1.1,79,39634.77,Rubanda,-1.1833,29.8
2024-02-08,22.0,11.8,0.0,72,36318.54,Rubanda,-1.1833,29.8
2024-02-09,22.7,10.7,1.0,75,40401.26,Rubanda,-1.1833,29.8
