time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,27.7,17.4,0.1,72,31863.84,Rubirizi,-0.2667,30.1
2017-01-02,28.3,16.6,0.2,66,41092.26,Rubirizi,-0.2667,30.1
2017-01-03,28.6,17.2,0.3,63,41093.29,Rubirizi,-0.2667,30.1
2017-01-04,29.4,15.7,0.0,61,41094.39,Rubirizi,-0.2667,30.1
2017-01-05,30.5,16.6,0.0,54,41095.51,Rubirizi,-0.2667,30.1
2017-01-06,31.0,16.4,0.0,46,41096.68,Rubirizi,-0.2667,30.1
2017-01-07,31.3,16.2,0.0,47,41097.88,Rubirizi,-0.2667,30.1
2017-01-08,29.8,17.4,0.0,48,41099.12,Rubirizi,-0.2667,30.1
2017-01-09,30.5,16.0,0.0,49,41100.56,Rubirizi,-0.2667,30.1
2017-01-10,29.9,16.8,0.0,47,41102.3,Rubirizi,-0.2667,30.1
2017-01-11,30.3,17.4,0.0,46,35128.49,Rubirizi,-0.2667,30.1
2017-01-12,30.9,16.4,0.0,37,41105.98,Rubirizi,-0.2667,30.1
2017-01-13,30.4,15.3,0.0,38,41107.91,Rubirizi,-0.2667,30.1
2017-01-14,29.3,17.5,0.0,46,41109.89,Rubirizi,-0.2667,30.1
2017-01-15,31.9,15.7,0.0,47,41111.91,Rubirizi,-0.2667,30.1
2017-01-16,32.0,16.2,0.0,52,41113.98,Rubirizi,-0.2667,30.1
2017-01-17,31.6,16.2,0.0,47,41116.07,Rubirizi,-0.2667,30.1
2017-01-18,31.8,18.0,0.0,40,41118.2,Rubirizi,-0.2667,30.1
2017-01-19,31.4,17.4,0.0,46,41120.34,Rubirizi,-0.2667,30.1
2017-01-20,30.5,16.1,0.0,46,41122.5,Rubirizi,-0.2667,30.1
2017-01-21,31.4,16.0,0.0,45,39267.91,Rubirizi,-0.2667,30.1
2017-01-22,30.1,18.2,0.0,53,38598.53,Rubirizi,-0.2667,30.1
2017-01-23,30.9,17.7,0.0,50,41129.0,Rubirizi,-0.2667,30.1
2017-01-24,31.1,16.9,0.0,48,41131.15,Rubirizi,-0.2667,30.1
2017-01-25,29.3,17.3,0.4,51,40961.86,Rubirizi,-0.2667,30.1
2017-01-26,29.1,18.3,0.6,59,40177.8,Rubirizi,-0.2667,30.1
2017-01-27,28.9,18.7,0.0,58,41137.51,Rubirizi,-0.2667,30.1
2017-01-28,29.3,17.1,0.7,57,41139.58,Rubirizi,-0.2667,30.1
2017-01-29,28.7,18.8,0.1,63,41141.66,Rubirizi,-0.2667,30.1
2017-01-30,27.5,16.6,1.6,68,33992.63,Rubirizi,-0.2667,30.1
2017-01-31,28.5,17.2,0.4,70,32786.39,Rubirizi,-0.2667,30.1
2017-02-01,27.3,17.5,2.1,69,41012.83,Rubirizi,-0.2667,30.1
2017-02-02,26.7,16.8,9.3,75,39828.95,Rubirizi,-0.2667,30.1
2017-02-03,24.5,17.0,6.8,79,39089.67,Rubirizi,-0.2667,30.1
2017-02-04,26.7,15.8,0.0,68,41154.57,Rubirizi,-0.2667,30.1
2017-02-05,28.6,14.7,0.2,65,41156.71,Rubirizi,-0.2667,30.1
2017-02-06,29.5,15.7,0.4,62,41158.83,Rubirizi,-0.2667,30.1
2017-02-07,30.4,17.5,0.5,58,41160.93,Rubirizi,-0.2667,30.1
2017-02-08,29.6,18.5,0.1,58,41163.0,Rubirizi,-0.2667,30.1
2017-02-09,31.1,17.4,1.2,56,41165.03,Rubirizi,-0.2667,30.1
2017-02-10,30.2,18.2,2.4,56,41167.02,Rubirizi,-0.2667,30.1
2017-02-11,30.7,18.4,0.0,57,37022.14,Rubirizi,-0.2667,30.1
2017-02-12,30.4,17.1,0.4,56,41142.49,Rubirizi,-0.2667,30.1
2017-02-13,29.8,18.4,0.1,55,41172.73,Rubirizi,-0.2667,30.1
2017-02-14,28.9,19.3,0.3,64,39935.09,Rubirizi,-0.2667,30.1
2017-02-15,29.4,18.4,0.0,63,35906.75,Rubirizi,-0.2667,30.1
2017-02-16,28.8,19.6,3.1,65,35802.3,Rubirizi,-0.2667,30.1
2017-02-17,25.3,17.9,7.3,82,35401.79,Rubirizi,-0.2667,30.1
2017-02-18,24.1,17.5,1.2,80,22672.85,Rubirizi,-0.2667,30.1
2017-02-19,26.8,16.5,0.1,74,40904.23,Rubirizi,-0.2667,30.1
2017-02-20,24.8,17.7,2.9,74,33261.16,Rubirizi,-0.2667,30.1
2017-02-21,27.7,17.4,0.0,69,41113.54,Rubirizi,-0.2667,30.1
2017-02-22,25.0,17.5,10.5,76,32913.55,Rubirizi,-0.2667,30.1
2017-02-23,27.9,15.8,0.5,70,40879.25,Rubirizi,-0.2667,30.1
2017-02-24,26.9,16.3,1.9,70,41188.27,Rubirizi,-0.2667,30.1
2017-02-25,26.8,16.5,0.1,69,40751.75,Rubirizi,-0.2667,30.1
2017-02-26,25.4,16.8,4.5,73,39134.52,Rubirizi,-0.2667,30.1
2017-02-27,26.3,16.9,1.4,80,39618.19,Rubirizi,-0.2667,30.1
2017-02-28,27.8,14.9,0.0,74,38260.45,Rubirizi,-0.2667,30.1
2017-03-01,25.9,16.4,6.1,78,30396.01,Rubirizi,-0.2667,30.1
2017-03-02,28.3,15.1,0.0,71,41193.6,Rubirizi,-0.2667,30.1
2017-03-03,26.6,16.2,1.3,76,39319.48,Rubirizi,-0.2667,30.1
2017-03-04,26.5,15.4,8.2,77,41194.85,Rubirizi,-0.2667,30.1
2017-03-05,28.8,15.7,3.0,73,41195.38,Rubirizi,-0.2667,30.1
2017-03-06,29.0,15.4,0.5,72,41195.83,Rubirizi,-0.2667,30.1
2017-03-07,28.7,16.8,0.0,68,41196.21,Rubirizi,-0.2667,30.1
2017-03-08,27.9,16.3,4.6,76,41196.53,Rubirizi,-0.2667,30.1
2017-03-09,25.2,18.6,2.8,77,36346.06,Rubirizi,-0.2667,30.1
2017-03-10,28.0,15.6,0.4,70,39134.64,Rubirizi,-0.2667,30.1
2017-03-11,28.9,15.7,0.3,67,41196.58,Rubirizi,-0.2667,30.1
2017-03-12,29.6,17.7,0.0,60,41196.29,Rubirizi,-0.2667,30.1
2017-03-13,29.6,17.4,0.0,62,41195.94,Rubirizi,-0.2667,30.1
2017-03-14,29.7,17.9,0.1,59,41195.52,Rubirizi,-0.2667,30.1
2017-03-15,29.0,18.9,0.5,71,35480.02,Rubirizi,-0.2667,30.1
2017-03-16,25.4,19.0,3.7,78,28374.38,Rubirizi,-0.2667,30.1
2017-03-17,28.3,16.6,0.1,73,41193.84,Rubirizi,-0.2667,30.1
2017-03-18,28.2,14.8,0.6,69,41193.14,Rubirizi,-0.2667,30.1
2017-03-19,28.7,17.6,3.9,69,37694.93,Rubirizi,-0.2667,30.1
2017-03-20,29.7,19.0,0.9,68,41191.54,Rubirizi,-0.2667,30.1
2017-03-21,28.7,18.5,0.3,67,41190.63,Rubirizi,-0.2667,30.1
2017-03-22,28.2,18.8,3.2,68,40737.07,Rubirizi,-0.2667,30.1
2017-03-23,26.4,18.0,9.6,78,41188.61,Rubirizi,-0.2667,30.1
2017-03-24,25.9,18.7,8.2,78,40519.2,Rubirizi,-0.2667,30.1
2017-03-25,26.0,17.3,7.0,81,41186.33,Rubirizi,-0.2667,30.1
2017-03-26,28.8,15.1,1.9,76,41098.31,Rubirizi,-0.2667,30.1
2017-03-27,28.8,15.9,2.1,80,41183.79,Rubirizi,-0.2667,30.1
2017-03-28,27.7,17.2,0.5,70,41182.44,Rubirizi,-0.2667,30.1
2017-03-29,27.8,16.1,12.2,75,41181.04,Rubirizi,-0.2667,30.1
2017-03-30,24.8,18.1,7.3,84,29756.66,Rubirizi,-0.2667,30.1
2017-03-31,26.3,16.7,6.8,81,37488.11,Rubirizi,-0.2667,30.1
2017-04-01,27.7,17.9,0.1,66,41175.63,Rubirizi,-0.2667,30.1
2017-04-02,28.1,18.4,0.0,64,41173.63,Rubirizi,-0.2667,30.1
2017-04-03,27.7,17.0,1.8,68,41171.57,Rubirizi,-0.2667,30.1
2017-04-04,28.5,16.2,0.0,64,40431.04,Rubirizi,-0.2667,30.1
2017-04-05,28.3,18.6,0.4,60,41167.23,Rubirizi,-0.2667,30.1
2017-04-06,28.3,18.7,1.6,62,41164.96,Rubirizi,-0.2667,30.1
2017-04-07,26.5,18.6,5.3,70,35149.31,Rubirizi,-0.2667,30.1
2017-04-08,26.4,18.0,0.0,64,41008.56,Rubirizi,-0.2667,30.1
2017-04-09,28.2,16.9,1.7,65,41157.82,Rubirizi,-0.2667,30.1
2017-04-10,28.3,15.7,4.4,71,41155.33,Rubirizi,-0.2667,30.1
2017-04-11,28.1,18.6,5.7,73,40576.91,Rubirizi,-0.2667,30.1
2017-04-12,26.1,18.8,1.0,73,38158.0,Rubirizi,-0.2667,30.1
2017-04-13,28.9,18.1,0.4,68,40548.25,Rubirizi,-0.2667,30.1
2017-04-14,28.8,17.2,0.3,66,41144.92,Rubirizi,-0.2667,30.1
2017-04-15,29.4,16.7,0.1,61,41142.23,Rubirizi,-0.2667,30.1
2017-04-16,23.8,18.4,13.9,78,38209.84,Rubirizi,-0.2667,30.1
2017-04-17,25.4,18.5,3.8,78,39192.49,Rubirizi,-0.2667,30.1
2017-04-18,25.2,17.7,11.2,82,36617.2,Rubirizi,-0.2667,30.1
2017-04-19,27.9,17.3,9.8,77,40469.01,Rubirizi,-0.2667,30.1
2017-04-20,25.9,16.0,2.7,77,41128.04,Rubirizi,-0.2667,30.1
2017-04-21,27.6,17.1,2.9,71,41124.93,Rubirizi,-0.2667,30.1
2017-04-22,26.6,17.6,2.7,78,33547.71,Rubirizi,-0.2667,30.1
2017-04-23,25.5,16.1,2.7,82,35250.46,Rubirizi,-0.2667,30.1
2017-04-24,27.0,15.7,1.2,81,41115.31,Rubirizi,-0.2667,30.1
2017-04-25,25.1,16.2,6.7,81,38712.08,Rubirizi,-0.2667,30.1
2017-04-26,26.7,15.4,0.4,78,41108.71,Rubirizi,-0.2667,30.1
2017-04-27,27.2,15.2,0.6,74,41102.02,Rubirizi,-0.2667,30.1
2017-04-28,27.0,15.2,0.1,72,41101.98,Rubirizi,-0.2667,30.1
2017-04-29,27.3,16.2,0.4,78,39086.89,Rubirizi,-0.2667,30.1
