time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2024-01-01,20.2,9.8,2.0,83,40272.42,Rukiga,-1.1528,30.0067
2024-01-02,19.7,10.7,2.4,86,33828.73,Rukiga,-1.1528,30.0067
2024-01-03,18.8,12.1,5.2,83,28525.47,Rukiga,-1.1528,30.0067
2024-01-04,20.1,10.8,1.3,76,32831.88,Rukiga,-1.1528,30.0067
2024-01-05,19.8,10.3,0.0,73,28478.79,Rukiga,-1.1528,30.0067
2024-01-06,21.4,10.1,0.2,73,38994.5,Rukiga,-1.1528,30.0067
2024-01-07,20.4,10.5,0.4,78,37161.21,Rukiga,-1.1528,30.0067
2024-01-08,20.8,9.0,0.2,73,41278.58,Rukiga,-1.1528,30.0067
2024-01-09,19.0,11.4,3.9,82,36592.77,Rukiga,-1.1528,30.0067
2024-01-10,19.3,12.4,0.2,78,31197.07,Rukiga,-1.1528,30.0067
2024-01-11,20.4,11.9,0.8,78,33030.84,Rukiga,-1.1528,30.0067
2024-01-12,20.4,12.5,1.5,81,32846.2,Rukiga,-1.1528,30.0067
2024-01-13,20.7,11.2,7.1,80,30420.16,Rukiga,-1.1528,30.0067
2024-01-14,20.5,12.1,8.6,81,38406.58,Rukiga,-1.1528,30.0067
2024-01-15,20.3,11.3,3.4,78,41280.14,Rukiga,-1.1528,30.0067
2024-01-16,18.8,10.3,2.0,78,35844.16,Rukiga,-1.1528,30.0067
2024-01-17,19.7,11.0,2.0,83,32715.05,Rukiga,-1.1528,30.0067
2024-01-18,20.3,10.2,0.6,84,32474.27,Rukiga,-1.1528,30.0067
2024-01-19,20.8,11.0,2.1,84,39705.11,Rukiga,-1.1528,30.0067
2024-01-20,20.4,11.9,11.8,82,36026.7,Rukiga,-1.1528,30.0067
2024-01-21,19.1,13.0,0.0,70,26333.94,Rukiga,-1.1528,30.0067
2024-01-22,21.6,11.6,0.0,69,27304.38,Rukiga,-1.1528,30.0067
2024-01-23,20.2,11.3,0.1,72,27159.24,Rukiga,-1.1528,30.0067
2024-01-24,19.8,12.6,1.5,82,31285.69,Rukiga,-1.1528,30.0067
2024-01-25,20.9,11.7,7.8,80,40848.91,Rukiga,-1.1528,30.0067
2024-01-26,19.0,11.0,7.4,86,38727.21,Rukiga,-1.1528,30.0067
2024-01-27,20.1,10.1,2.3,79,40639.56,Rukiga,-1.1528,30.0067
2024-01-28,20.9,10.0,0.0,73,40080.21,Rukiga,-1.1528,30.0067
2024-01-29,20.9,10.5,1.8,81,35711.05,Rukiga,-1.1528,30.0067
2024-01-30,19.4,11.7,1.9,83,35841.7,Rukiga,-1.1528,30.0067
2024-01-31,19.9,10.0,1.5,82,32483.39,Rukiga,-1.1528,30.0067
2024-02-01,20.5,10.9,1.1,75,39460.28,Rukiga,-1.1528,30.0067
2024-02-02,21.0,10.9,0.6,71,38869.31,Rukiga,-1.1528,30.0067
2024-02-03,20.3,10.5,2.5,84,32858.09,Rukiga,-1.1528,30.0067
2024-02-04,20.2,10.7,3.3,84,37675.23,Rukiga,-1.1528,30.0067
2024-02-05,20.3,10.6,2.1,81,32497.12,Rukiga,-1.1528,30.0067
2024-02-06,21.6,9.7,1.3,75,39811.92,Rukiga,-1.1528,30.0067
2024-02-07,20.7,10.0,3.0,76,39925.32,Rukiga,-1.1528,30.0067
2024-02-08,21.2,12.2,0.4,71,35380.46,Rukiga,-1.1528,30.0067
2024-02-09,22.1,10.8,1.7,72,40588.77,Rukiga,-1.1528,30.0067
2024-02-10,20.3,11.3,3.9,80,31310.38,Rukiga,-1.1528,30.0067
2024-02-11,21.0,9.5,8.0,78,39927.55,Rukiga,-1.1528,30.0067
2024-02-12,22.0,10.4,1.6,77,39816.23,Rukiga,-1.1528,30.0067
2024-02-13,22.0,12.7,4.1,78,39496.54,Rukiga,-1.1528,30.0067
2024-02-14,21.3,10.9,2.3,83,38042.4,Rukiga,-1.1528,30.0067
2024-02-15,20.1,11.8,8.9,87,18149.28,Rukiga,-1.1528,30.0067
2024-02-16,21.7,11.7,0.0,73,31531.56,Rukiga,-1.1528,30.0067
2024-02-17,22.1,11.4,0.9,72,40346.24,Rukiga,-1.1528,30.0067
2024-02-18,20.5,10.6,3.5,81,36053.2,Rukiga,-1.1528,30.0067
2024-02-19,21.1,10.3,1.7,80,40114.77,Rukiga,-1.1528,30.0067
2024-02-20,22.6,10.9,0.4,72,39558.25,Rukiga,-1.1528,30.0067
2024-02-21,21.7,11.1,2.4,79,33702.88,Rukiga,-1.1528,30.0067
2024-02-22,21.0,10.3,1.2,79,32913.05,Rukiga,-1.1528,30.0067
2024-02-23,21.6,12.2,0.1,63,34344.09,Rukiga,-1.1528,30.0067
2024-02-24,22.1,11.3,2.7,73,25089.27,Rukiga,-1.1528,30.0067
2024-02-25,22.0,11.1,0.7,76,39428.83,Rukiga,-1.1528,30.0067
2024-02-26,20.9,12.3,4.5,81,38972.12,Rukiga,-1.1528,30.0067
2024-02-27,19.9,10.9,3.0,86,22453.2,Rukiga,-1.1528,30.0067
2024-02-28,20.6,11.1,4.1,74,38526.88,Rukiga,-1.1528,30.0067
2024-02-29,21.4,11.2,4.4,84,34043.26,Rukiga,-1.1528,30.0067
2024-03-01,21.4,11.9,3.0,83,37688.48,Rukiga,-1.1528,30.0067
2024-03-02,22.5,10.8,0.4,75,41246.78,Rukiga,-1.1528,30.0067
2024-03-03,21.7,10.9,8.3,81,38486.14,Rukiga,-1.1528,30.0067
2024-03-04,23.1,11.1,0.3,78,39609.62,Rukiga,-1.1528,30.0067
2024-03-05,21.4,12.2,4.0,80,38845.59,Rukiga,-1.1528,30.0067
2024-03-06,21.1,12.3,0.6,78,40141.76,Rukiga,-1.1528,30.0067
2024-03-07,22.8,11.2,0.9,76,41233.96,Rukiga,-1.1528,30.0067
2024-03-08,21.7,10.7,2.8,76,39307.3,Rukiga,-1.1528,30.0067
2024-03-09,20.4,10.9,3.2,79,39245.95,Rukiga,-1.1528,30.0067
2024-03-10,22.0,10.3,1.5,82,38285.73,Rukiga,-1.1528,30.0067
2024-03-11,21.4,10.5,1.6,80,39362.93,Rukiga,-1.1528,30.0067
2024-03-12,21.9,9.5,0.6,73,40270.12,Rukiga,-1.1528,30.0067
2024-03-13,23.1,12.6,0.4,68,41216.24,Rukiga,-1.1528,30.0067
2024-03-14,23.3,11.7,0.6,69,40488.05,Rukiga,-1.1528,30.0067
2024-03-15,21.7,11.0,1.0,71,41209.17,Rukiga,-1.1528,30.0067
2024-03-16,22.4,12.5,0.7,64,39377.02,Rukiga,-1.1528,30.0067
2024-03-17,23.7,12.0,0.0,54,41201.77,Rukiga,-1.1528,30.0067
2024-03-18,23.8,12.1,0.1,63,41197.95,Rukiga,-1.1528,30.0067
2024-03-19,23.1,12.7,1.6,67,40733.49,Rukiga,-1.1528,30.0067
2024-03-20,23.4,12.0,1.6,71,38162.14,Rukiga,-1.1528,30.0067
2024-03-21,22.1,11.7,0.0,72,30204.66,Rukiga,-1.1528,30.0067
2024-03-22,23.6,10.7,0.0,65,34545.86,Rukiga,-1.1528,30.0067
2024-03-23,23.1,11.6,8.6,78,38192.84,Rukiga,-1.1528,30.0067
2024-03-24,20.3,12.6,23.2,87,27527.2,Rukiga,-1.1528,30.0067
2024-03-25,21.3,11.4,1.6,80,41169.23,Rukiga,-1.1528,30.0067
2024-03-26,21.0,11.2,2.7,81,37546.2,Rukiga,-1.1528,30.0067
2024-03-27,20.3,11.1,1.8,84,33684.36,Rukiga,-1.1528,30.0067
2024-03-28,20.7,10.3,1.8,77,38005.47,Rukiga,-1.1528,30.0067
2024-03-29,22.3,10.8,1.2,80,37374.97,Rukiga,-1.1528,30.0067
2024-03-30,22.5,11.1,1.6,79,39294.04,Rukiga,-1.1528,30.0067
2024-03-31,20.6,11.5,0.9,80,37542.36,Rukiga,-1.1528,30.0067
2024-04-01,22.1,9.6,3.7,77,35977.78,Rukiga,-1.1528,30.0067
2024-04-02,20.2,10.6,12.6,85,31164.96,Rukiga,-1.1528,30.0067
