time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2020-01-01,26.0,13.4,0.0,72,39774.98,Rukungiri,-0.8411,29.9278
2020-01-02,25.4,14.4,0.7,70,41205.7,Rukungiri,-0.8411,29.9278
2020-01-03,25.3,14.4,0.5,73,40688.0,Rukungiri,-0.8411,29.9278
2020-01-04,23.3,16.4,1.2,77,34606.57,Rukungiri,-0.8411,29.9278
2020-01-05,22.6,15.0,3.7,84,41207.64,Rukungiri,-0.8411,29.9278
2020-01-06,23.8,14.8,2.3,85,28271.43,Rukungiri,-0.8411,29.9278
2020-01-07,24.5,13.6,9.8,87,32464.98,Rukungiri,-0.8411,29.9278
2020-01-08,23.0,14.6,5.7,86,30901.45,Rukungiri,-0.8411,29.9278
2020-01-09,21.8,13.9,10.6,91,33497.93,Rukungiri,-0.8411,29.9278
2020-01-10,24.5,14.4,0.8,81,37984.59,Rukungiri,-0.8411,29.9278
2020-01-11,24.1,16.5,0.3,73,41211.68,Rukungiri,-0.8411,29.9278
2020-01-12,23.6,15.6,0.9,79,34497.57,Rukungiri,-0.8411,29.9278
2020-01-13,23.7,13.7,14.0,88,39393.5,Rukungiri,-0.8411,29.9278
2020-01-14,25.7,13.7,0.4,80,41213.77,Rukungiri,-0.8411,29.9278
2020-01-15,25.2,14.7,1.3,71,41214.75,Rukungiri,-0.8411,29.9278
2020-01-16,26.3,13.8,0.2,70,38014.93,Rukungiri,-0.8411,29.9278
2020-01-17,25.5,16.1,1.0,79,29273.31,Rukungiri,-0.8411,29.9278
2020-01-18,24.8,16.4,0.7,77,29727.75,Rukungiri,-0.8411,29.9278
2020-01-19,24.3,17.3,0.0,72,26372.34,Rukungiri,-0.8411,29.9278
2020-01-20,23.2,15.4,0.0,77,22703.6,Rukungiri,-0.8411,29.9278
2020-01-21,25.2,16.9,0.0,69,41125.56,Rukungiri,-0.8411,29.9278
2020-01-22,24.7,15.5,0.2,67,40442.55,Rukungiri,-0.8411,29.9278
2020-01-23,24.1,16.7,0.4,67,40183.64,Rukungiri,-0.8411,29.9278
2020-01-24,23.2,18.0,0.0,66,13638.84,Rukungiri,-0.8411,29.9278
2020-01-25,25.7,16.6,0.1,65,32416.53,Rukungiri,-0.8411,29.9278
2020-01-26,25.3,15.9,0.0,72,25054.13,Rukungiri,-0.8411,29.9278
2020-01-27,24.7,16.8,2.6,72,33465.75,Rukungiri,-0.8411,29.9278
2020-01-28,21.9,17.1,14.3,82,20357.77,Rukungiri,-0.8411,29.9278
2020-01-29,22.1,15.0,17.4,84,30531.68,Rukungiri,-0.8411,29.9278
2020-01-30,23.7,14.4,0.3,79,29779.71,Rukungiri,-0.8411,29.9278
2020-01-31,24.4,15.0,8.5,87,25415.53,Rukungiri,-0.8411,29.9278
