time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2017-01-01,29.3,17.4,1.3,72,41062.62,Sembabule,-0.0775,31.4592
2017-01-02,28.1,18.8,0.3,71,40551.16,Sembabule,-0.0775,31.4592
2017-01-03,28.7,17.8,0.0,68,41064.91,Sembabule,-0.0775,31.4592
2017-01-04,30.2,15.8,0.0,66,41066.14,Sembabule,-0.0775,31.4592
2017-01-05,30.9,15.6,0.0,60,41067.42,Sembabule,-0.0775,31.4592
2017-01-06,31.0,16.5,0.0,54,41068.75,Sembabule,-0.0775,31.4592
2017-01-07,33.3,16.0,0.0,52,41070.12,Sembabule,-0.0775,31.4592
2017-01-08,33.3,17.6,0.0,42,36120.05,Sembabule,-0.0775,31.4592
2017-01-09,33.7,17.4,0.0,39,41073.18,Sembabule,-0.0775,31.4592
2017-01-10,32.9,17.8,0.0,54,41075.11,Sembabule,-0.0775,31.4592
2017-01-11,32.7,19.7,0.0,53,41077.13,Sembabule,-0.0775,31.4592
2017-01-12,32.3,17.1,0.0,50,41079.23,Sembabule,-0.0775,31.4592
2017-01-13,32.7,16.0,0.0,50,41081.38,Sembabule,-0.0775,31.4592
2017-01-14,32.1,18.0,0.0,52,37552.85,Sembabule,-0.0775,31.4592
2017-01-15,32.4,16.8,0.5,61,41085.88,Sembabule,-0.0775,31.4592
2017-01-16,32.6,17.5,0.0,60,41088.21,Sembabule,-0.0775,31.4592
2017-01-17,31.9,15.9,0.0,58,41090.58,Sembabule,-0.0775,31.4592
2017-01-18,32.6,15.8,0.0,55,41092.98,Sembabule,-0.0775,31.4592
2017-01-19,33.1,17.3,0.0,57,41095.41,Sembabule,-0.0775,31.4592
2017-01-20,32.9,17.8,0.0,55,41097.86,Sembabule,-0.0775,31.4592
2017-01-21,31.2,17.5,0.1,56,41100.32,Sembabule,-0.0775,31.4592
2017-01-22,28.7,17.1,3.1,69,40666.19,Sembabule,-0.0775,31.4592
2017-01-23,29.0,16.7,4.8,65,41105.27,Sembabule,-0.0775,31.4592
2017-01-24,30.8,15.8,0.4,59,41107.75,Sembabule,-0.0775,31.4592
2017-01-25,31.6,16.2,0.0,53,41110.21,Sembabule,-0.0775,31.4592
2017-01-26,30.0,17.3,0.3,51,40223.16,Sembabule,-0.0775,31.4592
2017-01-27,31.8,17.4,0.0,60,40845.02,Sembabule,-0.0775,31.4592
2017-01-28,31.9,17.6,0.1,63,41117.5,Sembabule,-0.0775,31.4592
2017-01-29,27.2,18.7,8.4,69,41119.92,Sembabule,-0.0775,31.4592
2017-01-30,26.1,17.5,4.8,69,40206.23,Sembabule,-0.0775,31.4592
2017-01-31,28.4,17.1,3.0,71,40753.71,Sembabule,-0.0775,31.4592
2017-02-01,28.5,17.2,1.8,78,41127.42,Sembabule,-0.0775,31.4592
2017-02-02,28.3,17.7,1.3,74,41129.96,Sembabule,-0.0775,31.4592
2017-02-03,27.6,17.7,0.3,70,34913.65,Sembabule,-0.0775,31.4592
2017-02-04,26.6,15.7,2.2,71,41135.04,Sembabule,-0.0775,31.4592
2017-02-05,28.6,16.5,10.3,73,41137.57,Sembabule,-0.0775,31.4592
