time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,33.8,18.3,0.0,55,35531.74,Serere,1.5,33.5667
2025-01-02,34.6,18.6,0.0,53,36528.91,Serere,1.5,33.5667
2025-01-03,34.4,18.0,0.0,49,38945.74,Serere,1.5,33.5667
2025-01-04,34.9,18.9,0.0,42,39491.02,Serere,1.5,33.5667
2025-01-05,34.0,19.7,0.0,35,38342.23,Serere,1.5,33.5667
2025-01-06,34.4,19.1,0.0,35,38336.27,Serere,1.5,33.5667
2025-01-07,32.8,20.2,0.0,53,40139.92,Serere,1.5,33.5667
2025-01-08,31.1,19.0,0.5,54,40209.38,Serere,1.5,33.5667
2025-01-09,33.9,20.1,0.0,47,40662.52,Serere,1.5,33.5667
2025-01-10,33.2,20.1,1.2,64,29926.69,Serere,1.5,33.5667
2025-01-11,31.8,19.0,4.9,67,39435.08,Serere,1.5,33.5667
2025-01-12,28.6,19.4,4.2,72,33547.49,Serere,1.5,33.5667
2025-01-13,32.8,18.8,0.1,63,40598.85,Serere,1.5,33.5667
2025-01-14,34.0,19.2,0.0,39,40780.79,Serere,1.5,33.5667
2025-01-15,34.5,19.5,0.0,26,40785.98,Serere,1.5,33.5667
2025-01-16,35.7,20.3,0.0,26,40183.84,Serere,1.5,33.5667
2025-01-17,35.1,20.8,0.0,25,40414.08,Serere,1.5,33.5667
2025-01-18,35.8,19.2,0.0,35,37542.41,Serere,1.5,33.5667
2025-01-19,36.5,19.4,0.0,47,40808.0,Serere,1.5,33.5667
2025-01-20,33.6,19.6,0.0,57,40813.77,Serere,1.5,33.5667
2025-01-21,33.4,20.1,0.0,57,40819.62,Serere,1.5,33.5667
2025-01-22,32.2,20.3,0.4,66,40720.91,Serere,1.5,33.5667
2025-01-23,30.5,19.0,0.2,66,40831.54,Serere,1.5,33.5667
2025-01-24,31.5,19.0,0.1,63,40837.57,Serere,1.5,33.5667
2025-01-25,30.1,20.6,1.6,56,40180.15,Serere,1.5,33.5667
2025-01-26,28.5,19.6,5.4,67,37249.78,Serere,1.5,33.5667
2025-01-27,31.3,18.1,0.0,61,40855.98,Serere,1.5,33.5667
2025-01-28,30.5,19.4,0.1,59,40862.37,Serere,1.5,33.5667
2025-01-29,30.3,20.5,0.3,57,33911.43,Serere,1.5,33.5667
2025-01-30,32.0,19.6,0.5,62,40875.52,Serere,1.5,33.5667
2025-01-31,29.2,19.4,9.6,64,39508.48,Serere,1.5,33.5667
2025-02-01,30.6,19.1,0.5,62,40889.08,Serere,1.5,33.5667
2025-02-02,31.2,19.8,0.0,63,40895.99,Serere,1.5,33.5667
2025-02-03,33.6,19.2,0.0,57,40902.97,Serere,1.5,33.5667
2025-02-04,35.6,20.1,0.0,53,40909.99,Serere,1.5,33.5667
2025-02-05,36.3,19.2,0.0,52,40917.07,Serere,1.5,33.5667
2025-02-06,36.4,18.0,0.0,50,40620.73,Serere,1.5,33.5667
2025-02-07,35.4,19.8,0.0,51,40931.29,Serere,1.5,33.5667
2025-02-08,35.0,21.0,0.0,56,40224.15,Serere,1.5,33.5667
2025-02-09,35.2,20.8,0.0,58,40945.57,Serere,1.5,33.5667
2025-02-10,36.4,20.8,0.0,51,40952.7,Serere,1.5,33.5667
2025-02-11,36.6,20.9,0.0,35,40360.11,Serere,1.5,33.5667
2025-02-12,36.9,22.0,0.0,30,38676.94,Serere,1.5,33.5667
2025-02-13,36.4,22.3,0.0,34,39845.67,Serere,1.5,33.5667
2025-02-14,36.8,22.5,0.0,32,40496.24,Serere,1.5,33.5667
2025-02-15,34.0,22.2,3.1,44,40405.63,Serere,1.5,33.5667
2025-02-16,34.9,20.5,0.0,49,40994.75,Serere,1.5,33.5667
2025-02-17,36.9,20.6,0.0,45,41001.49,Serere,1.5,33.5667
2025-02-18,36.3,19.0,0.0,35,41008.28,Serere,1.5,33.5667
2025-02-19,36.5,19.1,0.0,27,41015.09,Serere,1.5,33.5667
2025-02-20,36.6,18.8,0.0,43,41021.9,Serere,1.5,33.5667
2025-02-21,37.6,19.9,0.0,42,41028.73,Serere,1.5,33.5667
2025-02-22,37.0,20.0,0.0,30,41035.55,Serere,1.5,33.5667
2025-02-23,36.6,20.9,0.0,23,41042.36,Serere,1.5,33.5667
2025-02-24,36.4,20.3,0.0,28,40692.33,Serere,1.5,33.5667
2025-02-25,36.5,21.6,0.0,21,41055.9,Serere,1.5,33.5667
2025-02-26,36.8,23.3,0.0,19,41062.62,Serere,1.5,33.5667
2025-02-27,37.8,21.8,0.0,17,41069.29,Serere,1.5,33.5667
2025-02-28,37.5,19.6,0.0,30,41075.93,Serere,1.5,33.5667
2025-03-01,37.9,19.7,0.0,33,39862.18,Serere,1.5,33.5667
2025-03-02,36.9,22.0,0.0,30,41089.01,Serere,1.5,33.5667
2025-03-03,37.4,22.2,0.0,44,40144.34,Serere,1.5,33.5667
2025-03-04,33.8,21.0,0.0,51,41101.82,Serere,1.5,33.5667
2025-03-05,37.5,20.8,0.0,38,41108.1,Serere,1.5,33.5667
2025-03-06,35.6,22.6,0.0,37,41114.31,Serere,1.5,33.5667
2025-03-07,37.8,22.6,0.0,33,41120.43,Serere,1.5,33.5667
2025-03-08,34.3,22.7,1.0,53,37829.91,Serere,1.5,33.5667
2025-03-09,32.3,21.9,4.1,65,33377.03,Serere,1.5,33.5667
2025-03-10,31.6,20.5,2.7,67,34657.58,Serere,1.5,33.5667
2025-03-11,31.8,18.7,0.2,61,39155.57,Serere,1.5,33.5667
2025-03-12,31.6,20.5,0.7,64,40950.52,Serere,1.5,33.5667
2025-03-13,29.6,19.9,0.0,67,36000.0,Serere,1.5,33.5667
2025-03-14,35.2,19.8,0.0,47,41159.8,Serere,1.5,33.5667
2025-03-15,32.7,20.7,0.0,48,41165.21,Serere,1.5,33.5667
2025-03-16,30.5,20.2,1.7,65,41170.57,Serere,1.5,33.5667
2025-03-17,31.3,21.0,0.5,68,40139.29,Serere,1.5,33.5667
2025-03-18,32.8,19.8,0.4,60,38124.17,Serere,1.5,33.5667
2025-03-19,29.3,20.5,19.8,73,26342.77,Serere,1.5,33.5667
2025-03-20,27.8,19.6,15.9,81,28310.36,Serere,1.5,33.5667
2025-03-21,30.4,19.8,0.0,68,41196.3,Serere,1.5,33.5667
2025-03-22,31.4,19.7,0.0,63,41201.21,Serere,1.5,33.5667
2025-03-23,29.9,20.0,6.9,71,34134.02,Serere,1.5,33.5667
2025-03-24,27.4,19.6,5.9,77,30481.73,Serere,1.5,33.5667
2025-03-25,30.4,19.4,0.1,69,39713.04,Serere,1.5,33.5667
2025-03-26,30.9,19.9,0.1,67,41220.01,Serere,1.5,33.5667
2025-03-27,26.8,20.7,10.7,78,29204.67,Serere,1.5,33.5667
2025-03-28,24.7,20.4,15.3,86,16886.52,Serere,1.5,33.5667
2025-03-29,27.8,19.8,7.7,79,30568.84,Serere,1.5,33.5667
2025-03-30,28.7,20.0,3.8,77,28256.72,Serere,1.5,33.5667
2025-03-31,28.8,19.0,4.4,77,39179.97,Serere,1.5,33.5667
