time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,25.7,11.3,0.0,72,41161.54,Sheema,-0.5727,30.3786
2023-01-02,24.6,13.0,0.5,71,41069.29,Sheema,-0.5727,30.3786
2023-01-03,25.5,13.7,0.4,69,40694.81,Sheema,-0.5727,30.3786
2023-01-04,24.7,14.3,1.2,74,41164.32,Sheema,-0.5727,30.3786
2023-01-05,25.3,15.8,0.1,67,38795.95,Sheema,-0.5727,30.3786
2023-01-06,26.1,11.5,0.0,66,34571.41,Sheema,-0.5727,30.3786
2023-01-07,26.7,11.6,0.0,65,38549.56,Sheema,-0.5727,30.3786
2023-01-08,26.0,14.1,0.1,66,36705.02,Sheema,-0.5727,30.3786
2023-01-09,26.6,12.5,0.1,67,41169.59,Sheema,-0.5727,30.3786
2023-01-10,24.5,13.4,0.4,77,33204.19,Sheema,-0.5727,30.3786
2023-01-11,24.1,13.2,3.0,83,35458.76,Sheema,-0.5727,30.3786
2023-01-12,23.3,14.2,11.3,81,25404.98,Sheema,-0.5727,30.3786
2023-01-13,24.4,11.9,0.2,78,41174.11,Sheema,-0.5727,30.3786
2023-01-14,24.4,12.1,0.6,78,39924.74,Sheema,-0.5727,30.3786
2023-01-15,25.6,13.0,1.1,79,39484.93,Sheema,-0.5727,30.3786
2023-01-16,25.8,12.6,0.0,74,38851.86,Sheema,-0.5727,30.3786
2023-01-17,27.1,12.4,0.0,64,41178.62,Sheema,-0.5727,30.3786
2023-01-18,27.1,13.0,0.0,65,41179.84,Sheema,-0.5727,30.3786
2023-01-19,27.0,13.6,0.0,62,41181.23,Sheema,-0.5727,30.3786
2023-01-20,26.8,13.7,0.1,65,41182.64,Sheema,-0.5727,30.3786
2023-01-21,27.2,13.4,0.0,63,38090.81,Sheema,-0.5727,30.3786
2023-01-22,25.5,13.9,0.2,71,32008.46,Sheema,-0.5727,30.3786
2023-01-23,27.0,13.9,0.1,68,39196.73,Sheema,-0.5727,30.3786
2023-01-24,25.4,14.4,1.2,72,35612.22,Sheema,-0.5727,30.3786
2023-01-25,27.6,13.1,0.1,66,41057.89,Sheema,-0.5727,30.3786
2023-01-26,27.6,15.6,0.1,68,39133.93,Sheema,-0.5727,30.3786
2023-01-27,25.4,14.0,1.3,70,36545.25,Sheema,-0.5727,30.3786
2023-01-28,28.3,12.6,0.0,58,41194.23,Sheema,-0.5727,30.3786
2023-01-29,26.0,14.2,0.0,67,39279.28,Sheema,-0.5727,30.3786
2023-01-30,25.7,15.8,0.1,66,39290.49,Sheema,-0.5727,30.3786
2023-01-31,26.8,15.3,0.0,63,40071.22,Sheema,-0.5727,30.3786
2023-02-01,27.4,14.9,0.8,65,39622.79,Sheema,-0.5727,30.3786
2023-02-02,26.0,14.9,1.6,74,39319.41,Sheema,-0.5727,30.3786
2023-02-03,26.1,13.8,0.1,72,38247.05,Sheema,-0.5727,30.3786
2023-02-04,27.3,13.6,0.1,65,40302.04,Sheema,-0.5727,30.3786
2023-02-05,26.7,13.5,0.3,65,41010.48,Sheema,-0.5727,30.3786
2023-02-06,26.8,14.9,0.0,66,28670.75,Sheema,-0.5727,30.3786
2023-02-07,27.1,13.9,0.0,64,41127.6,Sheema,-0.5727,30.3786
2023-02-08,27.4,14.0,0.1,66,41016.04,Sheema,-0.5727,30.3786
2023-02-09,25.9,14.3,0.2,67,40679.27,Sheema,-0.5727,30.3786
2023-02-10,27.5,13.6,0.0,65,41016.13,Sheema,-0.5727,30.3786
2023-02-11,28.1,14.2,0.1,66,41127.36,Sheema,-0.5727,30.3786
2023-02-12,28.5,13.9,0.0,61,41125.68,Sheema,-0.5727,30.3786
2023-02-13,29.7,14.1,0.0,55,36612.4,Sheema,-0.5727,30.3786
2023-02-14,29.7,13.0,0.0,55,38086.87,Sheema,-0.5727,30.3786
2023-02-15,28.2,14.4,0.0,58,40107.54,Sheema,-0.5727,30.3786
2023-02-16,28.3,17.6,0.0,56,32451.25,Sheema,-0.5727,30.3786
2023-02-17,28.3,15.5,0.0,56,27256.86,Sheema,-0.5727,30.3786
2023-02-18,29.2,15.4,0.0,52,34597.75,Sheema,-0.5727,30.3786
2023-02-19,29.3,13.6,0.0,50,36407.46,Sheema,-0.5727,30.3786
2023-02-20,30.0,15.2,0.0,50,40416.67,Sheema,-0.5727,30.3786
2023-02-21,28.7,16.2,0.0,55,27633.45,Sheema,-0.5727,30.3786
2023-02-22,26.8,16.0,0.8,67,28517.99,Sheema,-0.5727,30.3786
2023-02-23,28.7,16.4,0.0,58,30428.25,Sheema,-0.5727,30.3786
2023-02-24,28.1,17.1,1.8,63,40045.21,Sheema,-0.5727,30.3786
2023-02-25,24.7,16.1,4.7,79,34153.83,Sheema,-0.5727,30.3786
2023-02-26,28.2,14.7,2.0,73,33669.51,Sheema,-0.5727,30.3786
2023-02-27,26.2,15.0,4.3,81,36960.92,Sheema,-0.5727,30.3786
2023-02-28,25.2,14.6,3.2,84,30662.55,Sheema,-0.5727,30.3786
