time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,24.9,18.8,4.3,77,38292.02,Sironko,1.23,34.25
2021-01-02,26.1,18.3,0.6,76,39063.12,Sironko,1.23,34.25
2021-01-03,26.9,18.9,0.0,70,39606.34,Sironko,1.23,34.25
2021-01-04,29.6,18.0,0.0,62,40232.86,Sironko,1.23,34.25
2021-01-05,29.8,16.5,0.0,58,40321.35,Sironko,1.23,34.25
2021-01-06,30.0,18.0,0.0,61,40412.18,Sironko,1.23,34.25
2021-01-07,30.8,17.5,0.0,56,40805.3,Sironko,1.23,34.25
2021-01-08,30.5,18.2,0.0,54,40036.96,Sironko,1.23,34.25
2021-01-09,27.4,18.8,7.0,63,36252.42,Sironko,1.23,34.25
2021-01-10,27.4,18.8,14.6,75,31773.19,Sironko,1.23,34.25
2021-01-11,28.8,18.1,3.8,71,39976.02,Sironko,1.23,34.25
2021-01-12,26.1,18.9,0.6,72,40535.61,Sironko,1.23,34.25
2021-01-13,29.8,17.9,0.2,64,39119.54,Sironko,1.23,34.25
2021-01-14,26.8,19.4,0.1,69,39799.21,Sironko,1.23,34.25
2021-01-15,27.6,19.2,0.5,68,40605.63,Sironko,1.23,34.25
2021-01-16,25.8,18.0,13.6,77,39878.43,Sironko,1.23,34.25
2021-01-17,27.6,17.3,0.1,68,40847.85,Sironko,1.23,34.25
2021-01-18,29.3,16.3,0.1,63,40852.89,Sironko,1.23,34.25
2021-01-19,28.8,18.3,0.0,66,40426.97,Sironko,1.23,34.25
2021-01-20,28.9,17.5,0.0,65,40863.23,Sironko,1.23,34.25
2021-01-21,29.9,17.4,0.0,64,40642.17,Sironko,1.23,34.25
2021-01-22,28.5,18.1,0.0,63,39897.53,Sironko,1.23,34.25
2021-01-23,28.2,18.9,0.0,60,40879.29,Sironko,1.23,34.25
2021-01-24,28.7,18.6,0.0,58,40884.75,Sironko,1.23,34.25
2021-01-25,29.9,17.2,0.0,57,40890.24,Sironko,1.23,34.25
2021-01-26,29.6,18.0,0.0,57,40895.76,Sironko,1.23,34.25
2021-01-27,30.7,17.8,0.0,56,40901.31,Sironko,1.23,34.25
2021-01-28,31.8,18.4,0.0,53,40906.91,Sironko,1.23,34.25
2021-01-29,31.6,18.0,0.0,49,40436.91,Sironko,1.23,34.25
2021-01-30,31.4,18.9,0.0,49,40918.54,Sironko,1.23,34.25
2021-01-31,32.1,18.2,0.0,49,40924.5,Sironko,1.23,34.25
2021-02-01,33.0,17.5,0.0,45,40930.55,Sironko,1.23,34.25
2021-02-02,32.2,17.0,0.0,42,38664.21,Sironko,1.23,34.25
2021-02-03,31.7,17.5,0.0,49,40942.85,Sironko,1.23,34.25
2021-02-04,31.6,19.5,0.0,50,40949.08,Sironko,1.23,34.25
2021-02-05,31.6,20.1,0.0,52,40335.0,Sironko,1.23,34.25
2021-02-06,29.1,20.0,0.5,58,40961.66,Sironko,1.23,34.25
2021-02-07,31.3,20.7,0.0,47,40967.98,Sironko,1.23,34.25
2021-02-08,32.1,19.8,0.3,48,40974.3,Sironko,1.23,34.25
2021-02-09,31.7,19.4,0.6,51,40269.53,Sironko,1.23,34.25
2021-02-10,32.6,20.6,0.0,52,40899.8,Sironko,1.23,34.25
2021-02-11,27.3,21.3,0.7,68,21073.9,Sironko,1.23,34.25
2021-02-12,32.1,18.4,0.0,58,39894.15,Sironko,1.23,34.25
2021-02-13,30.3,19.7,0.9,65,38670.88,Sironko,1.23,34.25
2021-02-14,30.6,20.0,1.3,62,35807.45,Sironko,1.23,34.25
2021-02-15,32.2,20.0,0.2,57,40406.12,Sironko,1.23,34.25
2021-02-16,28.4,21.0,0.0,64,35086.71,Sironko,1.23,34.25
