time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2019-01-01,32.3,16.2,0.0,49,39920.79,Soroti,1.7167,33.6167
2019-01-02,32.5,17.3,0.0,57,37394.1,Soroti,1.7167,33.6167
2019-01-03,33.6,18.1,0.0,52,38964.74,Soroti,1.7167,33.6167
2019-01-04,32.3,21.7,0.0,44,33204.51,Soroti,1.7167,33.6167
2019-01-05,33.1,18.9,0.0,43,39937.03,Soroti,1.7167,33.6167
2019-01-06,34.2,20.3,0.0,35,39913.71,Soroti,1.7167,33.6167
2019-01-07,32.8,17.5,0.0,36,40706.59,Soroti,1.7167,33.6167
2019-01-08,30.8,18.9,0.0,41,33427.91,Soroti,1.7167,33.6167
2019-01-09,33.4,18.4,0.0,47,39849.8,Soroti,1.7167,33.6167
2019-01-10,34.2,18.6,0.0,30,32063.02,Soroti,1.7167,33.6167
2019-01-11,33.6,20.2,0.0,29,40070.15,Soroti,1.7167,33.6167
2019-01-12,33.3,19.7,0.0,26,40728.93,Soroti,1.7167,33.6167
2019-01-13,33.8,19.2,0.0,23,40733.86,Soroti,1.7167,33.6167
2019-01-14,32.6,20.2,0.0,31,39133.54,Soroti,1.7167,33.6167
2019-01-15,33.6,18.6,0.0,56,40440.79,Soroti,1.7167,33.6167
2019-01-16,28.2,19.8,7.4,75,39695.49,Soroti,1.7167,33.6167
2019-01-17,31.7,17.8,0.2,67,40288.06,Soroti,1.7167,33.6167
2019-01-18,29.0,18.6,1.7,71,40518.81,Soroti,1.7167,33.6167
2019-01-19,28.9,18.4,0.3,66,40505.86,Soroti,1.7167,33.6167
2019-01-20,31.6,18.6,0.0,65,40617.27,Soroti,1.7167,33.6167
2019-01-21,29.6,19.2,3.0,72,40778.16,Soroti,1.7167,33.6167
2019-01-22,32.7,17.6,0.0,62,40784.54,Soroti,1.7167,33.6167
2019-01-23,31.9,19.4,0.0,61,40458.75,Soroti,1.7167,33.6167
2019-01-24,33.5,19.0,0.0,59,36608.33,Soroti,1.7167,33.6167
2019-01-25,33.7,19.0,0.0,58,39934.09,Soroti,1.7167,33.6167
2019-01-26,34.2,17.9,0.0,59,40811.53,Soroti,1.7167,33.6167
2019-01-27,34.8,17.2,0.0,51,40818.58,Soroti,1.7167,33.6167
2019-01-28,35.2,17.2,0.0,44,40825.72,Soroti,1.7167,33.6167
2019-01-29,35.4,20.9,0.0,29,40832.94,Soroti,1.7167,33.6167
2019-01-30,35.0,19.4,0.0,27,40840.23,Soroti,1.7167,33.6167
2019-01-31,35.2,18.9,0.0,27,40847.57,Soroti,1.7167,33.6167
2019-02-01,35.3,21.3,0.0,26,40765.78,Soroti,1.7167,33.6167
2019-02-02,35.9,20.6,0.0,22,40862.38,Soroti,1.7167,33.6167
2019-02-03,36.0,18.0,0.0,27,38483.82,Soroti,1.7167,33.6167
2019-02-04,36.6,17.4,0.0,32,39724.48,Soroti,1.7167,33.6167
2019-02-05,36.4,19.9,0.0,36,37440.17,Soroti,1.7167,33.6167
2019-02-06,35.6,18.7,0.0,41,40892.18,Soroti,1.7167,33.6167
2019-02-07,31.4,19.2,0.9,61,40899.62,Soroti,1.7167,33.6167
2019-02-08,35.4,19.0,0.0,52,40614.91,Soroti,1.7167,33.6167
2019-02-09,35.2,19.1,0.0,49,40743.45,Soroti,1.7167,33.6167
2019-02-10,35.6,21.0,0.0,32,40921.9,Soroti,1.7167,33.6167
