time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2021-01-01,25.7,17.9,20.4,87,31244.81,Tororo,0.6922,34.18
2021-01-02,25.6,17.1,6.4,84,40051.84,Tororo,0.6922,34.18
2021-01-03,26.7,16.8,1.3,80,39862.37,Tororo,0.6922,34.18
2021-01-04,27.1,17.5,1.3,75,40058.93,Tororo,0.6922,34.18
2021-01-05,28.6,16.9,0.2,73,40710.53,Tororo,0.6922,34.18
2021-01-06,27.8,17.3,0.1,73,40805.46,Tororo,0.6922,34.18
2021-01-07,29.2,16.1,0.0,69,40916.87,Tororo,0.6922,34.18
2021-01-08,29.1,17.8,0.0,69,40886.42,Tororo,0.6922,34.18
2021-01-09,26.6,17.9,5.2,82,33216.32,Tororo,0.6922,34.18
2021-01-10,26.3,17.5,1.7,81,36299.23,Tororo,0.6922,34.18
2021-01-11,26.3,17.0,2.3,83,40250.93,Tororo,0.6922,34.18
2021-01-12,25.6,17.6,2.6,81,24097.38,Tororo,0.6922,34.18
2021-01-13,28.0,16.7,0.2,72,39736.5,Tororo,0.6922,34.18
2021-01-14,27.1,18.1,8.8,80,40192.8,Tororo,0.6922,34.18
2021-01-15,26.7,18.1,12.1,84,37630.34,Tororo,0.6922,34.18
2021-01-16,23.9,17.5,12.5,88,39792.79,Tororo,0.6922,34.18
2021-01-17,27.5,16.9,2.4,81,40950.31,Tororo,0.6922,34.18
2021-01-18,27.9,17.4,3.1,79,39777.28,Tororo,0.6922,34.18
2021-01-19,27.7,17.9,3.9,80,40101.63,Tororo,0.6922,34.18
2021-01-20,28.2,17.2,0.3,80,40962.25,Tororo,0.6922,34.18
2021-01-21,27.1,17.3,0.0,77,40966.34,Tororo,0.6922,34.18
2021-01-22,26.8,17.4,0.2,79,39378.7,Tororo,0.6922,34.18
2021-01-23,27.8,16.1,0.0,72,40974.63,Tororo,0.6922,34.18
2021-01-24,28.1,16.9,0.0,75,40978.82,Tororo,0.6922,34.18
2021-01-25,26.9,16.7,0.4,76,40983.02,Tororo,0.6922,34.18
2021-01-26,28.9,16.9,0.0,71,40987.23,Tororo,0.6922,34.18
2021-01-27,29.5,16.6,0.0,70,40991.45,Tororo,0.6922,34.18
2021-01-28,30.1,14.9,0.0,65,40995.71,Tororo,0.6922,34.18
2021-01-29,29.6,16.6,0.0,67,41000.09,Tororo,0.6922,34.18
2021-01-30,30.0,17.5,0.0,65,41004.55,Tororo,0.6922,34.18
2021-01-31,29.8,17.6,0.2,70,41009.07,Tororo,0.6922,34.18
2021-02-01,31.9,15.6,0.0,57,41013.64,Tororo,0.6922,34.18
2021-02-02,31.2,17.1,0.0,54,40821.8,Tororo,0.6922,34.18
2021-02-03,30.4,17.8,0.0,60,41022.91,Tororo,0.6922,34.18
2021-02-04,30.6,18.6,0.0,65,41027.6,Tororo,0.6922,34.18
2021-02-05,29.9,18.8,0.1,69,39986.1,Tororo,0.6922,34.18
2021-02-06,28.5,18.1,0.2,72,41037.02,Tororo,0.6922,34.18
2021-02-07,29.9,17.9,0.1,63,39784.2,Tororo,0.6922,34.18
2021-02-08,30.4,18.5,0.0,59,40673.25,Tororo,0.6922,34.18
2021-02-09,29.0,17.2,0.5,66,40799.19,Tororo,0.6922,34.18
2021-02-10,29.6,19.8,0.9,64,41055.79,Tororo,0.6922,34.18
2021-02-11,25.2,18.9,12.2,85,10888.72,Tororo,0.6922,34.18
2021-02-12,29.6,18.2,0.3,75,40162.39,Tororo,0.6922,34.18
2021-02-13,29.4,19.1,6.8,81,33914.1,Tororo,0.6922,34.18
2021-02-14,30.6,19.5,3.9,70,37757.55,Tororo,0.6922,34.18
2021-02-15,30.4,17.9,0.3,67,40803.02,Tororo,0.6922,34.18
2021-02-16,27.3,19.4,4.6,80,39196.98,Tororo,0.6922,34.18
2021-02-17,30.3,18.1,0.4,75,40935.5,Tororo,0.6922,34.18
2021-02-18,30.2,18.8,3.7,78,38710.65,Tororo,0.6922,34.18
2021-02-19,27.5,17.0,1.9,72,40812.91,Tororo,0.6922,34.18
2021-02-20,29.3,16.8,0.0,64,39686.34,Tororo,0.6922,34.18
2021-02-21,29.3,16.7,0.0,56,39820.53,Tororo,0.6922,34.18
2021-02-22,26.0,18.3,6.6,73,23921.82,Tororo,0.6922,34.18
2021-02-23,28.7,17.4,0.1,68,40484.38,Tororo,0.6922,34.18
2021-02-24,28.4,15.7,2.4,74,39723.89,Tororo,0.6922,34.18
2021-02-25,28.9,17.3,0.1,71,39101.23,Tororo,0.6922,34.18
2021-02-26,29.6,17.0,0.8,69,41124.0,Tororo,0.6922,34.18
2021-02-27,29.2,18.2,0.0,71,41127.91,Tororo,0.6922,34.18
2021-02-28,31.2,18.4,0.3,63,41131.77,Tororo,0.6922,34.18
2021-03-01,32.3,18.3,0.0,58,41135.57,Tororo,0.6922,34.18
2021-03-02,32.6,20.2,0.0,51,41139.31,Tororo,0.6922,34.18
2021-03-03,30.0,20.5,1.5,69,36953.77,Tororo,0.6922,34.18
2021-03-04,28.4,19.5,3.0,74,41058.29,Tororo,0.6922,34.18
2021-03-05,28.0,18.2,5.6,75,40947.27,Tororo,0.6922,34.18
2021-03-06,29.0,18.8,4.8,76,41153.59,Tororo,0.6922,34.18
2021-03-07,28.6,18.0,1.5,79,41156.97,Tororo,0.6922,34.18
2021-03-08,27.5,17.5,6.2,84,39525.8,Tororo,0.6922,34.18
2021-03-09,28.6,17.9,1.5,80,40753.59,Tororo,0.6922,34.18
2021-03-10,30.8,17.6,0.0,70,41166.21,Tororo,0.6922,34.18
2021-03-11,31.2,17.0,0.0,58,41169.01,Tororo,0.6922,34.18
2021-03-12,33.7,18.3,0.0,47,40675.25,Tororo,0.6922,34.18
2021-03-13,33.0,18.0,0.0,49,41174.45,Tororo,0.6922,34.18
2021-03-14,31.2,18.4,0.0,57,41177.09,Tororo,0.6922,34.18
2021-03-15,30.1,19.1,0.1,62,40959.42,Tororo,0.6922,34.18
2021-03-16,29.3,19.2,1.2,65,40383.83,Tororo,0.6922,34.18
2021-03-17,28.8,17.3,1.3,72,39459.96,Tororo,0.6922,34.18
2021-03-18,26.5,17.4,3.9,81,38912.69,Tororo,0.6922,34.18
2021-03-19,29.9,17.1,0.0,70,41189.31,Tororo,0.6922,34.18
