time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2023-01-01,26.8,14.2,0.3,72,40960.41,Wakiso,0.4057,32.478
2023-01-02,27.7,15.9,0.0,70,40962.15,Wakiso,0.4057,32.478
2023-01-03,25.5,15.9,1.1,73,40702.29,Wakiso,0.4057,32.478
2023-01-04,26.2,16.3,0.3,67,40965.97,Wakiso,0.4057,32.478
2023-01-05,28.1,16.7,0.0,63,40968.05,Wakiso,0.4057,32.478
2023-01-06,29.0,14.9,0.0,63,40970.23,Wakiso,0.4057,32.478
2023-01-07,30.3,14.6,0.0,57,40972.5,Wakiso,0.4057,32.478
2023-01-08,28.6,15.7,0.0,59,40249.04,Wakiso,0.4057,32.478
2023-01-09,28.7,15.3,0.4,71,40977.31,Wakiso,0.4057,32.478
2023-01-10,24.9,17.6,1.9,83,30848.55,Wakiso,0.4057,32.478
2023-01-11,26.1,15.5,0.4,77,40982.43,Wakiso,0.4057,32.478
2023-01-12,26.7,15.5,1.1,76,36735.89,Wakiso,0.4057,32.478
2023-01-13,24.7,15.5,4.0,79,40987.82,Wakiso,0.4057,32.478
2023-01-14,25.9,15.7,1.4,78,40990.59,Wakiso,0.4057,32.478
2023-01-15,28.8,15.1,0.4,76,40993.42,Wakiso,0.4057,32.478
2023-01-16,28.8,16.1,0.3,72,40996.28,Wakiso,0.4057,32.478
2023-01-17,27.7,15.5,0.6,65,40999.18,Wakiso,0.4057,32.478
2023-01-18,27.6,15.6,0.6,68,41002.25,Wakiso,0.4057,32.478
2023-01-19,29.5,16.5,0.1,71,41005.54,Wakiso,0.4057,32.478
2023-01-20,29.9,16.3,0.0,72,41008.94,Wakiso,0.4057,32.478
2023-01-21,30.9,15.7,0.0,62,41012.43,Wakiso,0.4057,32.478
2023-01-22,26.0,17.5,1.2,71,37335.07,Wakiso,0.4057,32.478
2023-01-23,27.0,15.9,2.9,79,39092.42,Wakiso,0.4057,32.478
2023-01-24,26.4,17.3,0.8,78,39498.99,Wakiso,0.4057,32.478
2023-01-25,28.1,14.7,0.0,71,41027.05,Wakiso,0.4057,32.478
2023-01-26,28.8,15.0,0.1,70,41030.84,Wakiso,0.4057,32.478
2023-01-27,27.6,16.8,0.2,70,40570.96,Wakiso,0.4057,32.478
2023-01-28,28.7,16.8,0.2,71,41038.5,Wakiso,0.4057,32.478
2023-01-29,28.4,14.8,0.2,65,41042.36,Wakiso,0.4057,32.478
2023-01-30,29.1,15.9,0.0,63,41046.24,Wakiso,0.4057,32.478
2023-01-31,29.9,15.0,0.2,63,41050.11,Wakiso,0.4057,32.478
2023-02-01,28.0,17.7,0.2,73,38731.62,Wakiso,0.4057,32.478
2023-02-02,30.9,16.8,0.0,67,40242.27,Wakiso,0.4057,32.478
2023-02-03,29.1,17.3,0.5,73,41061.68,Wakiso,0.4057,32.478
2023-02-04,29.8,16.2,0.0,70,41065.49,Wakiso,0.4057,32.478
2023-02-05,29.3,16.2,0.0,70,41069.28,Wakiso,0.4057,32.478
2023-02-06,29.6,16.8,0.0,66,41073.02,Wakiso,0.4057,32.478
2023-02-07,28.6,17.2,0.6,77,41076.71,Wakiso,0.4057,32.478
2023-02-08,27.3,18.2,8.6,79,38978.12,Wakiso,0.4057,32.478
2023-02-09,25.6,18.4,1.1,77,39270.84,Wakiso,0.4057,32.478
2023-02-10,27.6,16.4,0.4,78,40775.85,Wakiso,0.4057,32.478
2023-02-11,27.6,16.0,0.4,75,40901.08,Wakiso,0.4057,32.478
2023-02-12,28.8,16.8,0.2,70,41095.22,Wakiso,0.4057,32.478
2023-02-13,31.3,15.8,0.0,61,41098.93,Wakiso,0.4057,32.478
2023-02-14,28.1,14.2,0.0,75,41102.62,Wakiso,0.4057,32.478
2023-02-15,29.7,17.7,0.1,63,41106.29,Wakiso,0.4057,32.478
2023-02-16,30.5,18.7,0.2,48,39638.75,Wakiso,0.4057,32.478
2023-02-17,30.0,18.1,0.0,52,41113.55,Wakiso,0.4057,32.478
2023-02-18,29.4,16.3,0.0,64,41117.13,Wakiso,0.4057,32.478
2023-02-19,29.7,16.1,0.1,55,41120.66,Wakiso,0.4057,32.478
2023-02-20,29.6,17.1,0.0,60,41124.14,Wakiso,0.4057,32.478
2023-02-21,29.1,18.9,1.3,66,39358.7,Wakiso,0.4057,32.478
2023-02-22,28.6,20.4,2.9,69,34884.4,Wakiso,0.4057,32.478
2023-02-23,28.9,19.4,0.1,68,40066.8,Wakiso,0.4057,32.478
2023-02-24,27.4,20.8,1.3,71,40469.35,Wakiso,0.4057,32.478
2023-02-25,28.1,17.9,0.4,72,27858.23,Wakiso,0.4057,32.478
2023-02-26,29.0,17.0,1.8,71,30344.39,Wakiso,0.4057,32.478
2023-02-27,26.5,18.8,13.2,84,20215.83,Wakiso,0.4057,32.478
2023-02-28,24.2,16.6,2.5,88,8849.67,Wakiso,0.4057,32.478
2023-03-01,25.4,17.7,4.5,83,34073.73,Wakiso,0.4057,32.478
2023-03-02,25.8,17.1,7.0,82,36747.84,Wakiso,0.4057,32.478
2023-03-03,24.8,16.6,4.3,82,31333.91,Wakiso,0.4057,32.478
2023-03-04,26.6,17.5,2.9,80,38684.29,Wakiso,0.4057,32.478
2023-03-05,27.5,18.2,2.1,77,38709.44,Wakiso,0.4057,32.478
2023-03-06,28.9,17.1,0.2,70,41164.86,Wakiso,0.4057,32.478
2023-03-07,28.3,17.5,2.4,69,41167.24,Wakiso,0.4057,32.478
2023-03-08,29.8,16.2,0.1,67,41169.57,Wakiso,0.4057,32.478
2023-03-09,29.3,18.1,1.6,70,41171.84,Wakiso,0.4057,32.478
2023-03-10,25.9,17.9,6.1,72,35802.48,Wakiso,0.4057,32.478
2023-03-11,26.3,17.3,5.9,78,38491.98,Wakiso,0.4057,32.478
2023-03-12,23.1,17.6,9.8,86,14621.62,Wakiso,0.4057,32.478
2023-03-13,26.7,15.6,1.2,77,41180.23,Wakiso,0.4057,32.478
2023-03-14,24.6,17.0,17.8,90,15219.69,Wakiso,0.4057,32.478
2023-03-15,25.5,15.5,6.0,86,27811.39,Wakiso,0.4057,32.478
2023-03-16,25.7,16.9,1.0,81,27709.97,Wakiso,0.4057,32.478
2023-03-17,23.2,16.8,3.9,83,21252.43,Wakiso,0.4057,32.478
2023-03-18,24.2,15.7,13.4,82,38478.8,Wakiso,0.4057,32.478
2023-03-19,27.4,15.2,0.2,77,39924.42,Wakiso,0.4057,32.478
2023-03-20,25.3,16.6,27.3,87,18350.86,Wakiso,0.4057,32.478
2023-03-21,24.3,16.3,0.2,82,26060.58,Wakiso,0.4057,32.478
2023-03-22,26.8,16.7,0.3,76,38500.56,Wakiso,0.4057,32.478
2023-03-23,24.5,17.9,20.7,87,9398.72,Wakiso,0.4057,32.478
2023-03-24,25.6,17.0,0.0,78,34221.27,Wakiso,0.4057,32.478
2023-03-25,23.5,18.0,6.9,83,28005.26,Wakiso,0.4057,32.478
2023-03-26,23.3,16.8,9.4,90,26004.36,Wakiso,0.4057,32.478
2023-03-27,26.2,17.2,3.1,83,39066.12,Wakiso,0.4057,32.478
2023-03-28,23.4,17.3,11.2,87,22565.63,Wakiso,0.4057,32.478
2023-03-29,25.2,16.3,6.6,84,39297.16,Wakiso,0.4057,32.478
2023-03-30,25.7,16.6,2.6,86,34043.32,Wakiso,0.4057,32.478
2023-03-31,25.2,16.6,4.4,87,29660.13,Wakiso,0.4057,32.478
2023-04-01,23.2,16.2,1.8,85,23140.85,Wakiso,0.4057,32.478
2023-04-02,25.3,15.9,4.6,80,40910.24,Wakiso,0.4057,32.478
2023-04-03,24.2,16.9,2.7,86,20299.28,Wakiso,0.4057,32.478
2023-04-04,24.7,16.7,2.6,85,34688.93,Wakiso,0.4057,32.478
2023-04-05,25.7,18.1,16.7,82,30958.73,Wakiso,0.4057,32.478
2023-04-06,24.0,17.0,2.6,84,29658.95,Wakiso,0.4057,32.478
2023-04-07,25.6,17.3,1.5,78,41200.67,Wakiso,0.4057,32.478
2023-04-08,27.4,18.6,1.1,79,41200.43,Wakiso,0.4057,32.478
2023-04-09,25.1,18.3,8.7,83,31105.88,Wakiso,0.4057,32.478
2023-04-10,26.8,17.1,1.1,78,41199.44,Wakiso,0.4057,32.478
2023-04-11,27.3,17.3,0.7,80,41198.84,Wakiso,0.4057,32.478
2023-04-12,25.9,18.4,0.8,80,41170.43,Wakiso,0.4057,32.478
2023-04-13,25.6,16.8,8.4,85,32061.53,Wakiso,0.4057,32.478
2023-04-14,25.1,17.5,10.8,87,31171.05,Wakiso,0.4057,32.478
2023-04-15,25.2,17.1,2.0,87,39191.58,Wakiso,0.4057,32.478
2023-04-16,24.8,17.4,1.5,83,41194.92,Wakiso,0.4057,32.478
2023-04-17,25.1,17.9,4.6,86,30477.41,Wakiso,0.4057,32.478
2023-04-18,24.1,16.0,5.2,87,36476.0,Wakiso,0.4057,32.478
2023-04-19,25.0,17.3,0.6,83,39650.06,Wakiso,0.4057,32.478
2023-04-20,25.5,18.6,3.3,83,41034.36,Wakiso,0.4057,32.478
2023-04-21,25.4,17.9,2.1,84,30729.03,Wakiso,0.4057,32.478
2023-04-22,23.0,18.5,2.6,87,10254.99,Wakiso,0.4057,32.478
2023-04-23,21.4,18.4,14.2,92,2559.22,Wakiso,0.4057,32.478
2023-04-24,24.3,17.9,9.1,87,37585.9,Wakiso,0.4057,32.478
2023-04-25,22.3,17.1,17.8,91,9883.43,Wakiso,0.4057,32.478
2023-04-26,22.8,17.2,11.5,91,12659.71,Wakiso,0.4057,32.478
2023-04-27,24.1,17.3,6.3,87,24822.31,Wakiso,0.4057,32.478
2023-04-28,25.4,16.4,7.9,86,38088.41,Wakiso,0.4057,32.478
2023-04-29,22.3,16.4,9.7,91,16607.09,Wakiso,0.4057,32.478
