time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2025-01-01,33.2,22.3,0.0,28,39970.5,Yumbe,3.465,31.2481
2025-01-02,33.6,20.2,0.0,28,37806.39,Yumbe,3.465,31.2481
2025-01-03,34.0,21.3,0.0,30,39346.12,Yumbe,3.465,31.2481
2025-01-04,34.2,20.6,0.0,31,40091.82,Yumbe,3.465,31.2481
2025-01-05,35.8,20.8,0.0,27,34438.82,Yumbe,3.465,31.2481
2025-01-06,35.8,22.7,0.0,25,30708.26,Yumbe,3.465,31.2481
2025-01-07,35.2,22.1,0.0,24,39410.5,Yumbe,3.465,31.2481
2025-01-08,33.9,20.9,0.0,22,38492.2,Yumbe,3.465,31.2481
2025-01-09,35.6,20.0,0.0,21,40200.07,Yumbe,3.465,31.2481
2025-01-10,35.1,21.2,0.0,21,40220.91,Yumbe,3.465,31.2481
2025-01-11,33.5,22.6,0.0,28,39760.38,Yumbe,3.465,31.2481
2025-01-12,34.5,21.3,0.0,28,37585.62,Yumbe,3.465,31.2481
2025-01-13,34.1,23.1,0.0,25,38689.95,Yumbe,3.465,31.2481
2025-01-14,34.3,21.9,0.0,24,38038.93,Yumbe,3.465,31.2481
2025-01-15,34.8,21.6,0.0,24,39615.1,Yumbe,3.465,31.2481
2025-01-16,35.6,20.4,0.0,23,38276.22,Yumbe,3.465,31.2481
2025-01-17,36.4,21.7,0.0,22,31425.83,Yumbe,3.465,31.2481
2025-01-18,35.9,22.6,0.0,22,37485.41,Yumbe,3.465,31.2481
2025-01-19,35.3,23.4,0.0,22,38313.25,Yumbe,3.465,31.2481
2025-01-20,35.2,21.7,0.0,30,36123.73,Yumbe,3.465,31.2481
2025-01-21,34.1,20.5,0.0,39,39743.65,Yumbe,3.465,31.2481
2025-01-22,34.5,22.5,0.0,34,39762.89,Yumbe,3.465,31.2481
2025-01-23,34.0,20.5,0.0,40,38931.98,Yumbe,3.465,31.2481
2025-01-24,35.0,22.0,0.0,24,38814.48,Yumbe,3.465,31.2481
2025-01-25,33.8,22.3,0.0,26,37464.46,Yumbe,3.465,31.2481
2025-01-26,36.4,20.9,0.0,29,37694.22,Yumbe,3.465,31.2481
2025-01-27,34.6,21.8,0.0,15,40071.57,Yumbe,3.465,31.2481
2025-01-28,35.0,21.9,0.0,16,39973.79,Yumbe,3.465,31.2481
2025-01-29,34.5,18.9,0.0,18,39987.52,Yumbe,3.465,31.2481
2025-01-30,33.7,22.0,0.0,15,40000.66,Yumbe,3.465,31.2481
2025-01-31,33.5,21.5,0.0,16,33615.58,Yumbe,3.465,31.2481
2025-02-01,35.3,22.5,0.0,19,35099.67,Yumbe,3.465,31.2481
2025-02-02,35.2,22.2,0.0,24,31873.01,Yumbe,3.465,31.2481
2025-02-03,36.5,21.9,0.0,28,39936.53,Yumbe,3.465,31.2481
2025-02-04,36.7,22.3,0.0,22,32123.06,Yumbe,3.465,31.2481
2025-02-05,36.7,22.7,0.0,25,40067.39,Yumbe,3.465,31.2481
2025-02-06,37.0,22.4,0.0,25,39343.71,Yumbe,3.465,31.2481
2025-02-07,36.0,22.4,0.0,21,29898.24,Yumbe,3.465,31.2481
2025-02-08,35.9,22.0,0.0,23,39579.89,Yumbe,3.465,31.2481
2025-02-09,35.1,22.1,0.0,41,39989.31,Yumbe,3.465,31.2481
2025-02-10,35.8,24.8,0.0,31,38036.34,Yumbe,3.465,31.2481
2025-02-11,36.6,23.2,0.0,26,39890.86,Yumbe,3.465,31.2481
2025-02-12,36.8,25.9,0.0,26,39450.76,Yumbe,3.465,31.2481
2025-02-13,36.7,24.0,0.1,30,38088.49,Yumbe,3.465,31.2481
2025-02-14,37.1,22.7,0.0,30,40128.41,Yumbe,3.465,31.2481
2025-02-15,34.8,21.2,0.0,43,39796.55,Yumbe,3.465,31.2481
2025-02-16,35.6,23.7,0.0,36,39911.25,Yumbe,3.465,31.2481
2025-02-17,36.9,23.5,0.0,30,39578.85,Yumbe,3.465,31.2481
2025-02-18,37.4,24.2,0.0,24,40252.14,Yumbe,3.465,31.2481
2025-02-19,35.4,21.6,0.0,30,40366.21,Yumbe,3.465,31.2481
2025-02-20,37.4,23.2,0.0,26,36522.71,Yumbe,3.465,31.2481
2025-02-21,38.6,21.9,0.0,19,40480.56,Yumbe,3.465,31.2481
2025-02-22,38.0,23.2,0.0,20,40480.29,Yumbe,3.465,31.2481
2025-02-23,37.0,23.5,0.0,21,40364.95,Yumbe,3.465,31.2481
2025-02-24,38.3,23.7,0.0,19,31228.63,Yumbe,3.465,31.2481
2025-02-25,37.7,23.3,0.0,21,38583.09,Yumbe,3.465,31.2481
2025-02-26,37.8,23.3,0.0,19,38553.31,Yumbe,3.465,31.2481
2025-02-27,36.0,23.0,0.0,30,40702.48,Yumbe,3.465,31.2481
2025-02-28,37.7,22.1,0.0,24,40699.81,Yumbe,3.465,31.2481
2025-03-01,37.7,23.9,0.0,22,38205.38,Yumbe,3.465,31.2481
