time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean,sunshine_duration,district,latitude,longitude
2022-01-01,25.1,15.4,0.7,66,39110.25,Zombo,2.5333,30.9167
2022-01-02,25.8,16.4,0.8,63,39841.3,Zombo,2.5333,30.9167
2022-01-03,26.7,16.6,0.0,46,40519.56,Zombo,2.5333,30.9167
2022-01-04,26.2,16.3,0.0,43,39513.84,Zombo,2.5333,30.9167
2022-01-05,26.7,15.5,0.0,43,40528.22,Zombo,2.5333,30.9167
2022-01-06,27.1,14.6,0.0,48,38131.01,Zombo,2.5333,30.9167
2022-01-07,27.5,17.8,0.0,46,33426.03,Zombo,2.5333,30.9167
2022-01-08,28.9,17.7,0.0,42,40043.42,Zombo,2.5333,30.9167
2022-01-09,28.8,17.9,0.0,39,38367.2,Zombo,2.5333,30.9167
2022-01-10,28.8,17.9,0.0,41,38593.67,Zombo,2.5333,30.9167
2022-01-11,28.4,18.9,0.0,40,40175.58,Zombo,2.5333,30.9167
2022-01-12,28.5,17.9,0.0,42,40436.26,Zombo,2.5333,30.9167
2022-01-13,28.8,18.8,0.0,40,37735.71,Zombo,2.5333,30.9167
2022-01-14,27.6,16.2,2.6,68,31285.47,Zombo,2.5333,30.9167
2022-01-15,26.7,17.5,0.9,63,28069.98,Zombo,2.5333,30.9167
2022-01-16,25.4,16.1,9.3,72,34921.64,Zombo,2.5333,30.9167
2022-01-17,21.2,16.0,4.6,82,9816.42,Zombo,2.5333,30.9167
2022-01-18,21.3,14.9,0.9,79,19644.7,Zombo,2.5333,30.9167
2022-01-19,23.6,14.4,0.0,75,32014.1,Zombo,2.5333,30.9167
2022-01-20,25.1,16.3,0.0,58,36418.27,Zombo,2.5333,30.9167
2022-01-21,25.6,15.1,0.0,46,40139.84,Zombo,2.5333,30.9167
2022-01-22,26.0,14.4,0.0,49,37495.23,Zombo,2.5333,30.9167
2022-01-23,26.9,16.4,0.0,47,38225.96,Zombo,2.5333,30.9167
2022-01-24,28.1,16.4,0.0,47,37308.17,Zombo,2.5333,30.9167
2022-01-25,28.1,17.2,0.0,37,40314.07,Zombo,2.5333,30.9167
2022-01-26,28.8,17.5,0.0,41,37900.46,Zombo,2.5333,30.9167
2022-01-27,28.4,17.9,0.0,38,37764.42,Zombo,2.5333,30.9167
2022-01-28,27.0,16.5,0.0,41,40576.3,Zombo,2.5333,30.9167
2022-01-29,27.2,15.9,0.0,38,40477.1,Zombo,2.5333,30.9167
2022-01-30,26.9,16.0,0.0,40,40377.93,Zombo,2.5333,30.9167
2022-01-31,25.7,19.4,0.0,39,18461.18,Zombo,2.5333,30.9167
2022-02-01,27.0,17.0,0.0,49,31433.05,Zombo,2.5333,30.9167
2022-02-02,28.2,16.9,0.0,46,30860.55,Zombo,2.5333,30.9167
2022-02-03,28.5,17.5,0.0,37,36490.14,Zombo,2.5333,30.9167
2022-02-04,28.3,17.6,0.0,45,38078.52,Zombo,2.5333,30.9167
2022-02-05,26.9,16.2,0.0,56,30056.95,Zombo,2.5333,30.9167
2022-02-06,27.0,15.4,0.0,42,40116.89,Zombo,2.5333,30.9167
2022-02-07,27.5,15.7,0.0,38,36406.56,Zombo,2.5333,30.9167
2022-02-08,27.1,16.6,0.0,40,37456.62,Zombo,2.5333,30.9167
2022-02-09,28.5,19.9,0.0,37,38686.5,Zombo,2.5333,30.9167
2022-02-10,29.7,19.5,0.0,36,34609.69,Zombo,2.5333,30.9167
2022-02-11,28.8,18.6,0.0,37,37279.5,Zombo,2.5333,30.9167
2022-02-12,30.3,18.1,0.0,33,39064.69,Zombo,2.5333,30.9167
2022-02-13,29.1,18.0,0.0,35,40596.18,Zombo,2.5333,30.9167
2022-02-14,29.9,18.4,0.1,39,40379.37,Zombo,2.5333,30.9167
2022-02-15,28.7,17.0,0.0,44,39862.21,Zombo,2.5333,30.9167
2022-02-16,30.1,17.3,0.0,34,40714.45,Zombo,2.5333,30.9167
2022-02-17,28.8,15.4,0.0,46,40716.02,Zombo,2.5333,30.9167
2022-02-18,30.2,17.0,0.0,44,35786.15,Zombo,2.5333,30.9167
2022-02-19,29.7,18.5,0.0,42,39076.24,Zombo,2.5333,30.9167
2022-02-20,29.0,18.0,0.0,29,36861.53,Zombo,2.5333,30.9167
2022-02-21,28.0,15.9,0.0,35,39150.19,Zombo,2.5333,30.9167
2022-02-22,30.0,16.5,0.0,37,28487.09,Zombo,2.5333,30.9167
2022-02-23,30.0,17.2,0.0,32,38208.52,Zombo,2.5333,30.9167
2022-02-24,29.1,15.5,0.0,37,35868.64,Zombo,2.5333,30.9167
2022-02-25,28.6,17.1,0.0,44,40821.88,Zombo,2.5333,30.9167
2022-02-26,28.1,18.3,0.0,50,39340.42,Zombo,2.5333,30.9167
2022-02-27,28.9,19.0,0.4,51,40816.05,Zombo,2.5333,30.9167
2022-02-28,28.6,18.8,2.2,49,40125.13,Zombo,2.5333,30.9167
2022-03-01,28.2,18.2,0.8,56,40233.77,Zombo,2.5333,30.9167
2022-03-02,28.4,18.8,0.1,50,40176.43,Zombo,2.5333,30.9167
2022-03-03,28.0,15.9,0.1,59,40916.09,Zombo,2.5333,30.9167
2022-03-04,28.4,17.4,0.0,51,41042.12,Zombo,2.5333,30.9167
2022-03-05,30.2,18.4,0.0,40,41051.52,Zombo,2.5333,30.9167
2022-03-06,30.9,20.2,0.0,33,41060.92,Zombo,2.5333,30.9167
2022-03-07,29.6,17.2,0.0,46,41070.32,Zombo,2.5333,30.9167
2022-03-08,30.0,18.1,0.0,46,41079.7,Zombo,2.5333,30.9167
2022-03-09,28.9,17.4,0.0,52,41089.06,Zombo,2.5333,30.9167
2022-03-10,30.1,17.8,0.0,49,41098.39,Zombo,2.5333,30.9167
2022-03-11,29.6,18.7,0.0,51,40743.78,Zombo,2.5333,30.9167
