district,year,month,avg_temp_max,avg_temp_min,sum_precipitation,avg_humidity,sum_sunshine
Nakapiripirit,2023,2,32.81071428571429,18.728571428571428,0.1,30.142857142857142,1134262.59
Sembabule,2020,9,27.743333333333336,17.123333333333335,103.20000000000002,75.4,1113716.1600000001
Sembabule,2024,10,28.954838709677414,17.151612903225807,106.3,73.29032258064517,1094839.69
Nakapiripirit,2023,9,29.32333333333333,17.610000000000003,65.69999999999999,60.4,1194300.46
Nakapiripirit,2022,6,25.84666666666667,16.073333333333334,87.8,67.6,1173253.6
Rukungiri,2022,5,25.087096774193547,14.258064516129032,95.60000000000001,77.03225806451613,1165431.1600000001
Kiryandongo,2020,8,27.2,18.064516129032253,186.99999999999997,82.03225806451613,1129479.8399999999
Namisindwa,2023,5,19.45806451612903,12.299999999999997,181.19999999999996,76.45161290322581,1217243.3099999998
Namisindwa,2021,1,18.645161290322584,11.696774193548386,136.20000000000002,74.90322580645162,1232031.5
Nakapiripirit,2024,6,27.826666666666668,17.42,29.0,63.9,1196149.4299999997
Kiryandongo,2017,9,26.96,18.453333333333333,193.9,82.4,1087753.0
Namisindwa,2019,7,17.98709677419355,11.741935483870966,148.7,75.06451612903226,1160899.08
Nakapiripirit,2020,7,23.5,16.47741935483871,223.69999999999996,81.61290322580645,1053676.82
Kiryandongo,2023,11,28.236666666666675,18.28666666666667,211.3,80.0,1027775.83
Nakapiripirit,2020,5,25.325806451612902,17.36774193548387,234.80000000000004,79.03225806451613,1172869.1100000003
Bundibugyo,2024,7,28.264516129032252,19.325806451612902,101.00000000000001,73.64516129032258,1071498.8
Namisindwa,2021,6,17.666666666666668,11.803333333333333,226.7,79.43333333333334,1155645.1300000001
Sembabule,2024,7,30.319354838709682,17.590322580645164,48.800000000000004,63.806451612903224,1077811.1700000002
Namisindwa,2022,11,18.279999999999998,11.896666666666668,481.99999999999994,81.63333333333334,1005724.79
Namisindwa,2021,3,20.503225806451614,12.048387096774194,188.49999999999997,69.06451612903226,1224851.2200000004
Nakapiripirit,2019,7,24.503225806451617,16.612903225806452,126.4,76.12903225806451,1199996.0900000003
Nakapiripirit,2022,8,24.383870967741935,15.954838709677418,203.79999999999998,78.03225806451613,1162678.59
Lyantonde,2024,8,29.370967741935484,16.341935483870966,38.800000000000004,67.16129032258064,1170185.2899999996
Sembabule,2020,10,27.232258064516135,17.09032258064516,120.8,77.29032258064517,1083644.8599999999
Rukungiri,2020,3,25.425806451612907,15.367741935483872,110.69999999999999,81.41935483870968,1070705.63
Rukungiri,2020,9,24.546666666666656,14.256666666666664,207.1,82.36666666666666,1042994.0199999999
Rukungiri,2022,8,24.13870967741936,13.27741935483871,184.29999999999998,78.35483870967742,1019939.7099999998
Rukungiri,2022,6,24.786666666666665,13.179999999999998,28.400000000000006,69.5,1157168.49
Namisindwa,2024,1,18.793548387096777,12.119354838709675,248.50000000000003,78.58064516129032,1201615.7599999998
Namisindwa,2022,7,17.75161290322581,11.45483870967742,237.2,76.54838709677419,1099870.36
Bundibugyo,2019,8,25.441935483870978,17.970967741935482,281.00000000000006,85.29032258064517,1165672.98
Kiryandongo,2023,4,28.523333333333333,18.60333333333333,120.5,77.8,1003553.33
Kiryandongo,2022,7,28.480645161290322,17.98709677419355,75.0,66.2258064516129,1065231.67
Kiryandongo,2017,5,27.74516129032258,19.016129032258064,111.79999999999995,77.61290322580645,1229180.92
Rukungiri,2024,11,23.580000000000002,14.976666666666663,263.99999999999994,84.03333333333333,1015456.9299999999
Namisindwa,2023,7,18.474193548387095,11.645161290322582,184.4,74.74193548387096,1194979.25
Nakapiripirit,2017,8,25.809677419354838,17.10322580645161,119.9,69.45161290322581,1234434.85
Namisindwa,2020,12,18.551612903225806,11.51612903225806,147.2,75.54838709677419,1236545.73
Bundibugyo,2024,1,32.116129032258065,20.751612903225805,9.700000000000001,52.32258064516129,1144767.9500000002
Lyantonde,2020,8,28.69677419354839,17.17096774193548,66.10000000000001,67.70967741935483,1163748.0499999998
Kiryandongo,2024,6,29.5,18.716666666666665,66.0,68.2,1120039.91
Namisindwa,2020,5,18.49032258064516,12.82258064516129,333.29999999999995,83.09677419354838,1150822.4900000002
Kiryandongo,2022,12,28.590322580645168,17.8,36.4,70.16129032258064,1168657.4300000002
Bundibugyo,2019,3,32.18709677419355,20.15483870967742,36.300000000000004,60.935483870967744,1228699.7399999998
Kiryandongo,2020,12,29.154838709677424,17.76451612903226,9.6,65.96774193548387,1217613.17
Nakapiripirit,2021,3,31.112903225806452,18.529032258064518,20.9,43.32258064516129,1227609.8899999997
Nakapiripirit,2024,10,28.65806451612903,17.51290322580645,132.59999999999997,63.03225806451613,1209055.8599999999
Kiryandongo,2017,2,32.52142857142858,19.860714285714277,32.800000000000004,53.75,1132225.0499999998
Nakapiripirit,2017,4,30.329999999999995,18.93,34.1,52.3,1221058.8000000003
Lyantonde,2024,3,30.387096774193548,17.922580645161286,39.3,67.93548387096774,1173583.63
Kiryandongo,2024,12,29.816129032258065,17.774193548387093,18.900000000000006,63.03225806451613,1181457.24
Kiryandongo,2023,2,33.596428571428575,19.83571428571429,4.9,41.57142857142857,1045180.0000000001
Lyantonde,2024,4,27.9,17.769999999999996,104.8,77.73333333333333,962682.1799999999
Kiryandongo,2021,1,30.02258064516129,18.464516129032255,16.5,60.58064516129032,1182718.48
Namisindwa,2024,6,18.486666666666668,12.146666666666668,143.4,78.4,1156893.8200000003
Nakapiripirit,2023,12,30.574193548387093,18.029032258064515,14.799999999999999,49.83870967741935,1209280.5799999998
Kiryandongo,2017,1,33.97419354838709,19.53548387096774,3.8999999999999995,34.32258064516129,1250362.1800000002
Nakapiripirit,2021,8,26.370967741935484,16.916129032258066,51.900000000000006,65.45161290322581,1235344.48
Sembabule,2024,9,29.636666666666663,17.166666666666668,45.9,68.9,1099046.73
Nakapiripirit,2020,3,28.512903225806458,18.151612903225804,132.2,67.70967741935483,1180275.6500000001
Kiryandongo,2022,9,27.613333333333333,17.673333333333332,132.89999999999998,79.83333333333333,1108810.1300000001
Kiryandongo,2018,1,31.912903225806453,18.89677419354839,4.199999999999999,43.87096774193548,1178321.0099999998
Kiryandongo,2024,2,32.37241379310345,20.29655172413793,37.900000000000006,57.172413793103445,1058849.9500000002
Nakapiripirit,2024,9,28.4,17.753333333333334,58.099999999999994,61.333333333333336,1155660.2099999997
Nakapiripirit,2018,12,28.764516129032263,17.45806451612903,56.7,52.774193548387096,1197070.4400000002
Nakapiripirit,2023,4,28.23,17.38,111.39999999999999,65.56666666666666,1129575.59
Nakapiripirit,2020,12,28.932258064516127,17.125806451612906,2.7,46.38709677419355,1209712.8199999996
Nakapiripirit,2020,11,27.286666666666665,16.803333333333335,44.9,64.56666666666666,1169168.8599999999
Kiryandongo,2023,12,29.690322580645166,18.59677419354839,49.60000000000001,69.19354838709677,1141005.8999999997
Namisindwa,2021,5,17.812903225806448,12.693548387096774,375.6000000000001,84.90322580645162,1069170.25
Namisindwa,2024,9,19.54,11.876666666666669,285.0,74.33333333333333,1146878.28
Namisindwa,2019,12,18.05806451612903,12.335483870967742,330.09999999999997,81.38709677419355,1140402.62
Lyantonde,2020,10,27.19677419354839,16.85483870967742,124.39999999999998,77.29032258064517,1147580.9000000001
Sembabule,2024,6,30.55333333333334,18.093333333333337,6.8999999999999995,56.93333333333333,1174334.2100000002
Bundibugyo,2024,5,31.490322580645156,20.477419354838712,28.4,69.64516129032258,1191573.5500000003
Namisindwa,2021,7,17.270967741935483,11.538709677419355,96.7,75.58064516129032,1105443.99
Nakapiripirit,2024,4,28.183333333333337,18.233333333333334,204.20000000000002,71.9,1108430.8900000001
Namisindwa,2023,12,19.20322580645161,12.132258064516131,183.9,77.38709677419355,1187397.6099999999
Kiryandongo,2019,5,27.738709677419358,19.30322580645161,112.69999999999997,81.6774193548387,1153002.4300000002
Namisindwa,2022,6,17.516666666666666,11.056666666666668,136.5,78.43333333333334,1163451.0299999998
Kiryandongo,2019,4,30.426666666666673,19.903333333333332,95.30000000000001,70.5,1164599.35
Namisindwa,2022,2,19.753571428571423,11.58214285714286,89.4,70.96428571428571,1111794.63
Nakapiripirit,2019,10,25.503225806451617,16.3,208.5,77.96774193548387,1210263.6
Nakapiripirit,2017,9,25.98333333333334,17.223333333333336,152.39999999999995,70.1,1165240.2099999997
Nakapiripirit,2020,6,24.77333333333333,16.723333333333333,129.2,79.33333333333333,1148677.38
Kiryandongo,2021,8,27.82258064516129,18.116129032258062,130.39999999999998,73.64516129032258,1199708.4799999997
Kiryandongo,2021,10,28.329032258064522,18.577419354838714,116.49999999999999,78.29032258064517,1099167.07
Lyantonde,2020,12,27.464516129032262,16.33225806451613,48.199999999999996,74.93548387096774,1144378.85
Kiryandongo,2020,9,26.85,18.29333333333334,170.09999999999997,83.23333333333333,1117829.72
Nakapiripirit,2018,9,27.67666666666667,16.936666666666667,27.700000000000003,57.766666666666666,1193667.57
Namisindwa,2021,10,19.55483870967743,12.183870967741935,221.80000000000004,75.03225806451613,1157414.4900000002
Kiryandongo,2023,10,28.877419354838715,18.848387096774196,221.60000000000002,78.03225806451613,1050402.6199999999
Kiryandongo,2022,5,28.206451612903233,18.687096774193545,78.8,76.3225806451613,1165830.02
Lyantonde,2020,6,27.769999999999992,16.863333333333333,34.6,68.26666666666667,1179334.8
Namisindwa,2019,8,18.258064516129032,11.832258064516127,109.7,75.87096774193549,1162836.1500000001
Kiryandongo,2024,5,29.329032258064515,19.538709677419355,74.49999999999999,75.58064516129032,1178017.3899999997
Nakapiripirit,2019,11,26.30666666666667,16.893333333333334,116.49999999999999,69.13333333333334,1087652.8399999999
Rukungiri,2024,8,26.11612903225806,14.590322580645157,61.29999999999999,76.58064516129032,1161151.4000000001
Namisindwa,2023,4,18.816666666666663,12.126666666666667,368.29999999999995,80.26666666666667,1054063.25
Kiryandongo,2022,6,27.73333333333333,17.7,71.0,71.06666666666666,1144646.5000000002
Nakapiripirit,2023,8,29.06451612903226,17.20322580645161,48.90000000000001,52.83870967741935,1245535.21
Kiryandongo,2018,5,26.429032258064517,18.29032258064516,121.60000000000002,82.41935483870968,1134044.82
Nakapiripirit,2021,10,28.038709677419355,17.55806451612903,65.8,61.38709677419355,1207674.9
Nakapiripirit,2022,2,30.935714285714283,18.153571428571425,13.1,42.892857142857146,1103984.0000000002
Namisindwa,2024,8,18.9,11.638709677419355,158.29999999999998,73.19354838709677,1167816.5300000003
Namisindwa,2020,8,18.261290322580646,11.95483870967742,115.50000000000001,74.03225806451613,1100079.65
Sembabule,2024,5,29.116129032258062,18.048387096774192,52.199999999999996,71.96774193548387,1134527.5299999998
Bundibugyo,2024,11,27.973333333333326,19.149999999999995,92.4,78.86666666666666,1078634.0899999999
Namisindwa,2022,3,21.183870967741942,11.87741935483871,171.3,66.2258064516129,1260435.98
Nakapiripirit,2017,11,26.856666666666666,16.776666666666667,79.49999999999999,61.9,1147823.1799999997
Namisindwa,2022,12,18.187096774193552,11.177419354838708,227.10000000000005,78.06451612903226,1186158.8299999998
Rukungiri,2024,9,26.23,15.039999999999997,109.00000000000001,77.0,1104247.4
Lyantonde,2020,4,27.276666666666664,17.776666666666664,97.8,79.63333333333334,966271.0700000002
Kiryandongo,2021,5,26.658064516129038,18.503225806451617,113.2,81.2258064516129,1084920.69
Lyantonde,2020,2,28.931034482758626,17.813793103448273,52.800000000000004,71.6896551724138,1042102.6399999998
Rukungiri,2022,7,25.864516129032264,14.383870967741935,28.9,57.45161290322581,1084990.9300000002
Sembabule,2020,6,27.629999999999995,17.393333333333334,53.10000000000002,68.3,1163242.8299999998
Kiryandongo,2018,6,26.21999999999999,17.700000000000003,92.0,80.76666666666667,1083978.8199999998
Namisindwa,2024,11,18.42666666666667,11.270000000000001,523.8000000000001,82.06666666666666,1087825.55
Kiryandongo,2022,8,26.658064516129038,17.445161290322577,165.4,78.64516129032258,1067331.71
Nakapiripirit,2024,3,32.86451612903226,18.974193548387092,12.900000000000002,45.74193548387097,1257148.2699999998
Nakapiripirit,2024,8,25.809677419354838,16.448387096774194,134.1,75.38709677419355,1187336.43
Bundibugyo,2024,6,29.283333333333335,19.12,73.39999999999998,69.76666666666667,1204004.1699999997
Sembabule,2024,1,29.861290322580643,17.983870967741936,33.00000000000001,63.193548387096776,1034369.5800000001
Kiryandongo,2024,3,32.99999999999999,20.3,49.5,60.03225806451613,1214480.49
Nakapiripirit,2021,2,30.249999999999996,18.6,13.5,43.464285714285715,1085559.26
Namisindwa,2023,10,19.99677419354838,12.009677419354839,330.4,75.74193548387096,1166845.0599999998
Kiryandongo,2022,1,31.71935483870968,18.996774193548386,20.1,46.67741935483871,1080878.8499999999
Kiryandongo,2022,3,32.05806451612902,19.69677419354839,55.699999999999996,58.225806451612904,1162704.3200000003
Kiryandongo,2022,4,29.07666666666666,18.863333333333333,150.79999999999998,74.86666666666666,1029217.8900000001
Rukungiri,2024,4,25.61333333333334,15.356666666666664,124.1,81.93333333333334,1039394.95
Kiryandongo,2018,9,28.126666666666665,18.37,77.69999999999997,76.26666666666667,1137717.83
Kiryandongo,2019,7,26.774193548387093,18.083870967741937,127.89999999999999,82.19354838709677,1121340.6700000002
Kiryandongo,2022,11,27.52333333333333,18.023333333333333,132.49999999999997,80.8,954501.0299999999
Kiryandongo,2023,6,27.983333333333334,18.389999999999997,114.60000000000001,77.33333333333333,1075309.6300000001
Kiryandongo,2018,10,27.712903225806457,18.725806451612904,157.60000000000002,79.03225806451613,1116105.98
Namisindwa,2020,1,19.083870967741937,12.393548387096775,243.50000000000003,73.83870967741936,1158118.88
Nakapiripirit,2018,5,24.59677419354838,17.074193548387097,238.0,79.64516129032258,1149754.7400000002
Nakapiripirit,2018,1,30.309677419354834,18.37741935483871,0.1,35.38709677419355,1125544.3800000001
Nakapiripirit,2018,11,29.399999999999995,17.746666666666663,28.000000000000004,54.233333333333334,1186382.7999999998
Nakapiripirit,2019,8,24.799999999999997,16.716129032258063,221.70000000000002,77.19354838709677,1202512.6199999999
Nakapiripirit,2017,2,30.428571428571427,18.553571428571427,6.5,43.607142857142854,1134896.31
Nakapiripirit,2022,9,27.000000000000004,16.276666666666667,66.20000000000002,65.4,1172613.0899999999
Lyantonde,2020,3,27.903225806451616,17.783870967741933,97.0,77.70967741935483,1009727.42
Kiryandongo,2023,1,31.903225806451612,18.516129032258068,2.0,47.225806451612904,1186623.9300000002
Nakapiripirit,2019,12,25.9258064516129,16.919354838709676,91.3,69.90322580645162,1207803.6399999994
Namisindwa,2024,7,18.641935483870963,11.96774193548387,133.29999999999998,75.83870967741936,1151230.21
Namisindwa,2024,10,19.609677419354842,11.729032258064517,288.09999999999997,74.58064516129032,1209744.41
