district,date,temp_max,temp_min,precipitation,humidity,sunshine,month
Abim,2025-04-01,30.5,18.6,0.0,54,41060.69,2025_05
Abim,2025-04-02,31.8,19.0,0.0,46,41297.85,2025_05
Abim,2025-04-03,31.6,18.2,0.5,55,41099.63,2025_05
Abim,2025-04-04,32.5,20.2,0.1,49,41119.02,2025_05
Abim,2025-04-05,32.1,19.3,0.6,59,40114.68,2025_05
Abim,2025-04-06,30.2,19.4,4.0,71,35173.59,2025_05
Abim,2025-04-07,28.1,18.3,5.4,73,40724.33,2025_05
Abim,2025-04-08,27.0,17.6,18.0,81,40061.92,2025_05
Abim,2025-04-09,29.3,18.0,0.6,74,38099.46,2025_05
Abim,2025-04-10,30.1,18.6,0.0,61,41343.0,2025_05
Abim,2025-04-11,29.8,18.2,0.0,65,40914.18,2025_05
Abim,2025-04-12,27.8,18.4,32.5,76,35038.36,2025_05
Abim,2025-04-13,24.1,18.0,4.4,85,15366.36,2025_05
Abim,2025-04-14,27.2,18.2,8.6,83,39302.0,2025_05
Abim,2025-04-15,28.3,18.2,8.1,82,35975.81,2025_05
Abim,2025-04-16,23.8,18.0,25.9,87,17302.18,2025_05
Abim,2025-04-17,26.7,18.0,8.3,85,22947.53,2025_05
Abim,2025-04-18,27.3,18.1,6.7,81,36266.63,2025_05
Abim,2025-04-19,26.4,18.9,6.2,85,34070.95,2025_05
Abim,2025-04-20,25.8,16.7,8.0,86,35923.11,2025_05
Abim,2025-04-21,27.9,17.9,3.2,77,38557.31,2025_05
Abim,2025-04-22,28.2,18.7,0.0,67,41003.83,2025_05
Abim,2025-04-23,27.9,18.8,0.4,67,40895.14,2025_05
Abim,2025-04-24,29.3,17.7,0.0,60,40354.94,2025_05
Abim,2025-04-25,31.2,19.0,0.0,52,40787.03,2025_05
Abim,2025-04-26,31.8,18.0,0.1,52,40464.3,2025_05
Abim,2025-04-27,30.7,19.5,0.1,49,40787.32,2025_05
Abim,2025-04-28,31.2,19.4,0.2,49,40251.15,2025_05
Abim,2025-04-29,30.9,19.4,4.7,68,36652.15,2025_05
Abim,2025-04-30,28.5,17.5,0.1,68,39718.17,2025_05
Adjumani,2025-04-01,35.9,20.0,0.0,59,37108.96,2025_05
