index,district,year,month,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
0,Abim,2025,5,27.46,17.66,75.0,102.2,323.89
1,Adjumani,2025,5,31.46,20.29,69.29,41.4,317.6
2,Agago,2025,5,30.03,19.04,71.94,85.5,328.05
3,Alebtong,2025,5,28.99,18.91,77.23,152.5,321.09
4,Amolatar,2025,5,28.01,20.21,78.23,133.1,325.8
5,Amudat,2025,5,30.04,19.19,60.48,59.8,332.0
6,Amuria,2025,5,29.16,18.96,76.19,150.3,325.65
7,Amuru,2025,5,28.42,18.92,77.87,90.4,325.34
8,Apac,2025,5,29.29,19.78,73.94,113.4,317.51
9,Arua,2025,5,29.24,18.98,66.52,41.1,328.93
10,Budaka,2025,5,26.9,18.32,83.65,265.8,318.57
11,Bududa,2025,5,25.33,17.25,82.45,326.4,301.12
12,Bugiri,2025,5,26.52,18.02,85.23,212.0,309.13
13,Bugweri,2025,5,26.67,18.09,84.06,177.8,309.12
14,Buhweju,2025,5,21.98,13.98,79.1,162.4,312.44
15,Buikwe,2025,5,24.92,18.78,85.0,179.8,302.48
16,Bukedea,2025,5,28.73,19.01,73.61,117.1,330.63
17,Bukomansimbi,2025,5,26.37,17.69,80.26,109.1,325.18
18,Bukwo,2025,5,25.46,14.67,63.0,90.8,335.6
19,Bulambuli,2025,5,29.38,18.96,72.81,97.8,332.47
20,Buliisa,2025,5,28.44,22.86,78.58,81.8,329.28
21,Bundibugyo,2025,5,30.34,19.86,70.68,74.1,329.12
22,Bunyangabu,2025,5,24.71,16.38,70.06,114.0,329.52
23,Busia,2025,5,26.31,17.38,83.58,148.5,320.14
24,Butaleja,2025,5,27.24,18.27,83.23,219.1,311.84
25,Butambala,2025,5,24.92,17.04,86.97,182.7,297.7
26,Butebo,2025,5,27.71,18.62,81.13,151.8,318.26
27,Buvuma,2025,5,24.3,20.53,82.13,272.3,304.71
28,Buyende,2025,5,27.37,20.42,79.84,104.3,323.65
29,Dokolo,2025,5,27.71,18.89,81.65,163.7,322.87
30,Gulu,2025,5,28.48,19.06,75.39,97.7,320.54
31,Hoima,2025,5,28.04,18.4,77.32,124.8,319.57
32,Ibanda,2025,5,26.44,16.44,73.03,155.7,315.72
33,Iganga,2025,5,26.57,17.99,84.03,177.8,309.12
34,Isingiro,2025,5,28.21,17.58,74.26,47.6,322.47
35,Jinja,2025,5,25.47,19.19,84.13,187.7,308.87
36,Kabale,2025,5,21.76,14.19,83.29,129.9,317.42
37,Kabarole,2025,5,25.08,16.97,72.68,156.6,332.97
38,Kaberamaido,2025,5,27.22,18.9,82.94,172.0,328.72
39,Kagadi,2025,5,28.11,17.45,76.26,123.1,326.95
40,Kakumiro,2025,5,27.86,16.88,76.23,109.3,314.32
41,Kalangala,2025,5,23.65,19.76,83.52,293.8,300.98
42,Kaliro,2025,5,27.05,18.41,85.13,151.6,307.0
43,Kalungu,2025,5,25.76,17.67,81.77,127.4,324.86
44,Kampala,2025,5,24.74,18.42,83.9,155.5,298.83
45,Kamuli,2025,5,26.17,18.44,85.61,167.5,300.49
46,Kamwenge,2025,5,27.21,17.45,76.97,172.9,328.05
47,Kanungu,2025,5,22.88,14.66,87.35,441.8,302.29
48,Kapchorwa,2025,5,22.47,14.09,76.61,283.6,334.1
49,Kasese,2025,5,28.72,19.69,63.35,130.8,328.33
50,Katakwi,2025,5,30.51,19.41,71.19,69.2,328.77
51,Kayunga,2025,5,26.38,17.85,86.58,215.1,292.69
52,Kibaale,2025,5,27.48,16.8,76.55,135.6,316.1
53,Kiboga,2025,5,27.92,18.23,76.55,109.9,311.93
54,Kibuku,2025,5,27.05,18.69,83.45,195.6,316.08
55,Kiruhura,2025,5,27.79,16.36,72.9,101.0,323.04
56,Kiryandongo,2025,5,29.12,18.78,73.9,91.0,320.0
57,Kisoro,2025,5,20.97,13.59,87.13,112.5,319.99
58,Kitgum,2025,5,29.96,19.41,73.42,80.4,328.3
59,Koboko,2025,5,27.99,18.46,72.52,71.1,317.96
60,Kole,2025,5,28.26,18.99,77.29,104.5,325.5
61,Kotido,2025,5,29.43,18.34,66.55,77.6,314.41
62,Kumi,2025,5,29.27,18.93,72.19,145.9,325.14
63,Kwania,2025,5,28.19,19.28,78.13,127.5,313.16
64,Kween,2025,5,26.75,17.21,65.71,128.0,335.81
65,Kyankwanzi,2025,5,29.01,18.35,76.06,99.7,305.88
66,Kyegegwa,2025,5,27.4,16.6,75.1,84.0,326.66
67,Kyenjojo,2025,5,27.13,17.01,74.61,62.6,323.09
68,Lamwo,2025,5,28.7,19.06,74.19,117.1,327.95
69,Lira,2025,5,28.13,19.17,77.97,144.8,319.51
70,Luuka,2025,5,26.43,18.57,84.23,214.5,298.71
71,Luwero,2025,5,26.87,17.95,82.71,181.1,296.17
72,Lwengo,2025,5,27.64,17.76,72.68,75.6,330.76
73,Lyantonde,2025,5,28.53,17.33,71.1,61.1,326.65
74,Manafwa,2025,5,25.82,17.64,82.9,435.1,312.67
75,Maracha,2025,5,28.48,18.84,69.77,48.3,323.98
76,Masaka,2025,5,25.3,17.28,83.71,130.3,325.24
77,Masindi,2025,5,28.45,18.35,75.32,105.6,324.73
78,Mayuge,2025,5,25.42,18.39,84.1,167.9,312.35
79,Mbale,2025,5,26.65,18.64,81.19,335.7,321.78
80,Mbarara,2025,5,28.19,16.09,69.65,53.6,330.05
81,Mitooma,2025,5,24.7,16.16,79.77,224.7,317.73
82,Mityana,2025,5,25.0,17.51,85.42,143.5,318.11
83,Moroto,2025,5,27.95,17.27,68.32,136.4,327.5
84,Moyo,2025,5,29.45,19.94,71.97,111.9,316.44
85,Mpigi,2025,5,24.45,17.05,85.58,164.1,305.17
86,Mubende,2025,5,27.9,17.13,74.13,94.3,317.39
87,Mukono,2025,5,25.04,17.83,84.71,183.4,306.6
88,Nakapiripirit,2025,5,27.85,17.79,68.87,109.4,333.75
89,Nakaseke,2025,5,28.05,17.95,78.61,115.5,313.9
90,Nakasongola,2025,5,28.36,18.4,79.35,140.4,314.81
91,Namayingo,2025,5,25.27,19.01,82.23,100.9,323.32
92,Namisindwa,2025,5,18.3,10.76,87.45,426.9,324.35
93,Namutumba,2025,5,26.82,18.39,85.68,284.3,300.69
94,Napak,2025,5,30.64,19.35,65.74,81.3,330.67
95,Nebbi,2025,5,30.92,19.83,61.58,61.7,333.27
96,Ngora,2025,5,28.57,18.92,76.81,123.2,320.79
97,Ntoroko,2025,5,30.45,21.64,72.23,122.5,329.34
98,Ntungamo,2025,5,27.4,16.62,72.35,104.3,331.81
99,Nwoya,2025,5,28.21,19.04,77.55,119.6,324.05
100,Omoro,2025,5,28.44,19.17,77.39,107.7,327.15
101,Otuke,2025,5,29.14,18.72,76.19,103.2,330.91
102,Oyam,2025,5,28.58,19.08,76.68,154.7,317.09
103,Pader,2025,5,29.76,19.25,74.03,86.5,325.43
104,Pakwach,2025,5,31.67,22.34,69.94,63.0,332.48
105,Pallisa,2025,5,27.83,18.89,81.06,89.7,317.05
106,Rubanda,2025,5,19.32,11.94,86.32,98.4,325.66
107,Rubirizi,2025,5,25.24,16.2,85.77,296.7,323.15
108,Rukiga,2025,5,18.94,11.17,85.48,117.3,327.17
