district,date,temp_max,temp_min,precipitation,humidity,sunshine,month
Abim,2025-05-01,31.3,19.0,2.7,69,36547.27,2025_05
Abim,2025-05-02,31.6,18.9,0.0,58,40575.48,2025_05
Abim,2025-05-03,30.2,18.9,1.8,66,35508.23,2025_05
Abim,2025-05-04,26.6,18.7,18.9,82,28158.83,2025_05
Abim,2025-05-05,27.6,17.3,15.1,79,37796.78,2025_05
Abim,2025-05-06,26.1,17.7,5.3,83,33520.95,2025_05
Abim,2025-05-07,24.1,17.5,12.6,88,22349.78,2025_05
Abim,2025-05-08,26.4,17.6,5.7,85,32577.21,2025_05
Abim,2025-05-09,25.9,17.3,1.7,83,40092.82,2025_05
Abim,2025-05-10,27.0,17.0,0.3,73,40796.3,2025_05
Abim,2025-05-11,27.6,17.0,0.0,67,40904.48,2025_05
Abim,2025-05-12,26.6,17.7,1.4,78,40585.3,2025_05
Abim,2025-05-13,27.3,17.7,10.1,76,40693.66,2025_05
Abim,2025-05-14,25.5,17.8,0.8,82,17798.88,2025_05
Abim,2025-05-15,27.1,16.8,0.4,74,40482.06,2025_05
Abim,2025-05-16,27.0,17.8,0.7,74,40805.89,2025_05
Abim,2025-05-17,28.4,17.7,0.0,70,40376.95,2025_05
Abim,2025-05-18,29.0,17.4,0.0,63,40809.7,2025_05
Abim,2025-05-19,29.3,18.3,0.0,65,40703.59,2025_05
Abim,2025-05-20,28.6,18.6,0.6,71,39838.57,2025_05
Abim,2025-05-21,27.2,17.2,1.5,80,36238.47,2025_05
Abim,2025-05-22,25.7,17.4,10.9,84,37184.98,2025_05
Abim,2025-05-23,26.6,16.9,0.3,78,39216.49,2025_05
Abim,2025-05-24,27.1,17.4,7.2,78,40275.42,2025_05
Abim,2025-05-25,28.1,17.4,0.0,75,39947.12,2025_05
Abim,2025-05-26,25.1,17.7,1.3,81,40496.98,2025_05
Abim,2025-05-27,27.3,17.4,1.3,78,39946.79,2025_05
Abim,2025-05-28,27.3,16.5,0.1,76,40278.42,2025_05
Abim,2025-05-29,27.4,17.9,1.0,68,40723.09,2025_05
Abim,2025-05-30,28.3,17.4,0.0,70,40391.1,2025_05
Abim,2025-05-31,28.0,17.6,0.5,71,40392.08,2025_05
Adjumani,2025-05-01,33.2,20.4,0.1,63,40264.12,2025_05
Adjumani,2025-05-02,34.4,20.0,0.0,60,41573.66,2025_05
Adjumani,2025-05-03,32.5,20.5,2.3,66,40775.64,2025_05
Adjumani,2025-05-04,29.3,20.2,2.5,72,31602.46,2025_05
Adjumani,2025-05-05,30.8,19.3,0.2,66,40185.11,2025_05
Adjumani,2025-05-06,29.6,20.3,0.0,72,28429.64,2025_05
Adjumani,2025-05-07,27.3,20.5,0.8,79,12533.58,2025_05
Adjumani,2025-05-08,30.1,20.4,2.1,80,15155.36,2025_05
Adjumani,2025-05-09,31.5,19.8,2.1,76,37895.5,2025_05
Adjumani,2025-05-10,32.1,18.6,0.1,71,41620.74,2025_05
Adjumani,2025-05-11,32.6,19.1,0.0,65,41626.07,2025_05
Adjumani,2025-05-12,32.0,19.7,0.1,64,40108.7,2025_05
Adjumani,2025-05-13,32.8,21.0,0.0,66,37869.6,2025_05
Adjumani,2025-05-14,27.7,20.5,4.2,81,27364.95,2025_05
Adjumani,2025-05-15,31.5,20.1,0.0,71,36265.26,2025_05
Adjumani,2025-05-16,31.5,20.0,0.3,68,39638.91,2025_05
Adjumani,2025-05-17,33.2,20.2,0.8,66,40368.33,2025_05
Adjumani,2025-05-18,34.4,20.4,0.0,59,41608.71,2025_05
Adjumani,2025-05-19,34.3,19.7,0.0,57,41487.23,2025_05
Adjumani,2025-05-20,32.6,22.2,0.4,58,41240.39,2025_05
Adjumani,2025-05-21,32.7,21.0,1.8,66,35896.36,2025_05
Adjumani,2025-05-22,31.1,20.6,7.4,82,29935.48,2025_05
Adjumani,2025-05-23,30.8,20.3,1.4,78,39039.91,2025_05
Adjumani,2025-05-24,32.8,21.1,0.8,65,41241.53,2025_05
Adjumani,2025-05-25,31.9,20.9,0.3,70,37893.29,2025_05
Adjumani,2025-05-26,28.6,20.6,7.9,76,41172.53,2025_05
Adjumani,2025-05-27,29.6,20.7,0.8,75,36807.22,2025_05
Adjumani,2025-05-28,30.7,19.4,0.0,73,39581.92,2025_05
Adjumani,2025-05-29,30.9,20.3,0.2,68,41612.4,2025_05
Adjumani,2025-05-30,31.3,20.7,0.1,65,41482.23,2025_05
Adjumani,2025-05-31,31.4,20.5,4.7,70,41095.57,2025_05
Agago,2025-05-01,32.1,20.7,0.6,67,30676.34,2025_05
Agago,2025-05-02,33.5,19.5,0.1,59,40692.56,2025_05
Agago,2025-05-03,31.6,19.9,3.7,71,36381.09,2025_05
Agago,2025-05-04,28.7,19.8,11.1,80,38508.01,2025_05
Agago,2025-05-05,29.0,18.0,1.0,76,40207.24,2025_05
Agago,2025-05-06,28.7,19.7,16.8,81,36625.99,2025_05
Agago,2025-05-07,26.7,19.2,5.5,84,21600.0,2025_05
Agago,2025-05-08,28.6,19.2,6.4,80,38380.29,2025_05
Agago,2025-05-09,27.9,18.7,1.4,82,39309.82,2025_05
Agago,2025-05-10,29.4,17.7,0.2,73,40920.45,2025_05
Agago,2025-05-11,30.1,17.5,0.0,65,41031.79,2025_05
Agago,2025-05-12,29.7,19.0,2.5,74,40044.27,2025_05
Agago,2025-05-13,29.2,18.7,8.0,74,40815.32,2025_05
Agago,2025-05-14,28.0,19.4,0.6,79,18166.01,2025_05
Agago,2025-05-15,29.4,17.6,0.0,71,40818.75,2025_05
Agago,2025-05-16,29.8,18.9,0.3,71,40931.11,2025_05
Agago,2025-05-17,31.1,19.2,0.0,68,40600.98,2025_05
Agago,2025-05-18,32.2,18.5,0.0,58,40713.43,2025_05
Agago,2025-05-19,32.8,19.1,0.1,59,40715.18,2025_05
Agago,2025-05-20,30.4,20.6,5.1,68,40271.4,2025_05
Agago,2025-05-21,29.9,19.1,5.4,77,39106.43,2025_05
Agago,2025-05-22,28.3,19.1,1.4,79,34971.29,2025_05
Agago,2025-05-23,29.7,19.0,0.1,74,39600.0,2025_05
Agago,2025-05-24,30.2,19.7,8.4,72,40499.4,2025_05
Agago,2025-05-25,31.3,19.1,1.0,72,39824.31,2025_05
Agago,2025-05-26,28.3,19.3,1.4,75,38979.89,2025_05
Agago,2025-05-27,30.8,18.9,2.1,74,37768.32,2025_05
Agago,2025-05-28,30.3,17.9,0.7,71,40390.73,2025_05
Agago,2025-05-29,30.6,18.9,0.5,66,40961.64,2025_05
Agago,2025-05-30,31.6,18.8,0.3,64,40735.55,2025_05
Agago,2025-05-31,31.0,19.4,0.8,66,40737.52,2025_05
Alebtong,2025-05-01,31.3,19.7,10.7,75,21600.0,2025_05
Alebtong,2025-05-02,31.0,19.4,0.3,71,40688.02,2025_05
Alebtong,2025-05-03,31.4,19.1,7.3,75,38429.08,2025_05
Alebtong,2025-05-04,26.4,19.1,12.6,87,36127.04,2025_05
Alebtong,2025-05-05,28.0,17.4,4.4,85,35678.81,2025_05
Alebtong,2025-05-06,26.9,19.4,9.4,86,36010.04,2025_05
Alebtong,2025-05-07,25.7,18.8,13.6,88,22292.12,2025_05
Alebtong,2025-05-08,27.7,18.4,3.1,84,36000.0,2025_05
Alebtong,2025-05-09,28.0,18.7,3.7,83,39720.93,2025_05
Alebtong,2025-05-10,29.2,17.8,0.0,74,41019.87,2025_05
Alebtong,2025-05-11,30.0,17.8,0.0,71,40804.82,2025_05
Alebtong,2025-05-12,28.7,19.1,0.3,77,40156.17,2025_05
Alebtong,2025-05-13,28.7,19.0,1.5,75,40482.38,2025_05
