avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours,ddd_demand
31.48,18.21,45.61,1566.1,40921.04,0.8647902406163
29.9,18.73,59.4,5688.3,36217.44,1.1770766003439
29.52,18.73,65.59,7772.2,40075.8,1.4785886829081
28.54,18.91,69.17,13211.3,38181.34,1.6428898321186
27.43,18.02,70.27,6425.5,38366.75,1.1016137455979
26.32,17.52,75.9,13172.4,37473.67,1.2869775300733
26.08,17.57,77.24,15640.5,38296.38,1.31371886428
26.39,17.52,79.15,18776.1,36197.36,1.6383359589284
27.11,17.76,76.32,13767.7,38122.19,1.5710470526581
26.59,17.31,74.99,13476.7,35955.51,1.5417152924503
29.39,17.98,58.72,3004.2,39423.81,0.9075172928832
29.55,18.01,53.73,2624.0,38577.72,0.8927045171115
31.18,19.25,53.65,3699.0,35114.68,1.1185195356044
27.12,17.96,76.0,14750.6,34679.74,1.6269539566398
25.31,17.71,82.67,25719.5,29241.96,1.7903417555497
25.47,17.6,81.11,17176.6,36831.86,1.5756200733627
25.49,16.95,78.01,12386.7,36010.74,1.2364436851053
26.05,16.96,70.14,7160.7,38511.58,1.0376019418518
26.38,16.98,75.18,14267.8,37122.65,1.2805079637951
27.27,17.32,73.73,10066.6,37642.62,1.4973754937623
27.0,17.76,75.83,17039.1,36849.3,1.6319566207858
27.52,17.92,73.74,11596.2,36982.61,1.5606203989773
27.52,17.69,70.75,10713.9,36904.6,1.2954647172894
29.88,18.23,59.08,3552.7,39610.22,0.9762807949207
31.11,19.01,55.19,3770.0,36062.96,1.1103148374493
30.96,19.04,58.62,5003.2,40251.1,1.3953900670874
28.8,18.96,71.23,14737.5,36389.33,1.7031860721472
26.66,18.3,80.27,21894.8,37062.4,1.7274279593684
25.5,17.65,82.19,19333.7,34193.06,1.4083766810015
25.91,17.18,78.78,13535.4,37707.73,1.2664158946089
26.08,17.36,79.48,17342.6,38042.61,1.3420667312033
26.6,17.52,79.53,16406.4,37217.97,1.5971199008935
25.37,17.31,83.68,28669.9,35561.9,1.768111652399
26.16,17.59,79.34,18316.4,34131.27,1.6441824676521
26.16,17.36,77.89,15529.3,36854.38,1.3255476521566
28.45,18.28,63.18,8766.3,36516.45,1.2658464442222
29.02,18.65,66.11,7166.1,36035.49,1.2289278007186
28.26,18.9,74.96,19440.7,35931.85,1.7685845687826
