index,district,year,month,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
0,Abim,2025,4,28.93,18.46,68.23,146.7,309.08
1,Adjumani,2025,4,32.82,20.53,66.73,73.8,303.97
2,Agago,2025,4,31.3,19.88,66.53,113.8,306.12
3,Alebtong,2025,4,29.58,19.07,75.3,180.4,299.12
4,Amolatar,2025,4,27.69,20.33,79.87,177.5,304.6
5,Amudat,2025,4,29.63,19.35,62.77,113.9,304.21
6,Amuria,2025,4,29.0,19.29,75.23,193.4,298.61
7,Amuru,2025,4,29.36,19.18,76.5,160.1,304.87
8,Apac,2025,4,28.4,19.51,77.53,134.4,302.97
9,Arua,2025,4,27.74,18.97,72.53,104.1,306.6
10,Budaka,2025,4,27.59,18.74,80.97,240.2,291.83
11,Bududa,2025,4,25.97,17.34,80.4,279.9,276.67
12,Bugiri,2025,4,26.92,18.46,83.07,235.9,288.81
13,Bugweri,2025,4,26.98,18.5,83.63,199.8,292.6
14,Buhweju,2025,4,21.71,14.17,81.6,201.7,289.18
15,Buikwe,2025,4,25.47,18.91,84.43,208.7,274.51
16,Bukedea,2025,4,28.67,19.02,74.53,168.1,296.68
17,Bukomansimbi,2025,4,26.6,17.97,81.6,128.0,302.62
18,Bukwo,2025,4,25.13,14.82,66.8,117.1,297.26
19,Bulambuli,2025,4,28.84,18.93,74.6,165.3,296.65
20,Buliisa,2025,4,28.42,22.67,80.07,156.3,305.87
21,Bundibugyo,2025,4,29.51,19.94,74.53,81.9,299.21
22,Bunyangabu,2025,4,24.59,16.36,74.67,160.7,299.78
23,Busia,2025,4,26.54,17.94,82.23,218.6,298.68
24,Butaleja,2025,4,27.82,18.74,80.33,214.2,285.96
25,Butambala,2025,4,25.52,17.58,86.47,203.7,298.05
26,Butebo,2025,4,28.47,19.06,78.4,196.8,285.35
27,Buvuma,2025,4,24.83,20.82,81.33,334.8,287.71
28,Buyende,2025,4,27.81,20.76,78.87,144.5,294.4
29,Dokolo,2025,4,28.16,19.25,80.43,236.3,291.65
30,Gulu,2025,4,29.11,19.23,74.1,154.8,310.24
31,Hoima,2025,4,26.93,18.45,82.7,156.2,295.92
32,Ibanda,2025,4,26.32,16.79,74.87,150.6,288.15
33,Iganga,2025,4,26.88,18.4,83.63,199.8,292.6
34,Isingiro,2025,4,27.55,17.73,79.63,80.5,298.96
35,Jinja,2025,4,25.81,19.34,84.07,210.4,293.63
36,Kabale,2025,4,22.36,14.29,83.37,140.1,298.11
37,Kabarole,2025,4,24.57,17.0,78.6,136.2,302.6
38,Kaberamaido,2025,4,27.81,19.01,81.73,222.9,307.62
