periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-EP01d. Malaria cases treated,105-MC04. Malaria in pregnancy,105-PS01b. Malaria Microscopy - Positive,105-PS02b. Malaria RDTs - Positive
202501,January 2025,202501,,NREoMszwQZW,Abim District,,,4679.0,107.0,118.0,3883.0
202501,January 2025,202501,,QYiQ2KqgCxj,Adjumani District,,,6209.0,144.0,1056.0,3836.0
202501,January 2025,202501,,ztIyIYAzFKp,Agago District,,,18301.0,321.0,694.0,16998.0
202501,January 2025,202501,,p7EEgDEX3jT,Alebtong District,,,8080.0,494.0,402.0,6411.0
202501,January 2025,202501,,ZuQHWOaFQVM,Amolatar District,,,4610.0,109.0,552.0,4596.0
202501,January 2025,202501,,a8RHFdF4DXL,Amudat District,,,862.0,28.0,205.0,668.0
202501,January 2025,202501,,TM6ccNxawqy,Amuria District,,,9207.0,305.0,983.0,8377.0
202501,January 2025,202501,,C0RSe3EWBqU,Amuru District,,,6024.0,259.0,632.0,4535.0
202501,January 2025,202501,,JyZJhGXKeEq,Apac District,,,8256.0,372.0,1343.0,5175.0
202501,January 2025,202501,,iQTVPmAJPkr,Arua City,,,4807.0,398.0,912.0,3488.0
202501,January 2025,202501,,WcB3kLlgRTb,Arua District,,,1140.0,114.0,151.0,752.0
202501,January 2025,202501,,kb7iUQISRlx,Budaka District,,,6709.0,220.0,1311.0,5983.0
202501,January 2025,202501,,AhwgeZQYj16,Bududa District,,,1537.0,65.0,447.0,1420.0
202501,January 2025,202501,,gUaoj8Geuao,Bugiri District,,,4490.0,165.0,554.0,3186.0
202501,January 2025,202501,,AIonX4LaJeU,Bugweri District,,,8075.0,423.0,2052.0,5277.0
202501,January 2025,202501,,sWoNWQZ9qrD,Buhweju District,,,218.0,1.0,34.0,197.0
202501,January 2025,202501,,x75Yh65MaUa,Buikwe District,,,7451.0,274.0,1638.0,5386.0
202501,January 2025,202501,,tdZbtg9sZkO,Bukedea District,,,12779.0,582.0,3398.0,8484.0
202501,January 2025,202501,,Ame30QOwuX6,Bukomansimbi District,,,2343.0,109.0,475.0,1853.0
202501,January 2025,202501,,e8m9ZYMRoeR,Bukwo District,,,575.0,11.0,157.0,564.0
202501,January 2025,202501,,auLatLbcOxf,Bulambuli District,,,7043.0,163.0,202.0,3482.0
202501,January 2025,202501,,CQTmrrriwOq,Buliisa District,,,6111.0,133.0,623.0,3389.0
202501,January 2025,202501,,g8M1cWRJZV6,Bundibugyo District,,,3946.0,77.0,203.0,2387.0
202501,January 2025,202501,,iTfbtn6JUsN,Bunyangabu District,,,863.0,43.0,202.0,580.0
202501,January 2025,202501,,It5UGwdHAPF,Bushenyi District,,,684.0,11.0,109.0,638.0
202501,January 2025,202501,,lkuO79O6mRx,Busia District,,,9981.0,249.0,2307.0,6320.0
202501,January 2025,202501,,MtpE3CH6vq3,Butaleja District,,,5530.0,82.0,1111.0,3954.0
202501,January 2025,202501,,a3LMKP8z8Xj,Butambala District,,,1674.0,57.0,111.0,1541.0
202501,January 2025,202501,,FDPqRvcW3NN,Butebo District,,,2965.0,65.0,1102.0,1452.0
202501,January 2025,202501,,aZLZPPjqft0,Buvuma District,,,2417.0,103.0,347.0,2070.0
202501,January 2025,202501,,F3ccON3OCsL,Buyende District,,,8714.0,1234.0,3225.0,4939.0
202501,January 2025,202501,,wMQ25dybdgH,Dokolo District,,,10302.0,337.0,193.0,9001.0
202501,January 2025,202501,,R1x33oSVR1M,Fort Portal City,,,604.0,10.0,216.0,325.0
202501,January 2025,202501,,lQj3yMM1lI7,Gomba District,,,2123.0,101.0,635.0,1501.0
202501,January 2025,202501,,szlrGpmFlu9,Gulu City,,,4561.0,145.0,1702.0,2639.0
202501,January 2025,202501,,Gwk4wkLz7EW,Gulu District,,,4932.0,227.0,784.0,3653.0
202501,January 2025,202501,,ZqJ9w7mzitv,Hoima City,,,1112.0,40.0,571.0,527.0
202501,January 2025,202501,,PJFtfCyp6Rb,Hoima District,,,2727.0,229.0,1143.0,1930.0
